# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 62826001
# NOM_USUEL= LE-TOUQUET
# LATITUDE (°) = 50.515
# LONGITUDE(°)= 1.623
# ALTITUDE (m) = 5
# NUM_SERIE= MRR162826001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195801 201612
# Date(s) de rupture(s) d'homogénéité : 196212
#     Periode homogénéisée  195801 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;82;1
195802;81;1
195803;35.3;1
195804;47.4;1
195805;43.1;1
195806;86.6;1
195807;70.5;1
195808;91.7;1
195809;69.9;1
195810;88.4;1
195811;99.7;1
195812;103.4;1
195901;70.1;1
195902;3.6;1
195903;48.4;1
195904;59.2;1
195905;45.2;1
195906;7.3;1
195907;97.2;1
195908;26.7;1
195909;7;1
195910;118.9;1
195911;91.2;1
195912;135.9;1
196001;51.5;1
196002;43.3;1
196003;58.5;1
196004;6;1
196005;70.7;1
196006;37.8;1
196007;47.9;1
196008;181.5;1
196009;83.3;1
196010;137.5;1
196011;179.9;1
196012;130.3;1
196101;88.6;1
196102;53.8;1
196103;5.5;1
196104;57.5;1
196105;18.9;1
196106;28.1;1
196107;112.1;1
196108;8.8;1
196109;70.6;1
196110;135.2;1
196111;99.8;1
196112;78.2;1
196201;72.7;1
196202;35.4;1
196203;48.6;1
196204;29.7;1
196205;33;1
196206;11.6;1
196207;118.5;1
196208;63.3;1
196209;58.1;1
196210;81.9;1
196211;100.2;1
196212;64.1;1
196301;6;1
196302;22.1;1
196303;73.4;1
196304;71.1;1
196305;57;1
196306;84.2;1
196307;22.8;1
196308;106.5;1
196309;98.5;1
196310;64.3;1
196311;164.1;1
196312;16.5;1
196401;25.7;1
196402;51.3;1
196403;81.4;1
196404;73.1;1
196405;29.5;1
196406;116.3;1
196407;19.3;1
196408;29.5;1
196409;37;1
196410;174.7;1
196411;129;1
196412;109.5;1
196501;91.6;1
196502;3.9;1
196503;65.3;1
196504;40.4;1
196505;58.8;1
196506;49.1;1
196507;75.4;1
196508;62.5;1
196509;153.1;1
196510;17.4;1
196511;61.1;1
196512;169.4;1
196601;51;1
196602;99.7;1
196603;25.5;1
196604;82.7;1
196605;47.9;1
196606;67.3;1
196607;73.7;1
196608;75.4;1
196609;22.8;1
