# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 63132002
# NOM_USUEL= CUNLHAT
# LATITUDE (°) = 45.635
# LONGITUDE(°)= 3.558
# ALTITUDE (m) = 700
# NUM_SERIE= MRR163132002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;35.9;1
195102;80;1
195103;76.9;1
195104;23.8;1
195105;207.2;1
195106;135.8;1
195107;42.4;1
195108;158.8;1
195109;60;1
195110;48.9;1
195111;132.2;1
195112;78.6;1
195201;60.2;1
195202;44.6;1
195203;78.7;1
195204;38.5;1
195205;36.8;1
195206;98.1;1
195207;45.4;1
195208;79.6;1
195209;85.7;1
195210;109.1;1
195211;100.3;1
195212;71.8;1
195301;14.5;1
195302;21.2;1
195303;4.2;1
195304;45.3;1
195305;87.5;1
195306;190.5;1
195307;47.5;1
195308;80;1
195309;91.4;1
195310;54;1
195311;20.4;1
195312;54.4;1
195401;69.2;1
195402;50.9;1
195403;34.9;1
195404;32.2;1
195405;127.3;1
195406;68.6;1
195407;75.4;1
195408;208.7;1
195409;79.5;1
195410;58;1
195411;64.2;1
195412;84.2;1
195501;68.6;1
195502;56.1;1
195503;16.2;1
195504;7.9;1
195505;75;1
195506;165.5;1
195507;84.4;1
195508;102.4;1
195509;51.3;1
195510;21.3;1
195511;16.9;1
195512;66.2;1
195601;92;1
195602;28.7;1
195603;30.9;1
195604;77.4;1
195605;152.5;1
195606;45.5;1
195607;146.4;1
195608;85.9;1
195609;121.8;1
195610;94.1;1
195611;61.5;1
195612;52.5;1
195701;66.5;1
195702;102.7;1
195703;18.7;1
195704;40.6;1
195705;46.5;1
195706;161.6;1
195707;69.6;1
195708;13.2;1
195709;63.7;1
195710;64.2;1
195711;64.8;1
195712;102.5;1
195801;51.3;1
195802;76.7;1
195803;89.5;1
195804;89.5;1
195805;89.7;1
195806;152.3;1
195807;61.9;1
195808;75.8;1
195809;93.2;1
195810;92.6;1
195811;134.4;1
195812;98.5;1
195901;25.9;1
195902;0;1
195903;104;1
195904;95;1
195905;105.5;1
195906;158.9;1
195907;39;1
195908;73.7;1
195909;53.4;1
195910;104.5;1
195911;58.2;1
195912;82.1;1
196001;71.7;1
196002;53.1;1
196003;61.5;1
196004;31.9;1
196005;36.8;1
196006;115.6;1
196007;98;1
196008;182.1;1
196009;103.5;1
196010;152.1;1
196011;82.5;1
196012;68.1;1
196101;59.5;1
196102;29.2;1
196103;19;1
196104;67.7;1
196105;71.9;1
196106;57.9;1
196107;65.9;1
196108;79.7;1
196109;40.4;1
196110;84.9;1
196111;35;1
196112;44.5;1
196201;76.4;1
196202;91.8;1
196203;48.5;1
196204;55.6;1
196205;152.8;1
196206;43.7;1
196207;40.3;1
196208;23.6;1
196209;93.7;1
196210;67;1
196211;98.1;1
196212;124.4;1
196301;33.3;1
196302;48.9;1
196303;113.6;1
196304;84.6;1
196305;99;1
196306;146.6;1
196307;83.7;1
196308;171.1;1
196309;51.6;1
196310;48.8;1
196311;92.7;1
196312;7.7;1
196401;26;1
196402;41.7;1
196403;100.8;1
196404;102.2;1
196405;153;1
196406;68.2;1
196407;17.2;1
196408;79.3;1
196409;36;1
196410;61.8;1
196411;66.3;1
196412;59.2;1
196501;85.9;1
196502;42.3;1
196503;60.9;1
196504;121.5;1
196505;158.9;1
196506;107.3;1
196507;115.2;1
