# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64109001
# NOM_USUEL= BENEJACQ
# LATITUDE (°) = 43.193
# LONGITUDE(°)= -0.22
# ALTITUDE (m) = 255
# NUM_SERIE= MRR164109001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;60.5;1
195302;80.4;1
195303;5.5;1
195304;126.9;1
195305;46;1
195306;154.4;1
195307;37.4;1
195308;46.6;1
195309;80.7;1
195310;91.1;1
195311;42.1;1
195312;22.3;1
195401;92.5;1
195402;153.1;1
195403;132.7;1
195404;65.6;1
195405;192.4;1
195406;83.5;1
195407;39.3;1
195408;132.5;1
195409;89.5;1
195410;63.6;1
195411;84;1
195412;175.4;1
195501;198.9;1
195502;92.6;1
195503;20.8;1
195504;10.9;1
195505;85.3;1
195506;108.2;1
195507;79.8;1
195508;43.6;1
195509;171.9;1
195510;101.6;1
195511;39.4;1
195512;129;1
195601;167.1;1
195602;36.1;1
195603;43.3;1
195604;180.7;1
195605;125.9;1
195606;107.8;1
195607;75.4;1
195608;104.1;1
195609;38.3;1
195610;77.5;1
195611;106.3;1
195612;62.6;1
195701;51.7;1
195702;83.6;1
195703;48.4;1
195704;185.6;1
195705;149.2;1
195706;230.8;1
195707;54.2;1
195708;54.7;1
195709;83.2;1
195710;32.8;1
195711;91.3;1
195712;64.2;1
195801;120.6;1
195802;36.5;1
195803;189.1;1
195804;101;1
195805;191.9;1
195806;95.7;1
195807;92.2;1
195808;54.8;1
195809;41.9;1
195810;77.9;1
195811;67.6;1
195812;130.6;1
195901;84.7;1
195902;6;1
195903;103.1;1
195904;149;1
195905;152.4;1
195906;143.3;1
195907;61.3;1
195908;106.5;1
195909;200.1;1
195910;137.5;1
195911;102.9;1
195912;219.8;1
196001;70.1;1
196002;37.3;1
196003;122.8;1
196004;51.1;1
196005;103.1;1
196006;141.5;1
196007;105.9;1
196008;79.5;1
196009;81.1;1
196010;176.4;1
196011;116.2;1
196012;203.2;1
196101;167.8;1
196102;71.1;1
196103;2.6;1
196104;180.9;1
196105;95.4;1
196106;53.8;1
196107;104.2;1
196108;53.2;1
196109;141.3;1
196110;87.3;1
196111;154.8;1
196112;57.7;1
196201;117.2;1
196202;106.2;1
196203;92.6;1
196204;147.5;1
196205;148.2;1
196206;18.2;1
196207;36.6;1
196208;30.7;1
196209;70.8;1
196210;66.1;1
196211;123.3;1
196212;126.3;1
196301;73.6;1
196302;87.2;1
196303;122.6;1
196304;79.4;1
196305;42.3;1
196306;201.6;1
196307;88;1
196308;182.5;1
196309;118.5;1
196310;43.1;1
196311;85.1;1
196312;55;1
196401;23.2;1
196402;81.7;1
196403;108.6;1
196404;65.9;1
196405;56.2;1
196406;24;1
196407;16.9;1
196408;68.7;1
196409;92.1;1
196410;122.7;1
196411;61.9;1
196412;94.5;1
196501;120.2;1
196502;34.5;1
196503;110.4;1
196504;100.4;1
196505;101.5;1
196506;40.1;1
196507;53.9;1
196508;79.8;1
196509;144.8;1
196510;62.1;1
196511;145.1;1
196512;269.4;1
196601;72.1;1
196602;156.2;1
196603;48.4;1
196604;128.2;1
196605;139.7;1
196606;104.1;1
196607;65.7;1
196608;39.1;1
196609;69.9;1
196610;128.8;1
196611;150.1;1
196612;244;1
196701;85.6;1
196702;10.7;1
196703;59.1;1
196704;43.1;1
196705;47.2;1
196706;77.8;1
196707;47.4;1
196708;64.4;1
196709;81.5;1
196710;72.3;1
196711;147.6;1
196712;116.1;1
196801;164.5;1
196802;56;1
196803;51.6;1
196804;86.6;1
196805;222;1
196806;96.3;1
196807;114.3;1
196808;136.3;1
196809;102.3;1
196810;39.6;1
196811;78.5;1
196812;171;1
196901;74.3;1
196902;64.6;1
196903;126.7;1
196904;154.7;1
196905;72.6;1
196906;68.3;1
196907;61.4;1
196908;35.1;1
196909;158;1
196910;27.2;1
196911;40.9;1
196912;247.4;1
197001;100.4;1
