# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64157001
# NOM_USUEL= BUZY-EDF
# LATITUDE (°) = 43.121
# LONGITUDE(°)= -0.488
# ALTITUDE (m) = 311
# NUM_SERIE= MRR164157001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 201012
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;95.6;1
195302;100.1;1
195303;8.8;1
195304;182.1;1
195305;44.3;1
195306;203.1;1
195307;83;1
195308;50.2;1
195309;112.7;1
195310;130.3;1
195311;52.1;1
195312;42.8;1
195401;142.9;1
195402;190.2;1
195403;222.8;1
195404;102.1;1
195405;292.3;1
195406;115.4;1
195407;80.8;1
195408;194;1
195409;155;1
195410;116.2;1
195411;113.1;1
195412;259;1
195501;228.7;1
195502;92.6;1
195503;26.4;1
195504;50.2;1
195505;109.1;1
195506;164.7;1
195507;78.6;1
195508;47.9;1
195509;172.2;1
195510;138.1;1
195511;48;1
195512;149.8;1
195601;206.3;1
195602;43.1;1
195603;26.9;1
195604;185.4;1
195605;199.3;1
195606;119.3;1
195607;116.9;1
195608;164.5;1
195609;70.9;1
195610;131.4;1
195611;144.1;1
195612;73.2;1
195701;87.9;1
195702;124.1;1
195703;46.5;1
195704;203.6;1
195705;207.7;1
195706;373.5;1
195707;94.3;1
195708;71.5;1
195709;120.9;1
195710;53.8;1
195711;128;1
195712;76.7;1
195801;150.7;1
195802;59.2;1
195803;254.3;1
195804;156.7;1
195805;174.7;1
195806;142.8;1
195807;132.1;1
195808;70.6;1
195809;116;1
195810;118.3;1
195811;134.1;1
195812;208.2;1
195901;128.7;1
195902;8.8;1
195903;176.8;1
195904;212.3;1
195905;172.9;1
195906;199.5;1
195907;110.6;1
195908;186.5;1
195909;277.5;1
195910;206.7;1
195911;116.9;1
195912;284;1
196001;69.5;1
196002;76.4;1
196003;150.4;1
196004;59.8;1
196005;81.7;1
196006;170.2;1
196007;142.4;1
196008;113.2;1
196009;131.2;1
196010;253.7;1
196011;136.8;1
196012;284;1
196101;228.2;1
196102;80.9;1
196103;2.5;1
196104;206.9;1
196105;185.7;1
196106;132.8;1
196107;165;1
196108;103.9;1
196109;132.8;1
196110;114.6;1
196111;199.7;1
196112;56;1
196201;151.9;1
196202;162.2;1
196203;149.2;1
196204;156.2;1
196205;176.7;1
196206;39.4;1
196207;60.9;1
196208;41.6;1
196209;111.4;1
196210;88.8;1
196211;173.5;1
196212;163.8;1
196301;83.4;1
196302;98.8;1
196303;184.6;1
196304;98.6;1
196305;110.4;1
196306;194.2;1
196307;139.8;1
196308;354.4;1
196309;189.6;1
196310;76.4;1
196311;123.9;1
196312;91.7;1
196401;22.8;1
196402;118.2;1
196403;153.4;1
196404;118.5;1
196405;110.7;1
196406;39.8;1
196407;58;1
196408;67.6;1
196409;142.3;1
196410;211.4;1
196411;80.6;1
196412;181.4;1
196501;201.2;1
196502;56.9;1
196503;169.8;1
196504;163.9;1
196505;157.5;1
196506;77.8;1
196507;99.7;1
196508;123.4;1
196509;232.5;1
196510;78.5;1
196511;177.4;1
196512;335.6;1
196601;89.2;1
196602;210;1
196603;67.3;1
196604;219.2;1
196605;177.3;1
196606;103;1
196607;108.8;1
196608;45.1;1
196609;37.6;1
196610;205.9;1
196611;179.2;1
196612;296.9;1
196701;106.8;1
196702;16.1;1
196703;115.5;1
196704;57.2;1
196705;97.6;1
196706;136.3;1
196707;51.6;1
196708;99.9;1
196709;120.1;1
196710;136.7;1
196711;246.5;1
196712;131.8;1
196801;231.3;1
196802;86.5;1
196803;71.8;1
196804;130.1;1
196805;289.6;1
196806;98.7;1
196807;83.5;1
196808;169.5;1
196809;195.1;1
196810;39.4;1
196811;105.5;1
196812;158.3;1
196901;75.6;1
196902;99.4;1
196903;172.9;1
196904;218.4;1
196905;141.6;1
196906;100.8;1
196907;64.9;1
196908;72.1;1
196909;228.9;1
196910;39.4;1
196911;67.6;1
196912;313;1
197001;151.1;1
197002;152.1;1
197003;125.2;1
197004;139.6;1
197005;131.1;1
197006;222;1
197007;46;1
197008;62.3;1
197009;33.1;1
197010;121.3;1
197011;123.1;1
197012;30.7;1
197101;149.6;1
197102;252.1;1
197103;218.6;1
197104;230.2;1
197105;202.3;1
197106;213.3;1
197107;78.4;1
197108;149.6;1
197109;102;1
197110;73.2;1
197111;230.8;1
197112;61.5;1
197201;250.2;1
197202;172.7;1
197203;92.8;1
197204;230.9;1
197205;155.4;1
197206;128.4;1
197207;59;1
197208;177.8;1
197209;122.2;1
197210;56.2;1
197211;137.3;1
197212;165.8;1
197301;136.6;1
197302;214.2;1
197303;80.9;1
197304;84.6;1
197305;98.9;1
197306;197.8;1
197307;137.6;1
197308;77.4;1
197309;159.2;1
197310;50.4;1
197311;131.2;1
197312;131.8;1
197401;65.6;1
197402;196.2;1
197403;205.6;1
197404;175.5;1
197405;115.4;1
197406;102.4;1
197407;87.8;1
197408;124.2;1
197409;210;1
197410;268.2;1
197411;207.5;1
197412;66.8;1
197501;92.6;1
197502;25.8;1
197503;242;1
197504;112.7;1
197505;231.2;1
197506;100.2;1
197507;41.9;1
197508;136.8;1
197509;126.8;1
197510;84.8;1
197511;248.1;1
197512;47.2;1
197601;59.8;1
197602;121.4;1
197603;119.6;1
197604;168.7;1
197605;111.6;1
197606;22.6;1
197607;139.5;1
197608;97.1;1
197609;142.5;1
197610;295.6;1
197611;116.4;1
197612;144.1;1
197701;63.3;1
197702;86.7;1
197703;78.9;1
197704;131.9;1
197705;299.4;1
197706;170.8;1
197707;290.7;1
197708;166;1
197709;18.3;1
197710;85.8;1
197711;165.1;1
197712;62.2;1
197801;290;1
197802;145.6;1
197803;258.9;1
197804;207.8;1
197805;276.8;1
197806;242.1;1
197807;93.6;1
197808;74.7;1
197809;77.5;1
197810;48.7;1
197811;22.3;1
197812;92.7;1
197901;214.6;1
197902;170.6;1
197903;183.6;1
197904;259.2;1
197905;177.8;1
197906;78.2;1
197907;50.5;1
197908;134.3;1
197909;162.2;1
197910;197.1;1
197911;161.8;1
197912;154.3;1
198001;109.2;1
198002;72.4;1
198003;258.2;1
198004;79.2;1
198005;338.5;1
198006;70.6;1
