# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64537001
# NOM_USUEL= TROIS-VILLES
# LATITUDE (°) = 43.134
# LONGITUDE(°)= -0.876
# ALTITUDE (m) = 216
# NUM_SERIE= MRR164537001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;52.6;1
195302;78;1
195303;5.9;1
195304;130.7;1
195305;51.9;1
195306;219.4;1
195307;61.6;1
195308;37.3;1
195309;86;1
195310;183.7;1
195311;67.2;1
195312;38.9;1
195401;121.4;1
195402;153.9;1
195403;139.6;1
195404;81.1;1
195405;220.7;1
195406;85.6;1
195407;56.1;1
195408;204.3;1
195409;106.4;1
195410;75.6;1
195411;59.8;1
195412;188.3;1
195501;201.4;1
195502;92.7;1
195503;28.5;1
195504;29.8;1
195505;67.4;1
195506;134.1;1
195507;62.7;1
195508;30.5;1
195509;194;1
195510;112.6;1
195511;26;1
195512;88.3;1
195601;164.6;1
195602;45.2;1
195603;42;1
195604;122.9;1
195605;145.9;1
195606;83.9;1
195607;99.8;1
195608;126.2;1
195609;95.1;1
195610;120.4;1
195611;118.1;1
195612;66.6;1
195701;76.9;1
195702;68.3;1
195703;39.7;1
195704;172.7;1
195705;190.3;1
195706;286.1;1
195707;69;1
195708;46.9;1
195709;97.5;1
195710;58;1
195711;93.7;1
195712;60.5;1
195801;121.7;1
195802;42.6;1
195803;231.9;1
195804;155.7;1
195805;146.1;1
195806;122.2;1
195807;80.4;1
195808;83.4;1
195809;115.1;1
195810;120.6;1
195811;137.9;1
195812;200;1
195901;90.4;1
195902;14.9;1
195903;152.9;1
195904;122.8;1
195905;156.2;1
195906;161.3;1
195907;92.3;1
195908;110.4;1
195909;252;1
195910;168.3;1
195911;107.7;1
195912;198.1;1
196001;70.5;1
196002;47.2;1
196003;136.8;1
196004;41.7;1
196005;61.3;1
196006;97.3;1
196007;146.8;1
196008;94.2;1
196009;82.9;1
196010;173.1;1
196011;110.1;1
196012;294.9;1
196101;179.9;1
196102;92.6;1
196103;4.5;1
196104;159.5;1
196105;104.5;1
196106;117.8;1
196107;71.7;1
196108;78;1
196109;136.6;1
196110;117;1
196111;187.6;1
196112;56.3;1
196201;123.9;1
196202;174.1;1
196203;88.4;1
196204;153.6;1
196205;160;1
196206;60.6;1
196207;50.6;1
196208;16.9;1
196209;93.4;1
196210;101.4;1
196211;185.3;1
196212;156.3;1
196301;60.2;1
196302;65.9;1
196303;142.5;1
196304;91.6;1
196305;70.1;1
196306;126;1
196307;77.9;1
196308;313.3;1
196309;131.9;1
196310;73.6;1
196311;106.5;1
196312;72.5;1
196401;49.1;1
196402;87.9;1
196403;119.4;1
196404;113;1
196405;57.4;1
196406;42.6;1
196407;38.1;1
196408;57.1;1
196409;64.2;1
196410;221;1
196411;74.8;1
196412;130;1
196501;177.4;1
196502;50.1;1
196503;116.9;1
196504;175.8;1
196505;109.1;1
196506;55.9;1
196507;74.1;1
196508;93.2;1
196509;187.6;1
196510;74.3;1
196511;171.2;1
196512;283.9;1
196601;67.9;1
196602;146.4;1
196603;83.2;1
196604;134;1
196605;179.3;1
196606;71.4;1
196607;57.2;1
196608;26.5;1
196609;36.4;1
196610;192.1;1
196611;201.2;1
196612;268.6;1
196701;97.3;1
196702;15.2;1
196703;80.8;1
196704;67.3;1
196705;80.9;1
196706;93.5;1
196707;32.2;1
196708;98.2;1
196709;109.2;1
196710;114.1;1
196711;211;1
196712;148.8;1
196801;220.8;1
196802;66.3;1
196803;80;1
196804;89;1
196805;178.6;1
196806;85.4;1
196807;91.6;1
196808;123.9;1
196809;159.9;1
196810;25.7;1
196811;104.1;1
196812;141.6;1
196901;41.2;1
196902;98.8;1
196903;128.2;1
196904;221.4;1
196905;107.4;1
196906;91.4;1
196907;35.2;1
196908;108.6;1
196909;147.3;1
196910;31.2;1
196911;74.1;1
196912;304.1;1
197001;150.7;1
197002;142;1
197003;91.5;1
197004;121.9;1
197005;115.6;1
197006;138.3;1
197007;20.3;1
197008;77.9;1
197009;20.7;1
197010;149.3;1
197011;89.4;1
197012;31.4;1
197101;86.5;1
197102;179;1
197103;156;1
197104;170.1;1
197105;163.7;1
197106;111.7;1
197107;65.1;1
197108;125.8;1
197109;70.3;1
197110;29.5;1
197111;199.6;1
197112;70.7;1
197201;214.6;1
197202;116.7;1
197203;62.8;1
197204;140.9;1
197205;137.6;1
197206;96.8;1
197207;17.3;1
197208;153.3;1
197209;72.7;1
197210;32.9;1
197211;70.5;1
197212;145.2;1
197301;131.8;1
197302;220.3;1
197303;91.4;1
197304;67.4;1
197305;76.9;1
197306;192.1;1
197307;97.7;1
197308;51.4;1
197309;106.2;1
197310;27.1;1
197311;92.3;1
197312;146.9;1
197401;26.9;1
197402;151.3;1
197403;205.3;1
197404;132;1
197405;95.4;1
197406;45.2;1
197407;62.9;1
197408;68;1
197409;180.6;1
197410;267;1
197411;201;1
197412;58.6;1
197501;65.1;1
197502;20.7;1
197503;213;1
197504;101.9;1
197505;183;1
197506;108.2;1
197507;19.1;1
197508;66.7;1
197509;120.4;1
197510;54.8;1
197511;208;1
197512;29.5;1
197601;68.9;1
197602;115.2;1
197603;120.2;1
197604;167.6;1
197605;100.9;1
197606;13.9;1
197607;99.8;1
197608;78.8;1
197609;109.1;1
197610;218.3;1
197611;89.2;1
197612;124.4;1
197701;33.4;1
197702;64.9;1
197703;61.1;1
197704;125.7;1
197705;207.7;1
197706;120.8;1
197707;242;1
197708;122.7;1
197709;5.9;1
197710;79.2;1
197711;159.3;1
197712;41;1
197801;283.6;1
197802;144.9;1
197803;221;1
197804;184.1;1
197805;208.1;1
197806;136.9;1
197807;84.4;1
197808;53.4;1
197809;90.7;1
197810;37.8;1
197811;26.3;1
197812;57.3;1
197901;235.8;1
197902;127.2;1
197903;155.4;1
197904;253.2;1
197905;170.9;1
197906;50;1
197907;77.6;1
197908;116.9;1
197909;121.3;1
197910;111.9;1
197911;127.7;1
197912;125.2;1
198001;66.3;1
198002;98.3;1
198003;179.8;1
198004;88.3;1
198005;255.7;1
198006;71.6;1
198007;64.6;1
198008;44.7;1
198009;33;1
198010;288.5;1
198011;144.8;1
198012;229;1
198101;267.6;1
198102;118.4;1
198103;130.6;1
198104;83.1;1
198105;124.7;1
198106;81.9;1
198107;105.1;1
198108;104.8;1
198109;135.1;1
198110;147.1;1
198111;49.1;1
198112;280.5;1
198201;97.3;1
198202;170.9;1
198203;200.6;1
198204;3.8;1
198205;117.1;1
198206;50.5;1
198207;103.9;1
198208;59.7;1
198209;60.2;1
198210;237.9;1
198211;195.4;1
198212;242;1
198301;43.3;1
198302;150.5;1
198303;161.1;1
198304;129.1;1
198305;105.1;1
198306;49.9;1
198307;77.4;1
198308;164.5;1
198309;16.1;1
198310;68;1
198311;64.7;1
198312;72.4;1
198401;188;1
198402;159.3;1
198403;86.5;1
198404;85.2;1
198405;144.6;1
198406;58.9;1
198407;21.3;1
198408;115.3;1
198409;159.4;1
198410;81.9;1
198411;158.9;1
198412;111.9;1
198501;68.9;1
198502;60.8;1
198503;139.4;1
198504;73.8;1
198505;196.5;1
198506;74.5;1
198507;33.2;1
198508;61.7;1
198509;0.4;1
198510;42.8;1
198511;89.5;1
198512;61;1
198601;360.8;1
198602;56.6;1
198603;84.1;1
198604;244.2;1
198605;70.9;1
198606;32.9;1
198607;27.2;1
198608;76.2;1
198609;103.8;1
198610;68.4;1
198611;190.3;1
198612;171.5;1
198701;120.9;1
198702;176.1;1
198703;91.3;1
198704;122.2;1
198705;41.1;1
198706;101.6;1
198707;59.9;1
198708;56.7;1
198709;34.6;1
198710;136.3;1
198711;143;1
198712;30.4;1
198801;219.2;1
198802;111.8;1
198803;171.6;1
198804;207.7;1
198805;135.9;1
198806;101.5;1
198807;80.5;1
198808;53.3;1
198809;57.5;1
198810;24.7;1
198811;29.1;1
198812;76.5;1
198901;21.2;1
198902;109.2;1
198903;57.2;1
198904;248.7;1
198905;41.5;1
198906;26.4;1
198907;63.4;1
198908;93.6;1
198909;68.3;1
198910;50.3;1
198911;100.8;1
198912;21.8;1
199001;91.1;1
199002;102.6;1
199003;45;1
199004;221;1
199005;119.1;1
199006;123.7;1
199007;45.4;1
199008;78.5;1
199009;43.7;1
199010;103.8;1
199011;99;1
199012;197.4;1
199101;92.6;1
199102;47.4;1
199103;129.5;1
199104;146.1;1
199105;217.5;1
199106;58;1
199107;46.6;1
199108;40.1;1
199109;115.4;1
199110;66.7;1
199111;199.3;1
199112;31.8;1
199201;32.7;1
199202;25.4;1
199203;107.9;1
199204;167.3;1
199205;65.4;1
199206;261.6;1
199207;60.9;1
199208;140;1
199209;85.4;1
199210;369.7;1
199211;138.1;1
199212;141.5;1
199301;9;1
199302;65.3;1
199303;67;1
199304;153.4;1
199305;122.7;1
199306;106.1;1
199307;61.8;1
199308;84.3;1
199309;212.7;1
199310;85.1;1
199311;85.7;1
199312;212.5;1
199401;105.1;1
199402;207.2;1
199403;69.4;1
199404;240.2;1
199405;67.2;1
199406;94.3;1
199407;25.6;1
199408;16.9;1
199409;120.7;1
199410;190.2;1
199411;122.4;1
199412;165.6;1
199501;201.5;1
199502;120.7;1
199503;139.6;1
199504;88.6;1
199505;101.6;1
199506;23.5;1
199507;75.2;1
199508;19.6;1
199509;121.9;1
199510;76.1;1
199511;57.1;1
199512;123.5;1
199601;124;1
199602;176.6;1
199603;76.5;1
199604;98.5;1
199605;109.6;1
199606;53.8;1
199607;80.2;1
199608;126.8;1
199609;83.9;1
199610;66.3;1
199611;268.3;1
199612;150.7;1
199701;163.2;1
199702;44.1;1
199703;29.7;1
199704;66.4;1
199705;135.5;1
199706;111.4;1
199707;111.8;1
199708;166;1
199709;72.6;1
199710;96.2;1
199711;195.6;1
199712;182.5;1
199801;85;1
199802;35.9;1
199803;63.1;1
199804;163.1;1
199805;80.7;1
199806;102.7;1
199807;74;1
199808;39.4;1
199809;171.1;1
199810;148;1
199811;212.8;1
199812;50.3;1
199901;163.4;1
199902;169.4;1
199903;89.5;1
199904;166.1;1
199905;131.7;1
199906;64.7;1
199907;115.7;1
199908;80.8;1
199909;137.1;1
199910;53;1
199911;142.8;1
199912;136.2;1
200001;14.6;1
200002;158.1;1
200003;118.4;1
200004;171.9;1
200005;84.8;1
200006;196.7;1
200007;119.7;1
200008;70.2;1
200009;46.3;1
200010;198.7;1
200011;161.7;1
200012;73.3;1
200101;155.9;1
200102;65.6;1
200103;113.6;1
200104;126.8;1
200105;80.4;1
200106;75.5;1
200107;84.1;1
200108;73.9;1
200109;48.3;1
200110;57.7;1
200111;103.6;1
200112;22.7;1
200201;47.8;1
200202;200;1
200203;54.5;1
200204;101.1;1
200205;157.6;1
200206;120.8;1
200207;57.4;1
200208;111.8;1
200209;46.9;1
200210;128.3;1
200211;234.1;1
200212;180.4;1
200301;176.5;1
200302;143.5;1
200303;125.1;1
200304;58.4;1
200305;129.3;1
200306;50.5;1
200307;35.7;1
200308;50.7;1
200309;257.1;1
200310;188.7;1
200311;119.2;1
200312;154.8;1
200401;219.6;1
200402;75;1
200403;87.5;1
200404;129.3;1
200405;118.2;1
200406;25.2;1
200407;40.5;1
200408;120.4;1
200409;45;1
200410;129.9;1
200411;86.6;1
200412;125.9;1
200501;111.6;1
200502;73.6;1
200503;46.4;1
200504;148.4;1
200505;124.5;1
200506;60.6;1
200507;52.6;1
200508;96.8;1
200509;133.3;1
200510;105.5;1
200511;204.3;1
200512;112.4;1
200601;70.8;1
200602;28.2;1
200603;151.7;1
200604;76.3;1
200605;49.7;1
200606;95.5;1
200607;63.2;1
200608;62.9;1
200609;143.7;1
200610;70.4;1
200611;105.2;1
200612;67.5;1
200701;74.4;1
200702;83.3;1
200703;187.9;1
200704;173.2;1
200705;211.8;1
200706;85.1;1
200707;39.3;1
200708;209.9;1
200709;59;1
200710;139.3;1
200711;31.2;1
200712;94.2;1
200801;103.3;1
200802;17.2;1
200803;261.9;1
200804;108.3;1
200805;226.1;1
200806;154;1
200807;60;1
200808;90;1
200809;73.7;1
200810;163.6;1
200811;227.4;1
200812;99;1
200901;132.6;1
200902;180.6;1
200903;56.7;1
200904;205.7;1
200905;98.9;1
200906;71.3;1
200907;39.4;1
200908;76;1
200909;77.3;1
200910;100.4;1
200911;283.6;1
200912;106.7;1
201001;156.5;1
201002;64.8;1
201003;58.3;1
201004;93.1;1
201005;156.2;1
201006;154.2;1
201007;49.5;1
201008;45.5;1
201009;136.5;1
201010;61.3;1
201011;231.2;1
201012;80.7;1
201101;35;1
201102;153.2;1
201103;99.3;1
201104;77.7;1
201105;112.9;1
201106;86.3;1
201107;165.1;1
201108;33.4;1
201109;121.9;1
201110;36.6;1
201111;167.8;1
201112;190.2;1
201201;102.8;1
201202;36.1;1
201203;56.3;1
201204;245.5;1
201205;90.1;1
201206;85.3;1
201207;73.1;1
201208;68.7;1
201209;70.1;1
201210;254.8;1
201211;115.8;1
201212;132.4;1
201301;282.3;1
201302;206.1;1
201303;144.5;1
201304;126.9;1
201305;227.6;1
201306;178.1;1
201307;42.5;1
201308;41.5;1
201309;67.3;1
201310;86.6;1
201311;336.1;1
201312;65.5;1
201401;289;1
201402;133.5;1
201403;199.1;1
201404;127.5;1
201405;170;1
201406;122.7;1
201407;188.8;1
201408;126.8;1
201409;29.3;1
201410;70.4;1
201411;121.4;1
201412;165.8;1
201501;205.1;1
201502;275.2;1
201503;130.2;1
201504;101.8;1
201505;49.6;1
201506;85.7;1
201507;107.4;1
201508;92.7;1
201509;77.1;1
201510;89;1
201511;148.9;1
201512;11.9;1
201601;111.2;1
201602;211.1;1
201603;189.7;1
201604;87.6;1
201605;87.3;1
201606;60.8;1
201607;68;1
201608;44.5;1
201609;60.3;1
201610;68.8;1
201611;172.3;1
201612;7.2;1
201701;188;1
201702;85.5;1
201703;112.4;1
201704;92.3;1
201705;61.4;1
201706;88.7;1
201707;102.6;1
201708;120.8;1
201709;136.9;1
201710;48.1;1
201711;174.9;1
201712;127.7;1
201801;254;1
201802;214.5;1
201803;131.3;1
201804;212.8;1
201805;170.5;1
201806;169;1
201807;80.1;1
201808;67.7;1
201809;30.2;1
201810;110.3;1
201811;87.8;1
201812;98.2;1
201901;209.2;1
201902;53;1
201903;48.4;1
201904;87.7;1
201905;208.9;1
201906;111.5;1
201907;102.3;1
201908;114.3;1
201909;62.6;1
201910;114.8;1
201911;317.8;1
201912;172.8;1
202001;52;1
202002;49.5;1
202003;175.9;1
202004;166.3;1
202005;127.5;1
202006;110.3;1
202007;24.5;1
202008;49.7;1
202009;92;1
202010;165.7;1
202011;45.4;1
202012;216.6;1
202101;148.9;1
202102;57.5;1
202103;56.6;1
202104;60.2;1
202105;50.3;1
202106;82.5;1
202107;74.6;1
202108;13.3;1
202109;129;1
202110;55.5;1
202111;172.5;1
202112;256.9;1
202201;150.6;0
202202;59.1;0
202203;135.4;0
202204;103.8;0
202205;24.4;0
202206;129;0
202207;22.8;0
202208;62.4;0
202209;81.5;0
202210;24.7;0
202211;205.2;0
202212;50.3;0
