# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65295003
# NOM_USUEL= LUZ SAINT SAUVEUR
# LATITUDE (°) = 42.858
# LONGITUDE(°)= -0.002
# ALTITUDE (m) = 910
# NUM_SERIE= MRR165295003
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 196401 200512
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;67;1
195302;65.9;1
195303;18;1
195304;55;1
195305;36.2;1
195306;103.6;1
195307;42.9;1
195308;46;1
195309;78.4;1
195310;62.6;1
195311;81.4;1
195312;33.7;1
195401;111.5;1
195402;137.4;1
195403;92.3;1
195404;52.3;1
195405;183.5;1
195406;96.5;1
195407;52.1;1
195408;79;1
195409;91.2;1
195410;76.8;1
195411;77.1;1
195412;222.4;1
195501;220.4;1
195502;83.7;1
195503;44.2;1
195504;8.8;1
195505;49.7;1
195506;139.3;1
195507;90.4;1
195508;46.3;1
195509;126.5;1
195510;110.4;1
195511;21.8;1
195512;127.2;1
195601;187.4;1
195602;49.4;1
195603;50.9;1
195604;122.3;1
195605;164.3;1
195606;62.4;1
195607;49.7;1
195608;101.1;1
195609;98.9;1
195610;48.9;1
195611;113.9;1
195612;27.4;1
195701;67;1
195702;61.8;1
195703;44.7;1
195704;128;1
195705;88.5;1
195706;180.4;1
195707;14.8;1
195708;64.3;1
195709;79.1;1
195710;41.8;1
195711;84.6;1
195712;45.2;1
195801;108.5;1
195802;57;1
195803;202.1;1
195804;116.7;1
195805;137.8;1
195806;97.8;1
195807;59.5;1
195808;70.3;1
195809;79;1
195810;65.7;1
195811;127;1
195812;190.2;1
195901;83;1
195902;5.7;1
195903;153.8;1
195904;161.8;1
195905;67.7;1
195906;100.7;1
195907;56.5;1
195908;85.5;1
195909;106;1
195910;124.1;1
195911;82.9;1
195912;140.9;1
196001;58.5;1
196002;49;1
196003;97.1;1
196004;71.1;1
196005;77.7;1
196006;106.9;1
196007;87;1
196008;61.8;1
196009;113.6;1
196010;223.7;1
196011;97.6;1
196012;265.4;1
196101;168.2;1
196102;80.6;1
196103;3.9;1
196104;146.7;1
196105;132.3;1
196106;55.5;1
196107;91.9;1
196108;72.4;1
196109;72.6;1
196110;68.7;1
196111;124.6;1
196112;54;1
196201;68.9;1
196202;129;1
196203;74.1;1
196204;72.2;1
196205;139.8;1
196206;20.2;1
196207;43.8;1
196208;37.7;1
196209;66.4;1
196210;71.8;1
196211;121.9;1
196212;128.2;1
196301;66.5;1
196302;38.9;1
196303;131.9;1
196304;74.4;1
196305;47.3;1
196306;92.1;1
196307;88.3;1
196308;191.3;1
196309;104.7;1
196310;42.8;1
196311;130.6;1
196312;117.2;1
196401;28.7;1
196402;83.6;1
196403;105.3;1
196404;94;1
196405;74.5;1
196406;47.1;1
196407;36.1;1
196408;47.7;1
196409;97.2;1
196410;147.3;1
196411;49.2;1
196412;122.2;1
196501;154.4;1
196502;40.3;1
196503;83.6;1
196504;113.9;1
196505;71.1;1
196506;40.8;1
196507;43.8;1
196508;60.6;1
196509;157.7;1
196510;48.7;1
196511;148.6;1
196512;281.7;1
196601;55.1;1
196602;154.1;1
196603;39.9;1
196604;105;1
196605;134.5;1
196606;44.1;1
196607;62;1
196608;13.9;1
196609;16.8;1
196610;185.4;1
196611;259.5;1
196612;210.2;1
196701;54.1;1
196702;11.6;1
196703;74.4;1
196704;41.9;1
196705;58.1;1
196706;46.6;1
196707;47.5;1
196708;79;1
196709;89;1
196710;74.6;1
196711;194.6;1
196712;128.4;1
196801;155.9;1
196802;37;1
196803;41.7;1
196804;49.3;1
196805;162.1;1
196806;77;1
196807;58.3;1
196808;77.4;1
196809;72.2;1
196810;44.3;1
196811;100.6;1
196812;157.3;1
196901;58.8;1
196902;52.3;1
196903;122.8;1
196904;113.6;1
196905;89.4;1
196906;67.2;1
196907;86.6;1
196908;40.1;1
196909;84.6;1
196910;26.6;1
196911;65.7;1
196912;360.9;1
197001;121;1
197002;90.3;1
197003;97.1;1
197004;73;1
197005;107.1;1
197006;93.2;1
197007;48.4;1
197008;55.5;1
197009;10.5;1
197010;86.4;1
197011;81.4;1
197012;41.6;1
197101;138.3;1
197102;188.4;1
197103;149.7;1
197104;111.5;1
197105;100.9;1
197106;102.4;1
197107;50.2;1
197108;78.5;1
197109;99.1;1
197110;50.8;1
197111;143.4;1
197112;38.2;1
197201;191.5;1
197202;131.3;1
197203;36.4;1
197204;143.8;1
197205;89.9;1
197206;102.1;1
197207;54.6;1
197208;94;1
197209;85.5;1
197210;46.1;1
197211;48.8;1
197212;115.1;1
197301;68.3;1
197302;174.8;1
197303;54.1;1
197304;80;1
197305;77.7;1
197306;89.3;1
197307;96.9;1
197308;95.2;1
197309;49.1;1
197310;34;1
197311;144.2;1
197312;148.1;1
197401;66;1
197402;141.1;1
197403;190.7;1
197404;96.9;1
197405;68.9;1
197406;60.3;1
197407;43;1
197408;112.3;1
197409;115.9;1
197410;248.6;1
197411;251.7;1
197412;39.3;1
197501;108.7;1
197502;21.8;1
197503;168.3;1
197504;63.7;1
197505;133;1
197506;62.1;1
197507;9;1
197508;87.9;1
197509;92.9;1
197510;67.2;1
197511;212.5;1
197512;25.9;1
197601;33.1;1
197602;97;1
197603;90.5;1
197604;132.1;1
197605;80.9;1
197606;44.8;1
197607;68.1;1
197608;69.2;1
197609;95.5;1
197610;178.6;1
197611;108.4;1
197612;117.7;1
197701;33.7;1
197702;74.7;1
197703;61.4;1
197704;93.2;1
197705;216.5;1
197706;95.9;1
197707;201.7;1
197708;137.8;1
197709;15.1;1
197710;111.4;1
197711;100.3;1
197712;48.8;1
197801;231.7;1
197802;144.4;1
197803;167.9;1
197804;135.6;1
197805;173.3;1
197806;129.2;1
197807;44.1;1
197808;41.2;1
197809;40.4;1
197810;78.1;1
197811;30.4;1
197812;75.1;1
197901;227.3;1
197902;161.9;1
197903;104.5;1
197904;169.5;1
197905;149.4;1
197906;34.9;1
197907;18.5;1
197908;101.3;1
197909;93.8;1
197910;151;1
197911;98.2;1
197912;76;1
198001;31;1
198002;44.4;1
198003;168.1;1
198004;70.6;1
198005;134.9;1
198006;98.5;1
198007;46.2;1
198008;59.3;1
198009;55.6;1
198010;269;1
198011;147.7;1
198012;229.2;1
198101;210.1;1
198102;72.7;1
198103;79.3;1
198104;86.2;1
198105;107.9;1
198106;45;1
198107;99.1;1
198108;28.1;1
198109;77.1;1
198110;120.6;1
198111;31.6;1
198112;355.9;1
198201;122.2;1
198202;127.5;1
198203;172.9;1
198204;16;1
198205;62.8;1
198206;70.6;1
198207;132.6;1
198208;116.5;1
198209;62.8;1
198210;213.7;1
198211;159.6;1
198212;195.3;1
198301;6;1
198302;66;1
198303;111.9;1
198304;88;1
198305;93.1;1
198306;37.1;1
198307;20.6;1
198308;136.2;1
198309;15.6;1
198310;52.7;1
198311;53.2;1
198312;79.3;1
198401;142.2;1
198402;130.7;1
198403;80.7;1
198404;37.6;1
198405;117.4;1
198406;72;1
198407;5.5;1
198408;81.2;1
198409;148.6;1
198410;89;1
198411;193.1;1
198412;102.7;1
198501;93.1;1
198502;43.1;1
198503;133.9;1
198504;85.8;1
198505;153.8;1
198506;46.2;1
198507;55.8;1
198508;42.5;1
198509;11.6;1
198510;43.3;1
198511;146;1
198512;93.9;1
198601;343.9;1
198602;40.3;1
198603;47.4;1
198604;167.1;1
198605;70.3;1
198606;42.5;1
198607;34.9;1
198608;27.9;1
198609;125.5;1
198610;45.9;1
198611;133.9;1
198612;177.7;1
198701;108.9;1
198702;121.8;1
198703;93.5;1
198704;85.3;1
198705;62.4;1
198706;85;1
198707;112.9;1
198708;48.1;1
198709;49.5;1
198710;146.2;1
198711;83;1
198712;27.1;1
198801;216.6;1
198802;150.4;1
198803;143.3;1
198804;111.2;1
198805;75.3;1
198806;109.6;1
198807;28;1
198808;56.7;1
198809;61.4;1
198810;61.3;1
198811;16.6;1
198812;99.1;1
198901;18.3;1
198902;74;1
198903;57.5;1
198904;231.2;1
198905;63.1;1
198906;43.1;1
198907;52.6;1
198908;57.4;1
198909;61.2;1
198910;52.3;1
198911;98.6;1
198912;62.4;1
199001;60.5;1
199002;86.2;1
199003;43.7;1
199004;146.6;1
199005;131.2;1
199006;112.5;1
199007;49.7;1
199008;29;1
199009;39.5;1
199010;104.6;1
199011;51.5;1
199012;154.6;1
199101;45.2;1
199102;46.3;1
199103;113.4;1
199104;86.7;1
199105;135.5;1
199106;46.8;1
199107;61.3;1
199108;83.2;1
199109;96.5;1
199110;59.1;1
199111;139;1
199112;32.4;1
199201;42.2;1
199202;20.4;1
199203;100.6;1
199204;95.7;1
199205;68;1
199206;157.4;1
199207;89;1
199208;113.1;1
199209;89;1
199210;365.2;1
199211;137.2;1
199212;126.9;1
199301;7.8;1
199302;41.3;1
199303;39.3;1
199304;136.9;1
199305;102.6;1
199306;82.7;1
199307;19.5;1
199308;99.9;1
199309;209.4;1
199310;158;1
199311;45.9;1
199312;163.8;1
199401;131.8;1
199402;166.5;1
199403;13.5;1
199404;194.2;1
199405;65.9;1
199406;49.3;1
199407;35.2;1
199408;13.8;1
199409;109;1
199410;83.4;1
199411;104.1;1
199412;164.4;1
199501;198.5;1
199502;104.6;1
199503;103.5;1
199504;90;1
199505;84.8;1
199506;55.6;1
199507;59.2;1
199508;31.4;1
199509;103.8;1
199510;30.2;1
199511;90.4;1
199512;155.5;1
199601;161.5;1
199602;163.4;1
199603;55.4;1
199604;84.7;1
199605;81.1;1
199606;91.5;1
199607;128.4;1
199608;79.8;1
199609;60.6;1
199610;94.5;1
199611;326.7;1
199612;109.8;1
199701;122.6;1
199702;41;1
199703;9.1;1
199704;60.4;1
199705;82.3;1
199706;95.7;1
199707;119.7;1
199708;95.9;1
