# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 66049001
# NOM_USUEL= CERET
# LATITUDE (°) = 42.496
# LONGITUDE(°)= 2.748
# ALTITUDE (m) = 146
# NUM_SERIE= MRR166049001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 197311
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.6;1
195002;5.8;1
195003;27.3;1
195004;34.5;1
195005;57.7;1
195006;30.5;1
195007;9.3;1
195008;49.6;1
195009;31.2;1
195010;123.4;1
195011;3;1
195012;78.4;1
195101;49.9;1
195102;50.6;1
195103;102.7;1
195104;116.6;1
195105;138.3;1
195106;84.6;1
195107;9.4;1
195108;80.2;1
195109;45.6;1
195110;209.9;1
195111;60.2;1
195112;45.6;1
195201;10.7;1
195202;41.7;1
195203;27.9;1
195204;52.2;1
195205;43.4;1
195206;48.6;1
195207;22;1
195208;29.5;1
195209;39.3;1
195210;92;1
195211;20.2;1
195212;2.1;1
195301;0;1
195302;2.9;1
195303;49.4;1
195304;17.4;1
195305;42.9;1
195306;136.5;1
195307;30.1;1
195308;67.9;1
195309;66.4;1
195310;68;1
195311;5.8;1
195312;257;1
195401;23.9;1
195402;94.9;1
195403;192.3;1
195404;24.1;1
195405;73.4;1
195406;68.6;1
195407;22.3;1
195408;78.4;1
195409;49.5;1
195410;15.6;1
195411;6.6;1
195412;27.7;1
195501;218.1;1
195502;6.9;1
195503;25.1;1
195504;0;1
195505;37.9;1
195506;124.8;1
195507;152.8;1
195508;69.7;1
195509;11.9;1
195510;54;1
195511;32.8;1
195512;72.7;1
195601;13.1;1
195602;49.9;1
195603;175.2;1
195604;21.9;1
195605;28.4;1
195606;43.8;1
195607;12.3;1
195608;24.4;1
195609;102.6;1
195610;59.3;1
195611;38.2;1
195612;13.8;1
195701;5.8;1
195702;13.4;1
195703;25.5;1
195704;122.2;1
195705;151.5;1
195706;185.7;1
195707;68.1;1
195708;30.3;1
195709;35;1
195710;60.4;1
195711;106;1
195712;36.9;1
195801;11.4;1
195802;1.8;1
195803;48.8;1
195804;22;1
195805;21.5;1
195806;38.7;1
195807;40.6;1
195808;49.7;1
195809;57.5;1
195810;40;1
195811;165.4;1
195812;154;1
195901;0;1
195902;359.7;1
195903;156.5;1
195904;77.9;1
195905;35.3;1
195906;59;1
195907;33.3;1
195908;43.9;1
195909;174.7;1
195910;141;1
195911;40.1;1
195912;15.3;1
196001;8;1
196002;11;1
196003;181.1;1
196004;8.6;1
196005;23.6;1
196006;61.3;1
196007;80.4;1
196008;22.4;1
196009;47.3;1
196010;110.3;1
196011;6.4;1
196012;147.7;1
196101;17.1;1
196102;8.2;1
196103;0;1
196104;72.3;1
196105;98.7;1
196106;62.9;1
196107;13;1
196108;16.4;1
196109;87.5;1
196110;40.9;1
196111;292.2;1
196112;9.3;1
196201;41.1;1
196202;30.9;1
196203;81.4;1
196204;141.6;1
196205;52.7;1
196206;14.4;1
196207;13.9;1
196208;3.1;1
196209;104.7;1
196210;118.8;1
196211;326;1
196212;29;1
196301;80.2;1
196302;58.5;1
196303;15.5;1
196304;52.6;1
196305;18.7;1
196306;107.7;1
196307;49;1
196308;40;1
196309;248;1
196310;33.8;1
196311;76.5;1
196312;175.6;1
196401;2.6;1
196402;54.5;1
196403;70.8;1
196404;44.8;1
196405;138.2;1
196406;10.5;1
196407;91.6;1
196408;51.9;1
196409;109.5;1
196410;29.4;1
196411;211.5;1
196412;249.4;1
196501;25.4;1
196502;11.3;1
196503;50.8;1
196504;31.1;1
196505;43.9;1
196506;41.6;1
196507;26;1
196508;85.1;1
196509;138.8;1
196510;831.2;1
196511;30.9;1
196512;37.3;1
196601;7.8;1
196602;23.2;1
196603;8.2;1
196604;29.3;1
196605;61.1;1
196606;5.8;1
196607;47.2;1
196608;54.7;1
196609;13.6;1
196610;201;1
196611;59.7;1
196612;29.7;1
196701;19.9;1
196702;193.6;1
196703;23.6;1
196704;23.8;1
196705;47.1;1
196706;0.9;1
196707;8.7;1
196708;19.8;1
196709;78.5;1
196710;69.6;1
196711;200.3;1
196712;13.4;1
196801;5.3;1
196802;54.5;1
196803;62.5;1
196804;26.6;1
196805;111.6;1
196806;41.3;1
196807;19.4;1
196808;81.9;1
196809;17.8;1
196810;10.7;1
196811;345;1
196812;186.5;1
196901;1.6;1
196902;31.1;1
196903;178.9;1
196904;283.4;1
196905;27.5;1
196906;64.1;1
196907;94.1;1
196908;26.6;1
196909;113;1
196910;164;1
196911;100.2;1
196912;60.9;1
197001;18.4;1
197002;1.5;1
197003;99.6;1
197004;15.6;1
197005;124.1;1
197006;26.7;1
197007;13;1
197008;25.8;1
197009;2.3;1
197010;344.5;1
197011;9.6;1
197012;96.7;1
197101;31.6;1
197102;11.2;1
197103;146.9;1
197104;141.4;1
197105;66.4;1
197106;46.3;1
197107;81.6;1
197108;47.3;1
197109;350.6;1
197110;37.8;1
197111;25.1;1
197112;291.1;1
197201;144.1;1
197202;113;1
197203;98.7;1
197204;47;1
197205;119.3;1
197206;132.1;1
197207;12.2;1
197208;59.5;1
197209;147.4;1
197210;70.3;1
197211;48.3;1
197212;59.6;1
197301;4.2;1
197302;20.5;1
197303;5.5;1
197304;9.1;1
197305;13.6;1
197306;105;1
197307;60.3;1
197308;26.2;1
197309;32.5;1
197310;4.3;1
197311;13.2;1
197312;146.4;1
197401;13;1
197402;39.9;1
197403;135.1;1
197404;71.3;1
197405;45.9;1
197406;47;1
197407;75.1;1
197408;128.9;1
197409;62;1
197410;28.9;1
197411;1.7;1
197412;0;1
197501;7.4;1
197502;66.1;1
197503;26.7;1
197504;30;1
197505;63.3;1
197506;86.4;1
197507;14.2;1
197508;102.9;1
197509;53.5;1
197510;0.8;1
197511;17.9;1
197512;72.4;1
197601;0;1
197602;101;1
197603;25.3;1
197604;74.9;1
197605;50.8;1
197606;6.4;1
197607;67.5;1
197608;74.9;1
197609;88.8;1
197610;99.4;1
197611;38.3;1
197612;66.1;1
197701;107.9;1
197702;5.9;1
197703;56.4;1
197704;38.4;1
197705;213.5;1
197706;51.7;1
197707;113.4;1
197708;77.2;1
197709;5.1;1
197710;231.3;1
197711;35.9;1
197712;51.6;1
197801;61.8;1
197802;80.1;1
197803;74.1;1
197804;160.9;1
197805;73.5;1
197806;61.4;1
197807;18.2;1
197808;32;1
197809;45.8;1
197810;3.8;1
197811;6.3;1
197812;52.5;1
197901;295.4;1
197902;14.6;1
197903;63;1
197904;79.4;1
197905;51.8;1
197906;56.3;1
197907;15.3;1
197908;116.5;1
197909;10.5;1
197910;191.7;1
197911;9.9;1
197912;9.7;1
198001;91.1;1
198002;126.5;1
198003;40.1;1
198004;121.6;1
198005;96.4;1
198006;48.3;1
198007;43.5;1
198008;57.9;1
198009;23.8;1
198010;49.8;1
198011;78.8;1
198012;32.8;1
198101;105;1
198102;0.3;1
198103;41.9;1
198104;118.2;1
198105;79.3;1
198106;105;1
198107;54.4;1
198108;24.6;1
198109;36.6;1
198110;16.3;1
198111;0;1
198112;50.6;1
198201;262.7;1
198202;188.5;1
198203;83.4;1
198204;46.9;1
198205;18;1
198206;20.5;1
198207;46.1;1
198208;53.4;1
198209;53.6;1
198210;51;1
198211;185.8;1
198212;29.1;1
198301;0;1
198302;65.8;1
198303;12.9;1
198304;17.6;1
198305;62.5;1
198306;34.4;1
198307;0.8;1
198308;88.2;1
198309;3;1
198310;18.3;1
198311;203.4;1
198312;30.9;1
198401;28.9;1
198402;35.5;1
198403;138.9;1
198404;35.6;1
198405;124.1;1
198406;72.5;1
198407;1.8;1
198408;35;1
198409;108.6;1
198410;6.8;1
198411;194;1
198412;26.7;1
198501;2.8;1
198502;8.7;1
198503;37.7;1
198504;77.8;1
198505;157.7;1
198506;53.2;1
198507;15.6;1
198508;54.9;1
198509;0;1
198510;112.2;1
198511;42.1;1
198512;13;1
198601;117.9;1
198602;117.6;1
198603;62.9;1
198604;99.7;1
198605;29;1
198606;0;1
198607;7.3;1
198608;87.7;1
198609;51.5;1
198610;234.2;1
198611;18.7;1
198612;8.1;1
