# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 67067001
# NOM_USUEL= BRUMATH
# LATITUDE (°) = 48.725
# LONGITUDE(°)= 7.71
# ALTITUDE (m) = 139
# NUM_SERIE= MRR167067001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 198910
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;24;1
195002;58.5;1
195003;13.6;1
195004;59.5;1
195005;103.1;1
195006;98.2;1
195007;80.3;1
195008;111.3;1
195009;77.6;1
195010;22.8;1
195011;118.6;1
195012;38.3;1
195101;38.6;1
195102;34.1;1
195103;51.9;1
195104;23.9;1
195105;62.4;1
195106;121.6;1
195107;59.5;1
195108;66.1;1
195109;57.6;1
195110;26.2;1
195111;102.7;1
195112;35.1;1
195201;50.1;1
195202;26;1
195203;128.1;1
195204;39.4;1
195205;35.1;1
195206;66.2;1
195207;28.1;1
195208;55;1
195209;88.4;1
195210;106.9;1
195211;131.1;1
195212;61.9;1
195301;15.1;1
195302;26;1
195303;2.6;1
195304;50.9;1
195305;100.2;1
195306;146.7;1
195307;172.1;1
195308;26.2;1
195309;59;1
195310;21.9;1
195311;14.7;1
195312;18.5;1
195401;37.3;1
195402;28;1
195403;12.4;1
195404;41.4;1
195405;69.1;1
195406;38.8;1
195407;96.1;1
195408;125;1
195409;128.2;1
195410;54.7;1
195411;54.1;1
195412;74.1;1
195501;106.9;1
195502;66.4;1
195503;22.7;1
195504;10;1
195505;70.9;1
195506;108.9;1
195507;84.2;1
195508;35.4;1
195509;55.1;1
195510;28.2;1
195511;10.7;1
195512;82.2;1
195601;47.8;1
195602;12.4;1
195603;17.7;1
195604;95.2;1
195605;88;1
195606;79.9;1
195607;110;1
195608;96.5;1
195609;60.9;1
195610;78.6;1
195611;34.6;1
195612;17;1
195701;22.1;1
195702;79;1
195703;50.5;1
195704;13.1;1
195705;43.7;1
195706;109;1
195707;83.4;1
195708;91.2;1
195709;77.5;1
195710;14.6;1
195711;39.6;1
195712;36;1
195801;74.2;1
195802;125.6;1
195803;22;1
195804;28.5;1
195805;83;1
195806;123.9;1
195807;73.4;1
195808;131.8;1
195809;115.1;1
195810;45.6;1
195811;51.3;1
195812;64.5;1
195901;76.7;1
195902;1.6;1
195903;90.2;1
195904;90.9;1
195905;36.9;1
195906;92.6;1
195907;48.9;1
195908;75;1
195909;6;1
195910;50;1
195911;31.1;1
195912;34.1;1
196001;51.7;1
196002;84;1
196003;34.4;1
196004;14.5;1
196005;127.1;1
196006;99.9;1
196007;93.9;1
196008;132.2;1
196009;31.3;1
196010;94.1;1
196011;83.3;1
196012;42.6;1
196101;72;1
196102;34.8;1
196103;12.3;1
196104;70.7;1
196105;96.6;1
196106;86.6;1
196107;90.6;1
196108;93.1;1
196109;36.8;1
196110;60.8;1
196111;41.5;1
196112;60.3;1
196201;62.5;1
196202;23;1
196203;73.7;1
196204;53.6;1
196205;100.2;1
196206;15.5;1
196207;50.1;1
196208;46.3;1
196209;56.3;1
196210;13.3;1
196211;30.7;1
196212;32.2;1
196301;19.2;1
196302;25.4;1
196303;47.8;1
196304;35.3;1
196305;20.7;1
196306;73.8;1
196307;77.8;1
196308;180;1
196309;42;1
196310;34.9;1
196311;88.4;1
196312;1.5;1
196401;12.8;1
196402;35.7;1
196403;77.3;1
196404;54.6;1
196405;39.5;1
196406;60.7;1
196407;6.6;1
196408;68.2;1
196409;64.1;1
196410;42.1;1
196411;49.9;1
196412;14.5;1
196501;99.2;1
196502;14.2;1
196503;76.8;1
196504;72.7;1
196505;121.6;1
196506;131.2;1
196507;99.8;1
196508;45.8;1
196509;96.1;1
196510;7.8;1
196511;95.3;1
196512;83.9;1
196601;55.5;1
196602;31.2;1
196603;42.1;1
