# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68165001
# NOM_USUEL= KIFFIS
# LATITUDE (°) = 47.438
# LONGITUDE(°)= 7.356
# ALTITUDE (m) = 576
# NUM_SERIE= MRR168165001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 198410 199811
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;33;1
195002;101;1
195003;13.3;1
195004;132.5;1
195005;155;1
195006;74.8;1
195007;85.7;1
195008;153.7;1
195009;113;1
195010;52.7;1
195011;301.8;1
195012;53.3;1
195101;49.4;1
195102;67.7;1
195103;86.6;1
195104;54.4;1
195105;137;1
195106;126.5;1
195107;174.6;1
195108;128.3;1
195109;81.9;1
195110;89;1
195111;144.8;1
195112;57.4;1
195201;111.5;1
195202;83.5;1
195203;136.5;1
195204;100.5;1
195205;37;1
195206;57.3;1
195207;55.9;1
195208;67.7;1
195209;121.6;1
195210;153.9;1
195211;143.9;1
195212;148.1;1
195301;33.8;1
195302;41;1
195303;4.9;1
195304;42.6;1
195305;63.4;1
195306;133.9;1
195307;87.5;1
195308;41.7;1
195309;115.9;1
195310;18.6;1
195311;14.8;1
195312;29.8;1
195401;77.1;1
195402;44.5;1
195403;34.8;1
195404;101.4;1
195405;60.1;1
195406;45.4;1
195407;119.4;1
195408;170.3;1
195409;167.9;1
195410;53.8;1
195411;77.7;1
195412;136.9;1
195501;116.2;1
195502;100.5;1
195503;62.5;1
195504;24.1;1
195505;107.8;1
195506;140.5;1
195507;97.5;1
195508;113.2;1
195509;78.5;1
195510;30.7;1
195511;15.9;1
195512;114.9;1
195601;99.6;1
195602;42.5;1
195603;49.2;1
195604;136;1
195605;116.8;1
195606;88;1
195607;207.1;1
195608;153.8;1
195609;42.9;1
195610;125.2;1
195611;47.3;1
195612;27.6;1
195701;48.2;1
195702;165;1
195703;51.2;1
195704;43.9;1
195705;45.6;1
195706;186;1
195707;133.9;1
195708;97.6;1
195709;169.2;1
195710;33.3;1
195711;55.5;1
195712;38.8;1
195801;103.5;1
195802;150.5;1
195803;52.7;1
195804;101.4;1
195805;100.8;1
195806;112.4;1
195807;100.3;1
195808;143.9;1
195809;65.2;1
195810;73.7;1
195811;65.7;1
195812;102.2;1
195901;121.2;1
195902;3.8;1
195903;88.3;1
195904;114.6;1
195905;27;1
195906;168.8;1
195907;38.1;1
195908;179.9;1
195909;20.9;1
195910;98.5;1
195911;39.4;1
195912;110;1
196001;104.2;1
196002;74.3;1
196003;67.2;1
196004;58.9;1
196005;104.5;1
196006;125.7;1
196007;109.8;1
196008;129.9;1
196009;103.3;1
196010;125.1;1
196011;98;1
196012;51.1;1
196101;85.9;1
196102;103.3;1
196103;25;1
196104;120;1
196105;99.8;1
196106;180.5;1
196107;132.3;1
196108;121.2;1
196109;56;1
196110;67.3;1
196111;40.1;1
196112;117.4;1
196201;133.2;1
196202;71.8;1
196203;105.2;1
196204;95;1
196205;121.5;1
196206;53.7;1
196207;69.8;1
196208;40.4;1
196209;65;1
196210;25.2;1
196211;24.2;1
196212;123.1;1
196301;54.9;1
196302;57.7;1
196303;88.2;1
196304;70.7;1
196305;90.8;1
196306;201.2;1
196307;65.9;1
196308;179.5;1
196309;55;1
196310;39.2;1
196311;197.1;1
196312;10.3;1
196401;11.2;1
196402;36.3;1
196403;137.9;1
196404;102.6;1
196405;149.7;1
196406;87.9;1
196407;24.7;1
196408;124.7;1
196409;59.1;1
196410;98.2;1
196411;64.8;1
196412;36.1;1
196501;92.1;1
196502;36.9;1
196503;95.6;1
196504;159.4;1
196505;167;1
196506;110.3;1
196507;135.4;1
196508;111.4;1
196509;176.5;1
196510;24.9;1
196511;184.1;1
196512;173.7;1
196601;68.8;1
196602;97.9;1
196603;108.6;1
196604;123.8;1
196605;82.5;1
196606;74.8;1
196607;133.3;1
196608;172.5;1
196609;38.7;1
196610;75.4;1
196611;74.9;1
196612;146.8;1
196701;60.5;1
196702;70.2;1
196703;93.7;1
196704;37.2;1
196705;127.3;1
196706;78.8;1
196707;103.1;1
196708;98.8;1
196709;101.8;1
196710;62.7;1
196711;109.4;1
196712;76.4;1
196801;146.9;1
196802;66.3;1
196803;57;1
196804;124.4;1
196805;93.5;1
196806;57.8;1
196807;108;1
196808;207.5;1
196809;202.8;1
196810;40.7;1
196811;72;1
196812;74.9;1
196901;62.8;1
196902;98.8;1
196903;86.3;1
196904;119.9;1
196905;95;1
196906;194.9;1
196907;110.3;1
196908;155.6;1
196909;38.6;1
196910;5.3;1
196911;108.1;1
196912;87.4;1
197001;95.1;1
197002;245.9;1
197003;89.2;1
197004;140.4;1
197005;116.1;1
197006;150.1;1
197007;95.9;1
197008;78;1
197009;42.2;1
197010;89;1
197011;107.3;1
197012;43.9;1
197101;29.5;1
197102;56.1;1
197103;74.4;1
197104;17.8;1
197105;99.1;1
197106;174.8;1
197107;57.7;1
197108;141.7;1
197109;41.9;1
197110;28.2;1
197111;107.4;1
197112;41.5;1
197201;47.8;1
197202;39.3;1
197203;57.5;1
197204;105.6;1
197205;84.3;1
197206;116.9;1
197207;53.6;1
197208;49.6;1
197209;22.2;1
197210;28.4;1
197211;167.4;1
197212;56.2;1
197301;40.5;1
197302;53.7;1
197303;53.1;1
197304;112.7;1
197305;102.8;1
197306;230.2;1
197307;95.4;1
197308;95;1
197309;30.6;1
197310;82.2;1
197311;84.8;1
197312;84.4;1
197401;49.4;1
197402;62.5;1
197403;39.1;1
197404;34.3;1
197405;119.7;1
197406;80.9;1
197407;52.8;1
197408;51.6;1
197409;106.3;1
197410;170.2;1
197411;156.9;1
197412;100.3;1
197501;109.3;1
197502;20.7;1
197503;85.1;1
197504;65.2;1
197505;110;1
197506;166.9;1
197507;54.8;1
197508;183.8;1
197509;111.2;1
197510;79.4;1
197511;120.5;1
197512;17.6;1
197601;54.5;1
197602;39.8;1
197603;32.3;1
197604;77.8;1
197605;71.6;1
197606;26.3;1
197607;137.8;1
197608;46.7;1
197609;97.8;1
197610;57;1
197611;73.1;1
197612;109.1;1
197701;116.1;1
197702;163.2;1
197703;58.1;1
197704;169.9;1
197705;74.1;1
197706;136.8;1
197707;180.6;1
197708;109.4;1
197709;51.8;1
197710;62.4;1
197711;122.5;1
197712;76.1;1
197801;62.2;1
197802;129.9;1
197803;118.3;1
197804;102.3;1
197805;161.1;1
197806;61.3;1
197807;77.5;1
197808;118;1
197809;60.7;1
197810;70;1
197811;19.2;1
197812;98.1;1
197901;108.8;1
197902;114.8;1
197903;124.9;1
197904;107;1
197905;83.3;1
197906;83.4;1
197907;70.3;1
197908;154.2;1
197909;55.7;1
197910;93.7;1
197911;114.4;1
197912;128.2;1
198001;83.9;1
198002;69.7;1
198003;93.5;1
198004;52.7;1
198005;88.3;1
198006;154.7;1
198007;130.3;1
198008;115.2;1
198009;40;1
198010;131.7;1
198011;65.6;1
198012;71.1;1
198101;125.6;1
198102;49.5;1
198103;130.2;1
198104;47;1
198105;155;1
198106;42.3;1
198107;145.7;1
198108;49.8;1
198109;118.8;1
198110;142.3;1
198111;74.9;1
198112;226.9;1
198201;134.8;1
198202;31.1;1
198203;123.5;1
198204;41.3;1
198205;58.8;1
198206;194.2;1
198207;139.2;1
198208;104.7;1
198209;50;1
198210;134.1;1
198211;66.4;1
198212;142.8;1
198301;115.9;1
198302;82.1;1
198303;105.7;1
198304;139.6;1
198305;228.5;1
198306;49.5;1
198307;110.8;1
198308;54.6;1
198309;88.9;1
198310;49.9;1
198311;69.1;1
198312;63.1;1
198401;196.9;1
198402;90.7;1
198403;55.7;1
198404;35.2;1
198405;130.1;1
198406;86.5;1
198407;68;1
198408;57.5;1
198409;165.6;1
198410;57.3;1
198411;57;1
198412;64.7;1
198501;66;1
198502;52.2;1
198503;70.8;1
198504;108.2;1
198505;152.8;1
198506;148.9;1
198507;65.5;1
198508;62.8;1
198509;52.6;1
198510;13.5;1
198511;78.7;1
198512;50.4;1
198601;134.7;1
198602;78.3;1
198603;57.9;1
198604;200.8;1
198605;139.5;1
198606;99.1;1
198607;40.9;1
198608;128.7;1
198609;39;1
198610;88.3;1
198611;63.2;1
198612;89.4;1
198701;51.5;1
198702;91.4;1
198703;61.5;1
198704;74.4;1
198705;196.5;1
198706;171.4;1
198707;133.1;1
198708;87.3;1
198709;142.2;1
198710;92.1;1
198711;80.1;1
198712;72;1
198801;86.4;1
198802;76.6;1
198803;187.6;1
198804;47.5;1
198805;102.1;1
198806;106.2;1
198807;131.8;1
198808;105.1;1
198809;115.2;1
198810;112.7;1
198811;49.3;1
198812;100.2;1
198901;21.7;1
198902;75.4;1
198903;59.1;1
198904;176.3;1
198905;46;1
198906;46;1
198907;118.4;1
198908;106.4;1
198909;28.9;1
198910;71.2;1
198911;65.1;1
198912;83.1;1
199001;39.4;1
199002;123.4;1
199003;53.7;1
199004;123.3;1
199005;62.8;1
199006;196.5;1
199007;82.6;1
199008;89.5;1
199009;79.3;1
199010;101.4;1
199011;153.2;1
199012;84.7;1
199101;53.9;1
199102;29;1
199103;78.6;1
199104;49.5;1
199105;81.5;1
199106;155.8;1
199107;76.3;1
199108;16;1
199109;87.5;1
199110;89.4;1
199111;150.1;1
199112;61.8;1
199201;23.5;1
199202;92.1;1
199203;113.2;1
199204;133;1
199205;49.6;1
199206;109.2;1
199207;141.3;1
199208;56.5;1
199209;46.9;1
199210;167.3;1
199211;192.8;1
199212;94.6;1
199301;57.5;1
199302;24.3;1
199303;19.8;1
199304;88.5;1
199305;118.2;1
199306;109.8;1
199307;113.5;1
199308;114.6;1
199309;159.8;1
199310;147.2;1
199311;21;1
199312;92.6;1
199401;120.8;1
199402;40.4;1
199403;37.6;1
199404;108.3;1
199405;214.7;1
199406;38.7;1
199407;44.2;1
199408;83.9;1
199409;82.5;1
199410;72.8;1
199411;28.9;1
199412;111.3;1
199501;120.4;1
199502;90.3;1
199503;110.7;1
199504;41.9;1
199505;215.3;1
199506;67.5;1
199507;68.1;1
199508;85.4;1
199509;132.2;1
199510;20.8;1
199511;94.9;1
199512;111.3;1
199601;6.5;1
199602;47;1
199603;15.6;1
199604;31.7;1
199605;103.2;1
199606;74.6;1
199607;93.5;1
199608;96.3;1
199609;35;1
199610;87.4;1
199611;161.1;1
199612;55;1
199701;30.6;1
199702;67.6;1
199703;23.4;1
199704;82.9;1
199705;78.5;1
