# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68205001
# NOM_USUEL= COLMAR-MEYENHEIM
# LATITUDE (°) = 47.929
# LONGITUDE(°)= 7.408
# ALTITUDE (m) = 207
# NUM_SERIE= MRR168205001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195701 201612
# Date(s) de rupture(s) d'homogénéité : 197908 199312
#     Periode homogénéisée  195701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;7.3;1
195702;58.3;1
195703;21.9;1
195704;21.5;1
195705;22.6;1
195706;89.4;1
195707;84.5;1
195708;51.9;1
195709;38.6;1
195710;15.4;1
195711;44;1
195712;12;1
195801;79;1
195802;78.5;1
195803;14.6;1
195804;33.1;1
195805;78.4;1
195806;88.4;1
195807;34.7;1
195808;81.2;1
195809;76.2;1
195810;43.1;1
195811;50.2;1
195812;56.8;1
195901;85.5;1
195902;0;1
195903;64.3;1
195904;94.5;1
195905;100.6;1
195906;69.1;1
195907;2.8;1
195908;79.1;1
195909;11.2;1
195910;52.6;1
195911;36.6;1
195912;43.7;1
196001;48.4;1
196002;76.6;1
196003;52.7;1
196004;21.9;1
196005;44.6;1
196006;96.2;1
196007;89.9;1
196008;102.9;1
196009;36.5;1
196010;63.3;1
196011;59.4;1
196012;24.6;1
196101;60;1
196102;19.8;1
196103;2.3;1
196104;70.1;1
196105;92.9;1
196106;42.3;1
196107;48;1
196108;72;1
196109;21.5;1
196110;66.4;1
196111;32.3;1
196112;33.9;1
196201;63.6;1
196202;17.6;1
196203;60.8;1
196204;33.6;1
196205;55.2;1
196206;34.5;1
196207;12.2;1
196208;38.6;1
196209;35.1;1
196210;14.7;1
196211;27.6;1
196212;28.5;1
196301;24.6;1
196302;31;1
196303;42.8;1
196304;42.9;1
196305;45.3;1
196306;88.4;1
196307;65.2;1
196308;177.8;1
196309;25.5;1
196310;17.3;1
