# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68287001
# NOM_USUEL= ROUFFACH - CHS
# LATITUDE (°) = 47.954
# LONGITUDE(°)= 7.292
# ALTITUDE (m) = 208
# NUM_SERIE= MRR168287001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 198702
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;19.3;1
195002;63;1
195003;1.4;1
195004;66.4;1
195005;131.8;1
195006;72.4;1
195007;86.4;1
195008;130.5;1
195009;47.7;1
195010;13.2;1
195011;217.2;1
195012;27.3;1
195101;41.8;1
195102;61.2;1
195103;36.8;1
195104;60.9;1
195105;83.2;1
195106;131.4;1
195107;65.7;1
195108;96.9;1
195109;31.7;1
195110;30.3;1
195111;90.9;1
195112;31.9;1
195201;59.2;1
195202;33;1
195203;125;1
195204;35.2;1
195205;38.4;1
195206;18.8;1
195207;27.7;1
195208;46.4;1
195209;86.2;1
195210;85.8;1
195211;112.4;1
195212;70;1
195301;14.8;1
195302;36.1;1
195303;2.5;1
195304;33.7;1
195305;22.2;1
195306;100.2;1
195307;105.3;1
195308;10.2;1
195309;47.4;1
195310;23.6;1
195311;8.5;1
195312;4.1;1
195401;29.1;1
195402;37.6;1
195403;23;1
195404;49.2;1
195405;39.5;1
195406;61.6;1
195407;48.8;1
195408;157.5;1
195409;106.2;1
195410;22.3;1
195411;36.2;1
195412;97.1;1
195501;83.3;1
195502;50.8;1
195503;43.1;1
195504;4.2;1
195505;45.7;1
195506;73.7;1
195507;115;1
195508;60.6;1
195509;45.3;1
195510;24;1
195511;3.8;1
195512;66.9;1
195601;22.7;1
195602;10;1
195603;10.9;1
195604;70.2;1
195605;87.6;1
195606;40.2;1
195607;124.7;1
195608;111.2;1
195609;67.3;1
195610;64.7;1
195611;27.3;1
195612;11.3;1
195701;16.7;1
195702;71.2;1
195703;17.4;1
195704;16.1;1
195705;31.5;1
195706;124.2;1
195707;98.6;1
195708;43.7;1
195709;45.3;1
195710;10.2;1
195711;39.8;1
195712;19.3;1
195801;84.5;1
195802;89.5;1
195803;18.1;1
195804;34.6;1
195805;76.1;1
195806;104.7;1
195807;36.4;1
195808;65.7;1
195809;76.9;1
195810;37.6;1
195811;45.9;1
195812;71.1;1
195901;112.8;1
