# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69238001
# NOM_USUEL= ST-SYMPHORIEN-C
# LATITUDE (°) = 45.639
# LONGITUDE(°)= 4.471
# ALTITUDE (m) = 610
# NUM_SERIE= MRR169238001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 196412
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;32.8;1
195002;67.1;1
195003;25.5;1
195004;109.8;1
195005;57.3;1
195006;68.4;1
195007;19.7;1
195008;122.6;1
195009;65.5;1
195010;23;1
195011;115.5;1
195012;39.3;1
195101;41.8;1
195102;70.6;1
195103;66.2;1
195104;39.3;1
195105;137.9;1
195106;129.1;1
195107;77;1
195108;147.6;1
195109;59.5;1
195110;75.4;1
195111;175.3;1
195112;25.5;1
195201;57.6;1
195202;56.5;1
195203;61;1
195204;56;1
195205;38.4;1
195206;79.1;1
195207;8.4;1
195208;113.8;1
195209;45.3;1
195210;96.2;1
195211;111.8;1
195212;55;1
195301;19;1
195302;19.1;1
195303;4.8;1
195304;46.4;1
195305;61.2;1
195306;204.9;1
195307;37.1;1
195308;134.1;1
195309;99.4;1
195310;73.7;1
195311;14.2;1
195312;30.1;1
195401;45.8;1
195402;45.8;1
195403;57.6;1
195404;47.9;1
195405;71.1;1
195406;21.2;1
195407;63.4;1
195408;144.9;1
195409;70.1;1
195410;54.6;1
195411;40.3;1
195412;74.7;1
195501;83.9;1
195502;66.4;1
195503;43;1
195504;7;1
195505;61.9;1
195506;157.7;1
195507;60.8;1
195508;115.5;1
195509;75.7;1
195510;27.1;1
195511;43.8;1
195512;54.9;1
195601;85.6;1
195602;18.6;1
195603;49.6;1
195604;42.9;1
195605;111.5;1
195606;57.1;1
195607;92.5;1
195608;142.6;1
195609;146.9;1
195610;75.7;1
195611;33.3;1
195612;32.6;1
195701;35.6;1
195702;67.7;1
195703;27;1
195704;67.2;1
195705;51.9;1
195706;186.4;1
195707;40.1;1
195708;27.4;1
195709;38;1
195710;20.9;1
195711;60.2;1
195712;43.8;1
195801;51.1;1
195802;64.8;1
195803;64.3;1
195804;52.8;1
195805;62.5;1
195806;118;1
195807;55;1
195808;149.6;1
195809;143.3;1
195810;74.6;1
195811;56.3;1
195812;53.4;1
195901;51.7;1
195902;2;1
195903;110.3;1
195904;68.4;1
195905;38.6;1
195906;75.9;1
195907;36.1;1
195908;71.5;1
195909;24.2;1
195910;35.6;1
195911;66;1
195912;33.8;1
196001;55.6;1
196002;90.8;1
196003;85.5;1
196004;24.4;1
196005;44.8;1
196006;113.9;1
196007;93.4;1
196008;87.7;1
196009;109.1;1
196010;164.1;1
196011;88.5;1
196012;56.5;1
196101;62.8;1
196102;44.9;1
196103;10.4;1
196104;81.3;1
196105;66.2;1
196106;35.5;1
196107;77.4;1
196108;56.4;1
196109;31.4;1
196110;149.2;1
196111;47.2;1
196112;53.4;1
196201;51.5;1
196202;54.1;1
196203;21.6;1
196204;66.2;1
196205;62.7;1
196206;25.4;1
196207;21.8;1
196208;28.3;1
196209;81.6;1
196210;25.9;1
196211;44.7;1
196212;89.7;1
196301;24.1;1
196302;39.9;1
196303;66.1;1
196304;56.5;1
196305;59.7;1
196306;151.4;1
196307;123.6;1
196308;153.8;1
196309;45.7;1
196310;44.2;1
196311;133.6;1
196312;17.5;1
196401;22.2;1
196402;28.4;1
196403;91.7;1
196404;70.9;1
196405;89.8;1
196406;56.9;1
196407;21.2;1
196408;69;1
196409;46.9;1
196410;65.8;1
196411;17.4;1
196412;42.1;1
196501;61;1
196502;22;1
196503;64.5;1
196504;101.2;1
196505;134.4;1
196506;48;1
196507;146.4;1
196508;66.7;1
196509;183;1
196510;59.7;1
196511;79.6;1
196512;111;1
196601;58.2;1
196602;60.2;1
196603;51.4;1
196604;69.7;1
196605;82;1
196606;48.8;1
196607;66.4;1
196608;27.3;1
196609;17.3;1
196610;135.6;1
196611;74;1
196612;45.1;1
196701;35;1
196702;32.2;1
196703;37.9;1
196704;20.7;1
196705;104.5;1
196706;81.5;1
196707;68.1;1
196708;77.5;1
196709;95.9;1
196710;22.7;1
196711;82.8;1
196712;22.6;1
196801;73.7;1
196802;31.6;1
196803;16.3;1
196804;33.3;1
196805;125.2;1
196806;53.4;1
196807;59.6;1
196808;105.7;1
196809;117;1
196810;49.6;1
196811;104.1;1
196812;97.8;1
196901;47.3;1
196902;37.2;1
196903;51.8;1
196904;90;1
196905;82.7;1
196906;164.5;1
196907;42.9;1
196908;67.6;1
196909;93.1;1
196910;14.7;1
196911;54.3;1
196912;46.8;1
197001;38.2;1
197002;73.6;1
197003;68;1
197004;77.9;1
197005;91.9;1
197006;146.3;1
197007;29.1;1
197008;84.8;1
197009;38.3;1
197010;78.4;1
197011;68.1;1
197012;44.5;1
197101;49.2;1
197102;17.2;1
197103;92.9;1
197104;86.4;1
197105;73;1
197106;90.3;1
197107;107.8;1
197108;92.3;1
197109;28.5;1
197110;19;1
197111;96;1
197112;39.2;1
197201;52.5;1
197202;71.8;1
197203;31.9;1
197204;51.9;1
197205;73;1
197206;53.1;1
197207;45;1
197208;61.9;1
197209;24.7;1
197210;122.4;1
197211;45.1;1
197212;59.1;1
197301;58.7;1
197302;38.6;1
197303;18.4;1
197304;55.9;1
197305;78.8;1
197306;92.4;1
197307;97.4;1
197308;37;1
197309;52.2;1
197310;59.8;1
197311;29.8;1
197312;16.5;1
197401;25.5;1
197402;75.2;1
197403;46.6;1
197404;62.9;1
197405;91.4;1
197406;53.2;1
197407;31.3;1
197408;46.1;1
197409;124.8;1
197410;98.5;1
197411;98.2;1
197412;28.7;1
197501;51.6;1
197502;22;1
197503;76.3;1
197504;29.5;1
197505;115.1;1
197506;110.5;1
197507;56.8;1
197508;135.9;1
197509;139.1;1
197510;26.1;1
197511;102.7;1
197512;36.7;1
197601;23.5;1
197602;42.6;1
197603;11.5;1
197604;20;1
197605;26.9;1
197606;7.4;1
197607;59.4;1
197608;101;1
197609;108.1;1
197610;116.3;1
197611;72.5;1
197612;37.6;1
197701;74.3;1
197702;78.4;1
197703;74.1;1
197704;64;1
197705;146.7;1
197706;104.1;1
197707;161.2;1
197708;131.4;1
197709;5;1
197710;84.5;1
197711;45.3;1
197712;63.9;1
197801;39.2;1
197802;71;1
197803;85.1;1
197804;69.8;1
197805;68.5;1
197806;27.8;1
197807;46.9;1
197808;124.3;1
197809;32.1;1
197810;72.1;1
197811;10.4;1
197812;35.1;1
197901;66.3;1
197902;57.6;1
197903;75.1;1
197904;42.7;1
197905;74.6;1
197906;141.9;1
197907;40.8;1
197908;121.4;1
197909;43.3;1
197910;164;1
197911;26.8;1
197912;72.1;1
198001;25.2;1
198002;31.9;1
198003;87.1;1
198004;48;1
198005;45.4;1
198006;103;1
198007;61.1;1
198008;111;1
198009;126.3;1
198010;96.9;1
198011;62.2;1
198012;51;1
198101;74.3;1
198102;33.7;1
198103;96.2;1
198104;19.5;1
198105;183.5;1
198106;96.7;1
198107;59.5;1
198108;57.5;1
198109;129.7;1
198110;46;1
198111;25.1;1
198112;90.5;1
198201;73.4;1
198202;10.6;1
198203;55.1;1
198204;9.6;1
198205;31.3;1
198206;101.1;1
198207;67.6;1
198208;112.1;1
198209;98.3;1
198210;77.7;1
198211;162.1;1
198212;83.2;1
198301;28.8;1
198302;65.6;1
198303;78.2;1
198304;186.6;1
198305;226.6;1
198306;64.4;1
198307;13.7;1
198308;83.9;1
198309;57.8;1
198310;53.7;1
198311;24.3;1
198312;16.2;1
198401;50.5;1
198402;31.9;1
198403;75;1
198404;8.3;1
198405;145.3;1
198406;88.7;1
198407;53;1
198408;76.3;1
198409;105.5;1
198410;85.2;1
198411;85.7;1
198412;49.8;1
198501;36.2;1
198502;27.4;1
198503;79.6;1
198504;40.6;1
198505;155;1
198506;103.8;1
198507;82.5;1
198508;38.8;1
198509;12.4;1
198510;7.7;1
198511;34.3;1
198512;39.4;1
198601;72.7;1
198602;48.9;1
198603;29.6;1
198604;211.8;1
198605;100.3;1
198606;61.7;1
198607;37.1;1
198608;44.8;1
198609;73;1
198610;44.7;1
198611;52.3;1
198612;85;1
198701;48;1
198702;52.7;1
198703;37.7;1
198704;36.6;1
198705;137.6;1
198706;128.9;1
198707;82.6;1
198708;81.3;1
198709;57.1;1
198710;121.9;1
198711;66.2;1
198712;50.1;1
198801;50.5;1
198802;61.5;1
198803;92.2;1
198804;62.4;1
198805;166.5;1
198806;48.2;1
198807;76.7;1
198808;47.8;1
198809;58.9;1
198810;122.3;1
198811;22.9;1
198812;59.5;1
198901;8.2;1
198902;37;1
198903;35.2;1
198904;195.7;1
198905;62.4;1
198906;20.7;1
198907;75.5;1
198908;83.8;1
198909;58;1
198910;28.9;1
198911;61.6;1
198912;26.4;1
199001;43.1;1
199002;43.6;1
199003;19.6;1
199004;55.9;1
199005;158;1
199006;103.4;1
199007;38.9;1
199008;51.2;1
199009;56.2;1
199010;115.1;1
199011;104.3;1
199012;83.9;1
199101;17.2;1
199102;45.1;1
199103;77.3;1
199104;39;1
199105;19;1
199106;103.4;1
199107;52.8;1
199108;23.4;1
199109;112.2;1
199110;85;1
199111;49.9;1
199112;41.3;1
199201;19;1
199202;34.5;1
199203;70.1;1
199204;77.7;1
199205;88.2;1
199206;180.7;1
199207;49.8;1
199208;60.6;1
199209;74;1
199210;145.1;1
199211;94.3;1
199212;28.2;1
199301;8.4;1
199302;15.1;1
199303;6.9;1
199304;68.8;1
199305;110.1;1
199306;53.9;1
199307;73.4;1
199308;64.8;1
199309;208;1
199310;177.7;1
199311;48.9;1
199312;61.8;1
199401;95.4;1
199402;41.7;1
199403;12.1;1
199404;113.2;1
199405;93.1;1
199406;94.6;1
199407;81.8;1
199408;59;1
199409;140.9;1
199410;90.7;1
199411;82.4;1
199412;28.1;1
199501;85.1;1
199502;82.7;1
199503;41.7;1
199504;83.4;1
199505;85.8;1
199506;21.6;1
199507;65.6;1
199508;77.3;1
199509;150.8;1
199510;45.7;1
199511;70.4;1
199512;47.3;1
199601;44.9;1
199602;74.6;1
199603;47.7;1
199604;34.1;1
199605;102.7;1
199606;86.9;1
199607;97.8;1
199608;71.5;1
199609;26.8;1
199610;49.1;1
199611;232.9;1
199612;62.9;1
199701;61.8;1
199702;25.8;1
199703;7.4;1
199704;20.9;1
199705;65;1
199706;104;1
199707;71.9;1
199708;101.7;1
199709;19.6;1
199710;33.3;1
199711;73.4;1
199712;68.8;1
199801;48.4;1
199802;24.3;1
199803;27.2;1
199804;100.8;1
199805;101.1;1
199806;60.5;1
199807;68.9;1
199808;42.3;1
199809;136.7;1
199810;83.1;1
199811;70.4;1
199812;24.7;1
199901;68.1;1
199902;80.6;1
199903;52.3;1
199904;74.5;1
199905;89.9;1
199906;62.6;1
199907;65.6;1
199908;89.8;1
199909;109.9;1
199910;113.7;1
199911;87.9;1
199912;54.7;1
200001;23.9;1
200002;42.5;1
200003;34.3;1
200004;72.8;1
200005;98;1
200006;74;1
200007;78.6;1
200008;73.3;1
200009;91.2;1
200010;122.7;1
200011;107.7;1
200012;38.5;1
200101;65.8;1
200102;23.5;1
200103;130;1
200104;103;1
200105;121;1
200106;74;1
200107;122.5;1
200108;62;1
200109;83;1
200110;138;1
200111;31;1
200112;12;1
200201;28.5;1
200202;42.3;1
200203;20.5;1
200204;21;1
200205;110.5;1
200206;94;1
200207;101;1
200208;112.5;1
200209;93;1
200210;55.5;1
200211;210.5;1
200212;115.4;1
200301;55.5;1
200302;32;1
200303;14.5;1
200304;34;1
200305;52;1
200306;18;1
200307;75;1
200308;72.5;1
200309;51.5;1
200310;100.5;1
200311;57;1
200312;205.5;1
200401;72;1
200402;50.5;1
200403;75.5;1
200404;95;1
200405;25.5;1
200406;50.8;1
200407;74.3;1
200408;199.5;1
200409;37.7;1
200410;176.5;1
200411;90.5;1
200412;39;1
200501;64.5;1
200502;32.5;1
200503;18.5;1
200504;157;1
200505;48.5;1
200506;78;1
200507;30;1
200508;54.5;1
200509;56;1
200510;98.5;1
200511;31.5;1
200512;28.5;1
200601;30;1
200602;33.5;1
200603;97;1
200604;63.5;1
200605;69.5;1
200606;61.5;1
200607;55;1
200608;103.5;1
200609;113;1
200610;63.5;1
200611;99.5;1
200612;47;1
200701;45.5;1
200702;61;1
200703;38.5;1
200704;36.5;1
200705;134;1
200706;95;1
200707;131;1
200708;162;1
200709;102.5;1
200710;18;1
200711;87.5;1
200712;41.5;1
200801;52.5;1
200802;23.5;1
200803;49.5;1
200804;112;1
200805;89;1
200806;73.5;1
200807;91.5;1
200808;75.5;1
200809;79;1
200810;159.5;1
200811;156.6;1
200812;55;1
200901;23;1
200902;65.6;1
200903;29.5;1
200904;91;1
200905;45.5;1
200906;89;1
200907;61.5;1
200908;80.5;1
200909;35;1
200910;80.2;1
200911;76.7;1
200912;61.2;1
201001;68.5;1
201002;76;1
201003;49.3;1
201004;22;1
201005;146;1
201006;81;1
201007;131.5;1
201008;74.5;1
201009;175;1
201010;82.5;1
201011;92;1
201012;41.8;1
201101;21;1
201102;35;1
201103;60.7;1
201104;8.5;1
201105;44;1
201106;110.6;1
201107;113.5;1
201108;67;1
201109;27.5;1
201110;54;1
201111;48;1
201112;120.1;1
201201;56.5;1
201202;12;1
201203;34.5;1
201204;156.5;1
201205;95.5;1
201206;107;1
201207;77.7;1
201208;121.8;1
201209;99.5;1
201210;46.5;1
201211;153;1
201212;53.2;1
201301;53.5;1
201302;41.5;1
201303;60.5;1
201304;134.5;1
201305;187;1
201306;45.5;1
201307;95.5;1
201308;36;1
201309;63.3;1
201310;86.2;1
201311;116;1
201312;62.5;1
201401;97;1
201402;89;1
201403;21.3;1
201404;57.7;1
201405;68;1
201406;112.5;1
201407;192;1
201408;63.5;1
201409;11.5;1
201410;115;1
201411;177;1
201412;54.5;1
201501;89.5;1
201502;51.5;1
201503;40.5;1
201504;41;1
201505;39.5;1
201506;59;1
