# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70165001
# NOM_USUEL= COMBEAUFONTAINE
# LATITUDE (°) = 47.709
# LONGITUDE(°)= 5.892
# ALTITUDE (m) = 252
# NUM_SERIE= MRR170165001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196012 200812
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;94.7;1
195102;86.4;1
195103;101.7;1
195104;60.9;1
195105;91.9;1
195106;198.8;1
195107;50.8;1
195108;112.4;1
195109;71.4;1
195110;35.9;1
195111;166.8;1
195112;70.4;1
195201;143.6;1
195202;62.9;1
195203;146.5;1
195204;34;1
195205;49.8;1
195206;59.1;1
195207;17.9;1
195208;74.8;1
195209;181.3;1
195210;198.1;1
195211;152.5;1
195212;112.3;1
195301;8.9;1
195302;50.5;1
195303;7.4;1
195304;51;1
195305;31.9;1
195306;210.4;1
195307;162.8;1
195308;30.7;1
195309;104.9;1
195310;29.8;1
195311;21;1
195312;27.6;1
195401;89.3;1
195402;45.6;1
195403;51.2;1
195404;52.1;1
195405;40.6;1
195406;74.2;1
195407;53.7;1
195408;206.3;1
195409;122.8;1
195410;84.8;1
195411;85.7;1
195412;132.7;1
195501;163.9;1
195502;128.9;1
195503;64.7;1
195504;14.7;1
195505;79.8;1
195506;140.4;1
195507;105.2;1
195508;32.9;1
195509;50;1
195510;64;1
195511;22.8;1
195512;132.5;1
195601;92.9;1
195602;12.8;1
195603;50.5;1
195604;94.6;1
195605;42.1;1
195606;94.4;1
195607;120;1
195608;138.4;1
195609;142;1
195610;99.2;1
195611;74.4;1
195612;36.7;1
195701;40.8;1
195702;141.2;1
195703;51.2;1
195704;12.9;1
195705;49.6;1
195706;120.4;1
195707;104.4;1
195708;44.2;1
195709;89.1;1
195710;35.1;1
195711;37.2;1
195712;74;1
195801;128.1;1
195802;223.7;1
195803;65.6;1
195804;47.7;1
195805;152.7;1
195806;143;1
195807;46.4;1
195808;140.7;1
195809;85.5;1
195810;61;1
195811;49;1
195812;118;1
195901;135;1
195902;1.1;1
195903;110.9;1
195904;116.8;1
195905;35.4;1
195906;110.5;1
195907;26.7;1
195908;49.6;1
195909;19.4;1
195910;72.1;1
195911;79.7;1
195912;125.7;1
196001;81.3;1
196002;129.1;1
196003;58.5;1
