# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70168001
# NOM_USUEL= CONFLANS-SUR-LA
# LATITUDE (°) = 47.817
# LONGITUDE(°)= 6.209
# ALTITUDE (m) = 230
# NUM_SERIE= MRR170168001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;71.8;1
195102;66;1
195103;79.7;1
195104;65.9;1
195105;75.8;1
195106;147.3;1
195107;35;1
195108;100;1
195109;70;1
195110;35;1
195111;165;1
195112;52.6;1
195201;115.9;1
195202;56.2;1
195203;151.2;1
195204;31.6;1
195205;58.8;1
195206;64.4;1
195207;17.3;1
195208;49.9;1
195209;142.4;1
195210;207.2;1
195211;158.7;1
195212;112.8;1
195301;17.9;1
195302;55.4;1
195303;6.4;1
195304;42;1
195305;44.7;1
195306;220.2;1
195307;150.3;1
195308;23.6;1
195309;99.5;1
195310;35;1
195311;11.1;1
195312;48.2;1
195401;73.5;1
195402;37.7;1
195403;55.2;1
195404;52.7;1
195405;50;1
195406;56.5;1
195407;51.7;1
195408;209.5;1
195409;160.5;1
195410;76.7;1
195411;75;1
195412;152.9;1
195501;177.2;1
195502;106;1
195503;77.2;1
195504;11.6;1
195505;92.4;1
195506;99.3;1
195507;47.3;1
195508;42.8;1
195509;43.2;1
195510;60;1
195511;23.7;1
195512;134.3;1
195601;99.9;1
195602;17.3;1
195603;43.4;1
195604;80.9;1
195605;41;1
195606;116.8;1
195607;136.6;1
195608;138.7;1
195609;97;1
195610;105.6;1
195611;70.1;1
195612;33.6;1
195701;48.6;1
195702;155.7;1
195703;48.8;1
195704;9;1
195705;69.4;1
195706;103;1
195707;128.9;1
195708;75.2;1
195709;99.7;1
195710;19.9;1
195711;34.8;1
195712;62.8;1
195801;110.5;1
195802;168.9;1
195803;60.9;1
195804;40.2;1
195805;119.1;1
195806;135;1
195807;42.2;1
195808;192;1
195809;89.9;1
195810;65.5;1
195811;46;1
195812;98.4;1
195901;127.7;1
195902;12.4;1
195903;88.3;1
195904;104;1
195905;20.3;1
195906;79.5;1
195907;23.9;1
195908;73.7;1
195909;8.1;1
195910;63.6;1
195911;53.1;1
195912;83.7;1
196001;79;1
196002;118.6;1
196003;44.5;1
196004;37.4;1
196005;47.5;1
196006;117.3;1
196007;86.7;1
196008;152;1
196009;122.2;1
196010;109.2;1
196011;95.7;1
196012;63.3;1
196101;108.1;1
196102;84.6;1
196103;27.3;1
196104;70.9;1
196105;74.2;1
196106;74.5;1
196107;94.2;1
196108;82.1;1
196109;37.1;1
196110;98.2;1
196111;73.4;1
196112;109.8;1
196201;100.5;1
196202;76.3;1
