# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70414001
# NOM_USUEL= PLANCHER-LES-MI
# LATITUDE (°) = 47.773
# LONGITUDE(°)= 6.746
# ALTITUDE (m) = 529
# NUM_SERIE= MRR170414001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195701 201912
# Date(s) de rupture(s) d'homogénéité : 196701 197909
#     Periode homogénéisée  195701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;92.7;1
195702;434.1;1
195703;167.6;1
195704;34.8;1
195705;60.5;1
195706;203.4;1
195707;250;1
195708;153.3;1
195709;239;1
195710;38.8;1
195711;52.5;1
195712;126.7;1
195801;245.5;1
195802;414.4;1
195803;130.6;1
195804;102.1;1
195805;158.6;1
195806;213.9;1
195807;151.3;1
195808;214.7;1
195809;100.4;1
195810;168.3;1
195811;102.7;1
195812;233.2;1
195901;340.9;1
195902;23.8;1
195903;133.9;1
195904;182.1;1
195905;68;1
195906;173.1;1
195907;87.2;1
195908;135.5;1
195909;22.2;1
195910;98.2;1
195911;98.4;1
195912;295.2;1
196001;197.2;1
196002;273.5;1
196003;124.3;1
196004;61.7;1
196005;122.3;1
196006;143.8;1
196007;201.8;1
196008;284.3;1
196009;196.9;1
196010;208.2;1
196011;214.1;1
196012;143.9;1
196101;276.2;1
196102;208.2;1
196103;83.5;1
196104;125.7;1
196105;108.5;1
196106;123.7;1
196107;252.4;1
196108;153.2;1
196109;81;1
196110;173.3;1
196111;156.1;1
196112;311.7;1
196201;276;1
196202;175.6;1
196203;231.6;1
196204;174.8;1
196205;161;1
196206;11.8;1
196207;58.9;1
196208;73.2;1
196209;158.6;1
196210;24.5;1
196211;103.6;1
196212;232.7;1
196301;93.3;1
196302;96.7;1
196303;113.9;1
196304;74.6;1
196305;91.8;1
196306;297;1
196307;75.6;1
196308;442.7;1
196309;116.9;1
196310;133.9;1
196311;356.8;1
196312;16.4;1
196401;67.8;1
196402;67.3;1
196403;166.9;1
196404;104.6;1
196405;176.3;1
196406;86.9;1
196407;28;1
196408;91.3;1
196409;106.5;1
196410;153.7;1
196411;233.2;1
196412;94.8;1
196501;199.6;1
196502;63.3;1
196503;165.3;1
196504;219;1
196505;229.9;1
196506;107;1
196507;164.7;1
196508;114;1
196509;288.5;1
196510;10;1
196511;326.9;1
196512;565;1
196601;248.5;1
196602;234.5;1
196603;181.8;1
196604;193.4;1
196605;178.3;1
196606;155.5;1
196607;141.7;1
196608;244.3;1
196609;113.4;1
196610;131.8;1
196611;202;1
196612;543.9;1
196701;100;1
196702;178.2;1
196703;147.3;1
196704;57.5;1
196705;141.7;1
196706;70.9;1
196707;27.1;1
196708;117.8;1
196709;248.9;1
196710;124.6;1
196711;151.3;1
196712;255.3;1
196801;312.2;1
196802;157.3;1
196803;101.7;1
196804;148.1;1
196805;126.2;1
196806;82.6;1
196807;146;1
196808;417.5;1
196809;331.8;1
196810;170.2;1
196811;85.4;1
196812;287.2;1
196901;80.7;1
196902;181.6;1
196903;244.3;1
196904;299.4;1
196905;130.8;1
196906;172.7;1
196907;94.5;1
196908;188.7;1
196909;19.5;1
196910;5.5;1
196911;331.3;1
196912;171.6;1
197001;169.8;1
197002;612.7;1
197003;204;1
197004;321.1;1
197005;130.8;1
197006;142.5;1
197007;164.9;1
197008;95.2;1
197009;142.5;1
197010;229.2;1
197011;213.3;1
197012;116.2;1
197101;132.6;1
197102;51.1;1
