# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 70473001
# NOM_USUEL= LUXEUIL
# LATITUDE (°) = 47.787
# LONGITUDE(°)= 6.364
# ALTITUDE (m) = 271
# NUM_SERIE= MRR170473001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 195812 199312
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;78.9;1
195102;64;1
195103;89.3;1
195104;52.7;1
195105;72.5;1
195106;120.1;1
195107;31.8;1
195108;94.2;1
195109;71.5;1
195110;35.3;1
195111;166.7;1
195112;55.1;1
195201;99.7;1
195202;57.5;1
195203;140.2;1
195204;37.4;1
195205;35.4;1
195206;90.8;1
195207;25.5;1
195208;100.4;1
195209;137.6;1
195210;185.7;1
195211;137;1
195212;108.8;1
195301;22.7;1
195302;47.5;1
195303;9.1;1
195304;41.8;1
195305;39.5;1
195306;213.3;1
195307;149.8;1
195308;35.6;1
195309;87;1
195310;34.6;1
195311;12.8;1
195312;30.1;1
195401;72.3;1
195402;50.5;1
195403;43.9;1
195404;59.5;1
195405;44.2;1
195406;44.1;1
195407;36;1
195408;176.4;1
195409;103.4;1
195410;76.7;1
195411;74.5;1
195412;141.8;1
195501;151.2;1
195502;93.2;1
195503;69.8;1
195504;12.5;1
195505;81.1;1
195506;107.3;1
195507;98;1
195508;65.5;1
195509;62.1;1
195510;47;1
195511;13.4;1
195512;123.4;1
195601;86.5;1
195602;13.2;1
195603;28.5;1
195604;78.6;1
195605;41.5;1
195606;94;1
195607;116.4;1
195608;102.5;1
195609;83.8;1
195610;105;1
195611;51.9;1
195612;40.2;1
195701;42.7;1
195702;120;1
195703;47.8;1
195704;14.8;1
195705;52.3;1
195706;103.4;1
195707;122.9;1
195708;66;1
195709;82;1
195710;21.3;1
195711;28.9;1
195712;55.6;1
195801;85.9;1
195802;144;1
195803;64.7;1
195804;44.6;1
195805;104.9;1
195806;112.8;1
195807;68.4;1
195808;124.7;1
195809;60.9;1
195810;68.5;1
195811;45.9;1
195812;75;1
195901;102.4;1
195902;5.7;1
195903;69;1
195904;100.5;1
195905;20;1
195906;57.2;1
195907;25.6;1
195908;77.5;1
195909;6.6;1
195910;49.8;1
195911;52.8;1
195912;95.2;1
196001;86.2;1
196002;107.8;1
196003;42.7;1
196004;33.8;1
196005;42.8;1
196006;95.6;1
196007;102.2;1
196008;181.5;1
196009;143;1
196010;103.7;1
196011;94.7;1
196012;65.7;1
196101;98.2;1
196102;66;1
196103;29.2;1
196104;89.2;1
196105;72.1;1
196106;86.5;1
196107;117.3;1
196108;70.3;1
196109;37.4;1
196110;102.5;1
196111;69.2;1
196112;91.9;1
196201;97.2;1
196202;62;1
196203;116.5;1
196204;37.2;1
196205;79.5;1
196206;12.4;1
196207;26.5;1
196208;41.7;1
196209;117.9;1
196210;17.7;1
196211;38;1
196212;79.3;1
196301;34.6;1
196302;30.7;1
196303;65.5;1
196304;44;1
196305;55.6;1
196306;148.4;1
196307;76.8;1
196308;204.7;1
196309;36.2;1
196310;51.8;1
196311;145.5;1
196312;7.5;1
196401;49.1;1
196402;30.6;1
196403;73.3;1
196404;36.7;1
196405;55.7;1
196406;37.6;1
196407;16.1;1
196408;60.6;1
196409;55.4;1
196410;55.6;1
196411;70.4;1
196412;38.1;1
196501;78.8;1
196502;7.8;1
196503;95.1;1
196504;88.9;1
196505;118.1;1
196506;63.9;1
196507;68.1;1
196508;56.6;1
196509;170.3;1
196510;8;1
196511;122.1;1
196512;154;1
196601;96.5;1
196602;74.7;1
196603;84.4;1
196604;81;1
196605;76.5;1
196606;79.4;1
196607;73.4;1
196608;156.2;1
196609;39.5;1
196610;64.5;1
196611;86.7;1
196612;145.6;1
196701;56.2;1
196702;54.1;1
196703;60.1;1
196704;29.6;1
196705;141.9;1
196706;41.5;1
196707;40.5;1
196708;60.5;1
196709;146.4;1
196710;72.9;1
196711;112.9;1
196712;107.4;1
196801;129.2;1
196802;88;1
196803;38.6;1
196804;87.3;1
196805;67.2;1
196806;52.9;1
196807;41.6;1
196808;143.6;1
196809;139.8;1
196810;49.7;1
