# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71106001
# NOM_USUEL= CHAROLLES
# LATITUDE (°) = 46.44
# LONGITUDE(°)= 4.281
# ALTITUDE (m) = 282
# NUM_SERIE= MRR171106001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195510 197409
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;65;1
195102;64.6;1
195103;62.7;1
195104;82.3;1
195105;151;1
195106;109.2;1
195107;73.6;1
195108;162.2;1
195109;54.5;1
195110;49.6;1
195111;169;1
195112;51.9;1
195201;98.8;1
195202;67.9;1
195203;104.1;1
195204;75.3;1
195205;46.6;1
195206;31;1
195207;4.4;1
195208;71.5;1
195209;89.2;1
195210;145.9;1
195211;132;1
195212;98.9;1
195301;12.2;1
195302;29.2;1
195303;6.9;1
195304;72.5;1
195305;35.2;1
195306;126.2;1
195307;90.5;1
195308;23.8;1
195309;60.2;1
195310;106.5;1
195311;16.5;1
195312;31.8;1
195401;59.8;1
195402;68.1;1
195403;71.8;1
195404;54.3;1
195405;61;1
195406;49.3;1
195407;48.2;1
195408;213;1
195409;102.3;1
195410;52.8;1
195411;57.6;1
195412;77;1
195501;125.8;1
195502;138.8;1
195503;38.8;1
195504;1.9;1
195505;73.3;1
195506;108.8;1
195507;64.2;1
195508;67.1;1
195509;34.3;1
195510;14.9;1
195511;20.6;1
195512;87.7;1
195601;77.6;1
195602;12.6;1
195603;43.4;1
195604;109.6;1
195605;84.5;1
195606;69.1;1
195607;148.2;1
195608;108.2;1
195609;187.1;1
195610;89.2;1
195611;29.9;1
195612;54.6;1
195701;26.8;1
195702;89.8;1
195703;25.8;1
195704;25.3;1
195705;47.1;1
195706;153.9;1
195707;60.8;1
195708;19.2;1
195709;69.2;1
195710;41.2;1
195711;36.3;1
195712;74.1;1
195801;88.2;1
195802;61.3;1
195803;86.3;1
195804;62.2;1
195805;59.7;1
195806;115.6;1
195807;46.3;1
195808;80.3;1
195809;89.5;1
195810;85.7;1
195811;80.8;1
195812;91.7;1
195901;112;1
195902;0;1
195903;80.8;1
195904;106.4;1
195905;2.1;1
195906;113.4;1
195907;6;1
195908;37.4;1
195909;50.5;1
195910;63.5;1
195911;66.2;1
195912;69.1;1
196001;65.1;1
196002;53.2;1
196003;74;1
196004;28.4;1
196005;48.1;1
196006;64.3;1
196007;75;1
196008;161.3;1
196009;115.6;1
196010;164.4;1
196011;75.3;1
196012;74;1
196101;89.4;1
196102;70.2;1
196103;7.2;1
196104;77;1
196105;81.2;1
196106;67.4;1
196107;97.3;1
196108;80.5;1
196109;56.2;1
196110;129.9;1
196111;44.3;1
196112;74.9;1
196201;99;1
196202;59.6;1
196203;105.5;1
196204;78.9;1
196205;114.2;1
196206;47.4;1
196207;100.5;1
196208;34.4;1
196209;103.1;1
196210;29.4;1
196211;63.5;1
196212;86.5;1
196301;54.1;1
196302;50.5;1
196303;110.6;1
196304;66.5;1
196305;55.3;1
196306;134.5;1
196307;28.3;1
196308;145.6;1
196309;27.1;1
196310;50.6;1
196311;104;1
196312;6.9;1
196401;35.7;1
196402;26.3;1
196403;80.3;1
196404;71.2;1
196405;60;1
196406;53.1;1
196407;6.8;1
196408;44.2;1
196409;57.4;1
196410;52.8;1
196411;30.1;1
196412;51.5;1
196501;87.8;1
196502;8;1
196503;76.9;1
196504;94.9;1
196505;125.5;1
196506;52.5;1
196507;117.2;1
196508;85.2;1
196509;244.7;1
196510;24;1
196511;97.6;1
196512;112.4;1
196601;57.2;1
196602;131.1;1
196603;40.7;1
196604;102.2;1
196605;84.3;1
196606;65.3;1
196607;52.6;1
196608;105.8;1
196609;32.1;1
196610;84;1
196611;113.4;1
196612;81.8;1
196701;58.8;1
196702;50.7;1
196703;62.1;1
196704;17.8;1
196705;83;1
196706;60.3;1
196707;30.2;1
196708;101.6;1
196709;118.3;1
196710;55.2;1
196711;99.7;1
196712;44.7;1
196801;78.2;1
196802;76.5;1
196803;24.3;1
196804;81.5;1
196805;182.4;1
196806;61.6;1
196807;77.4;1
196808;163.4;1
196809;168.1;1
196810;45.2;1
196811;60.5;1
196812;109.8;1
196901;74.9;1
196902;42;1
196903;76.5;1
196904;105.9;1
196905;90.5;1
196906;120.5;1
196907;39;1
196908;121.8;1
196909;56.2;1
196910;14.5;1
196911;99.9;1
196912;62.4;1
197001;65.6;1
197002;130.1;1
197003;79.2;1
197004;69.3;1
197005;53.6;1
197006;165.9;1
197007;39.3;1
197008;64.8;1
197009;23.9;1
197010;85;1
197011;52.7;1
197012;66.6;1
197101;69.9;1
197102;15.8;1
197103;58;1
197104;33.1;1
197105;107.1;1
197106;102.3;1
197107;62.3;1
197108;129.3;1
197109;16.3;1
197110;26.6;1
197111;93.7;1
197112;42.2;1
197201;50.3;1
197202;56.1;1
197203;34.9;1
197204;32.1;1
197205;66.2;1
197206;73.6;1
197207;31.2;1
197208;45.6;1
197209;29.3;1
197210;76.3;1
197211;100.5;1
197212;66.6;1
197301;58.7;1
197302;51.1;1
197303;3.4;1
197304;32;1
197305;73;1
197306;34.7;1
197307;65.5;1
197308;82.1;1
197309;62;1
197310;49.5;1
197311;61.7;1
197312;94.6;1
197401;40.8;1
197402;69.7;1
197403;37.9;1
197404;57.7;1
197405;72.6;1
197406;73.3;1
197407;42.5;1
197408;77.5;1
197409;166.5;1
197410;192.5;1
197411;112.8;1
197412;39.4;1
197501;76.4;1
197502;12.5;1
197503;84.8;1
197504;65.2;1
197505;82.2;1
197506;102.4;1
197507;37.7;1
197508;55.5;1
197509;151;1
197510;38.3;1
197511;117.7;1
197512;55.5;1
197601;51.5;1
197602;68.1;1
197603;10.3;1
197604;58.1;1
197605;18.5;1
197606;1.1;1
197607;18.3;1
197608;67.1;1
197609;136.2;1
197610;103;1
197611;138.4;1
197612;83.9;1
197701;114.8;1
197702;138.6;1
197703;77.8;1
197704;54.5;1
197705;171.6;1
197706;140.6;1
197707;135.5;1
197708;135;1
197709;4.5;1
197710;100;1
197711;54.6;1
197712;63.2;1
197801;82.5;1
197802;98.6;1
197803;122.8;1
197804;81.3;1
197805;105.5;1
197806;34.7;1
197807;109.5;1
197808;41.5;1
197809;39.7;1
197810;29;1
197811;12.4;1
197812;100;1
197901;89.1;1
197902;107.2;1
197903;110.5;1
197904;71.5;1
197905;155.5;1
197906;65.5;1
197907;9.5;1
197908;104;1
197909;30;1
197910;125.5;1
197911;76;1
197912;104.7;1
198001;78;1
198002;77.5;1
198003;110.8;1
198004;23;1
198005;84.4;1
198006;117.4;1
198007;54.5;1
198008;55.5;1
198009;91.5;1
198010;110.5;1
198011;46.5;1
198012;70.2;1
198101;126.5;1
198102;38;1
198103;100.5;1
198104;22;1
198105;117.2;1
198106;126.5;1
198107;103;1
198108;35;1
198109;154.5;1
198110;104.5;1
198111;59.5;1
198112;161.5;1
198201;91.5;1
198202;9;1
198203;106.8;1
198204;9.2;1
198205;68.5;1
198206;94.5;1
198207;57.5;1
198208;30.5;1
198209;89.5;1
198210;99.5;1
198211;103;1
198212;147;1
198301;60;1
198302;92.9;1
198303;53.5;1
198304;208;1
198305;176.5;1
198306;45.5;1
198307;17;1
198308;139.8;1
198309;121;1
198310;86;1
198311;44;1
198312;50;1
198401;101.8;1
198402;54;1
198403;40.5;1
198404;22;1
198405;180;1
198406;89.2;1
198407;35;1
198408;85;1
198409;114.7;1
198410;112.6;1
198411;97.3;1
198412;76;1
198501;60.5;1
198502;68;1
198503;53.5;1
198504;81;1
198505;151;1
198506;130;1
198507;104.5;1
198508;18.5;1
198509;10;1
198510;32.1;1
198511;58;1
198512;82;1
198601;134;1
198602;60;1
198603;61.5;1
198604;153;1
198605;93.5;1
198606;58;1
198607;40.5;1
198608;98.3;1
198609;77;1
198610;55.2;1
198611;42.5;1
198612;107;1
198701;49.5;1
198702;59.9;1
198703;54.5;1
198704;58.5;1
198705;100.5;1
198706;170;1
198707;91;1
198708;88;1
198709;100;1
198710;100;1
198711;76.5;1
198712;75;1
198801;124;1
198802;83;1
198803;104.5;1
198804;54.5;1
198805;177;1
198806;40.5;1
198807;63;1
198808;17.3;1
198809;82;1
198810;124;1
198811;41.9;1
198812;51;1
198901;25.5;1
198902;41;1
198903;51.5;1
198904;167;1
198905;28.5;1
198906;28.5;1
198907;88.5;1
198908;91.5;1
198909;72;1
198910;39;1
198911;86;1
198912;57;1
199001;75;1
199002;135.5;1
199003;22;1
199004;71;1
199005;47.5;1
199006;208;1
199007;47.5;1
199008;70;1
199009;49;1
199010;108;1
199011;86;1
199012;83.3;1
199101;40;1
199102;56.2;1
199103;67;1
199104;40.5;1
199105;26.5;1
199106;67.5;1
199107;49;1
199108;37;1
199109;105;1
199110;82.5;1
199111;121.5;1
199112;60.5;1
199201;24.8;1
199202;51;1
199203;74.5;1
199204;84;1
199205;45;1
199206;130.5;1
199207;104;1
199208;107.5;1
199209;85.5;1
199210;156;1
199211;150;1
199212;55.5;1
199301;38.5;1
199302;15.5;1
199303;11;1
199304;67;1
199305;98;1
199306;83.5;1
199307;52.5;1
199308;24;1
199309;151;1
199310;154.2;1
199311;24;1
199312;130.5;1
199401;125.5;1
199402;83;1
199403;38.5;1
199404;95.5;1
199405;117.5;1
199406;91.5;1
199407;42.5;1
199408;116.5;1
199409;144;1
199410;79;1
199411;77.5;1
199412;82.5;1
199501;130.5;1
199502;138.5;1
199503;84;1
199504;75.6;1
199505;95;1
199506;37.5;1
199507;59.5;1
199508;32.5;1
199509;118;1
199510;37;1
199511;69;1
199512;82.4;1
199601;55.2;1
199602;81.4;1
199603;54.9;1
199604;34.4;1
199605;164.4;1
199606;53.9;1
199607;105.1;1
199608;58.5;1
199609;25;1
199610;55.3;1
199611;216.8;1
199612;63.2;1
199701;57.5;1
199702;42.7;1
199703;22.6;1
199704;23.5;1
199705;103.2;1
199706;104.1;1
199707;52.6;1
199708;124.7;1
199709;30.1;1
199710;44.8;1
199711;84.3;1
199712;90.6;1
199801;72.5;1
199802;39.7;1
199803;41.7;1
199804;162.3;1
199805;56;1
199806;99.6;1
199807;38.7;1
199808;35.4;1
199809;156.9;1
199810;91.7;1
199811;68.3;1
199812;41.9;1
199901;123.9;1
199902;118.6;1
199903;67.9;1
199904;83.4;1
199905;119.9;1
199906;69.2;1
199907;72;1
199908;36.5;1
199909;116.3;1
199910;74;1
199911;56.1;1
199912;117.1;1
200001;28;1
200002;110.5;1
200003;21.5;1
200004;77;1
200005;68.3;1
200006;58.5;1
200007;152.5;1
200008;50;1
200009;36.1;1
200010;71.1;1
200011;126.4;1
200012;40;1
200101;73.9;1
200102;37.5;1
200103;174.5;1
200104;82.4;1
200105;121.3;1
200106;39.7;1
200107;63.4;1
200108;88.2;1
200109;58.9;1
200110;126.3;1
200111;55.7;1
200112;39.4;1
200201;36.6;1
200202;67.6;1
200203;22.3;1
200204;27.5;1
200205;100;1
200206;87.5;1
200207;52.8;1
200208;83.1;1
200209;63.4;1
200210;67.7;1
200211;167.7;1
200212;115.3;1
200301;68.1;1
200302;55.9;1
200303;32.3;1
200304;43.5;1
200305;55.8;1
200306;29.8;1
200307;43;1
200308;44.8;1
200309;51.1;1
200310;118.9;1
200311;90;1
200312;141.9;1
200401;136.8;1
200402;27.1;1
200403;43.7;1
200404;50.5;1
200405;43.8;1
200406;24.4;1
200407;101.7;1
200408;141.5;1
200409;14.7;1
200410;189.4;1
200411;129.7;1
200412;54.2;1
200501;55.8;1
200502;55.9;1
200503;59.6;1
200504;141.2;1
200505;104.1;1
200506;105.5;1
200507;60.7;1
200508;19.2;1
200509;32.8;1
200510;67.3;1
200511;64.4;1
200512;66.9;1
200601;40.4;1
200602;41.7;1
200603;106.9;1
200604;73.6;1
200605;91;1
200606;38;1
200607;83.5;1
200608;104.6;1
200609;33.6;1
200610;53.8;1
200611;47.2;1
200612;32.8;1
200701;86.1;1
200702;80.7;1
200703;105.3;1
200704;19.1;1
200705;115.4;1
200706;160.6;1
200707;141.8;1
200708;149.6;1
200709;101.7;1
200710;13.8;1
200711;73.1;1
200712;64.3;1
200801;74.1;1
200802;24.1;1
200803;104.1;1
200804;86.7;1
200805;70.3;1
200806;83.8;1
200807;81.5;1
200808;77.9;1
200809;73.5;1
200810;123;1
200811;98.1;1
200812;58.9;1
200901;37.4;1
200902;48.9;1
200903;39.7;1
200904;57.4;1
200905;37.9;1
200906;115.1;1
200907;134.9;1
200908;66;1
200909;50.7;1
200910;57.7;1
200911;111.1;1
200912;94.3;1
201001;55.6;1
201002;79.3;1
201003;79.5;1
201004;29.6;1
201005;156.3;1
201006;58.1;1
201007;147.3;1
201008;75.3;1
201009;99.9;1
201010;66.7;1
201011;103;1
201012;99.4;1
201101;31.6;1
201102;43.9;1
201103;63.7;1
201104;17.2;1
201105;38.3;1
201106;61;1
201107;153.4;1
201108;78.7;1
201109;32.2;1
201110;56.5;1
201111;64.5;1
201112;144.9;1
201201;76.8;1
201202;13.4;1
