# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71340002
# NOM_USUEL= PALINGES
# LATITUDE (°) = 46.555
# LONGITUDE(°)= 4.228
# ALTITUDE (m) = 281
# NUM_SERIE= MRR171340002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;77.3;1
195102;53.9;1
195103;71.9;1
195104;56.6;1
195105;142.1;1
195106;103.2;1
195107;56.5;1
195108;110.2;1
195109;65.7;1
195110;43.5;1
195111;150.9;1
195112;52.7;1
195201;109;1
195202;57;1
195203;88.5;1
195204;41.9;1
195205;42.5;1
195206;50.6;1
195207;7.5;1
195208;70.7;1
195209;95.8;1
195210;137;1
195211;127.8;1
195212;98;1
195301;12.5;1
195302;28.2;1
195303;3.8;1
195304;70.3;1
195305;24.6;1
195306;111.2;1
195307;71;1
195308;11.2;1
195309;62.1;1
195310;68.6;1
195311;14.5;1
195312;36.3;1
195401;46.1;1
195402;68;1
195403;63;1
195404;56.7;1
195405;59.5;1
195406;30.1;1
195407;60.2;1
195408;171.6;1
195409;91.4;1
195410;58.4;1
195411;59.7;1
195412;105.6;1
195501;132.5;1
195502;146.8;1
195503;40.3;1
195504;0;1
195505;66;1
195506;122.1;1
195507;52.7;1
195508;48.6;1
195509;32.9;1
195510;11.5;1
195511;25.8;1
195512;105.4;1
195601;68;1
195602;14.9;1
195603;52.5;1
195604;50.6;1
195605;109.6;1
195606;70.9;1
195607;127.5;1
195608;140.9;1
195609;130;1
195610;69.8;1
195611;40.3;1
195612;55;1
195701;55.9;1
195702;112.6;1
195703;22.3;1
195704;24.3;1
195705;20.9;1
195706;105.6;1
195707;47.7;1
195708;16.9;1
195709;41.4;1
195710;45.2;1
195711;21.9;1
195712;70.8;1
195801;97;1
195802;60.6;1
195803;91.4;1
195804;51.2;1
195805;52.1;1
195806;95.7;1
195807;52.8;1
195808;61;1
195809;99;1
195810;71;1
195811;56.6;1
195812;83.4;1
195901;98.6;1
195902;0;1
195903;66.3;1
195904;97.8;1
195905;6;1
195906;67.8;1
195907;4;1
195908;43.3;1
195909;48.4;1
195910;79.1;1
195911;62.3;1
195912;86.3;1
196001;55.4;1
196002;46;1
196003;67;1
196004;27.6;1
196005;34.3;1
196006;71.5;1
196007;60.7;1
196008;172.3;1
196009;69.3;1
196010;125.5;1
196011;56.6;1
196012;53.9;1
196101;77.6;1
196102;62;1
196103;3.7;1
196104;73.2;1
196105;90.6;1
196106;39.2;1
196107;106.1;1
196108;64.3;1
196109;31;1
196110;89.1;1
196111;44.5;1
196112;77.2;1
196201;103.1;1
196202;56.7;1
196203;97.9;1
196204;79.8;1
196205;94.2;1
196206;5.7;1
196207;67.4;1
196208;29.2;1
196209;81.3;1
196210;29.6;1
196211;57.1;1
196212;80.3;1
196301;44.9;1
196302;46.7;1
196303;100.1;1
196304;58.4;1
196305;45.7;1
196306;84.4;1
196307;19.7;1
196308;138;1
196309;21.5;1
196310;49.2;1
196311;110.2;1
196312;4.2;1
196401;26.5;1
196402;19.8;1
196403;62.5;1
196404;55.3;1
196405;52;1
196406;28.8;1
196407;28.4;1
196408;62.4;1
196409;43.5;1
196410;64.6;1
196411;22.7;1
196412;42.2;1
196501;88.5;1
196502;1.1;1
196503;89.6;1
196504;76.2;1
196505;109;1
196506;39.7;1
196507;84.7;1
196508;92.7;1
196509;279.6;1
196510;28.2;1
196511;119.7;1
196512;127.5;1
196601;61.2;1
196602;108.5;1
196603;55.8;1
196604;96.4;1
196605;57.3;1
196606;62.9;1
196607;41.2;1
196608;65.2;1
196609;28.2;1
196610;82;1
196611;100.4;1
196612;88.7;1
196701;64;1
196702;41;1
196703;60.4;1
196704;21.5;1
196705;74.5;1
196706;53;1
196707;35.1;1
196708;109.4;1
196709;96.4;1
196710;46.3;1
196711;91.9;1
196712;65.7;1
196801;125.6;1
196802;63.9;1
196803;30.7;1
196804;79.4;1
196805;144.8;1
196806;80;1
196807;64.5;1
196808;158.9;1
196809;152.9;1
196810;49.1;1
196811;57.2;1
196812;110.2;1
196901;64.4;1
196902;65.1;1
196903;57.4;1
196904;101.7;1
196905;112.2;1
196906;82.8;1
196907;28;1
