# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72042001
# NOM_USUEL= BOULOIRE
# LATITUDE (°) = 47.984
# LONGITUDE(°)= 0.492
# ALTITUDE (m) = 134
# NUM_SERIE= MRR172042001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196011 197710
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;44.8;1
195102;58.4;1
195103;47.3;1
195104;36.5;1
195105;102.8;1
195106;139.2;1
195107;75.8;1
195108;108.5;1
195109;36;1
195110;37.1;1
195111;78.8;1
195112;55.5;1
195201;74.6;1
195202;46.9;1
195203;76.8;1
195204;13.9;1
195205;41.6;1
195206;26.4;1
195207;34.9;1
195208;59.8;1
195209;115.5;1
195210;77.9;1
195211;115.5;1
195212;104.2;1
195301;19.4;1
195302;24;1
195303;1.7;1
195304;69.8;1
195305;12.1;1
195306;34.1;1
195307;101.4;1
195308;23;1
195309;57;1
195310;51.7;1
195311;25.3;1
195312;12;1
195401;22.5;1
195402;56.9;1
195403;73.7;1
195404;5;1
195405;24;1
195406;58.1;1
195407;17.5;1
195408;55.6;1
195409;53.5;1
195410;30.4;1
195411;60.4;1
195412;61.5;1
195501;120.4;1
195502;95.2;1
195503;40;1
195504;6.1;1
195505;41.4;1
195506;90.9;1
195507;58.8;1
195508;19.8;1
195509;34.9;1
195510;66.2;1
195511;19.3;1
195512;81.9;1
195601;90.3;1
195602;4.2;1
195603;21.4;1
195604;59.4;1
195605;40;1
195606;30.3;1
195607;47.7;1
195608;93.1;1
195609;41.3;1
195610;31;1
195611;16.2;1
195612;33.1;1
195701;18.5;1
195702;111.9;1
195703;20.3;1
195704;49.9;1
195705;25.1;1
195706;101;1
195707;86.7;1
195708;50.1;1
195709;65.2;1
195710;16.5;1
195711;44.2;1
195712;48.2;1
195801;90.7;1
195802;114.9;1
195803;53.3;1
195804;56.5;1
195805;57.4;1
195806;140.3;1
195807;43.2;1
195808;80.2;1
195809;23.7;1
195810;42.5;1
195811;61.3;1
195812;73.4;1
195901;105.5;1
195902;0.5;1
195903;50.4;1
195904;87.3;1
195905;70.9;1
195906;56.1;1
195907;18.3;1
195908;32;1
195909;24.7;1
195910;59.8;1
195911;41.2;1
195912;134.2;1
196001;43.6;1
196002;44.7;1
196003;56.5;1
196004;27.9;1
196005;55.6;1
196006;55.3;1
196007;58.2;1
196008;81.8;1
196009;88.2;1
196010;171.2;1
196011;136.4;1
196012;106.7;1
196101;96.6;1
196102;35.1;1
196103;1.2;1
196104;58.3;1
196105;33.5;1
196106;34.8;1
196107;49.9;1
196108;4.6;1
196109;67.7;1
196110;111.5;1
196111;79;1
196112;92.8;1
196201;79.6;1
196202;28.8;1
196203;112.9;1
196204;49.3;1
196205;30.3;1
196206;14.2;1
196207;41.3;1
196208;26.2;1
196209;49.2;1
196210;65.2;1
196211;123.5;1
196212;52.2;1
196301;32.2;1
196302;37.6;1
196303;92.7;1
196304;68.1;1
196305;51.4;1
196306;94.4;1
196307;17.3;1
196308;142.8;1
196309;31.9;1
196310;34.4;1
196311;94.5;1
196312;7;1
196401;25;1
196402;115.8;1
196403;85.8;1
196404;39.9;1
196405;70;1
196406;48.2;1
196407;16.1;1
196408;12.4;1
196409;32.7;1
196410;45.6;1
196411;31.4;1
196412;68.4;1
196501;104.2;1
196502;6.4;1
196503;75.4;1
196504;52.6;1
196505;58.5;1
196506;31.3;1
196507;39.2;1
196508;153;1
196509;142.4;1
196510;24.8;1
196511;116.6;1
196512;116;1
196601;89.2;1
196602;63.4;1
196603;14.7;1
196604;97.9;1
196605;38.3;1
196606;44.8;1
196607;72.8;1
196608;54.4;1
196609;19.3;1
196610;169;1
196611;99.8;1
196612;71.1;1
196701;22.7;1
196702;71.8;1
196703;57;1
196704;31.9;1
196705;82.5;1
196706;29.5;1
196707;16.3;1
196708;49.2;1
196709;92.7;1
196710;54.9;1
196711;65;1
196712;86.8;1
196801;76;1
196802;68.3;1
196803;51.6;1
196804;39.9;1
196805;47.9;1
196806;56.3;1
196807;68.3;1
196808;112.9;1
196809;92.8;1
196810;32.6;1
196811;12.1;1
196812;54.9;1
196901;54.5;1
196902;29.8;1
196903;71;1
196904;33.9;1
196905;106.9;1
196906;33;1
196907;29.6;1
196908;48.4;1
196909;18.1;1
196910;17.1;1
196911;159.7;1
196912;70.4;1
197001;69.5;1
197002;118.7;1
197003;38.9;1
197004;41;1
197005;26.6;1
197006;48.7;1
197007;22.2;1
197008;93.1;1
197009;35.5;1
197010;26.8;1
197011;76.8;1
197012;29.6;1
197101;71.1;1
197102;29.6;1
197103;39;1
197104;37.8;1
197105;139.9;1
197106;52.1;1
197107;51.6;1
197108;90.3;1
197109;30.4;1
197110;18.3;1
197111;59.8;1
197112;13.8;1
197201;66.4;1
197202;65.7;1
197203;47.5;1
197204;55.8;1
197205;28.9;1
197206;48.8;1
197207;37.2;1
197208;90.3;1
197209;31.7;1
197210;16.9;1
197211;95.7;1
197212;13.1;1
197301;36.3;1
197302;48;1
197303;5.9;1
197304;48.7;1
197305;90.5;1
197306;39;1
197307;58.4;1
197308;40.5;1
197309;128.5;1
197310;39.5;1
197311;36.9;1
197312;65.5;1
197401;86.1;1
197402;56.2;1
197403;48.1;1
197404;27.8;1
197405;46;1
197406;40.4;1
197407;24.7;1
197408;54.2;1
197409;111.6;1
197410;83.8;1
197411;96.7;1
197412;33.7;1
197501;73.8;1
197502;17.3;1
197503;86.8;1
197504;57;1
197505;80;1
197506;31.3;1
197507;64.5;1
197508;23.1;1
197509;142.4;1
197510;30.2;1
197511;73.4;1
197512;20.3;1
197601;12.6;1
197602;46.3;1
197603;32.5;1
197604;13.9;1
197605;14.3;1
197606;0.7;1
197607;60;1
197608;3.8;1
197609;67.5;1
197610;61.4;1
197611;78.3;1
197612;55.3;1
197701;48.3;1
197702;114.6;1
197703;53.2;1
197704;30.1;1
197705;57;1
197706;48.9;1
197707;36.2;1
197708;73.2;1
197709;7.3;1
197710;53.8;1
197711;49;1
197712;58;1
197801;75.2;1
197802;82.5;1
197803;81.2;1
197804;61.4;1
197805;61;1
197806;65;1
197807;58.6;1
197808;24.3;1
197809;24.8;1
197810;8.5;1
197811;29.8;1
197812;124.8;1
197901;46.3;1
197902;103.5;1
197903;89.6;1
197904;59.6;1
197905;70.8;1
197906;26.1;1
197907;44.2;1
197908;45.7;1
197909;8.1;1
197910;112.1;1
197911;43.1;1
197912;151.5;1
198001;59.4;1
198002;75.7;1
198003;103.1;1
198004;7.3;1
198005;47.8;1
198006;110;1
198007;85.9;1
198008;12.9;1
198009;56.1;1
198010;54.2;1
198011;63.4;1
198012;94.8;1
198101;64;1
198102;52;1
198103;103.4;1
198104;20.5;1
198105;127;1
198106;21.3;1
198107;36.3;1
198108;23.8;1
198109;53.9;1
198110;138.8;1
198111;21;1
198112;104.7;1
198201;84.8;1
198202;29.2;1
198203;48.3;1
198204;7;1
198205;48.3;1
198206;130.2;1
198207;39.4;1
198208;41.3;1
198209;67.1;1
198210;102.4;1
198211;75.8;1
198212;121.4;1
198301;49.3;1
198302;65.4;1
198303;33.7;1
198304;140.6;1
198305;85.6;1
198306;43;1
198307;75.4;1
198308;48.7;1
198309;97.4;1
198310;37.4;1
198311;45.4;1
198312;46.9;1
198401;108.3;1
198402;26.8;1
198403;69.8;1
198404;5.9;1
198405;145.6;1
198406;34.7;1
198407;56.1;1
198408;51;1
198409;126.2;1
198410;90.5;1
198411;143.7;1
198412;43.5;1
198501;35.7;1
198502;37.7;1
198503;67.2;1
198504;100.8;1
198505;81.1;1
198506;28.1;1
198507;37.5;1
198508;44.3;1
198509;22;1
198510;17.5;1
198511;50.2;1
198512;25.1;1
198601;107.3;1
198602;51.4;1
198603;86.3;1
198604;71.6;1
198605;21.8;1
198606;14.9;1
198607;9.4;1
198608;38.2;1
198609;43.3;1
198610;77.2;1
198611;51.1;1
198612;77.2;1
198701;30.8;1
198702;38.7;1
198703;44.5;1
198704;36.9;1
198705;34.4;1
198706;81.4;1
198707;114.5;1
198708;33.7;1
198709;22.1;1
198710;140;1
198711;49.4;1
198712;72;1
198801;110.2;1
198802;90.5;1
198803;77;1
198804;48.7;1
198805;144.7;1
198806;15.6;1
198807;90.8;1
198808;20.5;1
198809;36.5;1
198810;39.5;1
198811;52.1;1
198812;33.4;1
198901;31.3;1
198902;68.2;1
198903;96.2;1
198904;93.1;1
198905;27.8;1
198906;33.7;1
198907;28.6;1
198908;8;1
198909;16.3;1
198910;36.1;1
