# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72137006
# NOM_USUEL= LA FRESNAYE
# LATITUDE (°) = 48.433
# LONGITUDE(°)= 0.212
# ALTITUDE (m) = 146
# NUM_SERIE= MRR172137006
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197412 199202
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;43.7;1
195102;102.2;1
195103;87.6;1
195104;73.6;1
195105;104.5;1
195106;116.9;1
195107;13.7;1
195108;121.1;1
195109;53.1;1
195110;29.2;1
195111;105.4;1
195112;70.5;1
195201;72.8;1
195202;53;1
195203;81.8;1
195204;38.6;1
195205;44;1
195206;7.7;1
195207;149.3;1
195208;70.5;1
195209;147.8;1
195210;105.8;1
195211;86.9;1
195212;131.7;1
195301;13.2;1
195302;54.6;1
195303;5.2;1
195304;68.9;1
195305;20.9;1
195306;102.2;1
195307;67;1
195308;12.6;1
195309;72.7;1
195310;68.9;1
195311;43.5;1
195312;11.5;1
195401;41.7;1
195402;61.9;1
195403;88.4;1
195404;2.9;1
195405;27.8;1
195406;42.2;1
195407;16.6;1
195408;51.4;1
195409;78.2;1
195410;50.5;1
195411;77.9;1
195412;67.6;1
195501;97.2;1
195502;87.5;1
195503;30.1;1
195504;3.1;1
195505;37.1;1
195506;129.9;1
195507;83.2;1
195508;39.7;1
195509;54.5;1
195510;42;1
195511;12.7;1
195512;81.6;1
195601;101.7;1
195602;4.9;1
195603;28.8;1
195604;61.2;1
195605;71.6;1
195606;29.9;1
195607;66.6;1
195608;72.5;1
195609;34.6;1
195610;36;1
195611;24.1;1
195612;53.3;1
195701;26.7;1
195702;134;1
195703;24.8;1
195704;33.8;1
195705;18.9;1
195706;57.4;1
195707;52;1
195708;51.1;1
195709;99.4;1
195710;18;1
195711;72.4;1
195712;54.8;1
195801;120.8;1
195802;100.8;1
195803;78.8;1
195804;39.4;1
195805;68.9;1
195806;98.4;1
195807;24.6;1
195808;64;1
195809;20.8;1
195810;50.9;1
195811;38.1;1
195812;80;1
195901;99.6;1
195902;1.1;1
195903;72.4;1
195904;106.5;1
195905;40.7;1
195906;36.2;1
195907;15.1;1
195908;33.7;1
195909;19.2;1
195910;101.1;1
195911;37.4;1
195912;147.7;1
196001;48.7;1
196002;55.4;1
196003;68.9;1
196004;24.6;1
196005;39.4;1
196006;38.8;1
196007;90.2;1
196008;98.4;1
196009;88.6;1
196010;153.8;1
196011;146.2;1
196012;150.3;1
196101;99.9;1
196102;59.1;1
196103;3;1
196104;82.2;1
196105;35.5;1
196106;31.5;1
196107;65.1;1
196108;2.8;1
196109;34.5;1
196110;147.7;1
196111;78.8;1
196112;73.8;1
196201;98.4;1
196202;39.4;1
196203;88.6;1
196204;59.1;1
196205;39.4;1
196206;3;1
196207;29.5;1
196208;59.1;1
196209;64;1
196210;59.1;1
196211;157.5;1
196212;49.2;1
196301;34.5;1
196302;39.4;1
196303;68.9;1
196304;68.9;1
196305;34.5;1
196306;39.4;1
196307;59.1;1
196308;137.1;1
196309;41.1;1
196310;56.5;1
196311;131.9;1
196312;13.8;1
196401;28.9;1
196402;108.7;1
196403;75.6;1
196404;40.2;1
196405;52;1
196406;77.1;1
196407;12.4;1
196408;11.8;1
196409;32.4;1
196410;78.2;1
196411;25.3;1
196412;102.4;1
196501;108.2;1
196502;9.8;1
196503;83.5;1
196504;48.9;1
196505;63.4;1
196506;30.6;1
196507;14.2;1
196508;69.2;1
196509;108;1
196510;31.3;1
196511;150.9;1
196512;155.6;1
196601;99.8;1
196602;63.9;1
196603;19.2;1
196604;116;1
196605;68;1
196606;42;1
196607;58.4;1
196608;56.1;1
196609;44.5;1
196610;281.5;1
196611;149.3;1
196612;132.5;1
196701;32.5;1
196702;57.3;1
196703;59.7;1
196704;56;1
196705;150.4;1
196706;28;1
196707;15.1;1
196708;47.6;1
196709;108.3;1
196710;103.3;1
196711;98.9;1
196712;79.5;1
196801;98.4;1
196802;73.7;1
196803;50.1;1
196804;53;1
196805;52.9;1
196806;59.1;1
196807;48.6;1
196808;39.5;1
196809;68.9;1
196810;31.7;1
196811;18.5;1
196812;73.8;1
196901;51.9;1
196902;32.1;1
196903;87.5;1
196904;34.1;1
196905;84.2;1
196906;41.6;1
196907;55.5;1
196908;17.8;1
196909;21.5;1
196910;19.3;1
196911;142.3;1
196912;87.2;1
197001;81.3;1
197002;134.9;1
197003;90.6;1
197004;34.8;1
197005;31.7;1
197006;52.9;1
197007;28.4;1
197008;52;1
197009;26.1;1
197010;22.2;1
197011;89.2;1
197012;27.1;1
197101;70;1
197102;46;1
197103;36.8;1
197104;47.6;1
197105;85.3;1
197106;93;1
197107;39.3;1
197108;66.3;1
197109;41.2;1
197110;13.6;1
197111;70;1
197112;10.3;1
197201;72;1
197202;106.8;1
197203;52.2;1
197204;58.3;1
197205;41.3;1
197206;46.5;1
197207;35.6;1
197208;65.5;1
197209;72.4;1
197210;27.5;1
197211;113.3;1
197212;26.9;1
197301;28.9;1
197302;45.3;1
197303;10.3;1
197304;50.6;1
197305;103.6;1
197306;36.3;1
197307;38.7;1
197308;48.7;1
197309;80.3;1
197310;43.6;1
197311;42.5;1
197312;41.9;1
197401;74.8;1
197402;85.3;1
197403;52.2;1
197404;27;1
197405;46;1
197406;68.1;1
197407;17.2;1
197408;62.8;1
197409;100.3;1
197410;87.3;1
197411;111.4;1
197412;31.3;1
197501;100.9;1
197502;22.6;1
197503;81.5;1
197504;55.5;1
197505;70.1;1
197506;29.1;1
197507;86.4;1
197508;58.8;1
197509;111.8;1
197510;22;1
197511;70.5;1
197512;16.6;1
197601;25.9;1
197602;41.1;1
197603;32.6;1
197604;7.1;1
197605;19.7;1
197606;0.5;1
197607;33.8;1
197608;1.6;1
197609;69.5;1
197610;59;1
197611;80.5;1
197612;76.1;1
197701;60;1
197702;118;1
197703;73.9;1
197704;44.1;1
197705;48;1
197706;48.2;1
197707;78.3;1
197708;33;1
197709;23.4;1
197710;77.3;1
197711;96.1;1
197712;80.6;1
197801;96.4;1
197802;99;1
197803;118.7;1
197804;82;1
197805;60.7;1
197806;66.7;1
197807;41.6;1
197808;36;1
197809;46;1
197810;17.1;1
197811;12.4;1
197812;123.6;1
197901;58.3;1
197902;121.3;1
197903;89.4;1
197904;63;1
197905;102;1
197906;47.6;1
197907;16.9;1
197908;38.9;1
197909;11.9;1
197910;97.3;1
197911;51.7;1
197912;145.2;1
198001;65.3;1
198002;61.1;1
198003;104.9;1
198004;1.6;1
198005;33.7;1
198006;94.8;1
198007;75.7;1
198008;17.1;1
198009;54.3;1
198010;75.5;1
198011;61;1
198012;78.5;1
198101;56.1;1
198102;52.5;1
198103;125.9;1
198104;50.8;1
198105;174.2;1
198106;21;1
198107;24.9;1
198108;18.4;1
198109;112.9;1
198110;139.1;1
198111;33.6;1
198112;139.3;1
198201;59.7;1
198202;36.1;1
198203;51.6;1
198204;9.7;1
198205;57;1
198206;65.9;1
198207;66.9;1
198208;27.3;1
198209;53;1
198210;135;1
198211;80.7;1
198212;98.5;1
198301;35;1
198302;59.4;1
198303;39.1;1
198304;105.6;1
198305;103.2;1
198306;104.1;1
198307;104.6;1
198308;28.5;1
198309;61.3;1
198310;36.6;1
198311;28.8;1
198312;54.8;1
198401;146.9;1
198402;28.4;1
198403;79.4;1
198404;4.6;1
198405;146.7;1
198406;16.5;1
198407;60.4;1
198408;21.8;1
198409;92;1
198410;78.8;1
198411;91.6;1
198412;52.4;1
198501;57.1;1
198502;17.8;1
198503;75.3;1
198504;81.9;1
198505;56.5;1
198506;25.7;1
198507;84.6;1
198508;56.9;1
198509;25.5;1
198510;25.1;1
198511;50.8;1
198512;44.8;1
198601;100.6;1
198602;45.2;1
198603;73;1
198604;69.3;1
198605;37.4;1
198606;16.1;1
198607;20.3;1
198608;72.6;1
198609;113.5;1
198610;43.7;1
198611;51.7;1
198612;99.4;1
198701;32.2;1
198702;41.6;1
198703;46.8;1
198704;29.1;1
198705;46.4;1
198706;87.4;1
198707;101.5;1
198708;24.8;1
198709;23.1;1
198710;166.6;1
198711;58.2;1
198712;64.2;1
198801;181.6;1
198802;75;1
198803;87.5;1
198804;49.3;1
198805;158.6;1
198806;41.3;1
198807;77;1
198808;27.6;1
198809;59.9;1
198810;48;1
198811;46.3;1
198812;48.4;1
198901;36;1
198902;73.4;1
198903;71.8;1
198904;86;1
198905;41.4;1
198906;38.9;1
198907;19.7;1
198908;49.7;1
198909;17.8;1
198910;41.4;1
198911;51.9;1
198912;133.2;1
199001;68;1
199002;100.7;1
199003;7;1
199004;54.6;1
199005;9.7;1
199006;44.2;1
199007;20.1;1
199008;28.3;1
199009;19.2;1
199010;64.6;1
199011;42.8;1
199012;64;1
199101;107.3;1
199102;18.4;1
199103;59;1
199104;38.4;1
199105;15;1
199106;71.4;1
199107;42.4;1
199108;9;1
199109;48;1
199110;71.7;1
199111;98.8;1
199112;27.4;1
199201;7.7;1
199202;32.8;1
199203;60.5;1
199204;37.3;1
199205;36.2;1
199206;71.4;1
199207;44.9;1
199208;103.7;1
199209;39.3;1
199210;51.8;1
199211;85.1;1
199212;68.9;1
199301;88.4;1
199302;15.3;1
199303;8;1
199304;98.1;1
199305;58.7;1
199306;74.2;1
199307;27.6;1
199308;4.8;1
199309;139.6;1
199310;97.6;1
199311;24.5;1
199312;93.8;1
199401;121.2;1
199402;96;1
199403;43.9;1
199404;58;1
199405;111.7;1
199406;58;1
199407;117.2;1
199408;56.7;1
199409;87.6;1
199410;65.3;1
199411;82.3;1
199412;85.8;1
199501;153.7;1
199502;82.9;1
199503;76.2;1
199504;42.5;1
199505;51.7;1
199506;19.4;1
199507;64.6;1
199508;37.2;1
199509;103.4;1
199510;26.1;1
199511;33.1;1
199512;62;1
199601;48.5;1
199602;87.2;1
199603;29;1
199604;11.9;1
199605;74.6;1
199606;4.7;1
199607;16.4;1
199608;27.3;1
199609;38.4;1
199610;32.4;1
199611;101.8;1
199612;43.9;1
199701;12.8;1
199702;114.9;1
199703;6.5;1
199704;9.2;1
199705;105.6;1
199706;118.7;1
199707;16;1
199708;57.5;1
199709;10.4;1
199710;57.2;1
199711;65.1;1
199712;91.6;1
199801;105.9;1
199802;11.7;1
199803;30.1;1
199804;142.7;1
199805;24;1
199806;62.4;1
199807;43.2;1
199808;3.3;1
199809;144;1
199810;115.2;1
199811;31.2;1
199812;125.1;1
199901;81.6;1
199902;55.9;1
199903;38.3;1
199904;84.7;1
199905;46.1;1
199906;48;1
199907;26.1;1
199908;95.3;1
199909;150.9;1
199910;75.5;1
199911;55.5;1
199912;202.3;1
200001;17.2;1
200002;62.1;1
200003;40.8;1
200004;111.3;1
200005;72.2;1
200006;19;1
200007;112;1
200008;56.1;1
200009;58.2;1
200010;153.8;1
200011;155.5;1
200012;140.6;1
200101;125.2;1
200102;72;1
200103;171;1
200104;89.9;1
200105;14.7;1
