# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72181001
# NOM_USUEL= LE MANS
# LATITUDE (°) = 47.946
# LONGITUDE(°)= 0.194
# ALTITUDE (m) = 51
# NUM_SERIE= MRR172181001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195312
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;59.4;1
195102;55.2;1
195103;65.1;1
195104;56.1;1
195105;113.4;1
195106;143.1;1
195107;39.5;1
195108;126.1;1
195109;36.3;1
195110;30.1;1
195111;89.7;1
195112;57.6;1
195201;68.5;1
195202;40.9;1
195203;84.9;1
195204;16.2;1
195205;38.9;1
195206;29.6;1
195207;23.2;1
195208;55.7;1
195209;124.8;1
195210;92.1;1
195211;102.3;1
195212;118.7;1
195301;15.1;1
195302;26.7;1
195303;2.5;1
195304;57.7;1
195305;21.1;1
195306;43.1;1
195307;71.2;1
195308;7.2;1
195309;71.6;1
195310;60.3;1
195311;33.3;1
195312;13.4;1
195401;19.5;1
195402;58.4;1
195403;73.3;1
195404;6.7;1
195405;17.5;1
195406;48.1;1
195407;16.5;1
195408;81.8;1
195409;57.5;1
195410;33.6;1
195411;53.1;1
195412;69;1
195501;104.1;1
195502;103.9;1
195503;40.5;1
195504;2.2;1
195505;51.6;1
195506;85.3;1
195507;58.8;1
195508;31.9;1
195509;36;1
195510;53.4;1
195511;14.4;1
195512;97.5;1
195601;106.4;1
195602;6.9;1
195603;28.9;1
195604;49.2;1
195605;31;1
195606;25.4;1
195607;62.4;1
195608;98.6;1
195609;42;1
195610;31.1;1
195611;30.7;1
195612;40.4;1
195701;21.2;1
195702;136.7;1
195703;24.5;1
195704;38.2;1
195705;31.1;1
195706;93.3;1
195707;62.3;1
195708;54.4;1
195709;74.3;1
195710;20.9;1
195711;63.2;1
195712;48.7;1
195801;106.5;1
195802;129;1
195803;58.3;1
195804;46;1
195805;70.3;1
195806;154;1
195807;34.5;1
195808;77.7;1
195809;23.3;1
195810;38.5;1
195811;53.3;1
195812;75.7;1
195901;93.1;1
195902;3.7;1
195903;49.3;1
195904;90.2;1
195905;35.4;1
195906;57.4;1
195907;20.6;1
195908;26.2;1
195909;16.8;1
195910;71.7;1
195911;42.8;1
195912;147.3;1
196001;48.3;1
196002;42.5;1
196003;79.6;1
196004;21.8;1
196005;35.2;1
196006;61.9;1
196007;80.2;1
196008;74.1;1
196009;108.4;1
196010;136.7;1
196011;139.8;1
196012;128.7;1
196101;91.1;1
196102;44;1
196103;2.7;1
196104;64.5;1
196105;33.4;1
196106;41.7;1
196107;61.7;1
196108;6.6;1
196109;50.8;1
196110;96.2;1
196111;77.4;1
196112;86.2;1
196201;69.1;1
196202;35.9;1
196203;93.8;1
196204;62.9;1
196205;28.4;1
196206;4.2;1
196207;42.3;1
196208;24.8;1
196209;43.1;1
196210;46.4;1
196211;125;1
196212;52.6;1
196301;38.8;1
196302;31.5;1
196303;88.1;1
196304;70.2;1
196305;58.5;1
196306;83.9;1
196307;26.9;1
196308;117.5;1
196309;43.2;1
196310;34.4;1
196311;113.6;1
196312;9.7;1
196401;20.1;1
196402;101;1
196403;93.8;1
196404;45.9;1
196405;56.4;1
196406;58.4;1
196407;14.4;1
196408;12.2;1
196409;27.1;1
196410;49.1;1
196411;40.6;1
196412;86;1
196501;127.6;1
196502;7;1
196503;71.1;1
196504;54.6;1
196505;58.5;1
196506;38.9;1
196507;24.4;1
196508;146.1;1
196509;118.2;1
196510;18.4;1
196511;152.6;1
196512;113.9;1
196601;94.1;1
196602;59.8;1
196603;19.1;1
196604;91.7;1
196605;40;1
196606;28.3;1
196607;69.5;1
196608;52.7;1
196609;17.1;1
196610;209.6;1
196611;100.6;1
196612;76.5;1
196701;28.5;1
196702;71.7;1
196703;49.2;1
196704;30.6;1
196705;125.4;1
196706;31.7;1
196707;14.6;1
196708;46.1;1
196709;106.7;1
196710;58.9;1
196711;64;1
196712;60.2;1
196801;64.5;1
196802;65.1;1
196803;41;1
196804;37.2;1
196805;50;1
196806;66.7;1
196807;76.2;1
196808;48.2;1
196809;103.4;1
196810;34.2;1
196811;13.4;1
196812;54.4;1
196901;49.2;1
196902;32.9;1
196903;55.1;1
196904;33.4;1
196905;77.5;1
196906;28.6;1
196907;36.6;1
196908;13;1
196909;24.8;1
196910;13.5;1
196911;141.5;1
196912;65;1
197001;73;1
197002;108.3;1
197003;44.7;1
197004;31.3;1
197005;31.2;1
197006;50.3;1
197007;19.3;1
197008;85.8;1
197009;27.2;1
197010;33.9;1
197011;94.3;1
197012;16.2;1
197101;76.3;1
197102;31.9;1
197103;35.9;1
197104;43;1
197105;86.9;1
197106;51.7;1
197107;41.7;1
197108;82.5;1
197109;33.9;1
197110;16.3;1
197111;60;1
197112;16;1
197201;88.3;1
197202;84.6;1
197203;44.5;1
197204;49.2;1
197205;31;1
197206;68.2;1
197207;86.8;1
197208;79.4;1
197209;54.7;1
197210;18;1
197211;89.7;1
197212;15.3;1
197301;31.5;1
197302;53.4;1
197303;6.1;1
197304;47.3;1
197305;107.9;1
197306;37.3;1
197307;53.8;1
197308;45.9;1
197309;81.2;1
197310;26.2;1
197311;26.3;1
197312;50.4;1
197401;82.9;1
197402;62.1;1
197403;58.9;1
197404;54.1;1
197405;45.8;1
197406;66.7;1
197407;22.7;1
197408;62.4;1
197409;88.1;1
197410;73.8;1
197411;89.4;1
197412;44.7;1
197501;99.3;1
197502;19.8;1
197503;88.8;1
197504;53.6;1
197505;94;1
197506;22.4;1
197507;69.2;1
197508;57.2;1
197509;114;1
197510;22.3;1
197511;69.8;1
197512;19.8;1
197601;25.8;1
197602;48;1
197603;28.5;1
197604;6.8;1
197605;12.2;1
197606;0.2;1
197607;47.7;1
197608;5.5;1
197609;85;1
197610;80;1
197611;72.9;1
197612;51.2;1
197701;44.9;1
197702;115.3;1
197703;55.5;1
197704;34.9;1
197705;50.7;1
197706;55;1
197707;43.4;1
197708;41.5;1
197709;10.5;1
197710;45.9;1
197711;59.8;1
197712;71.8;1
197801;85.8;1
197802;89.8;1
197803;100.9;1
197804;57.2;1
197805;91.6;1
197806;90.5;1
197807;42;1
197808;30.1;1
197809;37.4;1
197810;5.3;1
197811;20.2;1
197812;136.2;1
197901;50.3;1
197902;103.5;1
197903;89.1;1
197904;60.1;1
197905;86.4;1
197906;33.9;1
197907;12.6;1
197908;39;1
197909;11.2;1
197910;85.6;1
197911;36.1;1
197912;131.5;1
198001;58.3;1
198002;63.2;1
198003;90.1;1
198004;3.4;1
198005;48;1
198006;107.9;1
198007;73.2;1
198008;11;1
198009;56.5;1
198010;64;1
198011;64.4;1
198012;73.8;1
198101;52;1
198102;45.5;1
198103;93;1
198104;27.6;1
198105;110.6;1
198106;23.8;1
198107;41.3;1
198108;45.2;1
198109;55.7;1
198110;103.6;1
198111;23.8;1
