# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72264001
# NOM_USUEL= SABLE SUR SARTH
# LATITUDE (°) = 47.84
# LONGITUDE(°)= -0.303
# ALTITUDE (m) = 41
# NUM_SERIE= MRR172264001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;49.6;1
195102;68.6;1
195103;71.9;1
195104;36.9;1
195105;88.9;1
195106;136.7;1
195107;20.9;1
195108;83.6;1
195109;39.3;1
195110;40.3;1
195111;95.3;1
195112;66.2;1
195201;78.1;1
195202;46.2;1
195203;110.8;1
195204;25.9;1
195205;33;1
195206;7;1
195207;74.2;1
195208;63.1;1
195209;126.1;1
195210;127.5;1
195211;90.2;1
195212;132.8;1
195301;17;1
195302;30;1
195303;2.9;1
195304;68.8;1
195305;18.4;1
195306;34.8;1
195307;75.7;1
195308;9.8;1
195309;93.6;1
195310;92.7;1
195311;25.6;1
195312;11.8;1
195401;19.6;1
195402;51;1
195403;65;1
195404;5.9;1
195405;51.3;1
195406;52.3;1
195407;26.3;1
195408;78.6;1
195409;60.5;1
195410;36;1
195411;65.6;1
195412;55.4;1
195501;100.1;1
195502;90.6;1
195503;51.9;1
195504;1;1
195505;40.8;1
195506;83.8;1
195507;22.9;1
195508;15.9;1
195509;37;1
195510;38.2;1
195511;17.8;1
195512;98.5;1
195601;111.1;1
195602;2.2;1
195603;22.7;1
195604;52.8;1
195605;28.6;1
195606;24.6;1
195607;58;1
195608;112.7;1
195609;46.4;1
195610;24.8;1
195611;24.8;1
195612;50;1
195701;26.5;1
195702;143.1;1
195703;16.2;1
195704;49.5;1
195705;20.4;1
195706;67.7;1
195707;58.2;1
195708;69.9;1
195709;67.6;1
195710;16.4;1
195711;81.4;1
195712;35.7;1
195801;153.7;1
195802;118.9;1
195803;66.6;1
195804;42.5;1
195805;56.6;1
195806;114.4;1
195807;24.9;1
195808;69;1
195809;25.2;1
195810;53.7;1
195811;54.4;1
195812;79.8;1
195901;112.9;1
195902;7.6;1
195903;44.4;1
195904;101;1
195905;39;1
195906;32.7;1
195907;6;1
195908;23.3;1
195909;15.8;1
195910;85.1;1
195911;45.2;1
195912;191.7;1
196001;57.6;1
196002;59.3;1
196003;62.2;1
196004;12.8;1
