# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73034002
# NOM_USUEL= BEAUFORT-SUR-DORON
# LATITUDE (°) = 45.691
# LONGITUDE(°)= 6.569
# ALTITUDE (m) = 1036
# NUM_SERIE= MRR173034002
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;136.2;1
195102;196.4;1
195103;161.1;1
195104;89.6;1
195105;72.1;1
195106;185.1;1
195107;153.8;1
195108;155.5;1
195109;79.2;1
195110;43.4;1
195111;182.5;1
195112;136.2;1
195201;209;1
195202;141.2;1
195203;140.9;1
195204;63;1
195205;62.2;1
195206;73.4;1
195207;45.2;1
195208;190.6;1
195209;180.9;1
195210;315.1;1
195211;308.6;1
195212;213.6;1
195301;24.4;1
195302;82.4;1
195303;7.1;1
195304;83.5;1
195305;79.5;1
195306;214.3;1
195307;148.5;1
195308;121.2;1
195309;128.9;1
195310;75.8;1
195311;34.2;1
195312;33.4;1
195401;87;1
195402;99.2;1
195403;78.3;1
195404;124.9;1
195405;101.5;1
195406;118.3;1
195407;110;1
195408;271.5;1
195409;240.7;1
195410;116.6;1
195411;78.6;1
195412;206.1;1
195501;350.4;1
195502;330;1
195503;56.1;1
195504;10.8;1
195505;225.6;1
195506;203.6;1
195507;127.3;1
195508;135.2;1
195509;122.1;1
195510;59.8;1
195511;22.9;1
195512;198.9;1
195601;146.9;1
195602;12.2;1
195603;14.4;1
195604;117.5;1
195605;98.1;1
195606;87.1;1
195607;188.8;1
195608;254.5;1
195609;71.2;1
195610;112.8;1
195611;52;1
195612;19.6;1
195701;25.2;1
195702;292.8;1
195703;16.9;1
195704;36.7;1
195705;127.7;1
195706;149.9;1
195707;165.9;1
195708;154.3;1
195709;120.2;1
195710;34.7;1
195711;26.3;1
195712;43.8;1
195801;189.6;1
195802;274.3;1
195803;134.1;1
195804;82.5;1
195805;90.3;1
195806;204.9;1
195807;132;1
195808;155.7;1
195809;101.4;1
195810;106.5;1
195811;66.4;1
195812;150.2;1
195901;234.4;1
195902;0.3;1
195903;65.3;1
195904;184.2;1
195905;65;1
195906;126.7;1
195907;130.2;1
195908;99.7;1
195909;68.9;1
195910;119.1;1
195911;33.7;1
195912;316.7;1
196001;114.5;1
196002;183.6;1
196003;87.3;1
196004;28;1
196005;63.5;1
196006;128.1;1
196007;184.8;1
196008;180.6;1
196009;261.2;1
196010;161;1
196011;193.8;1
196012;76.4;1
196101;158.9;1
196102;138.3;1
196103;36.4;1
196104;132.1;1
196105;71.8;1
196106;140.8;1
196107;274;1
196108;80.7;1
196109;20.8;1
196110;147.3;1
196111;80.1;1
196112;208.5;1
196201;238.4;1
196202;96;1
196203;196.4;1
196204;107;1
196205;101.2;1
196206;50;1
196207;64.4;1
196208;33;1
196209;99.2;1
196210;44;1
196211;97.2;1
196212;230.7;1
196301;81.2;1
196302;112.9;1
196303;254.6;1
196304;71.3;1
196305;81.7;1
196306;235.3;1
196307;137.2;1
196308;229.4;1
196309;69.8;1
196310;56.8;1
196311;227.6;1
196312;4;1
196401;5.6;1
196402;28.7;1
196403;134.9;1
196404;104.7;1
196405;120.5;1
196406;80.7;1
196407;73.7;1
196408;123;1
196409;111.1;1
196410;165.7;1
196411;63.1;1
196412;39;1
196501;128.3;1
196502;23.8;1
196503;157.9;1
196504;131;1
196505;132.3;1
196506;99.3;1
196507;267.7;1
196508;114.3;1
196509;186;1
196510;13.9;1
196511;272.8;1
196512;379.1;1
196601;151.4;1
196602;174.8;1
196603;92.9;1
196604;168.3;1
196605;82.8;1
196606;75.2;1
196607;182.9;1
196608;214.1;1
196609;28.9;1
196610;100.6;1
196611;88.4;1
196612;204.1;1
196701;71.1;1
196702;157.7;1
196703;147;1
196704;47.1;1
196705;167.7;1
196706;102.6;1
196707;107;1
196708;104.7;1
196709;78.5;1
196710;119.1;1
196711;76.5;1
196712;97.8;1
196801;230;1
196802;78.4;1
196803;48.7;1
196804;93.2;1
196805;88.4;1
196806;77.6;1
196807;145.3;1
196808;237.5;1
196809;283.9;1
196810;68.5;1
196811;127.1;1
196812;191.2;1
196901;53.7;1
196902;76.6;1
196903;61.6;1
196904;129.2;1
196905;65.7;1
196906;124.6;1
196907;138.2;1
196908;179.3;1
196909;72.2;1
196910;5.2;1
196911;221.6;1
196912;88.3;1
197001;77.1;1
197002;344.9;1
197003;153.7;1
197004;238.8;1
197005;84.1;1
197006;146.8;1
197007;107.7;1
197008;143;1
197009;79.7;1
197010;71.9;1
197011;150.5;1
197012;35.3;1
197101;90.8;1
197102;31.8;1
197103;127.8;1
197104;71.8;1
197105;89.8;1
197106;204.4;1
197107;88.9;1
197108;174.7;1
197109;60.4;1
197110;28;1
197111;196.5;1
197112;2.5;1
197201;28.3;1
197202;80.9;1
197203;53.1;1
197204;110.1;1
197205;100.9;1
197206;131.4;1
197207;101.4;1
197208;63.9;1
197209;59.5;1
197210;43;1
197211;295.2;1
197212;23.1;1
197301;56.9;1
197302;81.3;1
197303;5.4;1
197304;90.8;1
197305;99.8;1
197306;126.3;1
197307;305.1;1
197308;127.7;1
197309;78.4;1
197310;116;1
197311;77.7;1
197312;94.1;1
197401;67.3;1
197402;105.1;1
197403;75.1;1
197404;43.6;1
197405;137.4;1
197406;168.3;1
197407;72.6;1
197408;112.5;1
197409;193;1
197410;180.7;1
197411;197.5;1
197412;102.4;1
197501;148.6;1
197502;6.7;1
