# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73064001
# NOM_USUEL= CHALLES LES EAUX
# LATITUDE (°) = 45.565
# LONGITUDE(°)= 5.97
# ALTITUDE (m) = 298
# NUM_SERIE= MRR173064001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 201412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;104.3;1
195102;171.7;1
195103;146.6;1
195104;80.2;1
195105;85.4;1
195106;205.8;1
195107;182.3;1
195108;150;1
195109;77.9;1
195110;68.9;1
195111;196.6;1
195112;106;1
195201;148.7;1
195202;61.8;1
195203;81.2;1
195204;46.6;1
195205;66.1;1
195206;51.7;1
195207;49.2;1
195208;189.9;1
195209;125;1
195210;246.1;1
195211;212.4;1
195212;155.4;1
195301;15.1;1
195302;41.6;1
195303;4.9;1
195304;66.8;1
195305;75.3;1
195306;236.6;1
195307;65.5;1
195308;151.6;1
195309;163;1
195310;63.6;1
195311;48.1;1
195312;32.8;1
195401;80.1;1
195402;69.6;1
195403;87;1
195404;125;1
195405;100.7;1
195406;104.4;1
195407;73.2;1
195408;299.9;1
195409;148.2;1
195410;86;1
195411;83.1;1
195412;189.7;1
195501;193.6;1
195502;246;1
195503;51.4;1
195504;11.5;1
195505;157.1;1
195506;167.1;1
195507;114.6;1
195508;88.5;1
195509;71.5;1
195510;55;1
195511;45.7;1
195512;121.2;1
195601;118.3;1
195602;7.3;1
195603;59.9;1
195604;81.7;1
195605;124.4;1
195606;87.4;1
195607;146;1
195608;227;1
195609;114;1
195610;140.6;1
195611;43.9;1
195612;29.1;1
195701;28.8;1
195702;189;1
195703;21.7;1
195704;44.6;1
195705;60.5;1
195706;156;1
195707;141.9;1
195708;70.4;1
195709;91.3;1
195710;40.1;1
195711;53.7;1
195712;52.3;1
195801;132.4;1
195802;159.5;1
195803;87.3;1
195804;101;1
195805;123.2;1
195806;215.1;1
195807;98.1;1
195808;141.2;1
195809;109.4;1
195810;119.3;1
195811;67;1
195812;100.8;1
195901;140.9;1
195902;0;1
195903;79.1;1
195904;130.8;1
195905;51.9;1
195906;99.9;1
195907;134.6;1
195908;106;1
195909;68.1;1
195910;144.2;1
195911;49.3;1
195912;180.6;1
196001;86.8;1
196002;137.7;1
196003;118.9;1
196004;15;1
196005;42.4;1
196006;137.6;1
196007;157.3;1
196008;206.5;1
196009;266.2;1
196010;164.9;1
196011;195;1
196012;66.6;1
196101;124.4;1
196102;108.9;1
196103;25.6;1
196104;130;1
196105;143.8;1
196106;118.4;1
196107;212.4;1
196108;66.3;1
196109;7;1
196110;143.9;1
196111;94.5;1
196112;224.4;1
196201;159.8;1
196202;82.2;1
196203;124.1;1
196204;82.1;1
196205;114.8;1
196206;33.3;1
196207;34.1;1
196208;13.7;1
196209;105.1;1
196210;46.2;1
196211;40.1;1
196212;218;1
196301;45;1
196302;84.6;1
196303;205.5;1
196304;103.5;1
196305;74.9;1
196306;207.6;1
196307;61.1;1
196308;269.2;1
196309;76.1;1
196310;45.4;1
196311;163.8;1
196312;7.2;1
196401;7.6;1
196402;62;1
196403;164.4;1
196404;70.7;1
196405;85.4;1
196406;88.9;1
196407;30.3;1
196408;135.7;1
196409;97.8;1
196410;115.8;1
196411;39.6;1
196412;40.2;1
196501;133.9;1
196502;13;1
196503;153.6;1
196504;121.9;1
196505;175.5;1
196506;77.7;1
196507;162.2;1
196508;112.2;1
196509;216.3;1
196510;23.3;1
196511;206.4;1
196512;294.1;1
196601;118.4;1
196602;172.8;1
196603;82.3;1
196604;153.8;1
196605;109.7;1
196606;58.1;1
196607;168.8;1
196608;82.4;1
196609;39.7;1
196610;112;1
196611;119.4;1
196612;175.2;1
196701;81.3;1
196702;92.7;1
196703;95.3;1
196704;30.4;1
196705;159.2;1
196706;83.7;1
196707;60.3;1
196708;62.2;1
196709;150.8;1
196710;90.2;1
196711;104.6;1
196712;84.4;1
196801;179.2;1
196802;98.5;1
196803;46;1
196804;80.6;1
196805;85.2;1
196806;91.2;1
196807;146.3;1
196808;291.3;1
196809;210.4;1
196810;46.3;1
196811;110.4;1
196812;186.9;1
196901;88.1;1
196902;71.6;1
196903;80.9;1
196904;99;1
196905;82.5;1
196906;170.3;1
196907;65;1
196908;77.6;1
196909;55.2;1
196910;1;1
196911;141.1;1
196912;100;1
197001;84;1
197002;229;1
197003;143.8;1
197004;200.9;1
197005;111.3;1
197006;118.6;1
197007;80.9;1
197008;81.8;1
197009;67.2;1
197010;95.2;1
197011;148.3;1
197012;29.5;1
197101;80.8;1
197102;46.2;1
197103;141.2;1
197104;123.6;1
197105;80.8;1
197106;168.8;1
197107;33.6;1
197108;123.6;1
197109;83.7;1
197110;26.3;1
197111;180.5;1
197112;3.5;1
197201;40.1;1
197202;96.8;1
197203;70.5;1
197204;92.2;1
197205;60.7;1
197206;154;1
197207;103.1;1
197208;46.3;1
197209;68.8;1
197210;29.7;1
197211;154.9;1
197212;47.8;1
197301;63.4;1
197302;83;1
197303;10.5;1
197304;102.2;1
197305;87.7;1
197306;133.4;1
197307;271.2;1
197308;117.7;1
197309;103.8;1
197310;66;1
197311;58.1;1
197312;57.9;1
197401;83.9;1
197402;152.3;1
197403;69.3;1
197404;23.2;1
197405;109.4;1
197406;142.8;1
197407;106.6;1
197408;57.2;1
197409;228.1;1
197410;213.1;1
197411;229;1
197412;76.6;1
197501;119.9;1
197502;9.7;1
197503;101.4;1
197504;78.5;1
197505;108.9;1
197506;107.6;1
197507;42;1
197508;125.6;1
197509;243.1;1
197510;69.4;1
197511;167.9;1
197512;75.8;1
197601;25.1;1
197602;78.8;1
197603;61.3;1
197604;90.6;1
197605;28.9;1
197606;7.8;1
197607;61.2;1
197608;87.7;1
197609;134.9;1
197610;97.8;1
197611;144.2;1
197612;124.2;1
197701;128;1
197702;244.5;1
197703;109.4;1
197704;147;1
197705;105.1;1
197706;99.2;1
197707;155.4;1
197708;129;1
197709;10.8;1
197710;162.7;1
197711;144.3;1
197712;115.5;1
197801;167.1;1
197802;163.9;1
197803;174.5;1
197804;95;1
197805;116.2;1
197806;101.6;1
197807;89.8;1
197808;127.7;1
197809;62.9;1
197810;21.3;1
197811;12.8;1
197812;137.6;1
197901;140.6;1
197902;148.5;1
197903;180.7;1
197904;114.5;1
197905;79.2;1
197906;68.5;1
197907;70.5;1
197908;146.5;1
197909;59;1
197910;110.6;1
197911;112.2;1
197912;203.9;1
198001;106.5;1
198002;101.3;1
198003;164.2;1
198004;30.9;1
198005;177.7;1
198006;182.4;1
198007;177.7;1
198008;59.7;1
198009;99.2;1
198010;245.5;1
198011;113.2;1
198012;112.4;1
198101;175.9;1
198102;74.3;1
198103;172.1;1
198104;24.1;1
198105;157.5;1
198106;52.4;1
198107;166;1
198108;28;1
198109;141.2;1
198110;177.2;1
198111;85.5;1
198112;238.9;1
198201;94.6;1
198202;17.7;1
198203;136.2;1
198204;17.6;1
198205;118;1
198206;172.5;1
198207;81;1
198208;165.9;1
198209;96.9;1
198210;186.6;1
198211;97.4;1
198212;182.3;1
