# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73167001
# NOM_USUEL= MONTGELLAFREY
# LATITUDE (°) = 45.393
# LONGITUDE(°)= 6.321
# ALTITUDE (m) = 1057
# NUM_SERIE= MRR173167001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196212 198512 199812
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;109;1
195102;143.3;1
195103;113.2;1
195104;78.1;1
195105;80.5;1
195106;117;1
195107;112.6;1
195108;105.9;1
195109;65.6;1
195110;28.6;1
195111;187.5;1
195112;74.1;1
195201;171;1
195202;119.2;1
195203;67;1
195204;75.1;1
195205;65.3;1
195206;41.4;1
195207;30;1
195208;118.2;1
195209;96.6;1
195210;191.5;1
195211;150.4;1
195212;147.4;1
195301;12.1;1
195302;81.3;1
195303;0;1
195304;60.6;1
195305;83.7;1
195306;180.8;1
195307;44.9;1
195308;55.8;1
195309;93.4;1
195310;85.5;1
195311;33;1
195312;21.4;1
195401;76.4;1
195402;60.5;1
195403;57.2;1
195404;119.4;1
195405;56.7;1
195406;58.3;1
195407;135.7;1
195408;213.7;1
195409;113.9;1
195410;46.7;1
195411;67;1
195412;134;1
195501;278.2;1
195502;303.2;1
195503;17;1
195504;20.1;1
195505;133.4;1
195506;166.6;1
195507;77.1;1
195508;103;1
195509;74.9;1
195510;53.1;1
195511;25.2;1
195512;114.8;1
195601;84.2;1
195602;8.9;1
195603;12.1;1
195604;102;1
195605;68;1
195606;86.7;1
195607;107.7;1
195608;152.5;1
195609;84.6;1
195610;71.4;1
195611;34.8;1
195612;8.3;1
195701;26.3;1
195702;225.6;1
195703;9.5;1
195704;48.7;1
195705;106.4;1
195706;103.2;1
195707;141.6;1
195708;147.6;1
195709;68.9;1
195710;57.8;1
195711;39.7;1
195712;41.9;1
195801;168;1
195802;204.6;1
195803;67.9;1
195804;71.4;1
195805;127.9;1
195806;174;1
195807;79.4;1
195808;120.9;1
195809;98;1
195810;77.5;1
195811;58.9;1
195812;104.2;1
195901;161.6;1
195902;0;1
195903;65.2;1
195904;119.7;1
195905;20.1;1
195906;87.6;1
195907;84.5;1
195908;73.9;1
195909;26.8;1
195910;166.3;1
195911;31.3;1
195912;195.8;1
196001;87.7;1
196002;102.4;1
196003;107.5;1
196004;21.1;1
196005;45.4;1
196006;130.9;1
196007;145.7;1
196008;143;1
196009;261.2;1
196010;161.4;1
196011;152;1
196012;60.5;1
196101;116.1;1
196102;145.1;1
196103;10.7;1
196104;154.8;1
196105;49.5;1
196106;68.4;1
196107;148.4;1
196108;52.7;1
196109;17.2;1
196110;167.7;1
196111;77.9;1
196112;176.8;1
196201;169;1
196202;105.5;1
196203;149.6;1
196204;97.9;1
196205;108.8;1
196206;30;1
196207;36.1;1
196208;13.1;1
196209;64.5;1
196210;41.8;1
196211;45.4;1
196212;256.1;1
196301;33.1;1
196302;52.3;1
196303;186.9;1
196304;66.5;1
196305;78.8;1
196306;122;1
196307;129.1;1
196308;149.8;1
196309;62.8;1
196310;51.6;1
196311;176.5;1
196312;5.6;1
196401;3.4;1
196402;28;1
196403;139.2;1
196404;46.2;1
196405;75.8;1
196406;65.3;1
196407;44.5;1
196408;110.5;1
196409;73.4;1
196410;150.9;1
196411;20;1
196412;22.9;1
196501;103.8;1
196502;10.6;1
196503;96.3;1
196504;113.1;1
196505;162;1
196506;85.1;1
196507;133.9;1
196508;83.3;1
196509;165.6;1
196510;6.5;1
196511;181.5;1
196512;331.2;1
196601;136.2;1
196602;103.4;1
196603;80.7;1
196604;140.1;1
196605;74.5;1
196606;69.3;1
196607;111.8;1
196608;136.8;1
196609;24.8;1
196610;91.7;1
196611;88.3;1
196612;134;1
196701;47.4;1
196702;124.4;1
196703;98.6;1
196704;43.4;1
196705;109.7;1
196706;70.5;1
196707;97.2;1
196708;63.3;1
196709;84;1
196710;54.8;1
196711;88.3;1
196712;73.3;1
196801;208.4;1
196802;56.8;1
196803;28.9;1
196804;49.6;1
