# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73206001
# NOM_USUEL= PRALOGNAN LA VANOISE
# LATITUDE (°) = 45.386
# LONGITUDE(°)= 6.717
# ALTITUDE (m) = 1420
# NUM_SERIE= MRR173206001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;117.4;1
195102;132.4;1
195103;141.3;1
195104;70.4;1
195105;81.8;1
195106;101.5;1
195107;75.2;1
195108;172.4;1
195109;42.3;1
195110;29;1
195111;174.8;1
195112;80.4;1
195201;163.4;1
195202;107.3;1
195203;104.9;1
195204;59.7;1
195205;67.4;1
195206;79.1;1
195207;40.5;1
195208;147.8;1
195209;90.6;1
195210;204.6;1
195211;189.6;1
195212;173.4;1
195301;29.9;1
195302;53.9;1
195303;1.1;1
195304;70.7;1
195305;71.3;1
195306;150.1;1
195307;77.8;1
195308;51.6;1
195309;125.1;1
195310;107.4;1
195311;24.4;1
195312;27.2;1
195401;73.8;1
195402;45.9;1
195403;51.5;1
195404;112.8;1
195405;78.1;1
195406;109.6;1
195407;117.3;1
195408;186.3;1
195409;130.5;1
195410;68.4;1
195411;59.1;1
195412;178;1
195501;227.5;1
195502;292;1
195503;50.8;1
195504;15.7;1
195505;137.1;1
195506;154.5;1
195507;79.7;1
195508;50.4;1
195509;83.4;1
195510;54.8;1
195511;22.2;1
195512;97;1
195601;95.2;1
195602;13.4;1
195603;19.9;1
195604;98.8;1
195605;76.3;1
195606;89.8;1
195607;126.3;1
195608;152.8;1
195609;90;1
195610;109.3;1
195611;25.5;1
195612;18.2;1
195701;26.8;1
195702;191.6;1
195703;17.4;1
195704;44.5;1
195705;108.2;1
195706;169.3;1
195707;134.2;1
195708;74.2;1
195709;47.2;1
195710;35;1
195711;25;1
195712;46.3;1
195801;143.7;1
195802;189.9;1
195803;87.3;1
195804;55;1
195805;90;1
195806;145;1
195807;83.8;1
195808;86.2;1
195809;80;1
195810;62.6;1
195811;65;1
195812;135;1
195901;195;1
195902;0;1
195903;40;1
195904;120;1
195905;25;1
195906;77.5;1
195907;77.7;1
195908;47.1;1
195909;30;1
195910;124.9;1
195911;31.3;1
195912;206.5;1
196001;72.4;1
196002;84.3;1
196003;80;1
