# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73232001
# NOM_USUEL= STE-FOY-TARENTAISE
# LATITUDE (°) = 45.602
# LONGITUDE(°)= 6.887
# ALTITUDE (m) = 1230
# NUM_SERIE= MRR173232001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196412 197412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;125.4;1
195102;95.1;1
195103;131.2;1
195104;77.4;1
195105;37.3;1
195106;127.4;1
195107;122.6;1
195108;160.4;1
195109;51.4;1
195110;31.9;1
195111;121.7;1
195112;87.3;1
195201;126.6;1
195202;105.1;1
195203;111.8;1
195204;71.1;1
195205;34.7;1
195206;47.1;1
195207;31.1;1
195208;149.4;1
195209;98.8;1
195210;227.5;1
195211;259.8;1
195212;198.2;1
195301;16.2;1
195302;54.5;1
195303;3.1;1
195304;50.7;1
195305;45.9;1
195306;151.7;1
195307;88.2;1
195308;75.4;1
195309;85.7;1
195310;100.7;1
195311;35.2;1
195312;33.2;1
195401;101.8;1
195402;61.3;1
195403;41.2;1
195404;107.6;1
195405;62.5;1
195406;83.3;1
195407;58.5;1
195408;172.5;1
195409;134.1;1
195410;77.3;1
195411;53.8;1
195412;147.5;1
195501;263.1;1
195502;291;1
195503;44.4;1
195504;12.5;1
195505;150.7;1
195506;122.1;1
195507;95.3;1
195508;69.5;1
195509;63;1
195510;46;1
195511;20.9;1
195512;139.6;1
195601;110.6;1
195602;8.6;1
195603;9.2;1
195604;74.7;1
195605;80.8;1
195606;69.9;1
195607;135.1;1
195608;163.9;1
195609;70.2;1
195610;91.5;1
195611;21.6;1
195612;9.2;1
195701;25;1
195702;235.7;1
195703;13.2;1
195704;28.9;1
195705;75.5;1
195706;130.5;1
195707;116.1;1
195708;89.3;1
195709;66.5;1
195710;36.5;1
195711;28.4;1
195712;39.5;1
195801;133.6;1
195802;180.7;1
195803;88.1;1
195804;31.9;1
195805;102.5;1
195806;153.3;1
195807;81.6;1
195808;94.8;1
195809;84.7;1
195810;93.4;1
195811;71.1;1
195812;153.3;1
195901;217.6;1
195902;0;1
195903;30;1
195904;107;1
195905;26.4;1
195906;77.7;1
195907;92.8;1
195908;74.7;1
195909;35.2;1
195910;132;1
195911;26.8;1
195912;265.8;1
196001;80.1;1
196002;136.5;1
196003;75.9;1
196004;42.3;1
196005;32.2;1
196006;96.3;1
196007;122.7;1
196008;142.8;1
196009;173.8;1
196010;95.7;1
196011;157.5;1
196012;90.1;1
196101;140.6;1
196102;158.2;1
196103;32.6;1
196104;99.7;1
196105;57.9;1
196106;92.9;1
196107;151.9;1
196108;51.5;1
196109;27.8;1
196110;94;1
196111;72.2;1
196112;175.4;1
196201;199;1
196202;93.5;1
196203;157;1
196204;74.5;1
196205;70;1
196206;39.4;1
196207;39.4;1
196208;23.7;1
196209;60.4;1
196210;38;1
196211;111;1
196212;204.9;1
196301;58.7;1
196302;82.6;1
196303;213.9;1
196304;54.9;1
196305;50;1
196306;175;1
196307;80.1;1
196308;144.6;1
196309;40.8;1
196310;48.7;1
196311;159.6;1
196312;7.8;1
196401;6.2;1
196402;26.2;1
196403;110.4;1
196404;77;1
196405;92.2;1
196406;56.4;1
196407;53.3;1
196408;112;1
196409;76.2;1
196410;109.1;1
196411;69.1;1
196412;38.6;1
196501;83.1;1
196502;18.4;1
196503;113.6;1
196504;77.7;1
196505;109.1;1
196506;70.6;1
196507;176.8;1
196508;90.1;1
196509;116.4;1
196510;5.1;1
196511;203.7;1
196512;331;1
196601;112.7;1
196602;142.3;1
196603;85.5;1
196604;135.6;1
196605;42.9;1
196606;72;1
196607;116.5;1
196608;139.3;1
196609;25.3;1
196610;73.4;1
196611;84.1;1
196612;166.3;1
196701;40.1;1
196702;112.7;1
196703;108.6;1
196704;28;1
196705;137.3;1
196706;47.9;1
196707;76.9;1
196708;57.8;1
196709;61.2;1
196710;74.6;1
196711;54.6;1
196712;82;1
196801;221.8;1
196802;53.8;1
196803;26.7;1
196804;62.8;1
196805;72.2;1
196806;84.5;1
196807;127.6;1
196808;146.7;1
196809;153;1
196810;60.1;1
196811;89.4;1
196812;202.3;1
196901;43.6;1
196902;66.2;1
196903;41.7;1
196904;99;1
196905;70.7;1
196906;89.9;1
196907;111.1;1
196908;113.9;1
196909;48.6;1
196910;3;1
196911;136.2;1
196912;79.4;1
197001;56.6;1
197002;288.4;1
197003;108.3;1
197004;180.6;1
197005;66;1
197006;112.8;1
197007;71.1;1
197008;83.9;1
197009;61.1;1
197010;58.3;1
197011;78;1
197012;26.9;1
197101;66.9;1
197102;27.3;1
197103;112;1
197104;41.1;1
197105;89.4;1
197106;137.1;1
197107;65.2;1
197108;110.9;1
197109;31.7;1
197110;19.7;1
197111;175.9;1
197112;1.6;1
197201;29.6;1
197202;79.8;1
197203;19.2;1
197204;79;1
197205;52.6;1
197206;95;1
197207;67.8;1
197208;45.4;1
197209;23.3;1
197210;31.1;1
197211;230.9;1
197212;25.2;1
197301;46.9;1
197302;55;1
197303;5.6;1
197304;68.9;1
197305;71.6;1
197306;98.5;1
197307;231.2;1
197308;109.2;1
197309;60.6;1
197310;110.5;1
197311;64.6;1
197312;51.2;1
197401;52.2;1
197402;93.4;1
197403;80;1
197404;13.1;1
197405;98.7;1
197406;134.6;1
197407;55.8;1
197408;63.4;1
197409;135.3;1
197410;158.6;1
197411;154.4;1
197412;71.7;1
197501;130;1
197502;5;1
197503;102.1;1
197504;72.2;1
197505;62.3;1
197506;60.6;1
197507;40.8;1
197508;74.3;1
197509;81.9;1
197510;42.7;1
197511;129.7;1
197512;4.5;1
197601;23.2;1
197602;54.3;1
197603;32.4;1
197604;58.3;1
197605;42.2;1
197606;32.6;1
197607;57.1;1
197608;61;1
197609;82.3;1
197610;102.4;1
197611;70;1
197612;165.5;1
197701;91.5;1
197702;209.2;1
197703;79.8;1
197704;139.5;1
197705;94.1;1
197706;74.5;1
197707;128.8;1
197708;82.1;1
197709;20.6;1
197710;59.4;1
197711;143.2;1
197712;58.2;1
197801;198.5;1
197802;152.6;1
197803;199.8;1
197804;43.3;1
197805;108.6;1
197806;99.3;1
197807;88.8;1
197808;73.7;1
197809;37.2;1
197810;40.8;1
197811;13.1;1
197812;192.8;1
197901;135.2;1
197902;117.3;1
197903;132.3;1
197904;58.1;1
197905;46.7;1
197906;84.9;1
197907;24.5;1
197908;129.8;1
197909;81.1;1
197910;63.9;1
197911;138.8;1
197912;260.8;1
198001;139.3;1
198002;138.6;1
198003;129.7;1
198004;27.1;1
198005;109.1;1
198006;117.1;1
198007;132.2;1
198008;39;1
198009;71.6;1
198010;218.2;1
198011;81.7;1
198012;99.2;1
198101;178.4;1
198102;47.3;1
198103;240;1
198104;23.6;1
198105;146.8;1
198106;52.7;1
198107;121.2;1
198108;28.9;1
198109;134.9;1
198110;222.8;1
198111;94.4;1
198112;250;1
198201;96.1;1
198202;13;1
198203;133.3;1
198204;16;1
198205;70.1;1
198206;119.1;1
198207;113.4;1
198208;112.7;1
198209;65.8;1
198210;183.2;1
198211;86.3;1
198212;172.4;1
198301;99.3;1
198302;102.9;1
198303;25.3;1
198304;171.4;1
198305;157.5;1
198306;27.5;1
198307;4.7;1
198308;56.6;1
198309;98.5;1
198310;56.3;1
198311;136.4;1
198312;69.6;1
198401;187.6;1
198402;133.4;1
198403;63.2;1
198404;34.3;1
198405;85.7;1
198406;55.5;1
198407;37.2;1
198408;37.5;1
198409;156.9;1
198410;64.9;1
198411;88.9;1
198412;41.5;1
198501;92.7;1
198502;95.5;1
198503;63.1;1
198504;102.4;1
198505;124.2;1
198506;157.5;1
198507;47.2;1
198508;114.5;1
198509;38.7;1
198510;8;1
198511;124.5;1
198512;45.6;1
198601;260.3;1
198602;52.4;1
198603;106.1;1
198604;145.4;1
198605;96.9;1
198606;45.6;1
198607;69.6;1
198608;151.8;1
198609;64.9;1
198610;92.2;1
198611;66.3;1
198612;146;1
198701;106.3;1
198702;79.1;1
198703;93.2;1
198704;58;1
198705;94.2;1
198706;144.5;1
198707;115.7;1
198708;115.6;1
198709;60.1;1
198710;137.2;1
198711;110.5;1
198712;57.4;1
198801;123.6;1
198802;131.8;1
198803;231.8;1
198804;23.2;1
198805;91.7;1
198806;70.3;1
198807;73.5;1
198808;72.4;1
198809;52.8;1
198810;117.4;1
198811;52.1;1
198812;97.9;1
198901;8.7;1
198902;70.7;1
198903;90.3;1
198904;160.8;1
198905;54.5;1
198906;58.3;1
198907;56.5;1
198908;69.7;1
198909;32.4;1
198910;49.3;1
198911;33.8;1
198912;73.8;1
199001;51.4;1
199002;311.8;1
199003;22.4;1
199004;66.3;1
199005;44.9;1
199006;158.2;1
199007;25.4;1
199008;42.1;1
199009;91.1;1
199010;174.4;1
199011;108.6;1
199012;75.8;1
199101;95;1
199102;73.6;1
199103;61;1
199104;55.4;1
199105;39.8;1
199106;142.4;1
199107;78.8;1
199108;18.2;1
199109;82.9;1
199110;92.7;1
199111;116.6;1
199112;164.9;1
199201;10.7;1
199202;90.3;1
199203;84.3;1
199204;52;1
199205;32;1
199206;104.6;1
199207;88.1;1
199208;104.9;1
199209;96.7;1
199210;235.2;1
199211;230.7;1
199212;131.5;1
199301;48.1;1
199302;21.9;1
199303;36.4;1
199304;112.2;1
199305;45.2;1
199306;86.1;1
199307;100.7;1
199308;49.7;1
199309;100.9;1
199310;68.6;1
199311;36.5;1
199312;263.7;1
199401;107.5;1
199402;36.2;1
199403;26.9;1
199404;116.8;1
199405;125;1
199406;86.1;1
199407;38.8;1
199408;83.1;1
199409;159.1;1
199410;70.6;1
199411;114.9;1
199412;112.3;1
199501;277.6;1
199502;171.6;1
199503;113.1;1
199504;43.6;1
199505;148.9;1
199506;52.9;1
199507;87.7;1
199508;74.3;1
199509;117.1;1
199510;28.5;1
199511;48;1
199512;129.9;1
199601;10.3;1
199602;90.6;1
199603;42;1
199604;27.2;1
199605;105.9;1
199606;86.5;1
199607;160.4;1
199608;121.2;1
199609;19.9;1
199610;94;1
199611;259;1
199612;46.1;1
199701;12;1
199702;110.4;1
199703;22.6;1
199704;53.1;1
199705;99.3;1
199706;166.8;1
199707;119.3;1
199708;73;1
199709;62;1
199710;67.7;1
199711;51.4;1
199712;113.4;1
199801;148.1;1
199802;22.6;1
199803;54.5;1
199804;102.6;1
199805;27.7;1
199806;105.3;1
199807;131.1;1
199808;31.3;1
199809;136.2;1
199810;152.1;1
199811;104.3;1
199812;32.8;1
199901;135.3;1
199902;201;1
199903;68.6;1
199904;113.6;1
199905;135.9;1
199906;127.8;1
199907;65.5;1
199908;90.9;1
199909;81.2;1
199910;69.8;1
199911;76.2;1
199912;195.8;1
200001;35.6;1
200002;121.7;1
200003;76.2;1
200004;85.8;1
200005;51.8;1
200006;51.1;1
200007;125.3;1
200008;95.2;1
200009;81.7;1
200010;184.7;1
200011;115.2;1
200012;38.6;1
200101;136.8;1
200102;34;1
200103;241.9;1
200104;137.5;1
200105;84.2;1
200106;193;1
200107;71.8;1
200108;103.4;1
200109;130.8;1
200110;43.9;1
200111;49.3;1
200112;74.9;1
200201;33.5;1
200202;117.5;1
200203;83.4;1
200204;32.4;1
200205;113.4;1
200206;75.7;1
200207;92.6;1
200208;130.8;1
200209;83.9;1
200210;135;1
200211;183.5;1
200212;102.4;1
200301;134.8;1
200302;55.1;1
200303;22.3;1
200304;61.2;1
200305;69.5;1
200306;78;1
200307;41.3;1
200308;63.9;1
200309;47;1
200310;142.2;1
200311;41;1
200312;44.6;1
200401;225.1;1
200402;17.6;1
200403;39.2;1
200404;38.2;1
200405;79.8;1
200406;87.3;1
200407;57.3;1
200408;137.7;1
200409;40.3;1
200410;119.1;1
200411;37.7;1
200412;86.9;1
200501;76;1
200502;48.3;1
200503;57.4;1
200504;110.1;1
200505;42.1;1
200506;88.8;1
200507;96.2;1
200508;70.7;1
200509;46.3;1
200510;46.8;1
200511;33.9;1
200512;123.9;1
200601;38.3;1
200602;86.5;1
200603;290.1;1
200604;110.8;1
200605;77;1
200606;62.3;1
200607;32.6;1
200608;112.2;1
200609;54.6;1
200610;57.9;1
200611;51.3;1
200612;63.5;1
200701;114;1
200702;141.1;1
200703;96.6;1
200704;3.3;1
200705;163.4;1
200706;93.7;1
200707;140.3;1
200708;153.4;1
200709;76.8;1
200710;6.7;1
200711;41;1
200712;168.1;1
200801;102.6;1
200802;32.9;1
200803;123.6;1
200804;99.2;1
200805;68.2;1
200806;83;1
200807;123.4;1
200808;105.5;1
200809;130.1;1
200810;57.7;1
200811;119.2;1
200812;78.5;1
200901;88.8;1
200902;34.4;1
200903;76.6;1
200904;54.3;1
200905;57.9;1
200906;76.4;1
200907;59.7;1
200908;64;1
200909;33.8;1
200910;22.6;1
200911;154.1;1
200912;160.7;1
201001;62.2;1
201002;60.1;1
201003;69.6;1
201004;22.5;1
201005;186.8;1
201006;107.7;1
201007;109.7;1
201008;86.5;1
201009;57;1
201010;49.9;1
201011;113.6;1
201012;137.7;1
201101;39;1
201102;24;1
201103;41.3;1
201104;13.9;1
201105;92.6;1
201106;141.9;1
201107;103.5;1
201108;54.4;1
201109;79.6;1
201110;59.8;1
201111;11.9;1
201112;325.8;1
201201;133.8;1
201202;13.6;1
201203;16.1;1
201204;139.7;1
201205;81.2;1
201206;92;1
201207;61.6;1
201208;81.3;1
201209;140.7;1
201210;81.9;1
201211;95.6;1
201212;240.7;1
201301;72.7;1
201302;85.5;1
201303;98.1;1
201304;95.7;1
201305;106.8;1
201306;38.4;1
201307;93.4;1
201308;69.5;1
201309;78.8;1
201310;123.7;1
201311;216.7;1
201312;40.8;1
201401;76.9;1
201402;146.8;1
201403;39.4;1
201404;60.6;1
201405;90.1;1
201406;60.5;1
201407;135.9;1
201408;114.1;1
201409;40.6;1
201410;35.8;1
201411;58.7;1
201412;61.8;1
201501;100.2;1
201502;39.8;1
201503;104.8;1
201504;57.8;1
201505;167.2;1
201506;80.1;1
201507;85;1
201508;87.9;1
201509;63.6;1
201510;106.2;1
201511;94.2;1
201512;4.2;1
201601;223.9;1
201602;155.2;1
201603;55.4;1
201604;89.2;1
201605;120;1
201606;88.9;1
201607;90.5;1
201608;47.9;1
201609;64.4;1
201610;66.8;1
201611;139.2;1
201612;0;1
201701;63.3;0
201702;71.3;0
201703;130.8;0
201704;48.1;0
201705;82;0
201706;82.3;0
201707;105.5;0
201708;83.5;0
201709;43.2;0
201710;27.6;0
201711;71.7;0
201712;212.6;0
201801;337.8;0
201802;48.8;0
201803;87.1;0
201804;54.3;0
201805;85.2;0
201806;24.3;0
201807;91.5;0
201808;86.8;0
201809;49.5;0
201810;76.3;0
201811;42.9;0
201812;183.2;0
201901;79.7;0
201902;35;0
201903;79.4;0
201904;45.5;0
201905;117.1;0
201906;73.1;0
201907;107.8;0
201908;64.5;0
201909;28.5;0
201910;129.8;0
201911;138.4;0
201912;163.8;0
202001;41.1;0
202002;174.7;0
202003;109.8;0
202004;54.2;0
202005;125.7;0
202006;122.4;0
202007;63.1;0
202008;106.5;0
202009;88.6;0
202010;131.4;0
202011;30.2;0
202012;84.7;0
202101;209;0
202102;55;0
202103;65.8;0
202104;46.6;0
202105;158.8;0
202106;39.6;0
202107;144.1;0
202108;75.4;0
202109;70.5;0
202110;39.8;0
202111;49.2;0
202112;223.8;0
202201;37.4;0
202202;73.9;0
202203;8.3;0
202204;107.3;0
202205;54;0
202206;69.7;0
202207;9.1;0
202208;46.6;0
202209;105.8;0
202210;91;0
202211;93.2;0
202212;153.2;0
