# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 73261001
# NOM_USUEL= ST-MICHEL DE MAURIENNE
# LATITUDE (°) = 45.224
# LONGITUDE(°)= 6.491
# ALTITUDE (m) = 1345
# NUM_SERIE= MRR173261001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197112 199712
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;111.7;1
195102;155.2;1
195103;145;1
195104;67.7;1
195105;63.9;1
195106;74;1
195107;51.1;1
195108;125.6;1
195109;31.3;1
195110;43.8;1
195111;152.9;1
195112;58.8;1
195201;168.5;1
195202;123.5;1
195203;74.6;1
195204;57;1
195205;43.8;1
195206;56.2;1
195207;26.7;1
195208;82.8;1
195209;80.5;1
195210;156.9;1
195211;179.3;1
195212;160.5;1
195301;26.7;1
195302;49;1
195303;0;1
195304;41.3;1
195305;52.9;1
195306;105.8;1
195307;83.8;1
195308;53.5;1
195309;94.2;1
195310;135.2;1
195311;16.2;1
195312;16.6;1
195401;88.6;1
195402;38.2;1
195403;31.4;1
195404;83.2;1
195405;45;1
195406;80.9;1
195407;79.1;1
195408;155.1;1
195409;97.5;1
195410;48.9;1
195411;38;1
195412;212.4;1
195501;199.9;1
195502;259.8;1
195503;23.2;1
195504;7.8;1
195505;95.3;1
195506;108.8;1
195507;56.6;1
195508;33.6;1
195509;53.2;1
195510;69.8;1
195511;27.4;1
195512;82.7;1
195601;76.1;1
195602;19.8;1
195603;15.2;1
195604;74.7;1
195605;50.8;1
195606;44.9;1
195607;67.6;1
195608;112.1;1
195609;74.3;1
195610;87.3;1
195611;18;1
195612;29.1;1
195701;28.8;1
195702;215.7;1
195703;14.4;1
195704;24.8;1
195705;92.8;1
195706;100;1
195707;87.6;1
195708;39.8;1
195709;46.8;1
195710;40.3;1
195711;32.5;1
195712;53.7;1
195801;150.5;1
195802;159.5;1
195803;63.9;1
195804;58;1
195805;81.9;1
195806;115.1;1
195807;44.4;1
195808;63.7;1
195809;86.1;1
195810;51.5;1
195811;57.2;1
195812;116.6;1
195901;165.8;1
195902;0.8;1
195903;46.7;1
195904;104.2;1
195905;43.2;1
195906;51.5;1
195907;65.4;1
195908;58.3;1
195909;45;1
195910;147.2;1
195911;31;1
195912;167.5;1
196001;64.3;1
196002;73.3;1
196003;67.9;1
196004;35.9;1
196005;39.2;1
196006;70.3;1
196007;87.1;1
196008;97.8;1
196009;174.8;1
196010;152;1
196011;103.7;1
196012;64.3;1
196101;65.3;1
196102;105.5;1
196103;16.7;1
196104;83.2;1
196105;35.6;1
196106;61.1;1
196107;90.3;1
196108;42.4;1
196109;15.3;1
196110;87.1;1
196111;76.2;1
196112;141.8;1
196201;131.5;1
196202;91.4;1
196203;96.5;1
196204;109;1
196205;61.1;1
196206;19.5;1
196207;13.7;1
196208;21.5;1
196209;40;1
196210;53.3;1
196211;63.7;1
196212;215;1
196301;34.4;1
196302;38.3;1
196303;181.4;1
196304;77.5;1
196305;36.1;1
196306;86.2;1
196307;58.6;1
196308;101.4;1
196309;26.4;1
196310;46.1;1
196311;145.5;1
196312;17.8;1
196401;5.3;1
196402;12.6;1
196403;84.8;1
196404;80;1
196405;45.7;1
196406;59.9;1
196407;56.2;1
196408;75.8;1
196409;60.9;1
196410;89.3;1
196411;33.6;1
196412;33.3;1
196501;86.7;1
196502;22.5;1
196503;69.3;1
196504;80;1
196505;86.4;1
196506;43.4;1
196507;111.8;1
196508;84;1
196509;139.4;1
196510;4.5;1
196511;126.4;1
196512;265.9;1
196601;80.3;1
196602;104.8;1
196603;78.2;1
196604;82.6;1
196605;51.7;1
196606;30;1
196607;93.1;1
196608;88.9;1
196609;12.8;1
196610;75.8;1
196611;91.9;1
196612;130.9;1
196701;40.7;1
196702;91.3;1
196703;89.8;1
196704;42.3;1
196705;95.7;1
196706;35.9;1
196707;52.9;1
196708;41.4;1
196709;35.2;1
196710;44;1
196711;72.3;1
196712;57.8;1
196801;220.7;1
196802;26.8;1
196803;21.6;1
196804;37.9;1
196805;74;1
196806;52.6;1
196807;79;1
196808;152.4;1
196809;107.5;1
196810;33;1
196811;116.2;1
196812;178.2;1
196901;52.8;1
196902;48.8;1
196903;21.8;1
196904;64.9;1
196905;55.7;1
196906;86.7;1
196907;57.9;1
