# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74024001
# NOM_USUEL= AYZE
# LATITUDE (°) = 46.08
# LONGITUDE(°)= 6.431
# ALTITUDE (m) = 449
# NUM_SERIE= MRR174024001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;88.5;1
195102;137.9;1
195103;101.3;1
195104;90.2;1
195105;114.7;1
195106;161.3;1
195107;183.4;1
195108;136;1
195109;67.6;1
195110;67.5;1
195111;163.3;1
195112;79.3;1
195201;81.9;1
195202;49.1;1
195203;116.4;1
195204;52.3;1
195205;79.9;1
195206;142.7;1
195207;50.3;1
195208;215.4;1
195209;127.9;1
195210;239.4;1
195211;205.3;1
195212;110.3;1
195301;14;1
195302;27.3;1
195303;11.6;1
195304;94.8;1
195305;73.8;1
195306;216.4;1
195307;118.5;1
195308;84.6;1
195309;150.3;1
195310;46.5;1
195311;42.6;1
195312;42.7;1
195401;50.6;1
195402;58.4;1
195403;49.8;1
195404;99.8;1
195405;93.1;1
195406;100.5;1
195407;101;1
195408;250.4;1
195409;180.7;1
195410;107.2;1
195411;106.6;1
195412;113.1;1
195501;133.1;1
195502;181;1
195503;45.2;1
195504;9.9;1
195505;191.8;1
195506;152.8;1
195507;86.8;1
195508;168.8;1
195509;73.3;1
195510;43.7;1
195511;34;1
195512;102.9;1
195601;133.8;1
195602;4.5;1
195603;27.6;1
195604;109.3;1
195605;91.3;1
195606;91.4;1
195607;147.9;1
195608;237.2;1
195609;104;1
195610;130.8;1
195611;27.9;1
195612;14.3;1
195701;29.6;1
195702;201.9;1
195703;17.2;1
195704;32.7;1
195705;62.5;1
195706;185;1
195707;135.3;1
195708;131.5;1
195709;96.7;1
195710;54.9;1
195711;40.4;1
195712;25.3;1
195801;79.8;1
195802;164;1
195803;83.4;1
195804;65.7;1
195805;140.9;1
195806;174;1
195807;125.3;1
195808;171.4;1
195809;117.8;1
195810;131;1
195811;58.6;1
195812;59.3;1
195901;102.1;1
195902;0;1
195903;113.2;1
195904;130.3;1
195905;47.3;1
195906;126;1
195907;102.3;1
195908;75.6;1
195909;33.7;1
195910;144.5;1
195911;51.4;1
195912;132.5;1
196001;95.1;1
196002;145.2;1
196003;62.2;1
196004;17.2;1
196005;85;1
196006;148;1
196007;207.1;1
196008;190.2;1
196009;301.4;1
196010;140.2;1
196011;173.8;1
196012;80.4;1
196101;107.8;1
196102;57.1;1
196103;39;1
196104;115.9;1
196105;60.8;1
196106;143.8;1
196107;133.1;1
196108;85.6;1
196109;45.8;1
196110;102.3;1
196111;87.1;1
196112;177;1
196201;88.8;1
196202;59.6;1
196203;101.1;1
196204;60.5;1
196205;105;1
196206;38.3;1
196207;44.7;1
196208;49.7;1
196209;93.8;1
196210;38.6;1
196211;33.8;1
196212;165.9;1
196301;53.2;1
196302;62.9;1
196303;139.4;1
196304;88.2;1
196305;91.6;1
196306;242.5;1
196307;77.4;1
196308;205.7;1
196309;113.6;1
196310;34.1;1
196311;218.6;1
196312;3.3;1
196401;6.1;1
196402;31;1
196403;156.5;1
196404;113.2;1
196405;97.5;1
196406;101.9;1
196407;40.9;1
196408;98.9;1
196409;81.9;1
196410;113.9;1
196411;44.8;1
196412;34.5;1
196501;97.1;1
196502;17.5;1
196503;120.4;1
196504;96;1
196505;163.9;1
196506;58.7;1
196507;211.6;1
196508;128.6;1
196509;199.4;1
196510;30.2;1
196511;136.2;1
196512;184.8;1
196601;68.8;1
196602;140;1
196603;45.4;1
196604;142.1;1
196605;88.7;1
196606;57.8;1
196607;122.7;1
196608;82.4;1
196609;63.3;1
196610;120.3;1
196611;84.7;1
196612;125.7;1
196701;50.3;1
196702;57.4;1
196703;89.5;1
196704;21.8;1
196705;162.1;1
196706;81.4;1
196707;67.4;1
196708;100.9;1
196709;94.7;1
196710;83.8;1
196711;144.2;1
196712;66.1;1
196801;114;1
196802;101.8;1
196803;37.5;1
196804;72.9;1
196805;83.4;1
196806;83.6;1
196807;136.7;1
196808;273.8;1
196809;196;1
196810;77.8;1
196811;91.7;1
196812;127.3;1
196901;54.8;1
196902;64.4;1
196903;50.4;1
196904;82.6;1
196905;75.5;1
196906;148.5;1
196907;91.5;1
196908;132.6;1
196909;37;1
196910;2.1;1
196911;122.7;1
196912;63.2;1
197001;73.5;1
197002;188.3;1
197003;82.6;1
197004;177.8;1
197005;63.8;1
197006;223.8;1
197007;55.6;1
197008;181.5;1
197009;79.8;1
197010;59.1;1
197011;183.1;1
197012;30.9;1
197101;53.3;1
197102;30.3;1
197103;102.9;1
197104;70.8;1
197105;74;1
197106;158.2;1
197107;95.7;1
197108;160.2;1
197109;72.2;1
197110;37;1
197111;126.1;1
197112;4.5;1
197201;20.2;1
197202;57.7;1
197203;32.9;1
197204;86.6;1
197205;64.5;1
197206;134.5;1
197207;76.6;1
197208;33.7;1
197209;37.8;1
197210;48.2;1
197211;122.3;1
197212;40.7;1
197301;45.4;1
197302;47.1;1
197303;6;1
197304;87.2;1
197305;107.2;1
197306;128;1
197307;219;1
197308;107.5;1
197309;118.5;1
197310;62.4;1
197311;61.3;1
197312;42.9;1
197401;46.1;1
197402;76.4;1
197403;61.1;1
197404;38.4;1
197405;182.9;1
197406;163.7;1
197407;60;1
197408;43.5;1
197409;176.1;1
197410;128.8;1
197411;161.6;1
197412;63.6;1
197501;94.9;1
197502;7.4;1
197503;95.6;1
197504;62.5;1
197505;122.7;1
197506;94.7;1
197507;55.1;1
197508;162.7;1
197509;159.6;1
197510;78.3;1
197511;120.7;1
197512;49;1
197601;20.4;1
197602;55.6;1
197603;29.8;1
197604;40;1
197605;68.6;1
197606;18;1
197607;93.3;1
197608;70;1
197609;125.1;1
197610;68;1
197611;100.9;1
197612;127.3;1
197701;138.3;1
197702;189.9;1
197703;89.3;1
197704;195.5;1
197705;144.5;1
197706;139;1
197707;164.5;1
197708;84.5;1
197709;21.3;1
197710;91.7;1
197711;82.5;1
197712;71.3;1
197801;144.7;1
197802;98.4;1
197803;144;1
197804;61.7;1
197805;119.7;1
197806;164.9;1
197807;87.4;1
197808;155;1
197809;77.1;1
197810;30.1;1
197811;12.6;1
197812;110.1;1
197901;180.6;1
197902;91.6;1
197903;155.7;1
197904;86.6;1
197905;81.4;1
197906;129.4;1
197907;59.5;1
197908;101.3;1
197909;79.6;1
197910;81.4;1
197911;116.3;1
197912;92;1
198001;102.4;1
198002;69.5;1
198003;111.3;1
198004;19.8;1
198005;139;1
198006;186.4;1
198007;233.3;1
198008;95.1;1
198009;119.6;1
198010;203.1;1
198011;75;1
198012;64.6;1
198101;107.1;1
198102;42;1
198103;122.3;1
198104;15.1;1
198105;177.6;1
198106;72.2;1
198107;151.5;1
198108;52.9;1
198109;143.5;1
198110;139.9;1
198111;56.3;1
198112;177.1;1
198201;96.3;1
198202;18.8;1
198203;101.7;1
198204;23;1
198205;98;1
198206;194.7;1
198207;75;1
198208;100.2;1
198209;77.2;1
198210;179.5;1
198211;65.4;1
198212;162.4;1
198301;59.8;1
198302;72.8;1
198303;74.8;1
198304;138.5;1
198305;232;1
198306;87.5;1
198307;35.9;1
198308;117;1
198309;124.1;1
198310;68.1;1
198311;79;1
198312;75.7;1
198401;117;1
198402;90.7;1
198403;72.8;1
198404;34.2;1
198405;130.8;1
198406;93.9;1
198407;20.7;1
198408;43.7;1
198409;228.9;1
198410;118.8;1
198411;74.3;1
198412;45.9;1
198501;127.3;1
198502;96.7;1
198503;107.9;1
198504;79.8;1
198505;166.2;1
198506;191.7;1
198507;44.4;1
198508;121.2;1
198509;15.5;1
198510;7;1
198511;66.9;1
198512;70.2;1
198601;125.2;1
198602;33.5;1
198603;71;1
198604;157.8;1
198605;149;1
198606;77.8;1
198607;72;1
198608;213.7;1
198609;73.1;1
198610;85;1
198611;73.5;1
198612;79.4;1
198701;72.6;1
198702;75.7;1
198703;88;1
198704;91;1
198705;146.9;1
198706;337.4;1
198707;152.5;1
198708;116.5;1
198709;104.5;1
198710;96.5;1
198711;97.5;1
198712;53.9;1
198801;108.4;1
198802;89.6;1
198803;140.2;1
198804;74.6;1
198805;136.1;1
198806;32.7;1
198807;133.9;1
198808;62.1;1
198809;107.4;1
198810;155;1
198811;63.7;1
198812;64.2;1
198901;11;1
198902;29.3;1
198903;85.6;1
198904;139.1;1
198905;65.6;1
198906;30.7;1
198907;140.1;1
198908;70.9;1
198909;63.5;1
198910;63.9;1
198911;57.2;1
198912;64.5;1
199001;37.3;1
199002;142.9;1
199003;19.6;1
199004;81.4;1
199005;75.4;1
199006;261.9;1
199007;133.4;1
199008;20.4;1
199009;110.8;1
199010;145.8;1
199011;160.5;1
199012;63.1;1
199101;42.4;1
199102;50.5;1
199103;83.2;1
199104;66.9;1
199105;58.9;1
199106;172;1
199107;93.2;1
199108;11.5;1
199109;132.8;1
199110;104.2;1
199111;161.4;1
199112;88.9;1
199201;16.9;1
199202;71.7;1
199203;53.3;1
199204;99.3;1
199205;88.4;1
199206;143.6;1
199207;103.4;1
199208;93.9;1
199209;92.2;1
199210;183.6;1
199211;139.4;1
199212;108.1;1
199301;29.7;1
199302;9.1;1
199303;33;1
199304;104;1
199305;125.5;1
199306;147.4;1
199307;139.7;1
199308;87.1;1
199309;271.8;1
199310;154.1;1
199311;26.4;1
199312;158.1;1
199401;111.1;1
199402;25.1;1
199403;52.6;1
199404;115.8;1
199405;208.8;1
199406;55.2;1
199407;133.7;1
199408;75.6;1
199409;235.5;1
199410;128.5;1
199411;75.5;1
199412;67.4;1
199501;178.8;1
199502;193.4;1
199503;78.4;1
199504;48.8;1
199505;206.7;1
199506;54.2;1
199507;129.7;1
199508;93.4;1
199509;190.6;1
199510;30.1;1
199511;67.7;1
199512;85.6;1
199601;43.6;1
199602;70.9;1
199603;30;1
199604;61.1;1
199605;89.8;1
199606;117.2;1
199607;145.6;1
199608;242.7;1
199609;43.9;1
199610;115.8;1
199611;188.4;1
199612;103.6;1
199701;68.7;1
199702;51.8;1
199703;14.8;1
199704;79.3;1
199705;121.3;1
199706;185.1;1
199707;162.9;1
199708;100.5;1
199709;81.5;1
199710;61;1
199711;82.6;1
199712;97;1
199801;79.4;1
199802;20.2;1
199803;42.3;1
199804;147;1
199805;35;1
199806;134.5;1
199807;73.4;1
199808;37.1;1
199809;212.4;1
199810;137.5;1
199811;85.8;1
199812;40.9;1
199901;73.9;1
199902;131.6;1
199903;68.6;1
199904;181.7;1
199905;108.8;1
199906;167.6;1
199907;81;1
199908;178.3;1
199909;211.9;1
199910;121.9;1
199911;80.2;1
199912;149.9;1
200001;30.2;1
200002;109.5;1
200003;94;1
200004;108.5;1
200005;93.5;1
200006;41.2;1
200007;147.7;1
200008;65.2;1
200009;91.7;1
200010;140.3;1
200011;182.9;1
200012;56.4;1
200101;150.9;1
200102;43.6;1
200103;320.2;1
200104;146.9;1
200105;63.8;1
200106;201.9;1
200107;122.9;1
200108;128.8;1
200109;137.6;1
200110;96.7;1
200111;57.8;1
200112;32.2;1
200201;39;1
200202;82.9;1
200203;64.3;1
200204;42;1
200205;189.6;1
200206;125.4;1
200207;80.9;1
200208;115.7;1
200209;64.8;1
200210;146.2;1
200211;247;1
200212;120.8;1
200301;85.6;1
200302;36.8;1
200303;30.1;1
200304;102.4;1
200305;58.9;1
200306;57.7;1
200307;91.8;1
200308;95;1
200309;82.8;1
200310;196.3;1
200311;81.3;1
200312;49.3;1
200401;110.9;1
200402;19.7;1
200403;77.3;1
200404;48.9;1
200405;72.5;1
200406;65.5;1
200407;62.2;1
200408;225.9;1
200409;64;1
200410;145.9;1
200411;25.5;1
200412;83.6;1
200501;66.7;1
200502;53.2;1
200503;68.1;1
200504;120.8;1
200505;67.6;1
200506;52.1;1
200507;95.9;1
200508;117.7;1
200509;57.3;1
200510;84.2;1
200511;55.4;1
200512;94.1;1
200601;31.1;1
200602;61.8;1
200603;171.6;1
200604;126.3;1
200605;160.1;1
200606;55.2;1
200607;100.1;1
200608;193.6;1
200609;86.4;1
