# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74035001
# NOM_USUEL= BLOYE
# LATITUDE (°) = 45.822
# LONGITUDE(°)= 5.945
# ALTITUDE (m) = 375
# NUM_SERIE= MRR174035001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199507
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;79.8;1
195102;180.7;1
195103;159.5;1
195104;115.4;1
195105;128.7;1
195106;105.1;1
195107;131.3;1
195108;142;1
195109;86.9;1
195110;90.3;1
195111;185.1;1
195112;90.3;1
195201;156;1
195202;52.1;1
195203;86.5;1
195204;31.9;1
195205;67.6;1
195206;80;1
195207;18.1;1
195208;206.5;1
195209;149.8;1
195210;278.4;1
195211;199.9;1
195212;161;1
195301;12.2;1
195302;48.1;1
195303;2.7;1
195304;68.8;1
195305;36.3;1
195306;233.4;1
195307;56.5;1
195308;55.7;1
195309;208.7;1
195310;59.3;1
195311;49.2;1
195312;19.2;1
195401;64.2;1
195402;93.7;1
195403;88.4;1
195404;93.1;1
195405;76.2;1
195406;88.2;1
195407;70.5;1
195408;238.1;1
195409;124.5;1
195410;111.9;1
195411;128.7;1
195412;143.6;1
195501;215.9;1
195502;242.1;1
195503;39.5;1
195504;7.2;1
195505;139.7;1
195506;115.9;1
195507;87.2;1
195508;74.7;1
195509;57.4;1
195510;61.1;1
195511;75.7;1
195512;131.3;1
195601;135.4;1
195602;6.5;1
195603;42.4;1
195604;105.8;1
195605;114.5;1
195606;71.3;1
195607;66.2;1
195608;211.6;1
195609;152.4;1
195610;91.7;1
195611;39.6;1
195612;20.7;1
195701;21.2;1
195702;228.2;1
195703;9.6;1
195704;31.6;1
195705;62.4;1
195706;201.2;1
195707;108.5;1
195708;109.8;1
195709;49;1
195710;40.8;1
195711;69.1;1
195712;54.4;1
195801;136.6;1
195802;139.5;1
195803;89.5;1
195804;89.6;1
195805;114.2;1
195806;219.6;1
195807;102.6;1
195808;204.6;1
195809;99.8;1
195810;106.7;1
195811;55.7;1
195812;127.4;1
195901;153.1;1
195902;0;1
195903;130.7;1
195904;139.9;1
195905;51.6;1
195906;162.9;1
195907;64.3;1
195908;108.1;1
195909;11.5;1
195910;115.3;1
195911;83.3;1
195912;246.5;1
196001;131.5;1
196002;184.7;1
196003;95.3;1
196004;28.7;1
196005;76.6;1
196006;187.1;1
196007;198.8;1
196008;145.7;1
196009;269.4;1
196010;191.1;1
196011;198.7;1
196012;95;1
196101;172;1
196102;91.3;1
196103;23.5;1
196104;105.2;1
196105;49.5;1
196106;122.2;1
196107;141.3;1
196108;61.5;1
196109;25.7;1
196110;138.1;1
196111;100.9;1
196112;158.3;1
196201;131.6;1
196202;89;1
196203;158.8;1
196204;84.2;1
196205;68.1;1
196206;16.5;1
196207;57;1
196208;34.9;1
196209;89.8;1
196210;51.2;1
196211;51.4;1
196212;143;1
196301;49.8;1
196302;107.7;1
196303;194.2;1
