# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74056001
# NOM_USUEL= CHAMONIX
# LATITUDE (°) = 45.93
# LONGITUDE(°)= 6.878
# ALTITUDE (m) = 1042
# NUM_SERIE= MRR174056001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199112
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;136.6;1
195102;128.7;1
195103;177.8;1
195104;72;1
195105;113.7;1
195106;130.7;1
195107;148.6;1
195108;205.3;1
195109;62.1;1
195110;53.9;1
195111;146.4;1
195112;126.2;1
195201;149;1
195202;83.1;1
195203;122;1
195204;70.7;1
195205;49.1;1
195206;141.2;1
195207;56;1
195208;201.4;1
195209;133.9;1
195210;266.1;1
195211;266.3;1
195212;178.4;1
195301;20.1;1
195302;42.4;1
195303;5;1
195304;77.3;1
195305;65.7;1
195306;177.9;1
195307;158.8;1
195308;88.4;1
195309;106.9;1
195310;92.3;1
195311;32.9;1
195312;50.3;1
195401;86.7;1
195402;81.2;1
195403;61.4;1
195404;129.1;1
195405;94.2;1
195406;111;1
195407;98;1
195408;242;1
195409;223.3;1
195410;101.1;1
195411;68.3;1
195412;180.3;1
195501;307.6;1
195502;304;1
195503;71.1;1
195504;11.8;1
195505;213.4;1
195506;156.3;1
195507;106.9;1
195508;144.2;1
195509;73.3;1
195510;51.4;1
195511;25.6;1
195512;142.4;1
195601;178.3;1
195602;11.9;1
195603;26.1;1
195604;85.1;1
195605;85.3;1
195606;71.1;1
195607;182.8;1
195608;250.8;1
195609;78;1
195610;115.7;1
195611;33.6;1
195612;21.4;1
195701;28.4;1
195702;251.1;1
195703;23.2;1
195704;31.6;1
195705;87.4;1
195706;143.5;1
195707;153.5;1
195708;168.2;1
195709;119.5;1
195710;34.1;1
195711;46.2;1
195712;61.4;1
195801;136;1
195802;282.4;1
195803;132.1;1
195804;63.5;1
195805;102.4;1
195806;161.5;1
195807;137.7;1
195808;142.3;1
195809;143.4;1
195810;119.7;1
195811;73.2;1
195812;116.9;1
195901;172.6;1
195902;1.9;1
195903;51;1
195904;115.2;1
195905;43;1
195906;122;1
195907;110.5;1
195908;69;1
195909;38.6;1
195910;99.4;1
195911;39.3;1
195912;230.1;1
196001;88.2;1
196002;174.5;1
196003;93;1
196004;30.5;1
196005;65.9;1
196006;154.5;1
196007;166.2;1
196008;211.3;1
196009;216.1;1
196010;100.3;1
196011;194.8;1
196012;76.3;1
196101;125.2;1
196102;119.5;1
196103;36.9;1
196104;136.5;1
196105;83.2;1
196106;123.7;1
196107;223;1
196108;88.6;1
196109;34.1;1
196110;97.4;1
196111;86.6;1
196112;225.7;1
196201;190.5;1
196202;95.5;1
196203;130.4;1
196204;74.3;1
196205;99.3;1
196206;61.3;1
196207;61;1
196208;42.6;1
196209;76.4;1
196210;29.8;1
196211;69;1
196212;205.5;1
196301;66.4;1
196302;93.2;1
196303;216.1;1
196304;39.3;1
196305;70.1;1
196306;202.5;1
196307;85.8;1
196308;201.6;1
196309;70.3;1
196310;58.9;1
196311;192.3;1
196312;1.3;1
196401;11.7;1
196402;21.3;1
196403;124.6;1
196404;93.9;1
196405;125.9;1
196406;100.6;1
196407;112.4;1
196408;141.5;1
196409;108.1;1
196410;98.6;1
196411;67.5;1
196412;33.3;1
196501;117.7;1
196502;16.9;1
196503;149.7;1
196504;100.9;1
196505;140.5;1
196506;77.3;1
196507;274.1;1
196508;138.3;1
196509;184.3;1
196510;16;1
196511;203.6;1
196512;288.7;1
196601;113.3;1
196602;193;1
196603;68.4;1
196604;124.5;1
196605;78.3;1
196606;81.7;1
196607;155.7;1
196608;214;1
196609;36.8;1
196610;135;1
196611;97.1;1
196612;163.2;1
196701;59.4;1
196702;127.4;1
196703;112.2;1
196704;45.5;1
196705;136.6;1
196706;66.2;1
196707;122.7;1
196708;161.3;1
196709;93.8;1
196710;93.7;1
196711;66.9;1
196712;88.4;1
196801;206.1;1
196802;100.6;1
196803;35;1
196804;93.4;1
196805;108.2;1
196806;82.4;1
196807;149.5;1
196808;208.9;1
196809;213.7;1
196810;75.5;1
196811;109.9;1
196812;159.5;1
196901;44;1
196902;55.6;1
196903;47.4;1
196904;97.9;1
196905;83.9;1
196906;119.9;1
196907;123.7;1
196908;200.7;1
196909;79.1;1
196910;6.3;1
196911;175.9;1
196912;78.4;1
197001;59;1
197002;257.6;1
197003;115.8;1
197004;190.7;1
197005;86.5;1
197006;112.1;1
197007;136.4;1
197008;148.4;1
197009;91.6;1
197010;65.7;1
197011;114.3;1
197012;33.9;1
197101;73.6;1
197102;28.9;1
197103;108.6;1
197104;53.4;1
197105;134.5;1
197106;180.2;1
197107;119.7;1
197108;210.5;1
197109;69.7;1
197110;25.1;1
197111;168.5;1
197112;2;1
197201;29.4;1
197202;67;1
197203;33;1
197204;91.5;1
197205;103.8;1
197206;145.8;1
197207;75.6;1
197208;57.1;1
197209;42.4;1
197210;36.2;1
197211;315;1
197212;26.2;1
197301;58.1;1
197302;60.5;1
197303;8.9;1
197304;73.3;1
197305;90.1;1
197306;95.2;1
197307;234.5;1
197308;80.3;1
197309;89.8;1
197310;112.7;1
197311;63.5;1
197312;68;1
197401;52.5;1
197402;87.5;1
197403;57.1;1
197404;32.1;1
197405;148.6;1
197406;202.1;1
197407;74.5;1
197408;76.5;1
197409;174.4;1
197410;169.2;1
197411;170.4;1
197412;83.4;1
197501;135;1
197502;7.6;1
197503;110;1
197504;76.6;1
197505;78.2;1
197506;87.3;1
197507;68.7;1
197508;117.4;1
197509;137;1
197510;51.4;1
197511;151.2;1
197512;7.1;1
197601;18.5;1
197602;61.4;1
197603;36.5;1
197604;60.5;1
197605;69.8;1
197606;32.5;1
197607;104.9;1
197608;86.4;1
197609;114.8;1
197610;129.4;1
197611;89.5;1
197612;160.9;1
197701;118.3;1
197702;207.3;1
197703;73.1;1
197704;160.2;1
197705;88.9;1
197706;136;1
197707;173.8;1
197708;130.7;1
197709;23;1
197710;121.8;1
197711;157.9;1
197712;79.1;1
197801;133;1
197802;173.4;1
197803;210.3;1
197804;44.4;1
197805;126.7;1
197806;161.7;1
197807;102.1;1
197808;145.1;1
197809;63.9;1
197810;38.2;1
197811;10.1;1
197812;198.5;1
197901;142.2;1
197902;144.8;1
197903;159;1
197904;81.5;1
197905;92.4;1
197906;147.9;1
197907;75.4;1
197908;187;1
197909;80;1
197910;112;1
197911;139.9;1
197912;209.1;1
198001;137.6;1
198002;138;1
198003;147.7;1
198004;30.3;1
198005;135.7;1
198006;162.2;1
198007;211.6;1
198008;87.6;1
198009;88.8;1
198010;188;1
198011;70.2;1
198012;77.3;1
198101;143.1;1
198102;40.9;1
198103;173.4;1
198104;42.8;1
198105;150.6;1
198106;108.6;1
198107;181.7;1
198108;49.1;1
198109;187;1
198110;352;1
198111;58.5;1
198112;228.2;1
198201;95.9;1
198202;11;1
198203;87;1
198204;22.5;1
198205;101.6;1
198206;157.8;1
198207;86.7;1
198208;176.5;1
198209;79.1;1
198210;213.1;1
198211;78.3;1
198212;169.7;1
198301;90.8;1
198302;96;1
198303;29.5;1
198304;195.3;1
198305;204.7;1
198306;61.6;1
198307;17.2;1
198308;54;1
198309;168.7;1
198310;88.8;1
198311;145.7;1
198312;66.9;1
198401;153.5;1
198402;138.9;1
198403;39.2;1
198404;30.3;1
198405;104.5;1
198406;118;1
198407;48;1
198408;75.2;1
198409;227.2;1
198410;93.4;1
198411;101.8;1
198412;56.6;1
198501;98.5;1
198502;110.2;1
198503;52.5;1
198504;104.5;1
198505;151.6;1
198506;244.1;1
198507;97.4;1
198508;118.4;1
198509;38.9;1
198510;11.7;1
198511;144.9;1
198512;60.6;1
198601;179.8;1
198602;42.6;1
198603;106.5;1
198604;133;1
198605;132.4;1
198606;70.2;1
198607;88.4;1
198608;179.3;1
198609;57.8;1
198610;104.5;1
198611;80.5;1
198612;119.4;1
198701;98.8;1
198702;74;1
198703;97.1;1
198704;94.1;1
198705;125.7;1
198706;241.6;1
198707;155.6;1
198708;122.6;1
198709;82.9;1
198710;110.6;1
198711;162.3;1
198712;70;1
198801;132.2;1
198802;107.2;1
198803;210.1;1
198804;54.5;1
198805;93.4;1
198806;71.8;1
198807;142.3;1
198808;138.9;1
198809;88.5;1
198810;219.7;1
198811;46.6;1
198812;142.1;1
198901;8.8;1
198902;46.4;1
198903;96.1;1
198904;113;1
198905;96.7;1
198906;47;1
198907;127;1
198908;124.8;1
198909;48.5;1
198910;59.5;1
198911;44.9;1
198912;124.3;1
199001;35.3;1
199002;292.9;1
199003;33.9;1
199004;92.5;1
199005;59.4;1
199006;265.9;1
199007;47.2;1
199008;110.1;1
199009;138.3;1
199010;143.3;1
199011;145.9;1
199012;85.8;1
199101;90.4;1
199102;60.9;1
199103;69.9;1
199104;64.7;1
199105;42.6;1
199106;198.4;1
199107;93.4;1
199108;37;1
199109;87.7;1
199110;114.6;1
199111;144.4;1
199112;122.1;1
199201;11.1;1
199202;87.1;1
199203;85.5;1
199204;81.2;1
199205;60.6;1
199206;148.5;1
199207;130.9;1
199208;134.7;1
199209;124.2;1
199210;247.2;1
199211;243.5;1
199212;129.2;1
199301;49.6;1
199302;21.6;1
199303;40.6;1
199304;158.4;1
199305;124.8;1
199306;116.8;1
199307;144;1
199308;107.8;1
199309;160;1
199310;98;1
199311;47.4;1
199312;275.4;1
199401;114.4;1
199402;19.2;1
199403;48;1
199404;147.6;1
199405;147.2;1
199406;132.2;1
199407;70;1
199408;114.9;1
199409;218.9;1
199410;99.2;1
199411;99;1
199412;110.7;1
199501;285.7;1
199502;236;1
199503;122;1
199504;54.2;1
199505;178.4;1
199506;64.9;1
199507;65.7;1
199508;83.8;1
199509;152.8;1
199510;24.8;1
199511;56.8;1
199512;130.6;1
199601;24.1;1
199602;92.6;1
199603;34.2;1
199604;26;1
199605;168.9;1
199606;90.2;1
199607;172;1
199608;165.2;1
199609;31.8;1
199610;104.6;1
199611;256.9;1
199612;41.7;1
199701;20;1
199702;91.1;1
199703;29.3;1
199704;62.4;1
199705;107.6;1
199706;178.2;1
