# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74080002
# NOM_USUEL= CLUSAZ (LA)
# LATITUDE (°) = 45.887
# LONGITUDE(°)= 6.427
# ALTITUDE (m) = 1180
# NUM_SERIE= MRR174080002
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;149.5;1
195102;230.6;1
195103;201.4;1
195104;117.4;1
195105;126.7;1
195106;201.9;1
195107;188;1
195108;219.5;1
195109;109.1;1
195110;71;1
195111;213.8;1
195112;155.5;1
195201;201.4;1
195202;132.4;1
195203;180.2;1
195204;81.6;1
195205;72.7;1
195206;139.2;1
195207;64.7;1
195208;203.6;1
195209;202.2;1
195210;406.4;1
195211;320.1;1
195212;235.8;1
195301;42.2;1
195302;91.8;1
195303;8.7;1
195304;112.1;1
195305;74;1
195306;281.5;1
195307;142.3;1
195308;75.9;1
195309;135.2;1
195310;52.5;1
195311;57.2;1
195312;42.5;1
195401;100;1
195402;119.6;1
195403;92.3;1
195404;140.7;1
195405;105.5;1
195406;150.7;1
195407;119;1
195408;297.6;1
195409;295.4;1
195410;128.4;1
195411;116.1;1
195412;216.1;1
195501;400.8;1
195502;361.7;1
195503;75.2;1
195504;14.2;1
195505;250;1
195506;187.3;1
195507;65.5;1
195508;155.3;1
195509;108.1;1
195510;76.3;1
195511;38.3;1
195512;210.2;1
195601;185.7;1
195602;16.1;1
195603;44.6;1
195604;172.5;1
195605;145.2;1
195606;73.3;1
195607;187.1;1
195608;346;1
195609;102.2;1
195610;148.8;1
195611;67.2;1
195612;32.5;1
195701;40.6;1
195702;404.9;1
195703;34.5;1
195704;40.8;1
195705;101.4;1
195706;213.1;1
195707;161;1
195708;171.4;1
195709;154.6;1
195710;44;1
195711;38.3;1
195712;69.8;1
195801;233.8;1
195802;294.9;1
195803;160.4;1
195804;110.3;1
195805;138.5;1
195806;243.7;1
195807;143.2;1
195808;194.5;1
195809;143.1;1
195810;146.3;1
195811;71.7;1
195812;159.2;1
195901;230.3;1
195902;0;1
195903;123.3;1
195904;187.5;1
195905;75.2;1
195906;270.7;1
195907;108.5;1
195908;120.2;1
195909;85.8;1
195910;144;1
195911;52;1
195912;297.2;1
196001;134.7;1
196002;197.4;1
196003;109.4;1
196004;28.3;1
196005;87.4;1
196006;180.3;1
196007;244.2;1
196008;211.3;1
196009;311.3;1
196010;196.9;1
196011;226.6;1
196012;87.7;1
196101;182.6;1
196102;164.8;1
196103;59.2;1
196104;190.1;1
196105;87.1;1
196106;128.9;1
196107;244.8;1
196108;80;1
196109;65.4;1
196110;174.7;1
196111;110.8;1
196112;298.9;1
196201;224.4;1
196202;101.8;1
196203;208.1;1
196204;118;1
196205;124.4;1
196206;47.8;1
196207;69.5;1
196208;43.5;1
196209;94.9;1
196210;56.3;1
196211;75.7;1
196212;295.7;1
196301;95.4;1
196302;109;1
196303;268.9;1
196304;104.3;1
196305;93;1
196306;274.6;1
196307;85.9;1
196308;268.5;1
196309;133.5;1
196310;77.9;1
196311;284.7;1
196312;2.1;1
196401;8.1;1
196402;39.8;1
196403;180.3;1
196404;117;1
196405;127.2;1
196406;154.7;1
196407;109.5;1
196408;177.1;1
196409;127.3;1
196410;211.4;1
196411;75;1
196412;57.6;1
196501;153.2;1
196502;42;1
196503;195.8;1
196504;156.3;1
196505;151;1
196506;86.4;1
196507;227.6;1
196508;145.9;1
196509;216.5;1
196510;27.1;1
196511;286.3;1
196512;406.6;1
196601;173.6;1
196602;224.4;1
196603;154.1;1
196604;182.5;1
196605;123.2;1
196606;79.1;1
196607;156.4;1
196608;124.3;1
196609;43.9;1
196610;122;1
196611;133.1;1
196612;267.4;1
196701;99.3;1
196702;183.3;1
196703;188.1;1
196704;59.1;1
196705;202.6;1
196706;116.9;1
196707;129.8;1
196708;92.2;1
196709;126.9;1
196710;117.1;1
196711;141.7;1
196712;140.3;1
196801;263.2;1
196802;131.8;1
196803;59.9;1
196804;98.5;1
196805;129.7;1
196806;99;1
196807;157;1
196808;299.7;1
196809;274;1
196810;94;1
196811;138.6;1
196812;190.7;1
196901;86.4;1
196902;108.6;1
196903;73;1
196904;199.3;1
196905;92.9;1
196906;174.5;1
196907;134;1
196908;174.9;1
196909;44.7;1
196910;5.3;1
196911;265.1;1
196912;129.9;1
197001;102.4;1
197002;426.3;1
197003;179.9;1
197004;297.7;1
197005;98.4;1
197006;148.2;1
197007;83.7;1
197008;168.3;1
197009;75.3;1
197010;98.3;1
197011;220.1;1
197012;53.1;1
197101;102.6;1
197102;42.8;1
197103;118.1;1
197104;86.9;1
197105;110;1
197106;185;1
197107;71.9;1
197108;148.5;1
197109;92.4;1
197110;38.9;1
197111;223.4;1
197112;2.8;1
197201;48.9;1
197202;91.5;1
197203;82.9;1
197204;136.7;1
197205;110.6;1
197206;142.6;1
197207;178;1
197208;60.2;1
197209;35.2;1
197210;59.1;1
197211;397.3;1
197212;42;1
197301;75;1
197302;129.1;1
197303;14.8;1
197304;131.2;1
197305;140.7;1
197306;172.5;1
197307;307.7;1
197308;103.1;1
197309;111.9;1
197310;110.3;1
197311;104.7;1
197312;111.4;1
197401;91.9;1
197402;143.1;1
197403;79.1;1
197404;49.9;1
197405;151.3;1
197406;183.2;1
197407;81.3;1
197408;84.1;1
197409;242.7;1
197410;265.1;1
197411;263.5;1
197412;146.3;1
197501;175.1;1
197502;11.2;1
197503;132.2;1
197504;109.8;1
197505;108.5;1
197506;108;1
197507;67.8;1
197508;177.5;1
197509;251.2;1
197510;75.6;1
197511;194;1
197512;46.4;1
197601;42.8;1
197602;65.4;1
197603;39.2;1
197604;70.9;1
197605;78.7;1
197606;30.9;1
197607;148.3;1
197608;63.6;1
197609;146.6;1
197610;108.6;1
197611;142.9;1
197612;266.4;1
197701;227.4;1
197702;288.8;1
197703;105.1;1
197704;260.9;1
197705;144;1
197706;124;1
197707;177.1;1
197708;114.5;1
197709;20.6;1
197710;117.7;1
197711;241.9;1
197712;132.4;1
197801;204.9;1
197802;259.9;1
197803;283.8;1
197804;76.5;1
197805;144.5;1
197806;143.2;1
197807;107.6;1
197808;145.3;1
197809;87;1
197810;27.4;1
197811;14.9;1
197812;312;1
197901;207.8;1
197902;216.1;1
197903;231.8;1
197904;126.6;1
197905;132.1;1
197906;209.5;1
197907;75.6;1
197908;160.3;1
197909;78.6;1
197910;76.9;1
197911;215.3;1
197912;315.3;1
198001;196.8;1
198002;174.7;1
198003;205.4;1
198004;53.2;1
198005;158.9;1
198006;243;1
198007;220.6;1
198008;115.3;1
198009;116.6;1
198010;289.1;1
198011;119.5;1
198012;167.6;1
198101;251.1;1
198102;74.7;1
198103;181.1;1
198104;29.5;1
198105;237;1
198106;106.4;1
198107;183.5;1
198108;37;1
198109;200;1
198110;364.4;1
198111;110.8;1
198112;422.1;1
198201;164.8;1
198202;31.9;1
198203;167.3;1
198204;27.7;1
198205;137.9;1
198206;177.4;1
198207;106;1
198208;164.8;1
198209;87.7;1
198210;284.8;1
198211;114.5;1
198212;305.9;1
198301;137.3;1
198302;132.9;1
198303;77.8;1
198304;270;1
198305;273.3;1
198306;115.2;1
198307;39.3;1
198308;140.9;1
198309;150.8;1
198310;117.4;1
198311;205.7;1
198312;122.9;1
198401;298;1
198402;192.3;1
198403;107.8;1
198404;59.2;1
198405;122.3;1
198406;131.8;1
198407;52.3;1
198408;51.3;1
198409;306.5;1
198410;155.3;1
198411;127.3;1
198412;88.4;1
198501;175.5;1
198502;161.4;1
198503;133.6;1
198504;161.7;1
198505;210.9;1
198506;265.9;1
198507;81.8;1
198508;127.8;1
198509;33.8;1
198510;11.9;1
198511;147.2;1
198512;87;1
198601;378.3;1
198602;80.1;1
198603;159.4;1
198604;181;1
198605;175.5;1
198606;103;1
198607;82.3;1
198608;154.8;1
198609;64.6;1
198610;157.3;1
198611;107.2;1
198612;214.6;1
198701;157;1
198702;101.1;1
198703;158.5;1
198704;121.9;1
198705;155.2;1
198706;356.4;1
198707;233.8;1
198708;151.4;1
198709;102.4;1
198710;143.7;1
198711;159.7;1
198712;79.3;1
198801;260.5;1
198802;222.4;1
198803;316.7;1
198804;71;1
198805;163;1
198806;80.3;1
198807;121.1;1
198808;111.8;1
198809;114.8;1
198810;220.3;1
198811;85.2;1
198812;180.5;1
198901;18.5;1
198902;87.2;1
198903;124;1
198904;200.3;1
198905;105;1
198906;71;1
198907;124.7;1
198908;85.9;1
198909;49.8;1
198910;76.7;1
