# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74221001
# NOM_USUEL= REPOSOIR (LE)
# LATITUDE (°) = 46.011
# LONGITUDE(°)= 6.536
# ALTITUDE (m) = 975
# NUM_SERIE= MRR174221001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 198706
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;31.8;1
195302;72.6;1
195303;9.8;1
195304;104.4;1
195305;84.8;1
195306;242.4;1
195307;119.2;1
195308;95.3;1
195309;150.8;1
195310;49.4;1
195311;43;1
195312;35;1
195401;76.2;1
195402;136.6;1
195403;76.3;1
195404;113.9;1
195405;102.3;1
195406;130.8;1
195407;118.8;1
195408;289.9;1
195409;213;1
195410;124.4;1
195411;125.3;1
195412;174.4;1
195501;310;1
195502;278.7;1
195503;75.4;1
195504;14.4;1
195505;268.1;1
195506;239.3;1
195507;162;1
195508;133.2;1
195509;125;1
195510;65.2;1
195511;31;1
195512;161;1
195601;157.8;1
195602;5.8;1
195603;38.8;1
195604;149.5;1
195605;134.7;1
195606;118.1;1
195607;171.6;1
195608;304.5;1
195609;112;1
195610;100.8;1
195611;47.4;1
195612;26.1;1
195701;27.1;1
195702;274.9;1
195703;37;1
195704;36.5;1
195705;91.4;1
195706;270.8;1
195707;155.7;1
195708;170.4;1
195709;144.8;1
195710;45.1;1
195711;33.1;1
195712;52.3;1
195801;170;1
195802;283.9;1
195803;134;1
195804;75.3;1
195805;129.1;1
195806;239;1
195807;151.6;1
195808;187.6;1
195809;121.5;1
195810;163;1
195811;67.2;1
195812;129.4;1
195901;173.1;1
195902;0.4;1
195903;121.6;1
195904;171.7;1
195905;93.4;1
195906;182.9;1
195907;122.5;1
195908;132.9;1
195909;100.6;1
195910;125.3;1
195911;42.4;1
195912;260.4;1
196001;111.7;1
196002;185.1;1
196003;82.3;1
196004;24.2;1
196005;72.1;1
196006;194.4;1
196007;236.8;1
196008;284.1;1
196009;278.7;1
196010;173.6;1
196011;212.9;1
196012;79.7;1
196101;132.8;1
196102;122.9;1
196103;39.3;1
196104;138.5;1
196105;80.9;1
196106;125.2;1
196107;260.2;1
196108;89.5;1
196109;56.6;1
196110;131.3;1
196111;67.8;1
196112;226.2;1
196201;214.9;1
196202;87.1;1
196203;212.7;1
196204;102;1
196205;103.1;1
196206;72;1
196207;61.2;1
196208;33.1;1
196209;99.7;1
196210;42.9;1
196211;57.8;1
196212;208.4;1
196301;67;1
196302;88.1;1
196303;167.7;1
196304;56.3;1
196305;84.5;1
196306;198.5;1
196307;79.5;1
196308;246.6;1
196309;98.8;1
196310;59.4;1
196311;288.2;1
196312;5.4;1
196401;7.5;1
196402;34.8;1
196403;153.1;1
196404;99.6;1
196405;119.6;1
196406;230.2;1
196407;95.1;1
196408;150.6;1
196409;124.4;1
196410;204.3;1
196411;65.7;1
196412;39.8;1
196501;123.2;1
196502;21.8;1
196503;146.1;1
196504;134.3;1
196505;167.6;1
196506;86.6;1
196507;239.3;1
196508;164.8;1
196509;208.5;1
196510;24;1
196511;252.6;1
196512;322.4;1
196601;127;1
196602;193.9;1
196603;93.4;1
196604;168.5;1
196605;116.4;1
196606;84.2;1
196607;153.1;1
196608;165.9;1
196609;64.4;1
196610;99.8;1
196611;102.2;1
196612;226.3;1
196701;81.7;1
196702;112.4;1
196703;140.8;1
196704;44;1
196705;204.2;1
196706;92.9;1
196707;116.6;1
196708;107.1;1
196709;106.6;1
196710;136;1
196711;176.3;1
196712;116.1;1
196801;195.6;1
196802;87.9;1
196803;52;1
196804;76.6;1
196805;97.2;1
196806;114.6;1
196807;142.1;1
196808;318.9;1
196809;295.6;1
196810;78.8;1
196811;106.9;1
196812;189.4;1
196901;65.6;1
196902;72.6;1
196903;52.5;1
196904;167.7;1
196905;71.7;1
196906;159.3;1
196907;169.5;1
196908;191.7;1
196909;61.9;1
196910;7.7;1
196911;242.3;1
196912;74.6;1
197001;98.4;1
197002;279;1
197003;132.9;1
197004;232.8;1
197005;70.1;1
197006;128.2;1
197007;94.3;1
197008;176.6;1
197009;88.5;1
197010;77.8;1
197011;203.3;1
197012;39.8;1
197101;96.3;1
197102;39.5;1
197103;88.6;1
197104;65.4;1
197105;131.4;1
197106;193.6;1
197107;72.5;1
197108;159.9;1
197109;97.7;1
197110;43.6;1
197111;159.4;1
197112;5.6;1
197201;31.4;1
197202;60.8;1
197203;59.9;1
197204;130;1
197205;77.6;1
197206;157.1;1
197207;138.3;1
197208;58.3;1
197209;37.7;1
197210;54.2;1
197211;314.5;1
197212;38.8;1
197301;49.3;1
197302;81.8;1
197303;11.8;1
197304;91;1
197305;122.6;1
197306;139.4;1
197307;281.8;1
197308;121.6;1
197309;125.7;1
197310;138.1;1
197311;80.4;1
197312;91;1
197401;64.5;1
197402;102.5;1
197403;58.3;1
197404;39.2;1
197405;157;1
197406;181.5;1
197407;82;1
197408;63.1;1
197409;211.7;1
197410;216.8;1
197411;217.3;1
197412;109.5;1
197501;151.4;1
197502;9;1
197503;109.5;1
197504;95.9;1
197505;142.4;1
197506;91.2;1
197507;60.8;1
197508;172.2;1
197509;211;1
197510;53.8;1
197511;170.5;1
197512;37.8;1
197601;30.5;1
197602;68.6;1
197603;27;1
197604;57.5;1
197605;95.6;1
197606;39;1
197607;121.6;1
197608;61.9;1
197609;130;1
197610;81.3;1
197611;132;1
197612;239.8;1
197701;173.9;1
197702;211.1;1
197703;79.3;1
197704;213.7;1
197705;153.3;1
197706;136.1;1
197707;150.3;1
197708;109.3;1
197709;17.2;1
197710;107.4;1
197711;172.7;1
197712;108.4;1
197801;152.8;1
197802;166.9;1
197803;192.2;1
197804;55;1
197805;132.5;1
197806;152.5;1
197807;102;1
197808;173.8;1
197809;91.3;1
197810;30.2;1
197811;14.8;1
197812;274.3;1
197901;190.4;1
197902;152.5;1
197903;201.7;1
197904;107.5;1
197905;109.2;1
197906;174.1;1
197907;63.1;1
197908;173.2;1
197909;64.8;1
197910;82.6;1
197911;167.6;1
197912;227.5;1
198001;175.4;1
198002;119.7;1
198003;146.3;1
198004;37.7;1
198005;128.7;1
198006;274.6;1
198007;231.2;1
198008;123.4;1
198009;128.2;1
198010;294;1
198011;85.8;1
198012;121.9;1
198101;176.7;1
198102;60.8;1
198103;166.8;1
198104;25.1;1
198105;218.8;1
198106;106.2;1
198107;171.8;1
198108;54.3;1
198109;173.8;1
198110;321.9;1
198111;97.3;1
198112;314.9;1
198201;128.3;1
198202;26.7;1
198203;153.5;1
198204;29.8;1
198205;114.3;1
198206;178.7;1
198207;120.8;1
198208;149.1;1
198209;91;1
198210;240.5;1
198211;104.8;1
198212;292.8;1
198301;100.8;1
198302;110.5;1
198303;73;1
198304;220.9;1
198305;295.8;1
198306;98;1
198307;33.6;1
198308;108.5;1
198309;152.7;1
198310;100.9;1
198311;182;1
198312;102.3;1
198401;223.7;1
198402;134.1;1
198403;122.8;1
198404;33.9;1
198405;110.5;1
198406;154.7;1
198407;93.9;1
198408;59.6;1
198409;285.9;1
198410;122.3;1
198411;123.9;1
198412;70.1;1
198501;168.1;1
198502;122.9;1
198503;125.8;1
198504;130.6;1
198505;209.4;1
198506;262.2;1
198507;71.1;1
198508;161.4;1
198509;31.7;1
198510;5.7;1
198511;132.6;1
198512;84.8;1
198601;287.9;1
198602;34;1
198603;148.2;1
198604;151.7;1
198605;152.8;1
198606;108.2;1
198607;121.5;1
198608;206.6;1
198609;71.7;1
198610;130.2;1
198611;82.7;1
198612;169.1;1
198701;104.5;1
198702;105.3;1
198703;139.1;1
198704;110.7;1
198705;118.4;1
198706;359.1;1
198707;289.9;1
198708;159;1
198709;119;1
198710;129.7;1
198711;155.1;1
198712;75;1
198801;240;1
198802;180;1
198803;200;1
198804;82;1
198805;160;1
198806;92;1
198807;126;1
198808;105.9;1
198809;106.6;1
198810;195;1
198811;80;1
198812;129.5;1
198901;18.4;1
198902;60.7;1
198903;112.6;1
198904;160;1
198905;86.8;1
198906;55;1
198907;133.4;1
198908;98.8;1
198909;50.3;1
198910;80.4;1
198911;59.5;1
198912;120.5;1
199001;59.4;1
199002;349.9;1
199003;0;1
199004;100.9;1
199005;72.5;1
199006;331.5;1
199007;106.6;1
199008;52.1;1
199009;135.3;1
199010;211.1;1
199011;206.2;1
199012;94.3;1
199101;95.4;1
199102;74.6;1
199103;71.9;1
199104;56.2;1
199105;44;1
199106;251.8;1
199107;83.7;1
199108;14.2;1
199109;150.7;1
199110;115.9;1
199111;164.7;1
199112;141.6;1
199201;23.2;1
199202;88.7;1
199203;87.7;1
199204;113.2;1
199205;107.2;1
199206;147;1
199207;87.2;1
199208;106;1
199209;107.4;1
199210;252.1;1
199211;266.3;1
199212;174.3;1
199301;67.6;1
199302;16.6;1
199303;41.6;1
199304;140.5;1
199305;125.6;1
199306;161.9;1
199307;155.8;1
199308;105.5;1
199309;279.1;1
199310;132.9;1
199311;44.7;1
199312;371.8;1
199401;147.7;1
199402;42.1;1
199403;70.3;1
199404;170.8;1
199405;183.9;1
199406;60.9;1
199407;82.6;1
199408;88.8;1
199409;288;1
199410;159.5;1
199411;72.9;1
199412;160.8;1
199501;349;1
