# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74256001
# NOM_USUEL= SALLANCHES
# LATITUDE (°) = 45.932
# LONGITUDE(°)= 6.651
# ALTITUDE (m) = 541
# NUM_SERIE= MRR174256001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196010 197212 201109
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;105.7;1
195102;139;1
195103;120.6;1
195104;51.3;1
195105;43.3;1
195106;115.4;1
195107;144.1;1
195108;148.4;1
195109;54.6;1
195110;35.9;1
195111;138.5;1
195112;93.7;1
195201;147.8;1
195202;58.7;1
195203;97.8;1
195204;33.8;1
195205;44.1;1
195206;80;1
195207;43.2;1
195208;177.6;1
195209;117.5;1
195210;239.7;1
195211;232.3;1
195212;143.8;1
195301;19.1;1
195302;63.1;1
195303;5;1
195304;44.4;1
195305;51.9;1
195306;186.8;1
195307;97.1;1
195308;64.6;1
195309;99.8;1
195310;41.8;1
195311;19.7;1
195312;18.5;1
195401;80.7;1
195402;67.4;1
195403;58.6;1
195404;97.8;1
195405;68.1;1
195406;105.7;1
195407;68.4;1
195408;187.5;1
195409;152.2;1
195410;75.4;1
195411;73.4;1
195412;179;1
195501;250.7;1
195502;241.4;1
195503;44.6;1
195504;8;1
195505;137.4;1
195506;142.7;1
195507;102.8;1
195508;100.8;1
195509;86.8;1
195510;29.1;1
195511;20.5;1
195512;119.1;1
195601;105.5;1
195602;4.2;1
195603;28.2;1
195604;84.1;1
195605;67.9;1
195606;49.3;1
195607;207.9;1
195608;177.3;1
195609;63.4;1
195610;79.5;1
195611;37.1;1
195612;6.9;1
195701;18.1;1
195702;216;1
195703;35.7;1
195704;27.8;1
195705;53.1;1
195706;161.1;1
195707;90.6;1
195708;107.8;1
195709;91.9;1
195710;28.9;1
195711;28.8;1
195712;52.8;1
195801;134.6;1
195802;209.3;1
195803;100;1
195804;61.7;1
195805;66.2;1
195806;133.3;1
195807;95.5;1
195808;131.6;1
195809;96.7;1
195810;78.7;1
195811;43.6;1
195812;92.7;1
195901;147.5;1
195902;0;1
195903;59.4;1
195904;131.5;1
195905;65.3;1
195906;102;1
195907;102.3;1
195908;57.9;1
195909;55.7;1
195910;88.4;1
195911;30.4;1
195912;201.2;1
196001;87;1
196002;112.8;1
196003;75.1;1
196004;14.6;1
196005;51;1
196006;130.9;1
196007;157.3;1
196008;162.6;1
196009;208.5;1
196010;109.5;1
196011;175.6;1
196012;56.1;1
196101;95.9;1
196102;109.9;1
196103;21.8;1
196104;124.2;1
196105;50.5;1
196106;105.4;1
196107;165.2;1
196108;62.1;1
196109;27.7;1
196110;112.5;1
196111;64.6;1
196112;164.8;1
196201;164.9;1
196202;78.1;1
196203;105.7;1
196204;67;1
196205;73.6;1
196206;39.4;1
196207;46.9;1
196208;35.4;1
196209;63.4;1
196210;31.5;1
196211;43.4;1
196212;177.1;1
196301;53.4;1
196302;88.6;1
196303;171.8;1
196304;54.5;1
196305;38;1
196306;158.5;1
196307;83.7;1
196308;193.4;1
196309;66.6;1
196310;48.7;1
196311;180.6;1
196312;1.2;1
196401;6;1
196402;25.9;1
196403;101.6;1
196404;57.8;1
196405;86.7;1
196406;90.1;1
196407;97.4;1
196408;108.2;1
196409;95.9;1
196410;115.6;1
196411;53.2;1
196412;27.8;1
196501;99.3;1
196502;19.1;1
196503;120.2;1
196504;86.6;1
196505;113.9;1
196506;53.9;1
196507;173.6;1
196508;91.9;1
196509;151.5;1
196510;16.9;1
196511;215.3;1
196512;295.7;1
196601;120.8;1
196602;136.5;1
196603;68.8;1
196604;113.5;1
196605;58.1;1
196606;71.2;1
196607;111.1;1
196608;102;1
196609;36.9;1
196610;89.1;1
196611;74.6;1
196612;191.1;1
196701;66.4;1
196702;112.6;1
196703;103.3;1
196704;24.6;1
196705;120.6;1
196706;92.5;1
196707;155.3;1
196708;89.8;1
196709;61.3;1
196710;85.3;1
196711;82.4;1
196712;63.4;1
196801;175.9;1
196802;92.8;1
196803;42.1;1
196804;48.9;1
196805;46.8;1
196806;83.1;1
196807;139.7;1
196808;187.7;1
196809;201.5;1
196810;59.2;1
196811;83;1
196812;144.5;1
196901;47.8;1
196902;48.9;1
196903;34.9;1
196904;108.5;1
196905;64.5;1
196906;118.1;1
196907;134.8;1
196908;152.1;1
196909;60.8;1
196910;4;1
196911;173.4;1
196912;62.7;1
197001;62.5;1
197002;288.4;1
197003;98.2;1
197004;151;1
197005;60.6;1
197006;102.5;1
197007;48.3;1
197008;113.6;1
197009;46.2;1
197010;63.3;1
197011;140.1;1
197012;23.8;1
197101;59.8;1
197102;43;1
197103;83;1
197104;47.3;1
197105;73.6;1
197106;106.2;1
197107;70.2;1
197108;128.2;1
197109;44.6;1
197110;16;1
197111;124.1;1
197112;2.9;1
197201;22.7;1
197202;60.4;1
197203;49.7;1
197204;72.8;1
197205;73.7;1
197206;91;1
197207;102.1;1
197208;33.1;1
197209;24.6;1
197210;50.8;1
197211;224.4;1
197212;28.2;1
197301;43.8;1
197302;63.1;1
197303;6.5;1
197304;57.2;1
197305;69.6;1
197306;100.9;1
197307;169.1;1
197308;88;1
197309;97.5;1
197310;87.1;1
197311;52.5;1
197312;70.4;1
197401;48.2;1
197402;75.1;1
197403;51.1;1
197404;20.8;1
197405;108.6;1
197406;108;1
197407;58.5;1
197408;41.5;1
197409;184.3;1
197410;151.1;1
197411;175.8;1
197412;94.7;1
197501;134.2;1
197502;2;1
197503;61.8;1
197504;79.5;1
197505;58;1
197506;67;1
197507;37.9;1
197508;130.6;1
197509;149.8;1
197510;58.3;1
197511;121.7;1
197512;24.1;1
197601;20.2;1
197602;54.1;1
197603;23.7;1
197604;26.8;1
197605;66.8;1
197606;17;1
197607;71.5;1
197608;61.6;1
197609;82.7;1
197610;57;1
197611;99.3;1
197612;161.8;1
197701;130.3;1
197702;153.1;1
197703;67.1;1
197704;161;1
197705;88.3;1
197706;91;1
197707;146.3;1
197708;85.7;1
197709;12;1
197710;80.3;1
197711;134.4;1
197712;76.3;1
197801;143.3;1
197802;169.7;1
197803;181.1;1
197804;40.3;1
197805;94;1
197806;147;1
197807;50.6;1
197808;113.7;1
197809;63.2;1
197810;21.2;1
197811;3.6;1
197812;215.3;1
197901;139;1
197902;112.2;1
197903;158.2;1
197904;57.7;1
197905;76.4;1
197906;88.2;1
197907;49.1;1
197908;101.6;1
197909;49.9;1
197910;60.9;1
197911;125.6;1
197912;202.6;1
198001;122.7;1
198002;123.9;1
198003;115.1;1
198004;26.7;1
198005;105.5;1
198006;135.7;1
198007;160.5;1
198008;57;1
198009;73;1
198010;171.3;1
198011;63.1;1
198012;91.1;1
198101;154.2;1
198102;49.5;1
198103;104.8;1
198104;16.8;1
198105;155.2;1
198106;57.7;1
198107;123.1;1
198108;56.5;1
198109;132.7;1
198110;230.8;1
198111;86.5;1
198112;299.1;1
198201;109.5;1
198202;20.4;1
198203;86.7;1
198204;13.9;1
198205;71.8;1
198206;103.7;1
198207;59.9;1
198208;96.7;1
198209;67.7;1
198210;173.1;1
198211;51.6;1
198212;187.4;1
198301;103.5;1
198302;94.7;1
198303;39;1
198304;148.8;1
198305;188.9;1
198306;52.8;1
198307;14.6;1
198308;52.9;1
198309;107.1;1
198310;68.6;1
198311;151;1
198312;86.7;1
198401;179.9;1
198402;114;1
198403;71.3;1
198404;20.8;1
198405;77.4;1
198406;82.6;1
198407;39.4;1
198408;45.9;1
198409;223.5;1
198410;95.1;1
198411;72.7;1
198412;41.8;1
198501;103.7;1
198502;103.6;1
198503;78.6;1
198504;93.3;1
198505;139.1;1
198506;186.8;1
198507;61.3;1
198508;103.1;1
198509;29.4;1
198510;6;1
198511;97.4;1
198512;61.6;1
198601;218.2;1
198602;40.1;1
198603;103.6;1
198604;103.7;1
198605;86.4;1
198606;64.9;1
198607;66;1
198608;88.8;1
198609;38.4;1
198610;90.1;1
198611;62.7;1
198612;139.5;1
198701;92.3;1
198702;58.6;1
198703;83.8;1
198704;77.5;1
198705;78.4;1
198706;213.7;1
198707;131.3;1
198708;119.5;1
198709;69.4;1
198710;79.8;1
198711;93.6;1
198712;64.1;1
198801;157.6;1
198802;125.2;1
198803;180.2;1
198804;33.8;1
198805;115.3;1
198806;34.2;1
198807;100.3;1
198808;99.1;1
198809;69.8;1
198810;143;1
198811;42.4;1
198812;120.6;1
198901;7.7;1
198902;53.1;1
198903;75.9;1
198904;128;1
198905;77.9;1
198906;52.4;1
198907;83;1
198908;65.9;1
198909;39.6;1
198910;52.4;1
198911;38.4;1
198912;98.1;1
199001;39.7;1
199002;322.9;1
199003;22.6;1
199004;88.6;1
199005;62.9;1
199006;216.6;1
199007;85.7;1
199008;101.2;1
199009;99.8;1
199010;144.8;1
199011;124.2;1
199012;48.8;1
199101;60.2;1
199102;62.7;1
199103;44.8;1
199104;21.3;1
199105;33.9;1
199106;141.8;1
199107;79.5;1
199108;23.6;1
199109;73.6;1
199110;85.5;1
199111;100.6;1
199112;126.1;1
199201;20.2;1
199202;72.7;1
199203;78.4;1
199204;80.1;1
199205;84;1
199206;102.7;1
199207;96.1;1
199208;123.3;1
199209;90.6;1
199210;224.2;1
199211;202.8;1
199212;121.9;1
199301;45;1
199302;13.3;1
199303;23.6;1
199304;111.8;1
199305;71.5;1
199306;109.5;1
199307;129.3;1
199308;74.4;1
199309;160.4;1
199310;75.7;1
199311;19.4;1
199312;220.8;1
199401;119.3;1
199402;22.3;1
199403;33.3;1
199404;121.2;1
199405;140;1
199406;46.8;1
199407;58.6;1
199408;63.3;1
199409;178;1
199410;108.1;1
199411;61.2;1
199412;104.1;1
199501;264.3;1
199502;206.3;1
199503;98.8;1
199504;42.9;1
199505;163.3;1
199506;58.6;1
199507;57.4;1
199508;96.6;1
199509;111.9;1
199510;23.3;1
199511;44.5;1
199512;79.6;1
199601;38;1
199602;92.5;1
199603;35.3;1
199604;48.4;1
199605;109.8;1
199606;71.8;1
199607;140.1;1
199608;145.2;1
199609;26.9;1
199610;65.7;1
199611;238.6;1
199612;62.9;1
199701;47.1;1
199702;97.5;1
199703;25;1
199704;58.6;1
199705;108.9;1
199706;147.9;1
199707;125.9;1
199708;81.4;1
199709;67.6;1
199710;94.8;1
199711;52.9;1
199712;123.4;1
199801;140.3;1
199802;13.5;1
199803;55.7;1
199804;133.5;1
199805;18.3;1
199806;111.7;1
199807;93.1;1
199808;46.7;1
199809;148.7;1
199810;143.2;1
199811;93.3;1
199812;31.2;1
199901;93.3;1
199902;198.9;1
199903;66.3;1
199904;131.8;1
199905;125.2;1
199906;126.9;1
199907;55.3;1
199908;96.3;1
199909;100.1;1
199910;63.3;1
199911;67.7;1
199912;204.4;1
200001;30.3;1
200002;114.3;1
200003;72.9;1
200004;82.7;1
200005;44;1
200006;47.1;1
200007;120.6;1
200008;77.5;1
200009;79.2;1
200010;109.9;1
200011;114.6;1
200012;54.6;1
200101;141.1;1
200102;37;1
200103;284.5;1
200104;144.9;1
200105;49.9;1
200106;161;1
200107;86.9;1
200108;119.4;1
200109;98.8;1
200110;50.4;1
200111;54.4;1
200112;48.3;1
200201;38.3;1
200202;89.5;1
200203;78.3;1
200204;35.7;1
200205;137.8;1
200206;98.4;1
200207;85.6;1
200208;144.9;1
200209;65.6;1
200210;143.9;1
200211;173.8;1
200212;103.4;1
200301;113.8;1
200302;53.1;1
200303;18.2;1
200304;75.1;1
200305;56.5;1
200306;73.5;1
200307;62.3;1
200308;87;1
200309;35.6;1
200310;157.2;1
200311;50.1;1
200312;39;1
200401;192.3;1
200402;12.9;1
200403;38.3;1
200404;53;1
200405;67.6;1
200406;58.6;1
200407;67.9;1
200408;155.9;1
200409;33.8;1
200410;97.4;1
200411;29.1;1
200412;55.3;1
200501;84.4;1
200502;72.4;1
200503;45.7;1
200504;89.5;1
200505;40.5;1
200506;98.8;1
200507;70;1
200508;129.3;1
200509;48.5;1
200510;58.5;1
200511;31.9;1
200512;117.6;1
200601;33.2;1
200602;60.3;1
200603;206.9;1
200604;110.4;1
200605;127.9;1
200606;41.5;1
200607;96.2;1
200608;140.4;1
200609;60.1;1
200610;48.6;1
200611;51.6;1
200612;62.1;1
200701;95.1;1
200702;135.7;1
200703;75.4;1
200704;7.3;1
200705;167.3;1
200706;111.4;1
200707;136;1
200708;176.8;1
200709;52;1
200710;17.6;1
200711;33.8;1
200712;140.4;1
200801;85;1
200802;30.7;1
200803;88.1;1
200804;104.8;1
200805;38.8;1
200806;81.2;1
200807;172.1;1
200808;105.9;1
200809;135.3;1
200810;79.7;1
200811;68.8;1
200812;113.2;1
200901;83.6;1
200902;60;1
200903;67.4;1
200904;30.6;1
200905;39.8;1
200906;62.5;1
200907;107.9;1
200908;56.8;1
200909;24.4;1
200910;25.2;1
200911;144;1
200912;142;1
201001;45.7;1
201002;73.6;1
201003;56.5;1
201004;20.3;1
201005;174;1
201006;64.2;1
201007;73.2;1
201008;131.6;1
201009;30.5;1
201010;42.3;1
201011;117.7;1
201012;85.6;1
201101;33.4;1
201102;22.3;1
201103;48.6;1
201104;19.8;1
201105;84.2;1
201106;101.5;1
201107;127.3;1
201108;63.5;1
201109;53.4;1
201110;82.8;1
201111;0.4;1
201112;280.7;1
201201;136.7;1
201202;9.4;1
201203;23.2;1
201204;142.8;1
201205;59.4;1
201206;95.2;1
201207;52;1
201208;109.9;1
201209;123.3;1
201210;71.7;1
201211;118.4;1
201212;226.4;1
201301;71.8;1
201302;73.1;1
201303;86.3;1
201304;80.5;1
201305;145.1;1
201306;65;1
201307;104.2;1
201308;69.8;1
201309;98.3;1
201310;149;1
201311;144.5;1
201312;53.1;1
201401;118.6;1
201402;147.2;1
201403;33.2;1
201404;71;1
201405;83.8;1
201406;42.4;1
201407;231;1
201408;122.8;1
201409;36.4;1
201410;57;1
201411;119;1
201412;50.4;1
201501;113.4;1
201502;29.8;1
201503;91.6;1
201504;78.4;1
201505;150.2;1
201506;106.9;1
201507;82.5;1
201508;87.6;1
201509;102.8;1
201510;81.2;1
201511;77.8;1
201512;6.6;1
201601;180.3;1
201602;126.8;1
201603;55.8;1
201604;115;1
201605;145.3;1
201606;133.2;1
201607;82.5;1
201608;46.2;1
201609;46.8;1
201610;72.6;1
201611;108.8;1
201612;0;1
201701;42.8;0
201702;77.2;0
201703;106;0
201704;42.2;0
201705;94.5;0
201706;105.5;0
201707;80.3;0
201708;97.1;0
201709;41.8;0
201710;29.4;0
201711;80;0
201712;198.8;0
201801;292.6;0
201802;39.2;0
201803;114.4;0
201804;45.6;0
201805;78.4;0
201806;55.4;0
201807;56.6;0
201808;97.3;0
201809;36;0
201810;54.6;0
201811;31;0
201812;162;0
201901;86.8;0
201902;49;0
201903;81.2;0
201904;72.6;0
201905;100;0
201906;96.8;0
201907;63.8;0
201908;99.3;0
201909;30.2;0
201910;106;0
201911;128.3;0
201912;177.6;0
202001;53.3;0
202002;129.2;0
202003;89.8;0
202004;52.6;0
202005;102.6;0
202006;112.1;0
202007;16.4;0
202008;160.8;0
202009;63.2;0
202010;128.4;0
202011;23.7;0
202012;98.5;0
202101;178.9;0
202102;42.6;0
202103;84.9;0
202104;61.9;0
202105;156.5;0
202106;135.5;0
202107;194;0
202108;65.1;0
202109;112.1;0
202110;49;0
202111;38.6;0
202112;206.9;0
202201;49.6;0
202202;79.5;0
202203;19.8;0
202204;72.5;0
202205;74.4;0
202206;71.8;0
202207;23.1;0
202208;63;0
202209;120;0
202210;115.7;0
202211;93.3;0
202212;153.6;0
