# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74258002
# NOM_USUEL= SAMOENS
# LATITUDE (°) = 46.087
# LONGITUDE(°)= 6.727
# ALTITUDE (m) = 785
# NUM_SERIE= MRR174258002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199201
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;123.1;1
195102;143.3;1
195103;179.9;1
195104;127.8;1
195105;91;1
195106;157.4;1
195107;227.4;1
195108;201.1;1
195109;104.1;1
195110;46.9;1
195111;176.3;1
195112;118.4;1
195201;195.1;1
195202;137.2;1
195203;177.4;1
195204;69.1;1
195205;71.7;1
195206;175.1;1
195207;36.9;1
195208;184.6;1
195209;175.2;1
195210;300.2;1
195211;350.4;1
195212;210.5;1
195301;32.9;1
195302;100.4;1
195303;10.5;1
195304;94.9;1
195305;81.1;1
195306;216.9;1
195307;120.9;1
195308;66.4;1
195309;182;1
195310;55.3;1
195311;30.9;1
195312;43.3;1
195401;127.3;1
195402;100.6;1
195403;101;1
195404;132.8;1
195405;132.1;1
195406;163.3;1
195407;128.5;1
195408;295.8;1
195409;223.7;1
195410;127.5;1
195411;86.3;1
195412;213.7;1
195501;319.4;1
195502;327.2;1
195503;59.1;1
195504;16.7;1
195505;216.7;1
195506;183.8;1
195507;125.8;1
195508;143.5;1
195509;83.6;1
195510;55.2;1
195511;34.9;1
195512;160;1
195601;190.8;1
195602;13.6;1
195603;22.7;1
195604;108.5;1
195605;121.2;1
195606;103.4;1
195607;185.5;1
195608;312.3;1
195609;98.8;1
195610;157.8;1
195611;54.7;1
195612;31;1
195701;36.4;1
195702;307.9;1
195703;41;1
195704;41.4;1
195705;109;1
195706;214.4;1
195707;150.7;1
195708;169.3;1
195709;141.5;1
195710;54.6;1
195711;34.7;1
195712;78.7;1
195801;176.9;1
195802;319.9;1
195803;146.8;1
195804;104.9;1
195805;104.8;1
195806;218.2;1
195807;172.7;1
195808;170.6;1
195809;113.3;1
195810;144.3;1
195811;69.8;1
195812;104.3;1
195901;252;1
195902;1;1
195903;96.2;1
195904;170.5;1
195905;51.7;1
195906;167.2;1
195907;125.3;1
195908;90.1;1
195909;53.7;1
195910;119.7;1
195911;50;1
195912;243.8;1
196001;128.6;1
196002;148.1;1
196003;112.7;1
196004;31.4;1
196005;78;1
196006;166;1
196007;210.8;1
196008;311.9;1
196009;268.6;1
196010;165.9;1
196011;237.1;1
196012;91;1
196101;165.7;1
196102;150.7;1
196103;57.5;1
196104;182.9;1
196105;97;1
196106;120.9;1
196107;257.6;1
196108;100.1;1
196109;82.7;1
196110;142.5;1
196111;85.8;1
196112;294.7;1
196201;188.3;1
196202;112;1
196203;189.1;1
196204;100.1;1
196205;146;1
196206;71.1;1
196207;78.3;1
196208;52.8;1
196209;124.8;1
196210;32;1
196211;58.9;1
196212;249.8;1
196301;58.5;1
196302;104.2;1
196303;202;1
196304;77.8;1
196305;83.7;1
196306;244;1
196307;97;1
196308;207.7;1
196309;96;1
196310;60.9;1
196311;240.7;1
196312;3.5;1
196401;9.7;1
196402;31.8;1
196403;151.7;1
196404;122.2;1
196405;102.7;1
196406;115.8;1
196407;103.6;1
196408;144.2;1
196409;116.7;1
196410;175.1;1
196411;69.3;1
196412;57.7;1
196501;133.8;1
196502;31.1;1
196503;199.8;1
196504;151.7;1
196505;170.5;1
196506;81.7;1
196507;284.8;1
196508;149.6;1
196509;185.1;1
196510;25.1;1
196511;262.1;1
196512;341.6;1
196601;137.2;1
196602;198.7;1
196603;119.7;1
196604;135.8;1
196605;133.8;1
196606;100;1
196607;142.8;1
196608;180.9;1
196609;61.1;1
196610;94.9;1
196611;116.8;1
196612;238.9;1
196701;88.2;1
196702;144.7;1
196703;164.2;1
196704;64;1
196705;170.6;1
196706;68.4;1
196707;136.5;1
196708;140.9;1
196709;95.1;1
196710;105.8;1
196711;110.4;1
196712;115.6;1
196801;255.8;1
196802;112.6;1
196803;58.5;1
196804;95.7;1
196805;99.5;1
196806;125.3;1
196807;187.7;1
196808;271.8;1
196809;246.9;1
196810;83.4;1
196811;94.1;1
196812;196.8;1
196901;53.6;1
196902;100.6;1
196903;64.5;1
196904;118.2;1
196905;100.4;1
196906;156.7;1
196907;146.3;1
196908;201.1;1
196909;49.7;1
196910;4.5;1
196911;196.8;1
196912;121.3;1
197001;88.6;1
197002;386.6;1
197003;156.1;1
197004;263;1
197005;77.9;1
197006;155.1;1
197007;135.6;1
197008;139.5;1
197009;76.3;1
197010;87.4;1
197011;179.2;1
197012;46.4;1
197101;73.8;1
197102;40.6;1
197103;102.8;1
197104;67.9;1
197105;129.1;1
197106;188.2;1
197107;107;1
197108;186.2;1
197109;94.4;1
197110;27.3;1
197111;191;1
197112;6.8;1
197201;33.7;1
197202;56.9;1
197203;74.9;1
197204;109;1
197205;112.7;1
197206;162.4;1
197207;103.1;1
197208;81.6;1
197209;50.5;1
197210;60.5;1
197211;362.5;1
197212;37.7;1
197301;58.9;1
197302;97.4;1
197303;20.6;1
197304;83.5;1
197305;115.3;1
197306;159.9;1
197307;237.1;1
197308;117;1
197309;112.1;1
197310;86.1;1
197311;89.4;1
197312;114.5;1
197401;65.6;1
197402;115.5;1
197403;86.2;1
197404;36.2;1
197405;171.2;1
197406;207.7;1
197407;110.8;1
197408;88.1;1
197409;232.4;1
197410;202.4;1
197411;228.7;1
197412;111.6;1
197501;176.3;1
197502;8.2;1
197503;131.2;1
197504;103.3;1
197505;79.1;1
197506;114.1;1
197507;70.9;1
197508;147.1;1
197509;165.9;1
197510;67.2;1
197511;163.7;1
197512;26.6;1
197601;21.2;1
197602;80.9;1
197603;28.9;1
197604;49.4;1
197605;83;1
197606;28.2;1
197607;106.7;1
197608;38.5;1
197609;93.3;1
197610;88.9;1
197611;96.9;1
197612;200.8;1
197701;156.1;1
197702;253.8;1
197703;73;1
197704;248.1;1
197705;108.4;1
197706;133.8;1
197707;184.4;1
197708;97.4;1
197709;17.5;1
197710;89.5;1
197711;237.2;1
197712;98.9;1
197801;160.4;1
197802;208.2;1
197803;279.5;1
197804;73.8;1
197805;125;1
197806;184.8;1
197807;105.1;1
197808;117.6;1
197809;97.2;1
197810;38.6;1
197811;13.5;1
197812;192.9;1
197901;179.3;1
197902;175.6;1
197903;206.2;1
197904;91.3;1
197905;97.2;1
197906;130.6;1
197907;87;1
197908;167.3;1
197909;67.6;1
197910;82.7;1
197911;216.2;1
197912;265;1
198001;163;1
198002;187.2;1
198003;192.4;1
198004;37.1;1
198005;130.5;1
198006;238.7;1
198007;225.6;1
198008;127.6;1
198009;108.7;1
198010;223.2;1
198011;91.5;1
198012;168.8;1
198101;233.4;1
198102;69;1
198103;179.9;1
198104;23.9;1
198105;202.9;1
198106;67.6;1
198107;157.1;1
198108;70.1;1
198109;153.6;1
198110;374.9;1
198111;115.5;1
198112;355.3;1
198201;156.4;1
198202;23.7;1
198203;163.5;1
198204;28.4;1
198205;125;1
198206;181.1;1
198207;127.4;1
198208;104.7;1
198209;95.6;1
198210;237.6;1
198211;77.1;1
198212;237.9;1
198301;150.1;1
198302;123.8;1
198303;64;1
198304;210.5;1
198305;262.1;1
198306;81.2;1
198307;56.1;1
198308;156.9;1
198309;181.2;1
198310;87.8;1
198311;162.6;1
198312;101.8;1
198401;235.5;1
198402;193.4;1
198403;105.5;1
198404;64.6;1
198405;144.4;1
198406;88;1
198407;55.1;1
198408;80.8;1
198409;284;1
198410;104.5;1
198411;119.3;1
198412;74.5;1
198501;136.3;1
198502;157.5;1
198503;118.8;1
198504;157.6;1
198505;183.8;1
198506;258.5;1
198507;87.4;1
198508;134.7;1
198509;42.3;1
198510;8.1;1
198511;131.7;1
198512;83.4;1
198601;304.2;1
198602;63.7;1
198603;150.1;1
198604;173.8;1
198605;155.4;1
198606;100.1;1
198607;97;1
198608;240.9;1
198609;63.3;1
198610;122.7;1
198611;100.3;1
198612;210.5;1
198701;139.6;1
198702;111.7;1
198703;151.7;1
198704;119.6;1
198705;126;1
198706;355.2;1
198707;187.2;1
198708;151.3;1
198709;98.1;1
198710;95.2;1
198711;115.5;1
198712;80.3;1
198801;205.2;1
198802;183.4;1
198803;271.4;1
198804;72.2;1
198805;124.2;1
198806;51.3;1
198807;156.6;1
198808;121.6;1
198809;103.3;1
198810;202.1;1
198811;69.1;1
198812;143;1
198901;14.1;1
198902;79;1
198903;114.5;1
198904;209.8;1
198905;81.4;1
198906;85.6;1
198907;121.9;1
198908;113.8;1
198909;43.9;1
198910;72.7;1
198911;50.5;1
198912;107.9;1
199001;54.5;1
199002;424.9;1
199003;39.1;1
199004;137.7;1
199005;76.1;1
199006;321;1
199007;103.9;1
199008;68.2;1
199009;146.3;1
199010;179.6;1
199011;170.5;1
199012;98.6;1
199101;92.7;1
199102;84.1;1
199103;72.4;1
199104;67;1
199105;57.6;1
199106;210.9;1
199107;141.5;1
199108;36.4;1
199109;135.8;1
199110;127.2;1
199111;157.8;1
199112;176;1
199201;26.8;1
199202;124.2;1
199203;121.7;1
199204;110.4;1
199205;71.6;1
199206;174.3;1
199207;144.6;1
199208;101.5;1
199209;114;1
199210;274.1;1
199211;293.8;1
199212;131.1;1
199301;79.5;1
199302;20.2;1
199303;56.5;1
199304;155.3;1
199305;126.3;1
199306;203.9;1
199307;195.2;1
199308;111.4;1
199309;206.9;1
199310;115.7;1
199311;57.9;1
199312;292.1;1
199401;132.1;1
199402;44.6;1
199403;61.3;1
199404;162.8;1
199405;203.4;1
199406;214.1;1
199407;114.1;1
199408;116.4;1
199409;266.9;1
199410;176;1
199411;73.6;1
199412;163.2;1
199501;365.6;1
