# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 74281001
# NOM_USUEL= THONON-INRA
# LATITUDE (°) = 46.367
# LONGITUDE(°)= 6.455
# ALTITUDE (m) = 376
# NUM_SERIE= MRR174281001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196012 198403
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;42.9;1
195102;113.9;1
195103;114.9;1
195104;77.9;1
195105;96;1
195106;74.9;1
195107;96.2;1
195108;139.3;1
195109;75.9;1
195110;76;1
195111;138.6;1
195112;41.9;1
195201;70.9;1
195202;69.7;1
195203;87.4;1
195204;65.3;1
195205;73.9;1
195206;93;1
195207;32.7;1
195208;130.9;1
195209;131;1
195210;171.2;1
195211;181.6;1
195212;71.4;1
195301;13.8;1
195302;41.6;1
195303;2.1;1
195304;72.9;1
195305;37.4;1
195306;194.8;1
195307;45.2;1
195308;94.7;1
195309;147.3;1
195310;30.3;1
195311;31.8;1
195312;22;1
195401;37.5;1
195402;80.7;1
195403;47.7;1
195404;77.5;1
195405;53.8;1
195406;87.7;1
195407;50;1
195408;221.4;1
195409;137.8;1
195410;81.9;1
195411;93.4;1
195412;103.9;1
195501;137.7;1
195502;138.1;1
195503;25.3;1
195504;9.3;1
195505;146.7;1
195506;131.7;1
195507;81.4;1
195508;136.3;1
195509;49.6;1
195510;51;1
195511;30.3;1
195512;96.5;1
195601;130.4;1
195602;5.9;1
195603;25.2;1
195604;110.2;1
195605;137.3;1
195606;72.1;1
195607;125.1;1
195608;182;1
195609;98.6;1
195610;91;1
195611;24.9;1
195612;14.9;1
195701;19.2;1
195702;128.1;1
195703;20.3;1
195704;27.2;1
195705;46.9;1
195706;137.8;1
195707;101.2;1
195708;75.1;1
195709;54.5;1
195710;55.4;1
195711;49.5;1
195712;20.3;1
195801;55.4;1
195802;79.1;1
195803;38.6;1
195804;70.2;1
195805;114;1
195806;163.3;1
195807;72.9;1
195808;164;1
195809;107.6;1
195810;103;1
195811;39.7;1
195812;65;1
195901;75.2;1
195902;0;1
195903;134.6;1
195904;116.6;1
195905;37.7;1
195906;131.2;1
195907;75.6;1
195908;100.7;1
195909;106.5;1
195910;114.2;1
195911;62.7;1
195912;135.6;1
196001;93.7;1
196002;132.5;1
196003;56;1
196004;11.8;1
196005;49;1
196006;104.8;1
196007;122.9;1
196008;149.1;1
196009;202.7;1
