# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 77306001
# NOM_USUEL= MELUN
# LATITUDE (°) = 48.61
# LONGITUDE(°)= 2.68
# ALTITUDE (m) = 91
# NUM_SERIE= MRR177306001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 196007 200812
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;33.8;1
194702;52.1;1
194703;70.3;1
194704;18.9;1
194705;28.2;1
194706;33.5;1
194707;34;1
194708;42.1;1
194709;18.8;1
194710;9.7;1
194711;66.3;1
194712;85.2;1
194801;71.8;1
194802;28.4;1
194803;23.7;1
194804;59.8;1
194805;42.8;1
194806;59.4;1
194807;53;1
194808;78.4;1
194809;50.4;1
194810;12;1
194811;44.3;1
194812;44;1
194901;20.6;1
194902;16;1
194903;20.2;1
194904;21.1;1
194905;41.3;1
194906;6.8;1
194907;10.1;1
194908;85.2;1
194909;47.7;1
194910;59.7;1
194911;51.9;1
194912;42.9;1
195001;25.1;1
195002;60.2;1
195003;14.7;1
195004;58.2;1
195005;73.3;1
195006;50.2;1
195007;50.9;1
195008;44.6;1
195009;79;1
195010;29.5;1
195011;70.6;1
195012;82.6;1
195101;46.2;1
195102;43.8;1
195103;54.3;1
195104;25.9;1
195105;85.1;1
195106;94.1;1
195107;29.6;1
195108;86.4;1
195109;48.1;1
195110;27.4;1
195111;63.1;1
195112;33;1
195201;56.4;1
195202;39.6;1
195203;93.2;1
195204;9.6;1
195205;49.4;1
195206;19.6;1
195207;11.7;1
195208;71.9;1
195209;107.2;1
195210;74.6;1
195211;88.7;1
195212;61.8;1
195301;11.5;1
195302;29.4;1
195303;4.6;1
195304;42.9;1
195305;15.2;1
195306;61.1;1
195307;60.1;1
195308;36.3;1
195309;38.1;1
195310;24;1
195311;23.7;1
195312;10.7;1
195401;26;1
195402;45.5;1
195403;35.2;1
195404;7.2;1
195405;12.7;1
195406;52.6;1
195407;27.3;1
195408;90.1;1
195409;104;1
195410;38.3;1
195411;27.8;1
195412;36.7;1
195501;80.6;1
195502;56.1;1
195503;12.1;1
195504;9.2;1
195505;49.1;1
195506;49.3;1
195507;69.9;1
195508;26.5;1
195509;34;1
195510;35.9;1
195511;20.6;1
195512;55.8;1
195601;57;1
195602;7.3;1
195603;7;1
195604;22.1;1
195605;39.8;1
195606;18.9;1
195607;43.1;1
195608;86.4;1
195609;42.7;1
195610;30.2;1
195611;28.8;1
195612;28;1
195701;18.3;1
195702;68.8;1
195703;31.9;1
195704;19.5;1
195705;26.6;1
195706;39.7;1
195707;69.3;1
195708;58.6;1
195709;66.8;1
195710;26.1;1
195711;22.3;1
195712;27.2;1
195801;60.1;1
195802;111.8;1
195803;25.1;1
195804;57.8;1
195805;71.2;1
195806;99.9;1
195807;82.7;1
195808;70.7;1
195809;50.5;1
195810;69.5;1
195811;39.7;1
195812;67.6;1
195901;92;1
195902;0.6;1
195903;36;1
195904;52.7;1
195905;15.5;1
195906;35.3;1
195907;7.9;1
195908;9.2;1
195909;4.2;1
195910;42.7;1
195911;49.1;1
195912;54.3;1
196001;41.5;1
196002;34.6;1
196003;39.7;1
196004;17.2;1
196005;21.3;1
196006;75.3;1
196007;76.6;1
196008;68.4;1
196009;40.4;1
196010;126.5;1
196011;70.5;1
196012;65.3;1
196101;71.1;1
196102;35.7;1
196103;8.6;1
196104;56.6;1
196105;45.1;1
196106;38;1
196107;34.7;1
196108;9.6;1
196109;62.8;1
196110;74;1
196111;49.9;1
196112;48.4;1
196201;59.2;1
196202;28.9;1
196203;69.7;1
196204;33.5;1
196205;28.3;1
196206;16.8;1
196207;54.4;1
196208;22.5;1
196209;38.1;1
196210;39.9;1
196211;67.8;1
196212;51.6;1
196301;15.8;1
196302;25.8;1
196303;74.4;1
196304;43.5;1
196305;58.6;1
196306;71.3;1
196307;15.5;1
196308;91.6;1
196309;36.2;1
196310;21.9;1
196311;105.5;1
196312;5.1;1
196401;22.7;1
196402;46.4;1
196403;54.8;1
196404;50.1;1
196405;29.9;1
196406;25.8;1
196407;12.1;1
196408;9.5;1
196409;73.2;1
196410;45.1;1
196411;26.7;1
196412;33.7;1
196501;83.6;1
196502;4.9;1
196503;56;1
196504;60.4;1
196505;58.9;1
196506;41.3;1
196507;45.6;1
196508;68.6;1
196509;100.3;1
196510;18.5;1
196511;93.5;1
196512;70.5;1
196601;51.2;1
196602;52.5;1
196603;28.6;1
196604;92.1;1
196605;39.7;1
196606;43.7;1
196607;82.9;1
196608;31.2;1
196609;35.1;1
196610;109.7;1
196611;65.5;1
196612;81.1;1
196701;30.6;1
196702;28.7;1
196703;33.5;1
196704;26;1
196705;57.9;1
196706;41.5;1
196707;30.6;1
196708;26.6;1
196709;74;1
196710;77.3;1
196711;51.3;1
196712;54.1;1
196801;68.2;1
196802;52;1
196803;40.6;1
196804;37.2;1
196805;54.8;1
196806;51.4;1
196807;40.6;1
196808;64.4;1
196809;96.3;1
196810;30.6;1
196811;25.8;1
196812;34.4;1
196901;44.3;1
196902;26.2;1
196903;44.5;1
196904;41.2;1
196905;87.6;1
196906;52;1
196907;31.2;1
196908;44.3;1
196909;24.5;1
196910;6.6;1
196911;85.5;1
196912;55.3;1
197001;64.9;1
197002;100.5;1
197003;59.1;1
197004;75;1
197005;29.8;1
197006;74;1
197007;52.8;1
197008;42.5;1
197009;32.7;1
197010;22.7;1
197011;50.6;1
197012;27.5;1
197101;49.8;1
197102;27.4;1
197103;27.9;1
197104;20.4;1
197105;90.1;1
197106;65.9;1
197107;38.4;1
197108;46.4;1
197109;7;1
197110;10.6;1
197111;57.2;1
197112;3.5;1
197201;68.9;1
