# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 77333003
# NOM_USUEL= NEMOURS
# LATITUDE (°) = 48.27
# LONGITUDE(°)= 2.715
# ALTITUDE (m) = 73
# NUM_SERIE= MRR177333003
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 196212 197711
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;67.5;1
194702;44;1
194703;79.9;1
194704;11.7;1
194705;70.4;1
194706;48.9;1
194707;35.6;1
194708;48;1
194709;8.6;1
194710;9.5;1
194711;78.7;1
194712;81.8;1
194801;102.3;1
194802;33.9;1
194803;23.3;1
194804;65.1;1
194805;50.5;1
194806;48.1;1
194807;47.9;1
194808;84.9;1
194809;39.5;1
194810;16;1
194811;57.6;1
194812;53.8;1
194901;23.3;1
194902;20.5;1
194903;23.6;1
194904;16.1;1
194905;44.5;1
194906;13.8;1
194907;7.4;1
194908;33.1;1
194909;117.7;1
194910;23.4;1
194911;70.8;1
194912;44.9;1
195001;21.4;1
195002;58.6;1
195003;30.7;1
195004;45.9;1
195005;56.8;1
195006;58.2;1
195007;28.2;1
195008;31;1
195009;52.5;1
195010;14.3;1
195011;65.3;1
195012;84.9;1
195101;37.2;1
195102;57.6;1
195103;58.4;1
195104;37.2;1
195105;124.6;1
195106;138.9;1
195107;30.5;1
195108;85.6;1
195109;55.6;1
195110;28.5;1
195111;57;1
195112;29.2;1
195201;68.7;1
195202;64.8;1
195203;82.3;1
195204;22.5;1
195205;73;1
195206;33.6;1
195207;20.3;1
195208;71.7;1
195209;137;1
195210;89.1;1
195211;106.5;1
195212;84.3;1
195301;18.8;1
195302;28;1
195303;0.6;1
195304;42.2;1
195305;13;1
195306;52.6;1
195307;68.7;1
195308;43.5;1
195309;73;1
195310;37.7;1
195311;15.7;1
195312;13.8;1
195401;28.5;1
195402;60.5;1
195403;53.7;1
195404;9.4;1
195405;16.3;1
195406;47.8;1
195407;44.5;1
195408;119.7;1
195409;75.8;1
195410;33.9;1
195411;35.3;1
195412;53.7;1
195501;119.7;1
195502;73;1
195503;22.9;1
195504;9.9;1
195505;48.9;1
195506;75.4;1
195507;51.7;1
195508;9.8;1
195509;45.4;1
195510;47.9;1
195511;25;1
195512;71.7;1
195601;75.7;1
195602;17.5;1
195603;14.9;1
195604;59.7;1
195605;50.4;1
195606;42.4;1
195607;54.6;1
195608;73.5;1
195609;54.7;1
195610;36.5;1
195611;47.5;1
195612;36.1;1
195701;21.5;1
195702;100.6;1
195703;23.6;1
195704;32.9;1
195705;42.5;1
195706;54.2;1
195707;78.2;1
195708;43.7;1
195709;81.3;1
195710;26;1
195711;23.6;1
195712;32.9;1
195801;84.2;1
195802;124.6;1
195803;45.7;1
195804;45;1
195805;101.5;1
195806;67.3;1
195807;87.9;1
195808;111.4;1
195809;92.9;1
195810;66.1;1
195811;43.1;1
195812;77.9;1
195901;104.6;1
195902;0.7;1
195903;39.6;1
195904;58.2;1
195905;41.6;1
195906;44.7;1
195907;11.1;1
195908;26.2;1
195909;4.7;1
195910;60.9;1
195911;54.2;1
195912;66;1
196001;43.4;1
196002;38.7;1
196003;46.9;1
196004;16.1;1
196005;23.4;1
196006;73.9;1
196007;106.1;1
196008;97.5;1
196009;47.1;1
196010;152.3;1
196011;57.9;1
196012;60.1;1
196101;78.7;1
196102;41.3;1
196103;1.2;1
196104;52.3;1
196105;48.2;1
196106;29.4;1
196107;40.4;1
196108;5.1;1
196109;46.9;1
196110;64.9;1
196111;64.7;1
196112;48.4;1
196201;61.9;1
196202;34.8;1
196203;76.2;1
196204;48.4;1
196205;64.6;1
196206;11.1;1
196207;41.4;1
196208;13.7;1
196209;39.1;1
196210;28.8;1
196211;87.3;1
196212;65;1
196301;21.3;1
196302;35.2;1
196303;64.2;1
196304;50.5;1
196305;70.3;1
196306;78.5;1
196307;23.1;1
196308;84.4;1
196309;20.3;1
196310;15.9;1
196311;76.7;1
196312;6.1;1
196401;20.8;1
196402;41.4;1
196403;63.4;1
196404;38.5;1
196405;37.7;1
196406;26.9;1
196407;58.9;1
196408;11;1
196409;64.6;1
196410;41.8;1
196411;25.7;1
196412;48.7;1
196501;100.3;1
196502;5.3;1
196503;56.9;1
196504;43.7;1
196505;68.1;1
196506;51.3;1
196507;50.3;1
196508;46.4;1
196509;122.8;1
196510;12.5;1
196511;103;1
