# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 77418001
# NOM_USUEL= ST-LOUP-DE-NAUD
# LATITUDE (°) = 48.536
# LONGITUDE(°)= 3.21
# ALTITUDE (m) = 99
# NUM_SERIE= MRR177418001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;55.8;1
194702;56;1
194703;89.5;1
194704;19.8;1
194705;49.2;1
194706;40.7;1
194707;56.5;1
194708;38.2;1
194709;10;1
194710;6.4;1
194711;77.2;1
194712;117.7;1
194801;126.1;1
194802;43.5;1
194803;32;1
194804;70.4;1
194805;46.3;1
194806;70;1
194807;51.5;1
194808;146.9;1
194809;44.8;1
194810;14.7;1
194811;46.6;1
194812;53.2;1
194901;34.8;1
194902;21;1
194903;20.6;1
194904;42.7;1
194905;44.6;1
194906;25.1;1
194907;24.4;1
194908;35.6;1
194909;125;1
194910;70.3;1
194911;68.6;1
194912;52.2;1
195001;38.8;1
195002;78.3;1
195003;19.8;1
195004;67.1;1
195005;77.5;1
195006;57.2;1
195007;66.6;1
195008;42.1;1
195009;105.1;1
195010;28.4;1
195011;88;1
195012;106.8;1
195101;59.5;1
195102;67.2;1
195103;68.5;1
195104;59.6;1
195105;130.6;1
195106;149.2;1
195107;39.3;1
195108;84.1;1
195109;76.8;1
195110;34.4;1
195111;92.5;1
195112;51.1;1
195201;110;1
195202;59.6;1
195203;100.8;1
195204;10.4;1
195205;68.5;1
195206;45.9;1
195207;9.8;1
195208;66.7;1
195209;143;1
195210;101.8;1
195211;113.4;1
195212;110.1;1
195301;12.6;1
195302;42.8;1
195303;1.9;1
195304;54.3;1
195305;44.7;1
195306;37.1;1
195307;98.2;1
195308;39.1;1
195309;61.7;1
195310;27;1
195311;25.8;1
195312;18.5;1
195401;40.6;1
195402;55.3;1
195403;37.2;1
195404;11.8;1
195405;24.9;1
195406;38.2;1
195407;49.8;1
195408;103.1;1
195409;119.1;1
195410;57.4;1
195411;42.6;1
195412;60.1;1
195501;130.3;1
195502;90.6;1
195503;22.1;1
195504;8.6;1
195505;64.5;1
195506;66.9;1
195507;67.7;1
195508;9.5;1
195509;38.2;1
195510;56.2;1
195511;25.3;1
195512;94.3;1
195601;81.1;1
195602;20.2;1
195603;18;1
195604;58.9;1
195605;49.8;1
195606;54;1
195607;77.6;1
195608;116.7;1
195609;57.2;1
195610;55.4;1
195611;37.6;1
195612;45.8;1
195701;27.6;1
195702;121.4;1
195703;38.1;1
195704;13.8;1
195705;35.5;1
195706;80.4;1
195707;93.6;1
195708;78;1
195709;101.3;1
195710;41.1;1
195711;29.5;1
195712;40.7;1
195801;97.4;1
195802;154.8;1
195803;35.6;1
195804;37.2;1
195805;124;1
195806;118.5;1
195807;107.2;1
195808;104.6;1
195809;62.9;1
195810;78.2;1
195811;59.4;1
195812;110.2;1
195901;122.1;1
195902;1.1;1
195903;61;1
195904;77.6;1
195905;30;1
195906;54.5;1
195907;12.6;1
195908;28.5;1
195909;1.6;1
195910;66.3;1
195911;48.3;1
195912;84;1
196001;58.9;1
196002;53.5;1
196003;64.2;1
196004;13;1
196005;13.6;1
196006;59;1
196007;88.2;1
196008;115.2;1
196009;51.8;1
196010;149.6;1
196011;87.8;1
196012;73.2;1
196101;88.6;1
196102;55.2;1
196103;4.2;1
196104;64.5;1
