# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 78380001
# NOM_USUEL= MAULE
# LATITUDE (°) = 48.909
# LONGITUDE(°)= 1.848
# ALTITUDE (m) = 54
# NUM_SERIE= MRR178380001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201612
# Date(s) de rupture(s) d'homogénéité : 195812
#     Periode homogénéisée  194801 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;48.3;1
194802;34.7;1
194803;16.3;1
194804;66.9;1
194805;32.6;1
194806;42.2;1
194807;35.3;1
194808;71.5;1
194809;24.5;1
194810;15.6;1
194811;30.7;1
194812;34.3;1
194901;10.7;1
194902;8.1;1
194903;6.9;1
194904;21.9;1
194905;15.8;1
194906;16.8;1
194907;4.5;1
194908;26.2;1
194909;135.6;1
194910;59;1
194911;82.7;1
194912;30.3;1
195001;28.4;1
195002;69.2;1
195003;24.7;1
195004;59;1
195005;43.5;1
195006;34.6;1
195007;79.6;1
195008;59.2;1
195009;111.3;1
195010;11.6;1
195011;71.8;1
195012;86.5;1
195101;42.3;1
195102;55.3;1
195103;61.2;1
195104;56;1
195105;110.3;1
195106;87.8;1
195107;21.2;1
195108;115.8;1
195109;43.3;1
195110;36.3;1
195111;90.5;1
195112;51.3;1
195201;51.9;1
195202;34.9;1
195203;68.3;1
195204;19.1;1
195205;39.9;1
195206;28.9;1
195207;17.7;1
195208;72.4;1
195209;112.2;1
195210;71;1
195211;104.2;1
195212;112.2;1
195301;20.7;1
195302;22.5;1
195303;0;1
195304;50.5;1
195305;18.8;1
195306;39.4;1
195307;69.3;1
195308;32.9;1
195309;43.4;1
195310;29.3;1
195311;22.1;1
195312;11.4;1
195401;21.1;1
195402;56.5;1
195403;55;1
195404;2.8;1
195405;27.1;1
195406;61.4;1
195407;44.8;1
195408;95.6;1
195409;78.2;1
195410;46.2;1
195411;28.6;1
195412;35.9;1
195501;94.1;1
195502;59.8;1
195503;25.4;1
195504;3.2;1
195505;52;1
195506;44.6;1
195507;74.7;1
195508;26;1
195509;37.3;1
195510;54;1
195511;14.8;1
195512;54.8;1
195601;54.7;1
195602;7.9;1
195603;10.4;1
195604;37.5;1
195605;41.7;1
195606;57.6;1
195607;25.3;1
195608;90.9;1
195609;31.7;1
195610;42.1;1
195611;37.8;1
195612;37.9;1
