# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 78620001
# NOM_USUEL= TOUSSUS LE NOBLE
# LATITUDE (°) = 48.751
# LONGITUDE(°)= 2.114
# ALTITUDE (m) = 154
# NUM_SERIE= MRR178620001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;93.8;1
195902;0.2;1
195903;44.9;1
195904;86.8;1
195905;17.1;1
195906;29;1
195907;11;1
195908;22.9;1
195909;6.8;1
195910;54.2;1
195911;52.8;1
195912;83.7;1
196001;32;1
196002;43.2;1
196003;71;1
196004;15.8;1
196005;18.2;1
196006;53.4;1
196007;70.4;1
196008;79.4;1
196009;59.9;1
196010;141.9;1
196011;64.8;1
196012;59.4;1
196101;66.4;1
196102;34;1
196103;2.6;1
196104;35.4;1
196105;79.1;1
196106;27.2;1
196107;42.9;1
196108;4.5;1
196109;64.4;1
196110;62.5;1
196111;67.1;1
196112;49.3;1
196201;58.7;1
196202;17.4;1
196203;56.5;1
196204;43.6;1
196205;34.4;1
196206;14.5;1
196207;48.1;1
196208;37.9;1
196209;47.5;1
196210;29;1
196211;85.8;1
196212;44.1;1
196301;11.5;1
196302;16.9;1
196303;67.3;1
196304;47.4;1
196305;55.3;1
196306;94.5;1
196307;25.6;1
196308;102;1
196309;25.1;1
196310;19.7;1
196311;98.7;1
196312;3;1
196401;18.1;1
196402;45.9;1
196403;47.4;1
196404;46.6;1
196405;22.3;1
196406;36.9;1
196407;17.9;1
196408;22.1;1
196409;46.6;1
196410;44.1;1
196411;35.9;1
196412;43.9;1
196501;87.4;1
196502;8.3;1
196503;67.4;1
196504;40.9;1
196505;83.2;1
196506;40.5;1
196507;61.3;1
196508;85.5;1
196509;119.7;1
196510;14.7;1
196511;106.4;1
196512;100.3;1
196601;68.4;1
196602;62.3;1
196603;29;1
196604;87.8;1
196605;41.5;1
196606;45.3;1
196607;92.8;1
196608;56.3;1
196609;22.1;1
196610;136.2;1
196611;86.8;1
196612;120.2;1
196701;26.9;1
196702;48.7;1
196703;28;1
196704;34.5;1
196705;86.6;1
196706;10.5;1
196707;22.3;1
196708;57.2;1
196709;65.6;1
196710;124.6;1
196711;58.3;1
196712;61.7;1
196801;70.8;1
196802;62.3;1
196803;37.4;1
196804;62.6;1
196805;34.9;1
196806;44.4;1
196807;54.1;1
196808;80.9;1
196809;95.9;1
196810;46;1
196811;27.5;1
196812;53;1
196901;31.9;1
196902;22.3;1
196903;49.3;1
196904;55;1
196905;96.7;1
196906;54.7;1
196907;48.4;1
196908;68.4;1
196909;28.6;1
196910;8.3;1
196911;93;1
196912;59.4;1
197001;66.1;1
197002;115.3;1
197003;73.5;1
197004;65.4;1
197005;40.9;1
197006;132.5;1
197007;38.5;1
197008;52.8;1
197009;25.2;1
197010;19.5;1
197011;57.4;1
197012;28.8;1
197101;83.7;1
197102;26.5;1
197103;28;1
197104;36.1;1
197105;70.9;1
197106;81.8;1
197107;46.1;1
197108;70.5;1
197109;13.3;1
197110;10;1
197111;67.2;1
197112;5.7;1
197201;101;1
197202;75.5;1
197203;28.2;1
197204;59.2;1
197205;70.8;1
197206;38.4;1
197207;181.7;1
197208;71.7;1
197209;44.3;1
197210;18.9;1
197211;94.2;1
197212;23.2;1
197301;24.3;1
197302;45.9;1
197303;5.9;1
197304;47.2;1
197305;99.1;1
197306;51.3;1
197307;48.9;1
197308;52.9;1
197309;83.7;1
197310;50.9;1
197311;53.6;1
197312;57.1;1
197401;72.3;1
197402;39.5;1
197403;53.5;1
197404;30;1
197405;54.5;1
197406;50.8;1
197407;32.7;1
197408;36.7;1
197409;135.1;1
197410;111.2;1
197411;89.4;1
197412;46.8;1
197501;72.4;1
197502;17.7;1
197503;70.4;1
197504;38.6;1
197505;85.6;1
197506;39.5;1
197507;111;1
197508;49;1
197509;138.1;1
197510;22;1
197511;86.8;1
197512;14.5;1
197601;15.8;1
197602;35.3;1
197603;30.8;1
197604;21.2;1
197605;20.6;1
197606;1.9;1
197607;60.3;1
197608;2.8;1
197609;52.3;1
197610;43.6;1
197611;50.4;1
197612;68.4;1
197701;65.4;1
197702;100.1;1
197703;48.3;1
197704;47.5;1
197705;89.2;1
197706;58.6;1
197707;68.1;1
197708;70.7;1
197709;14;1
197710;69.1;1
197711;68.7;1
197712;46.7;1
197801;83.1;1
197802;75.9;1
197803;117;1
197804;72.1;1
197805;55.2;1
197806;55.6;1
197807;49;1
197808;38.3;1
197809;41.4;1
197810;9.8;1
197811;7.6;1
197812;122.6;1
197901;41.9;1
197902;70.6;1
197903;109.5;1
197904;72.5;1
197905;63;1
197906;34;1
197907;24.1;1
197908;68.3;1
197909;13.8;1
197910;72.4;1
197911;58.1;1
197912;111.3;1
198001;34.2;1
198002;48.6;1
198003;84.9;1
198004;5.3;1
198005;62.7;1
198006;75.1;1
198007;120.7;1
198008;24.1;1
198009;29.8;1
198010;65.4;1
198011;48.2;1
198012;75.1;1
198101;66.2;1
198102;45.6;1
198103;73.2;1
198104;33.7;1
198105;97;1
198106;59.7;1
198107;46;1
198108;42.2;1
198109;45.4;1
198110;193.4;1
198111;46.5;1
198112;117.6;1
198201;60.4;1
198202;23.1;1
198203;55.8;1
198204;15.3;1
198205;96.6;1
198206;75;1
198207;119.9;1
198208;28.8;1
198209;63.6;1
198210;119.2;1
198211;69.4;1
198212;81.6;1
198301;40.6;1
198302;62.8;1
198303;42.9;1
198304;88.6;1
198305;74.8;1
198306;74.9;1
198307;67.5;1
198308;33.8;1
198309;68.8;1
198310;17;1
198311;31.3;1
198312;37.3;1
198401;117.5;1
198402;36;1
198403;47.9;1
198404;19.5;1
198405;111.2;1
198406;51.2;1
198407;50.4;1
198408;45.5;1
198409;126.5;1
198410;82.6;1
198411;74.2;1
198412;41.7;1
198501;34.7;1
198502;15.2;1
198503;65.8;1
198504;60.1;1
198505;48.6;1
198506;31.6;1
198507;57;1
198508;30;1
198509;35;1
198510;13.5;1
198511;54.2;1
198512;25.3;1
198601;85.1;1
198602;13.4;1
198603;74.4;1
198604;79;1
198605;29.1;1
198606;45.9;1
198607;13.3;1
198608;58.5;1
198609;42.3;1
198610;60;1
198611;47.2;1
198612;92.6;1
198701;32.2;1
198702;43.9;1
198703;54.8;1
198704;37.4;1
198705;56.2;1
198706;110.9;1
198707;92.8;1
198708;87.5;1
198709;17.1;1
198710;95.4;1
198711;58.7;1
198712;34.7;1
198801;109.4;1
198802;69.6;1
198803;99.8;1
198804;27.5;1
198805;72.4;1
198806;23;1
198807;137.8;1
198808;23.8;1
198809;56.6;1
198810;77.1;1
198811;48;1
198812;57.6;1
198901;17.8;1
198902;50.7;1
198903;81.3;1
198904;89.6;1
198905;18.8;1
198906;59.8;1
198907;20.9;1
198908;24.5;1
198909;41.1;1
198910;30.5;1
198911;42;1
198912;74.8;1
199001;32.7;1
199002;101.3;1
199003;11;1
199004;64.3;1
199005;5.3;1
199006;87.1;1
199007;30.2;1
199008;10;1
199009;55.6;1
199010;79.5;1
199011;27.3;1
199012;46.3;1
199101;65.8;1
199102;14.2;1
199103;67.7;1
199104;44.8;1
199105;29.5;1
199106;65.3;1
199107;52.1;1
199108;9.3;1
199109;79.9;1
199110;31.3;1
199111;76.3;1
199112;37.7;1
199201;11.9;1
199202;25.9;1
199203;59.4;1
199204;34.7;1
199205;66.4;1
199206;58.9;1
199207;22.2;1
199208;55.8;1
199209;45.5;1
199210;61.9;1
199211;89.6;1
199212;67;1
199301;65.1;1
199302;21;1
199303;2.6;1
199304;117;1
199305;54.8;1
199306;65.7;1
199307;50.9;1
199308;6.6;1
199309;106.6;1
199310;141;1
199311;32.3;1
199312;90.9;1
199401;85.1;1
199402;63.5;1
199403;55.8;1
199404;72.9;1
199405;103.4;1
199406;53.8;1
199407;77.3;1
199408;80.6;1
199409;74.2;1
199410;56;1
199411;59.4;1
199412;66.1;1
199501;171.4;1
199502;100.8;1
199503;78;1
199504;76.2;1
199505;94.4;1
199506;18.4;1
199507;47.6;1
199508;46.8;1
199509;76.4;1
199510;10.8;1
199511;11.8;1
199512;44.6;1
199601;51.9;1
199602;47.3;1
199603;20;1
199604;9.3;1
199605;51.6;1
199606;18;1
199607;36.4;1
199608;49;1
199609;48.2;1
199610;33.2;1
199611;90.8;1
199612;27.2;1
199701;3.8;1
199702;96.6;1
199703;9.4;1
199704;14.6;1
199705;95.2;1
199706;134.4;1
199707;21.4;1
199708;46.6;1
199709;1.6;1
199710;36.8;1
199711;74;1
199712;96;1
199801;82;1
199802;6.6;1
199803;21.4;1
199804;132.4;1
199805;24.4;1
199806;51.6;1
199807;41.2;1
199808;55.2;1
199809;110.8;1
199810;148.4;1
199811;33.8;1
199812;60.8;1
199901;52.8;1
199902;51.4;1
199903;38;1
199904;84.4;1
199905;83.6;1
199906;40;1
199907;25.2;1
199908;79.8;1
199909;96.4;1
199910;43.4;1
199911;35;1
199912;167.8;1
200001;15.6;1
200002;63.2;1
200003;33;1
200004;82.2;1
200005;86.2;1
200006;33.2;1
200007;145.8;1
200008;48.8;1
200009;42.4;1
200010;130.6;1
200011;97.4;1
200012;72.4;1
200101;72.6;1
200102;48.8;1
200103;136.6;1
200104;75;1
200105;16.6;1
200106;33.2;1
200107;165.6;1
200108;78.2;1
200109;96.8;1
200110;66.4;1
200111;63.6;1
200112;46.4;1
200201;33.6;1
200202;83.4;1
200203;66.8;1
200204;15;1
200205;70.4;1
200206;61.8;1
200207;50.6;1
200208;67.4;1
200209;9.6;1
200210;75.8;1
200211;107.8;1
200212;77;1
200301;53.4;1
200302;31.4;1
200303;23;1
200304;31.2;1
200305;71.8;1
200306;39;1
200307;47.6;1
200308;82;1
200309;21.4;1
200310;76.6;1
200311;57.6;1
200312;47.2;1
200401;102.8;1
200402;3.8;1
200403;34.8;1
200404;54.2;1
200405;41.6;1
200406;11.8;1
200407;62.2;1
200408;89;1
200409;35.8;1
200410;105.8;1
200411;27.6;1
200412;57.4;1
200501;63.4;1
200502;30;1
200503;49.2;1
200504;68.6;1
200505;37.6;1
200506;102;1
200507;50;1
200508;38.2;1
200509;28;1
200510;33.2;1
200511;37.4;1
200512;32.8;1
200601;30.8;1
200602;61.4;1
200603;86.4;1
200604;33.6;1
200605;59.6;1
200606;35.8;1
200607;57.6;1
200608;86.4;1
200609;29;1
200610;46.6;1
200611;59.8;1
200612;66;1
200701;41;1
200702;93.6;1
200703;47.4;1
200704;83.8;1
200705;110.4;1
200706;82;1
200707;83;1
200708;148.2;1
200709;19.2;1
200710;45.2;1
200711;33.6;1
200712;60.2;1
200801;61.6;1
200802;34.2;1
200803;74.4;1
200804;65;1
200805;82.4;1
200806;21.2;1
200807;40.4;1
200808;70.8;1
200809;23;1
200810;53.4;1
200811;48.2;1
200812;30.8;1
200901;52.4;1
200902;41.8;1
200903;32.2;1
200904;35.6;1
200905;66.8;1
200906;61;1
200907;53.2;1
200908;10.4;1
200909;25.8;1
200910;49.4;1
200911;67.4;1
200912;62.6;1
201001;34;1
201002;57.4;1
201003;49.8;1
201004;14;1
201005;39;1
201006;60.1;1
201007;87.4;1
201008;56.3;1
201009;68;1
201010;50.5;1
201011;86.1;1
201012;69.8;1
201101;57.1;1
201102;35.9;1
201103;34.3;1
201104;9.4;1
201105;4;1
201106;77.9;1
201107;66;1
201108;90.9;1
201109;49.2;1
201110;27.7;1
201111;56.7;1
201112;119.1;1
201201;35.8;1
201202;9.4;1
201203;16.6;1
201204;70.5;1
201205;78.2;1
201206;104.2;1
201207;58.7;1
201208;8.2;1
201209;65.1;1
201210;112.5;1
201211;54.4;1
201212;103.8;1
201301;41.3;1
201302;43;1
201303;35;1
201304;33.6;1
201305;93.6;1
201306;86.1;1
201307;27.9;1
201308;32.7;1
201309;68.6;1
201310;50.6;1
201311;95.5;1
201312;43.8;1
201401;55;1
201402;55.8;1
201403;18.8;1
201404;61.2;1
201405;79.9;1
201406;52.9;1
201407;86.5;1
201408;107.2;1
201409;9.2;1
201410;50.7;1
201411;58.8;1
201412;66.4;1
201501;38.4;1
201502;42;1
201503;31.6;1
201504;49.5;1
201505;34.9;1
201506;8.4;1
201507;21.4;1
201508;83;1
201509;89.5;1
201510;51.1;1
201511;53.4;1
201512;21.2;1
201601;54.4;1
201602;52.4;1
201603;99.9;1
201604;59.8;1
201605;157.6;1
201606;75.2;1
201607;18.5;1
201608;20.8;1
201609;37.7;1
201610;23.9;1
201611;73.1;1
201612;19.5;1
201701;33.1;0
201702;42.5;0
201703;86;0
201704;16.7;0
201705;62.8;0
201706;40.4;0
201707;59;0
201708;62.3;0
201709;120.4;0
201710;35.5;0
201711;52.3;0
201712;96.8;0
201801;124.1;0
201802;37.9;0
201803;75.3;0
201804;55.8;0
201805;57.2;0
201806;81.2;0
201807;14.6;0
201808;27.3;0
201809;13.3;0
201810;26.1;0
201811;67.6;0
201812;65.8;0
201901;40.5;0
201902;36.4;0
201903;51.3;0
201904;20.4;0
201905;92.5;0
201906;55.3;0
201907;16.7;0
201908;54.4;0
201909;27.1;0
201910;75.3;0
201911;76.2;0
201912;86.3;0
202001;26.8;0
202002;91.9;0
202003;51.3;0
202004;34.1;0
202005;86.7;0
