# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 79270003
# NOM_USUEL= SAINT-MAIXENT-L-ECOLE_SAPC
# LATITUDE (°) = 46.417
# LONGITUDE(°)= -0.21
# ALTITUDE (m) = 83
# NUM_SERIE= MRR179270003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 196912
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;12.6;1
195002;121.4;1
195003;43.8;1
195004;62.1;1
195005;82;1
195006;64.6;1
195007;30.4;1
195008;66.6;1
195009;128.8;1
195010;74.2;1
195011;188.7;1
195012;137.1;1
195101;67.8;1
195102;117.9;1
195103;96;1
195104;52.4;1
195105;129.7;1
195106;91.2;1
195107;36.1;1
195108;77.1;1
195109;20.8;1
195110;59.5;1
195111;99.5;1
195112;89.5;1
195201;106.1;1
195202;62.5;1
195203;106.7;1
195204;47.8;1
195205;63.5;1
195206;16.4;1
195207;30.7;1
195208;76.6;1
195209;146.9;1
195210;111.3;1
195211;95;1
195212;160.8;1
195301;18.6;1
195302;73.3;1
195303;1.1;1
195304;71.8;1
195305;17.2;1
195306;82.6;1
195307;65.5;1
195308;28.8;1
195309;99;1
195310;153.2;1
195311;44;1
195312;4;1
195401;58.2;1
195402;99.2;1
195403;106.4;1
195404;15.9;1
195405;21.1;1
195406;126.3;1
195407;48.1;1
195408;66.9;1
195409;59.5;1
195410;53.2;1
195411;84.6;1
195412;89.5;1
195501;214.8;1
195502;189;1
195503;57.8;1
195504;0;1
195505;54.4;1
195506;92.2;1
195507;70.6;1
195508;28.3;1
195509;14.7;1
195510;38.3;1
195511;22.9;1
195512;169.7;1
195601;81.9;1
195602;0.5;1
195603;15.5;1
195604;43.2;1
195605;38.2;1
195606;32.2;1
195607;45.5;1
195608;111.6;1
195609;70.1;1
195610;48.1;1
195611;23.4;1
195612;53.3;1
195701;45.3;1
195702;176.4;1
195703;47.6;1
195704;45.3;1
195705;28.8;1
195706;47.9;1
195707;51.2;1
195708;47.3;1
195709;67.6;1
195710;25.1;1
195711;82.1;1
195712;67.1;1
195801;171.5;1
195802;73.3;1
195803;88.7;1
195804;53.6;1
195805;131.1;1
195806;111.5;1
195807;109.7;1
195808;72.3;1
195809;55.1;1
195810;68.9;1
195811;70.9;1
195812;181;1
195901;102.3;1
195902;7.5;1
195903;54.4;1
195904;129;1
195905;42.6;1
195906;29.1;1
195907;6.5;1
195908;40.3;1
195909;22.3;1
195910;94.4;1
195911;61.7;1
195912;184.4;1
196001;116.6;1
196002;76.9;1
196003;76.4;1
196004;36;1
196005;80.3;1
196006;30.8;1
196007;79.1;1
196008;65.2;1
196009;108.6;1
