# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 79311002
# NOM_USUEL= SECONDIGNY
# LATITUDE (°) = 46.597
# LONGITUDE(°)= -0.443
# ALTITUDE (m) = 209
# NUM_SERIE= MRR179311002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201412
# Date(s) de rupture(s) d'homogénéité : 195712
#     Periode homogénéisée  195201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;134.9;1
195202;55.8;1
195203;109.6;1
195204;39.3;1
195205;84.8;1
195206;16.4;1
195207;20.1;1
195208;117.7;1
195209;176.9;1
195210;134.2;1
195211;181.9;1
195212;196;1
195301;23.3;1
195302;53.1;1
195303;2.2;1
195304;70.9;1
195305;36.4;1
195306;66.4;1
195307;92.8;1
195308;39.1;1
195309;136.7;1
195310;106.1;1
195311;28.2;1
195312;8.7;1
195401;75.5;1
195402;75.5;1
195403;172.4;1
195404;12.4;1
195405;25;1
195406;87;1
195407;48.7;1
195408;74.6;1
195409;90.8;1
195410;59.7;1
195411;118.5;1
195412;103.4;1
195501;276.1;1
195502;193.8;1
195503;54.5;1
195504;0;1
195505;71.1;1
195506;167.7;1
195507;35.8;1
195508;0;1
195509;12.1;1
195510;54.2;1
195511;17.9;1
195512;170.2;1
195601;140.2;1
195602;5.4;1
195603;26.1;1
195604;87.2;1
195605;27.8;1
195606;24.4;1
195607;82.5;1
195608;158.5;1
195609;100.3;1
195610;25.6;1
195611;21;1
195612;57.1;1
195701;50.1;1
195702;204.7;1
195703;46.7;1
195704;52.5;1
195705;44.8;1
195706;90.2;1
195707;47.3;1
195708;42.9;1
195709;82;1
195710;17.6;1
195711;140.4;1
195712;98.9;1
195801;218.1;1
195802;119.7;1
195803;90.2;1
195804;61.5;1
195805;128.7;1
195806;115.3;1
195807;144.7;1
195808;95;1
195809;87.9;1
195810;63.6;1
195811;63.6;1
195812;200;1
195901;130.4;1
195902;3;1
195903;67.1;1
195904;140.1;1
195905;80;1
195906;49.4;1
195907;11.9;1
195908;91.5;1
195909;6.7;1
195910;111.8;1
195911;93.8;1
195912;254.8;1
196001;94.2;1
196002;92.3;1
196003;84.4;1
196004;36;1
196005;82.1;1
196006;34.3;1
196007;97.9;1
196008;54;1
196009;125;1
196010;211.4;1
196011;255.9;1
196012;176.8;1
196101;246.6;1
196102;42.5;1
196103;1.2;1
196104;64.6;1
196105;63.8;1
196106;76.1;1
196107;89.3;1
196108;3.8;1
196109;66.8;1
196110;201.5;1
196111;151.3;1
196112;233.1;1
196201;189.2;1
196202;37.9;1
196203;167.1;1
196204;50.7;1
196205;65.5;1
196206;21.8;1
196207;34.9;1
196208;28.3;1
196209;102.3;1
196210;66.2;1
196211;116.7;1
196212;62.5;1
196301;57.8;1
196302;67.7;1
196303;132.8;1
196304;94.9;1
196305;45.5;1
196306;153.8;1
196307;16;1
196308;180.3;1
196309;66.5;1
196310;51.1;1
196311;247;1
196312;29.4;1
196401;26.4;1
196402;88.4;1
196403;94.8;1
196404;70.6;1
196405;135.7;1
196406;45.1;1
196407;13.2;1
196408;26.7;1
196409;56.8;1
196410;96.9;1
196411;65.2;1
196412;78.3;1
196501;158;1
196502;3;1
196503;144.8;1
196504;40;1
196505;65.1;1
196506;53.1;1
196507;66.6;1
196508;173.9;1
196509;192;1
196510;22;1
196511;194;1
196512;230.2;1
196601;95.9;1
196602;145.2;1
196603;53.2;1
196604;127.3;1
196605;75.1;1
196606;54.4;1
196607;37.1;1
196608;114.5;1
196609;59.3;1
196610;231.7;1
196611;179.2;1
196612;161.5;1
196701;57.2;1
196702;121.5;1
196703;95;1
196704;64.1;1
196705;150.1;1
196706;41.9;1
196707;12.4;1
196708;80.6;1
196709;86.1;1
196710;158.6;1
196711;120.3;1
