# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80271002
# NOM_USUEL= EPEHY_SAPC
# LATITUDE (°) = 50.001
# LONGITUDE(°)= 3.122
# ALTITUDE (m) = 117
# NUM_SERIE= MRR180271002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196512 200412
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;60;1
195502;79;1
195503;17.7;1
195504;18.9;1
195505;87.6;1
195506;47.7;1
195507;19.7;1
195508;73.6;1
195509;37.8;1
195510;28;1
195511;23.4;1
195512;89.2;1
195601;56.7;1
195602;23;1
195603;25.1;1
195604;35;1
195605;18.9;1
195606;72.4;1
195607;30;1
195608;72.8;1
195609;89.2;1
195610;58.8;1
195611;48.5;1
195612;45.2;1
195701;35.8;1
195702;144.7;1
195703;35.8;1
195704;27.6;1
195705;57.6;1
195706;82.7;1
195707;92.1;1
195708;55.9;1
195709;118.4;1
195710;23.4;1
195711;23;1
195712;46.5;1
195801;57.2;1
195802;99.1;1
195803;34.5;1
195804;46.5;1
195805;53.5;1
195806;92.5;1
195807;48.1;1
195808;127.5;1
195809;90.1;1
195810;50.6;1
195811;44.8;1
195812;96.6;1
195901;62.9;1
195902;4.1;1
195903;64.2;1
195904;58;1
195905;17.3;1
195906;33.7;1
195907;12.7;1
195908;23.4;1
195909;4.9;1
195910;56.7;1
195911;51.4;1
195912;76.1;1
196001;46.9;1
196002;37.8;1
196003;39.1;1
196004;14;1
196005;32.1;1
196006;41.9;1
196007;124.6;1
196008;68.3;1
196009;35;1
196010;95;1
196011;85.9;1
196012;54.7;1
196101;103.2;1
196102;53.5;1
196103;9.7;1
196104;62.7;1
196105;33.7;1
196106;50.8;1
196107;95.4;1
196108;20.2;1
196109;59;1
196110;92.4;1
196111;67.1;1
196112;70.7;1
196201;68.2;1
196202;34;1
196203;53.8;1
196204;50.7;1
196205;41.9;1
196206;4.7;1
196207;44.2;1
196208;44.7;1
196209;36.3;1
196210;29.3;1
196211;57.3;1
196212;43.5;1
196301;28.1;1
196302;5.6;1
196303;54.1;1
196304;45.1;1
196305;65.9;1
196306;90.4;1
196307;27.6;1
196308;126.3;1
196309;54.8;1
196310;61.3;1
196311;103;1
196312;14.1;1
196401;21.7;1
196402;27.8;1
196403;65.3;1
196404;24.6;1
196405;31.4;1
196406;46.8;1
196407;18;1
196408;35.9;1
196409;42.4;1
196410;88.7;1
196411;78.5;1
196412;46.3;1
196501;82.5;1
196502;12.2;1
196503;51.2;1
196504;44.9;1
196505;67.5;1
196506;54.7;1
196507;105.9;1
196508;87;1
196509;66.1;1
196510;27.2;1
196511;90.8;1
196512;150;1
196601;50.6;1
196602;53.5;1
196603;41.1;1
196604;81.2;1
196605;48.3;1
196606;60.8;1
196607;91.6;1
196608;65.3;1
196609;18.6;1
196610;114.9;1
196611;94.4;1
196612;166;1
196701;18.9;1
196702;45.1;1
196703;33.6;1
196704;22.9;1
196705;86.3;1
196706;42.3;1
196707;34.1;1
196708;54.4;1
196709;79.5;1
196710;65.9;1
196711;51;1
196712;75.3;1
196801;49.1;1
196802;61.2;1
196803;46;1
196804;33.8;1
196805;50.5;1
196806;76.7;1
196807;109.4;1
196808;47.4;1
196809;81.4;1
196810;37.8;1
196811;32.2;1
196812;53;1
196901;28.7;1
196902;27.1;1
196903;63.6;1
196904;40.6;1
196905;79.1;1
196906;96.3;1
196907;58.6;1
196908;90.6;1
196909;4.7;1
196910;4.7;1
196911;91.7;1
196912;44.9;1
197001;46.4;1
197002;110.7;1
197003;46.9;1
197004;68.9;1
197005;56;1
197006;71.5;1
197007;48.9;1
197008;32.1;1
197009;47.2;1
197010;31.4;1
197011;38.3;1
197012;23.9;1
197101;38.1;1
197102;40;1
197103;24.9;1
197104;32.2;1
197105;51.6;1
197106;102.9;1
197107;41.1;1
197108;63.8;1
197109;28.5;1
197110;16.1;1
197111;87.4;1
197112;4.3;1
197201;74;1
197202;48.1;1
197203;37.8;1
197204;53.8;1
197205;70.6;1
197206;49.3;1
197207;73.3;1
197208;59.1;1
197209;55;1
197210;10.6;1
197211;94;1
197212;34.4;1
197301;27.5;1
197302;49.7;1
197303;7.5;1
197304;51.2;1
197305;67;1
197306;38.3;1
197307;21;1
197308;27.2;1
197309;107.6;1
197310;48.4;1
197311;52;1
197312;44.3;1
197401;65.6;1
197402;49.6;1
197403;41.6;1
197404;11.1;1
197405;38;1
197406;51.3;1
197407;37.1;1
197408;44.6;1
197409;117.7;1
197410;122.4;1
197411;85.4;1
197412;78.6;1
197501;71.1;1
197502;22;1
197503;75.5;1
197504;42.1;1
197505;48.5;1
197506;44.4;1
197507;39.9;1
197508;51.8;1
197509;75.7;1
197510;15.3;1
197511;90.2;1
197512;18.5;1
197601;22;1
197602;37;1
197603;24.5;1
197604;8.2;1
197605;17.5;1
197606;2.3;1
197607;61.9;1
197608;6.8;1
197609;52.6;1
197610;71.9;1
197611;60;1
197612;50.6;1
197701;60.6;1
197702;61.7;1
197703;61.6;1
197704;54.6;1
197705;63.6;1
197706;90;1
197707;66.9;1
197708;25;1
197709;19.7;1
197710;54.7;1
197711;96.8;1
197712;53.3;1
197801;77.5;1
197802;41.2;1
197803;99.8;1
197804;71.8;1
197805;55.7;1
197806;73.4;1
197807;73.8;1
197808;26.5;1
197809;53.8;1
197810;5.6;1
197811;19;1
197812;79;1
197901;31.6;1
197902;52.3;1
197903;109.7;1
197904;67.6;1
197905;65.4;1
197906;55.8;1
197907;21;1
197908;62.6;1
197909;10.3;1
197910;51.6;1
197911;92.9;1
197912;114.6;1
198001;36.6;1
198002;58;1
198003;83.8;1
198004;28.6;1
198005;58.6;1
198006;98.6;1
198007;117.7;1
198008;57;1
198009;19.8;1
198010;78.5;1
198011;59.5;1
198012;93.5;1
198101;89.6;1
198102;32;1
198103;72.1;1
198104;27.2;1
198105;88.9;1
198106;61.1;1
198107;70.2;1
198108;39.5;1
198109;75.7;1
198110;169.8;1
198111;42;1
198112;96.8;1
198201;54.5;1
198202;17.8;1
198203;44.7;1
198204;31.7;1
198205;95.2;1
198206;87.3;1
198207;50.1;1
198208;121.1;1
198209;58;1
198210;76.1;1
198211;81.7;1
198212;98.3;1
198301;50.8;1
198302;53.1;1
198303;59.3;1
198304;65.6;1
198305;71.1;1
198306;45.4;1
198307;40.2;1
198308;21.3;1
198309;50.3;1
198310;33.4;1
198311;44.5;1
198312;43.9;1
198401;109.1;1
198402;53.7;1
198403;49.5;1
198404;29.3;1
198405;81.9;1
198406;46.3;1
198407;41;1
198408;46.8;1
198409;87.3;1
198410;67;1
198411;78.7;1
198412;40.4;1
198501;42;1
198502;20.1;1
198503;80.5;1
198504;51.8;1
198505;63.3;1
198506;63.3;1
198507;36.2;1
198508;44.5;1
198509;25.2;1
198510;11.9;1
198511;59;1
198512;36;1
198601;89.2;1
198602;3.7;1
198603;103.5;1
198604;95.8;1
198605;56.1;1
198606;85.2;1
198607;31.6;1
198608;77;1
198609;53.6;1
198610;101.7;1
198611;81.7;1
198612;112.2;1
198701;30.5;1
198702;52.4;1
198703;73.8;1
198704;29.5;1
198705;59.2;1
198706;96.6;1
198707;64.8;1
198708;116.3;1
198709;43.6;1
198710;99.7;1
198711;81.4;1
198712;27.8;1
198801;133;1
198802;81.5;1
198803;100.4;1
198804;7.3;1
198805;63.5;1
198806;20.1;1
198807;105.3;1
198808;61;1
198809;63.6;1
198810;84.1;1
198811;44.3;1
198812;62.4;1
198901;26.3;1
198902;45.6;1
198903;71.6;1
198904;104.2;1
198905;23.3;1
198906;61.9;1
198907;32.1;1
198908;28.3;1
198909;42.8;1
198910;37.5;1
198911;34.7;1
198912;72.9;1
199001;53.3;1
199002;117.7;1
199003;16.5;1
199004;67.6;1
199005;5.5;1
199006;57.1;1
199007;18.6;1
199008;28.8;1
199009;26.5;1
199010;69.6;1
199011;70.5;1
199012;73.5;1
199101;63.9;1
199102;15.6;1
199103;47.6;1
199104;35.1;1
199105;23.7;1
199106;56.9;1
199107;63.6;1
199108;6.6;1
199109;38.6;1
199110;39.9;1
199111;72.6;1
199112;41.3;1
199201;11.8;1
199202;43.9;1
199203;82.5;1
199204;45.2;1
199205;84.7;1
199206;93.7;1
199207;29.8;1
199208;147.1;1
199209;48.7;1
199210;64.8;1
199211;91.5;1
199212;63.4;1
199301;79;1
199302;13.6;1
199303;5;1
199304;36.6;1
199305;38.8;1
199306;48.9;1
199307;79;1
199308;14.1;1
199309;65.6;1
199310;82.8;1
199311;33.4;1
199312;170.3;1
199401;81;1
199402;37.5;1
