# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80801001
# NOM_USUEL= VILLERS-CARBONNEL
# LATITUDE (°) = 49.877
# LONGITUDE(°)= 2.898
# ALTITUDE (m) = 81
# NUM_SERIE= MRR180801001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196312
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;66.2;1
195502;66.7;1
195503;12.7;1
195504;21.9;1
195505;105.9;1
195506;85.5;1
195507;43;1
195508;47.5;1
195509;66.1;1
195510;28;1
195511;24.4;1
195512;82.5;1
195601;51.5;1
195602;16.8;1
195603;27.6;1
195604;37.7;1
195605;14;1
195606;86.6;1
195607;36.1;1
195608;112;1
195609;68.5;1
195610;57;1
195611;65.6;1
195612;43.2;1
195701;26.9;1
195702;161.3;1
195703;24.4;1
195704;21.1;1
195705;26.6;1
195706;78.2;1
195707;52.6;1
195708;39.2;1
195709;91.8;1
195710;15.3;1
195711;21.4;1
195712;33;1
195801;31.5;1
195802;79.6;1
195803;17.6;1
195804;22.7;1
195805;44.9;1
195806;103.2;1
195807;35.7;1
195808;124;1
195809;99.9;1
195810;43.2;1
195811;45.3;1
195812;101.6;1
195901;75;1
195902;1.7;1
195903;55.4;1
195904;40;1
195905;8.5;1
195906;41.5;1
195907;42.5;1
195908;82.4;1
195909;9.5;1
195910;72.3;1
195911;49;1
195912;77;1
196001;36.5;1
196002;30.4;1
196003;56;1
196004;10.6;1
196005;39.6;1
196006;61.1;1
196007;101.7;1
196008;91.3;1
196009;60.6;1
196010;137.9;1
196011;104.1;1
196012;50.9;1
196101;87.2;1
196102;76.3;1
196103;7.4;1
196104;66.6;1
196105;59.4;1
196106;56.8;1
196107;94.2;1
196108;13.6;1
196109;51.2;1
196110;109.6;1
196111;48.6;1
196112;70.3;1
196201;67;1
196202;34.6;1
196203;51.6;1
196204;37.2;1
196205;46.2;1
196206;0;1
196207;70.3;1
196208;60.6;1
196209;33.6;1
196210;25.4;1
196211;69.9;1
196212;49.6;1
196301;20.4;1
196302;5.1;1
196303;63.2;1
196304;55.4;1
196305;78.4;1
196306;99.4;1
196307;19.5;1
196308;104.5;1
196309;49.9;1
196310;44.5;1
196311;134.8;1
196312;8.8;1
196401;25.2;1
196402;29.9;1
196403;54.6;1
196404;29.2;1
196405;23.7;1
196406;67.9;1
196407;20;1
196408;42.7;1
196409;65;1
196410;96.4;1
196411;73.7;1
196412;56.6;1
196501;83.7;1
196502;16.2;1
196503;55.7;1
196504;53.5;1
196505;77.9;1
196506;52.4;1
196507;131.6;1
196508;81.1;1
196509;103.7;1
196510;24.6;1
196511;104.7;1
196512;158.8;1
196601;46.1;1
196602;58.2;1
196603;32.8;1
196604;87.4;1
196605;60.4;1
196606;83.2;1
196607;102.7;1
196608;53.1;1
196609;31.5;1
196610;119;1
196611;104.5;1
196612;166.4;1
196701;31.9;1
196702;58.1;1
196703;57.4;1
196704;30.8;1
196705;97;1
196706;45.4;1
196707;43.2;1
196708;61.1;1
196709;91.9;1
196710;104;1
196711;57.6;1
196712;64.2;1
196801;62.9;1
196802;65.6;1
196803;52.8;1
196804;29.1;1
196805;55.6;1
196806;83.4;1
196807;107.5;1
196808;37.4;1
196809;84.7;1
196810;45.8;1
196811;25.1;1
196812;33.7;1
196901;24;1
196902;45.3;1
196903;45.5;1
196904;35;1
196905;63.6;1
196906;83.5;1
196907;55.9;1
196908;61;1
196909;9.4;1
196910;6.3;1
196911;107.3;1
196912;52.6;1
197001;56.4;1
197002;111.4;1
197003;48.7;1
197004;81.2;1
197005;52.5;1
197006;49.8;1
197007;66.1;1
197008;57.6;1
197009;38.3;1
197010;27.6;1
197011;46.8;1
197012;24.3;1
197101;50.1;1
197102;49.4;1
197103;23;1
197104;36.6;1
197105;45;1
197106;85.7;1
197107;43.5;1
197108;105.3;1
197109;12.8;1
197110;24.1;1
197111;69.7;1
197112;4.7;1
197201;71.9;1
197202;51.2;1
197203;28;1
197204;59.1;1
197205;64.3;1
197206;57.2;1
197207;93.2;1
197208;66.1;1
197209;62.9;1
197210;10.1;1
197211;117.6;1
197212;38.1;1
197301;22.9;1
197302;41.8;1
197303;8.4;1
197304;59.4;1
197305;74.7;1
197306;50.5;1
197307;28.5;1
197308;67.9;1
197309;92.7;1
197310;40.7;1
197311;62.2;1
197312;40.8;1
197401;56.9;1
197402;53.6;1
197403;46.7;1
197404;21;1
197405;51.6;1
197406;53.8;1
197407;51.1;1
197408;52.3;1
197409;112.5;1
197410;125.2;1
197411;94.9;1
197412;59;1
197501;67.3;1
197502;21.3;1
197503;70.1;1
197504;49.6;1
197505;53.4;1
197506;56.4;1
197507;58.7;1
197508;79.5;1
197509;96.3;1
197510;14.4;1
197511;90.8;1
197512;15.8;1
197601;23.6;1
197602;33.9;1
197603;24.8;1
197604;10.4;1
197605;18.4;1
197606;2.5;1
197607;33.9;1
197608;4.5;1
197609;79.3;1
197610;73.2;1
197611;60.7;1
197612;56.3;1
197701;59.7;1
197702;60.1;1
197703;59.8;1
197704;45.2;1
197705;69.7;1
197706;79.9;1
197707;57.7;1
197708;45.1;1
197709;24.6;1
197710;63.9;1
197711;79.6;1
197712;48.5;1
197801;71.9;1
197802;46;1
197803;87.2;1
197804;96.6;1
197805;42;1
197806;58.8;1
197807;77.9;1
197808;35.5;1
197809;50.2;1
197810;5.6;1
197811;19.6;1
197812;79.8;1
197901;34;1
197902;49.2;1
197903;100.9;1
197904;51.4;1
197905;55.9;1
197906;53.3;1
197907;28.7;1
197908;58.1;1
197909;13.6;1
197910;55.9;1
197911;97.1;1
197912;98.9;1
198001;27.9;1
198002;58.7;1
198003;69.4;1
198004;18.1;1
198005;50;1
198006;104.9;1
198007;109.3;1
198008;53.9;1
198009;21.7;1
198010;81.2;1
198011;54.2;1
198012;77.1;1
198101;72.7;1
198102;30.2;1
198103;57.8;1
198104;19.2;1
198105;101.1;1
198106;89.5;1
198107;68.4;1
198108;27.9;1
198109;70.3;1
198110;174.3;1
198111;33;1
198112;92.5;1
198201;50.9;1
198202;19.5;1
198203;44.6;1
198204;34.1;1
198205;121.8;1
198206;86.2;1
198207;62.6;1
198208;124.6;1
198209;48.3;1
198210;82.3;1
198211;78.3;1
198212;96;1
198301;66.9;1
198302;60;1
198303;69.4;1
198304;61.6;1
198305;81.8;1
198306;53.1;1
198307;37.6;1
198308;10.1;1
198309;59.2;1
198310;37.7;1
198311;43.3;1
198312;53.6;1
198401;110;1
198402;46.9;1
198403;43.4;1
198404;34;1
198405;104.8;1
198406;38.2;1
198407;46.6;1
198408;50.5;1
198409;103.1;1
198410;60.8;1
198411;95;1
198412;39.1;1
198501;33.5;1
198502;18.8;1
198503;65.4;1
198504;62.1;1
198505;74.7;1
198506;68.8;1
198507;63.9;1
198508;56.3;1
198509;31.2;1
198510;13.1;1
198511;49;1
198512;28.3;1
198601;76.6;1
198602;3.3;1
198603;102.1;1
198604;90;1
198605;40.6;1
198606;35.4;1
198607;33.7;1
198608;129.1;1
198609;58;1
198610;75.6;1
198611;67;1
198612;89.9;1
198701;30;1
198702;51.8;1
198703;61.8;1
198704;28.2;1
198705;68.5;1
198706;113.4;1
198707;61.7;1
198708;100.3;1
198709;40.7;1
198710;101.1;1
198711;59.6;1
198712;22.8;1
198801;118.3;1
198802;70.9;1
198803;90;1
198804;9.5;1
198805;64.9;1
198806;23.2;1
198807;122.2;1
198808;70.9;1
198809;51.9;1
198810;83.4;1
198811;47.3;1
198812;62.4;1
198901;30.4;1
198902;51.5;1
198903;76.9;1
198904;100.3;1
198905;17.6;1
198906;41.4;1
198907;21.9;1
198908;28.7;1
198909;32.4;1
198910;36.8;1
198911;38.6;1
198912;73.5;1
199001;44;1
199002;116;1
199003;12.2;1
199004;68.6;1
199005;2.1;1
199006;54.2;1
199007;13.2;1
199008;57.7;1
199009;21.1;1
199010;76.2;1
199011;91.8;1
199012;78;1
199101;61.3;1
199102;14.9;1
199103;61.9;1
199104;41;1
199105;28.5;1
199106;70.5;1
199107;70.9;1
199108;14.2;1
199109;39.7;1
199110;23.4;1
199111;70.8;1
199112;55;1
199201;7.1;1
199202;33.7;1
199203;86.7;1
199204;34.4;1
199205;71.9;1
199206;162;1
199207;53.3;1
199208;103.8;1
199209;48;1
199210;48.8;1
199211;93.6;1
199212;58.6;1
199301;66.4;1
199302;15.2;1
199303;4.7;1
