# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 81069001
# NOM_USUEL= CORDES
# LATITUDE (°) = 44.074
# LONGITUDE(°)= 1.956
# ALTITUDE (m) = 173
# NUM_SERIE= MRR181069001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;219.8;1
195502;67;1
195503;7.7;1
195504;3.5;1
195505;27.8;1
195506;73.2;1
195507;89.3;1
195508;52.2;1
195509;72.7;1
195510;28.5;1
195511;31.8;1
195512;111;1
195601;58.3;1
195602;7.5;1
195603;52.4;1
195604;76.4;1
195605;52.6;1
195606;22.5;1
195607;109.2;1
195608;100.3;1
195609;103.4;1
195610;25.3;1
195611;41.9;1
195612;39.4;1
195701;29.6;1
195702;89.3;1
195703;44.8;1
195704;127.6;1
195705;74.4;1
195706;112.7;1
195707;44.8;1
195708;24.6;1
195709;84.2;1
195710;7.4;1
195711;63.4;1
195712;35;1
195801;58.1;1
195802;19.8;1
195803;91.7;1
195804;41.9;1
195805;73.9;1
195806;70.4;1
195807;105.6;1
195808;38.5;1
195809;72.7;1
195810;21.1;1
195811;44.2;1
195812;87.6;1
195901;57.2;1
195902;14.7;1
195903;76.7;1
195904;106.7;1
195905;83.2;1
195906;50.7;1
195907;94.1;1
195908;84.1;1
195909;155.9;1
195910;61.9;1
195911;68.9;1
195912;207.6;1
196001;52.6;1
196002;39.2;1
196003;62.6;1
196004;16.3;1
196005;44.3;1
196006;31.1;1
196007;118.3;1
196008;58.1;1
196009;95.3;1
196010;190;1
196011;63.4;1
196012;87.3;1
196101;77.2;1
196102;59.1;1
196103;0;1
196104;74.5;1
196105;69.6;1
196106;43.2;1
196107;44.5;1
196108;74.7;1
196109;69.5;1
196110;70.5;1
196111;82.4;1
196112;64.9;1
196201;74;1
196202;42.6;1
196203;67.3;1
196204;65.1;1
196205;72.9;1
196206;21.4;1
196207;22.6;1
196208;17.6;1
196209;58.2;1
196210;43;1
196211;180.1;1
196212;73;1
196301;15.9;1
196302;68.4;1
196303;81.3;1
196304;53.2;1
196305;27.7;1
196306;175.3;1
196307;48.6;1
196308;90;1
196309;104.8;1
196310;29.6;1
196311;50.5;1
196312;42;1
196401;9.1;1
196402;63;1
196403;75.4;1
196404;73.7;1
196405;92.5;1
196406;91.1;1
196407;3.8;1
196408;24.7;1
196409;73.8;1
196410;96.8;1
196411;46.8;1
196412;28.8;1
196501;90.6;1
196502;9.6;1
196503;85;1
196504;57.4;1
196505;79.2;1
196506;57.4;1
196507;75.6;1
196508;30.2;1
196509;100.8;1
196510;55.1;1
196511;107.2;1
196512;170.8;1
196601;133.6;1
196602;69;1
196603;14.3;1
196604;83.3;1
196605;110.8;1
196606;114.9;1
196607;80.6;1
196608;16.2;1
196609;23.4;1
196610;129.5;1
196611;86.5;1
196612;105.7;1
196701;49.5;1
196702;48.1;1
196703;52;1
196704;8.5;1
196705;60.7;1
196706;65.4;1
196707;9.9;1
196708;23.5;1
196709;42.3;1
196710;35.6;1
196711;42.1;1
196712;53.4;1
196801;71.5;1
196802;79;1
196803;36.4;1
196804;33;1
196805;144.4;1
196806;44.1;1
196807;48.5;1
196808;124.3;1
196809;68.6;1
196810;34.6;1
196811;49.4;1
196812;72.7;1
196901;72.8;1
196902;64;1
196903;121.2;1
196904;97.2;1
196905;110.7;1
196906;72;1
196907;50.3;1
196908;70.6;1
196909;160.2;1
196910;26.5;1
196911;45.9;1
196912;82.1;1
197001;58.2;1
197002;104.4;1
197003;56;1
197004;102.6;1
197005;43.3;1
197006;79.3;1
197007;9.4;1
197008;39;1
197009;4.9;1
197010;82.5;1
197011;40.9;1
197012;17.5;1
197101;125.2;1
197102;69.7;1
197103;103.3;1
197104;73.3;1
197105;81.9;1
197106;104.6;1
197107;45;1
197108;38.4;1
197109;36.9;1
197110;42.9;1
197111;66.4;1
197112;27.5;1
197201;78.9;1
197202;115.8;1
197203;39.7;1
197204;61;1
197205;52.2;1
197206;34.6;1
197207;10.1;1
197208;104.4;1
197209;57.5;1
197210;35;1
197211;38.8;1
197212;35;1
197301;51.1;1
197302;84.5;1
197303;13.7;1
197304;24.4;1
197305;46.3;1
197306;76.8;1
197307;79.6;1
197308;60.4;1
197309;38;1
197310;42.5;1
197311;39.1;1
197312;46;1
197401;34;1
197402;97.7;1
197403;74.7;1
197404;49;1
197405;105.8;1
197406;121.1;1
197407;95.8;1
197408;108.3;1
197409;166.4;1
197410;75.7;1
197411;64.6;1
197412;22.6;1
197501;65.2;1
197502;15.9;1
197503;69.6;1
197504;41.4;1
197505;75;1
197506;33.7;1
197507;28.3;1
197508;69.2;1
197509;63.1;1
197510;29.4;1
197511;96.7;1
197512;41.2;1
197601;21.1;1
197602;31.7;1
197603;30.5;1
197604;99.2;1
197605;21;1
197606;17.2;1
197607;96.9;1
197608;109.8;1
197609;77.2;1
197610;172.3;1
197611;58.5;1
197612;79.4;1
197701;60.8;1
197702;60.3;1
197703;66.9;1
197704;42.2;1
197705;182.6;1
197706;84.4;1
197707;75.5;1
197708;116.5;1
197709;15.2;1
197710;44.9;1
197711;47.5;1
197712;34.4;1
197801;118.2;1
197802;103.5;1
197803;148.3;1
197804;78.5;1
197805;68.4;1
197806;79.2;1
197807;30.6;1
197808;14.1;1
197809;41.9;1
197810;7.9;1
197811;9.3;1
197812;127.4;1
197901;81.8;1
197902;88.8;1
197903;109.6;1
197904;89.1;1
197905;81.8;1
197906;54.7;1
197907;2.3;1
197908;53.7;1
197909;10.6;1
197910;168.1;1
197911;34.6;1
197912;142.7;1
198001;83.7;1
198002;66.9;1
198003;80.8;1
198004;35.4;1
198005;155.5;1
198006;39;1
198007;53;1
198008;74.9;1
198009;52.1;1
198010;115.2;1
198011;46.7;1
198012;74.2;1
198101;80.4;1
198102;48.5;1
198103;60.2;1
198104;14.3;1
198105;121.5;1
198106;97;1
198107;58.2;1
198108;18.9;1
198109;38.5;1
198110;101.3;1
198111;18.9;1
198112;236.5;1
198201;68.5;1
198202;49.1;1
198203;60.4;1
198204;40.9;1
198205;41;1
198206;74.5;1
198207;57.6;1
198208;72.2;1
198209;52;1
198210;140.8;1
198211;73.1;1
198212;135;1
198301;21.4;1
198302;100.4;1
198303;40.8;1
198304;65.2;1
198305;106.4;1
198306;27;1
198307;4.4;1
198308;111.3;1
198309;19.3;1
198310;38.2;1
198311;44.9;1
198312;88.9;1
198401;148;1
198402;83.9;1
198403;51.4;1
198404;14.3;1
198405;101.1;1
198406;58.3;1
198407;18.7;1
198408;36.4;1
198409;89;1
198410;62.9;1
198411;80.2;1
198412;60.1;1
198501;63.1;1
198502;77.4;1
198503;80.1;1
198504;72.5;1
198505;119;1
198506;110.4;1
198507;6.8;1
198508;18.9;1
198509;0.3;1
198510;36.4;1
198511;41.7;1
198512;70.8;1
198601;113.9;1
198602;49.8;1
198603;59.4;1
198604;95.9;1
198605;38.7;1
198606;12.4;1
198607;23.4;1
198608;30.6;1
198609;68.6;1
198610;58.5;1
198611;44.7;1
198612;77.4;1
198701;40.8;1
198702;45.6;1
198703;63.1;1
198704;44.2;1
198705;43;1
198706;63.4;1
198707;42.6;1
198708;57.4;1
198709;30.6;1
198710;87.3;1
198711;94.4;1
198712;18.4;1
198801;107;1
198802;78.3;1
198803;121.1;1
198804;132.9;1
198805;87.9;1
198806;62.6;1
198807;56.1;1
198808;38.3;1
198809;33.6;1
198810;18.1;1
198811;15.4;1
198812;47.7;1
198901;30.3;1
198902;119.9;1
198903;36.3;1
198904;165;1
198905;33.3;1
198906;13.3;1
198907;16.5;1
198908;88.5;1
198909;62.1;1
198910;72.7;1
198911;57.1;1
198912;15.9;1
199001;19.1;1
199002;99;1
199003;11.7;1
199004;53.1;1
199005;152.6;1
199006;44.1;1
199007;18.4;1
199008;67.2;1
199009;35.6;1
199010;107.5;1
199011;38.2;1
199012;59.1;1
199101;19.8;1
199102;40.1;1
199103;76;1
199104;56.1;1
199105;55.4;1
199106;80.1;1
199107;38.1;1
199108;40.2;1
199109;103.2;1
199110;63.8;1
199111;98.9;1
199112;38.8;1
199201;27.7;1
199202;25.7;1
199203;53.8;1
199204;75;1
199205;61;1
199206;209.4;1
199207;85.8;1
199208;35.4;1
199209;114.8;1
199210;194.7;1
199211;95.8;1
199212;74.2;1
199301;6.2;1
199302;22.8;1
199303;12.6;1
199304;101.2;1
199305;82;1
199306;79.6;1
199307;88.9;1
199308;89.3;1
199309;81.3;1
199310;76.5;1
199311;37.2;1
199312;142.6;1
199401;75.6;1
199402;91.5;1
199403;21.5;1
199404;148.3;1
199405;221.3;1
199406;82.7;1
199407;33.9;1
199408;22.4;1
199409;156.6;1
199410;52;1
199411;59.7;1
199412;43.3;1
199501;80.4;1
199502;112.9;1
199503;50.8;1
199504;40.6;1
199505;46.6;1
199506;70.2;1
199507;20.6;1
199508;51.7;1
199509;135.9;1
199510;20.3;1
199511;60.8;1
199512;113.8;1
199601;82.1;1
199602;79.2;1
199603;47.2;1
199604;59.8;1
199605;103.9;1
199606;36.5;1
199607;77;1
199608;81.1;1
199609;90.2;1
199610;52.1;1
199611;128.9;1
199612;90.5;1
199701;49;1
199702;46.9;1
199703;10.1;1
199704;23.9;1
199705;111;1
199706;80.3;1
199707;30.4;1
199708;142.8;1
199709;32.3;1
199710;19.7;1
199711;77.9;1
199712;98;1
199801;75.2;1
199802;16.7;1
199803;46.4;1
199804;168.9;1
199805;69.6;1
199806;43.4;1
199807;66.8;1
199808;26.9;1
199809;85.5;1
199810;62;1
199811;67.2;1
199812;52.9;1
199901;84.8;1
199902;56.5;1
199903;57.3;1
199904;130.6;1
199905;123.2;1
199906;5.6;1
199907;61.9;1
199908;122;1
199909;59.7;1
199910;71.7;1
199911;140.3;1
199912;109.3;1
200001;19.8;1
200002;67.2;1
200003;55;1
200004;121.7;1
200005;75.6;1
200006;79.9;1
200007;71.7;1
200008;43.8;1
200009;74.6;1
200010;107.8;1
200011;115.7;1
200012;42.4;1
200101;87;1
200102;13.9;1
200103;90.7;1
200104;103.9;1
200105;62.4;1
200106;32.2;1
200107;89.3;1
200108;72.8;1
200109;32.5;1
200110;34.2;1
200111;41.2;1
200112;19.5;1
200201;26.4;1
200202;65.5;1
200203;20.3;1
200204;54.1;1
200205;95.5;1
200206;80.6;1
200207;83;1
200208;73.8;1
200209;29.4;1
200210;75.6;1
200211;77.4;1
200212;64.8;1
200301;65.6;1
200302;61.4;1
200303;30.1;1
200304;36.7;1
200305;36.1;1
200306;58.9;1
200307;6.7;1
200308;14.8;1
200309;121.3;1
200310;67.7;1
200311;82.6;1
200312;109.1;1
200401;144.3;1
200402;14.4;1
200403;81.4;1
200404;93.3;1
200405;57.7;1
200406;10.9;1
200407;23.7;1
200408;68.6;1
200409;11.6;1
200410;82.2;1
200411;23.7;1
200412;62.8;1
200501;30.5;1
200502;17.3;1
200503;34.6;1
200504;66.1;1
200505;70.3;1
200506;26.2;1
200507;35.1;1
200508;49.6;1
200509;170;1
200510;38.4;1
200511;56.4;1
200512;57.3;1
200601;43.1;1
200602;42.5;1
200603;102.8;1
200604;22.7;1
200605;36.5;1
200606;38.3;1
200607;46.9;1
200608;42.5;1
200609;99.6;1
200610;102;1
200611;42;1
200612;40.4;1
200701;50.1;1
200702;124.9;1
200703;48.2;1
200704;27.9;1
200705;112.5;1
200706;80.7;1
200707;32.1;1
200708;52.3;1
200709;44.5;1
200710;40.2;1
200711;10;1
200712;101;1
200801;103.9;1
200802;8.6;1
200803;77.4;1
200804;138.8;1
200805;84.8;1
200806;35.6;1
200807;40.3;1
200808;36.8;1
200809;22.5;1
200810;71;1
200811;106.8;1
200812;102.8;1
200901;127.1;1
200902;26.3;1
200903;24.1;1
200904;158.6;1
200905;47.5;1
200906;41.5;1
200907;23.8;1
200908;37.4;1
200909;69.5;1
200910;70.4;1
200911;117.8;1
200912;70.1;1
201001;87.8;1
201002;52.4;1
