# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 82038006
# NOM_USUEL= CAYLUS
# LATITUDE (°) = 44.22
# LONGITUDE(°)= 1.704
# ALTITUDE (m) = 274
# NUM_SERIE= MRR182038006
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 200212
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;212.8;1
195502;87.2;1
195503;11.1;1
195504;5.8;1
195505;59.5;1
195506;93.4;1
195507;69;1
195508;26.4;1
195509;31.7;1
195510;86.3;1
195511;40;1
195512;141.4;1
195601;76.4;1
195602;12.8;1
195603;39.2;1
195604;91.8;1
195605;71.1;1
195606;30.2;1
195607;83.2;1
195608;84.4;1
195609;55.6;1
195610;26.1;1
195611;30.5;1
195612;38.9;1
195701;26.2;1
195702;91;1
195703;56.4;1
195704;91.7;1
195705;57.2;1
195706;126;1
195707;46.5;1
195708;19.9;1
195709;39.3;1
195710;7.5;1
195711;42;1
195712;48.2;1
195801;65.3;1
195802;13.6;1
195803;84.6;1
195804;40.5;1
195805;65;1
195806;91.5;1
195807;124.9;1
195808;46.4;1
195809;64.8;1
195810;27.4;1
195811;51.8;1
195812;91.3;1
195901;60.5;1
195902;15.9;1
195903;74.7;1
195904;112.9;1
195905;69.1;1
195906;57.3;1
195907;42.6;1
195908;81.6;1
195909;214.6;1
195910;69.5;1
195911;89.8;1
195912;206.1;1
196001;51.7;1
196002;40.8;1
196003;58.3;1
196004;27.3;1
196005;38.1;1
196006;39.5;1
196007;114;1
196008;101.7;1
196009;113.5;1
196010;161.1;1
196011;71.6;1
196012;99;1
196101;74.1;1
196102;45.3;1
196103;0.3;1
196104;73.8;1
196105;50.3;1
196106;57.5;1
196107;50.1;1
196108;62.6;1
196109;68;1
196110;75.3;1
196111;76.3;1
196112;61.9;1
196201;74.4;1
196202;43.9;1
196203;71.7;1
196204;72.4;1
196205;86.2;1
196206;22.9;1
196207;24.8;1
196208;12.7;1
196209;50.4;1
196210;36.9;1
196211;181.2;1
196212;93.4;1
196301;33.3;1
196302;75.7;1
196303;114.7;1
196304;53.1;1
196305;29.7;1
196306;172.4;1
196307;44.8;1
196308;112.6;1
196309;100.8;1
196310;41;1
196311;72.4;1
196312;58.6;1
196401;14.8;1
196402;83.6;1
196403;82.8;1
196404;90.9;1
196405;86.1;1
196406;57.4;1
196407;4.4;1
196408;21.8;1
196409;46.4;1
196410;127.7;1
196411;51.5;1
196412;34.3;1
196501;96.5;1
196502;20.4;1
196503;96.1;1
196504;70;1
196505;99.5;1
196506;50.4;1
196507;32.3;1
196508;42.6;1
196509;126.6;1
196510;35.7;1
196511;124.9;1
196512;175;1
196601;176.6;1
196602;84.9;1
196603;31.6;1
196604;70;1
196605;89.9;1
196606;137.5;1
196607;89;1
196608;22.4;1
196609;15.1;1
196610;166.1;1
196611;95.9;1
196612;113.1;1
196701;56.3;1
196702;70.4;1
196703;38.4;1
196704;12.5;1
196705;68.7;1
196706;21.5;1
196707;17.4;1
196708;51.3;1
196709;48.7;1
196710;37.1;1
196711;50.3;1
196712;51.2;1
196801;89;1
196802;59.6;1
196803;42.3;1
196804;28.9;1
196805;164.5;1
196806;55.5;1
196807;42.4;1
196808;111.6;1
196809;94.5;1
196810;33.7;1
196811;48;1
196812;101.1;1
196901;64.4;1
196902;62.9;1
