# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83069002
# NOM_USUEL= PORQUEROLLES
# LATITUDE (°) = 43
# LONGITUDE(°)= 6.227
# ALTITUDE (m) = 135
# NUM_SERIE= MRR183069002
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;27.3;1
195002;69.3;1
195003;29.2;1
195004;49.3;1
195005;5.2;1
195006;0;1
195007;0;1
195008;33.2;1
195009;25.2;1
195010;112.9;1
195011;40.5;1
195012;231.3;1
195101;87;1
195102;90;1
195103;122;1
195104;28.6;1
195105;47.8;1
195106;1.8;1
195107;1.2;1
195108;35;1
195109;21.9;1
195110;81.2;1
195111;166.4;1
195112;15.9;1
195201;78.6;1
195202;3.9;1
195203;41.5;1
195204;47.7;1
195205;61.1;1
195206;0;1
195207;1.9;1
195208;37.2;1
195209;74;1
195210;24.7;1
195211;63.4;1
195212;83.7;1
195301;15.4;1
195302;8;1
195303;20.1;1
195304;24.8;1
195305;47.9;1
195306;107.7;1
195307;2.4;1
195308;11.1;1
195309;90.9;1
195310;250.8;1
195311;19.9;1
195312;103.3;1
195401;68.3;1
195402;102.7;1
195403;101.8;1
195404;23.1;1
195405;26.3;1
195406;13.1;1
195407;43.4;1
195408;14.3;1
195409;0.9;1
195410;81.3;1
195411;89;1
195412;99;1
195501;148.4;1
195502;43.8;1
195503;12.1;1
195504;17.5;1
195505;3.5;1
195506;38;1
195507;0;1
195508;46.4;1
195509;0.7;1
195510;89.9;1
195511;73.8;1
195512;32.3;1
195601;17.4;1
195602;33.1;1
195603;131.6;1
195604;41.4;1
195605;4.3;1
195606;76.7;1
195607;0;1
195608;0;1
195609;46.6;1
195610;13.5;1
195611;107.1;1
195612;49.1;1
195701;59.6;1
195702;14.2;1
195703;10.3;1
195704;147.5;1
195705;110.4;1
195706;123.9;1
195707;9.6;1
195708;28.4;1
195709;21.9;1
195710;20.2;1
195711;128.5;1
195712;174.1;1
195801;32.3;1
195802;5.6;1
195803;58.7;1
195804;41.3;1
195805;8.8;1
195806;36.1;1
195807;43.3;1
195808;0.7;1
195809;31.5;1
195810;293.9;1
195811;111.2;1
195812;140.3;1
195901;0.8;1
195902;12.8;1
195903;60.8;1
195904;55.4;1
195905;56.7;1
195906;3.1;1
195907;0;1
195908;36.2;1
195909;27.9;1
195910;109;1
195911;127.7;1
195912;223.4;1
196001;73.8;1
196002;95.6;1
196003;217.8;1
196004;33.4;1
196005;1.4;1
196006;2.5;1
196007;7.6;1
196008;57.3;1
196009;144.2;1
196010;144.8;1
196011;111.8;1
196012;119.9;1
196101;67.6;1
196102;14.2;1
196103;0;1
196104;82.6;1
196105;43.3;1
196106;0.2;1
196107;1.4;1
196108;0.6;1
196109;92.9;1
196110;71.3;1
196111;202.2;1
196112;35;1
196201;13.7;1
196202;83.4;1
196203;64;1
196204;18;1
196205;31.2;1
196206;30.7;1
196207;0;1
196208;0;1
196209;68.5;1
196210;132.3;1
196211;166.4;1
196212;48.9;1
196301;91.5;1
196302;96.6;1
196303;28.4;1
196304;77.5;1
196305;2.5;1
196306;36.6;1
196307;44;1
196308;45.8;1
196309;95.4;1
196310;85;1
196311;48.8;1
196312;67;1
196401;71.1;1
196402;144;1
196403;92.5;1
196404;19.6;1
196405;15;1
196406;3;1
196407;6.2;1
196408;39;1
196409;86.7;1
196410;64.7;1
196411;24.7;1
196412;109.2;1
196501;34.4;1
196502;38.1;1
196503;132.8;1
196504;1.6;1
196505;2.2;1
196506;8;1
196507;8.6;1
196508;55.6;1
196509;28;1
196510;87.5;1
196511;25.3;1
196512;45.1;1
196601;61.6;1
196602;111.8;1
196603;6.8;1
196604;59;1
