# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83101001
# NOM_USUEL= CAP CAMARAT
# LATITUDE (°) = 43.201
# LONGITUDE(°)= 6.675
# ALTITUDE (m) = 107
# NUM_SERIE= MRR183101001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 199812
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;44.3;1
195002;74;1
195003;52.7;1
195004;40.7;1
195005;7.3;1
195006;0.4;1
195007;0;1
195008;47;1
195009;28.3;1
195010;121.6;1
195011;94.3;1
195012;124.1;1
195101;77.2;1
195102;150.4;1
195103;139.8;1
195104;15.2;1
195105;58.7;1
195106;4.5;1
195107;4.3;1
195108;4.9;1
195109;48.8;1
195110;119.6;1
195111;140;1
195112;21.3;1
195201;74.2;1
195202;27.8;1
195203;22.6;1
195204;80.4;1
195205;51.3;1
195206;0;1
195207;0;1
195208;32.6;1
195209;159.8;1
195210;55.5;1
195211;48.9;1
195212;82;1
195301;29.6;1
195302;30.9;1
195303;10.1;1
195304;31.2;1
195305;59;1
195306;76.8;1
195307;10.1;1
195308;8;1
195309;67;1
195310;326.4;1
195311;17.5;1
195312;88.9;1
195401;91.3;1
195402;108.6;1
195403;128.9;1
195404;25.4;1
195405;49.6;1
195406;7.6;1
195407;61.8;1
195408;18.8;1
195409;2.4;1
195410;66.2;1
195411;166.5;1
195412;102.2;1
195501;227.1;1
195502;129.6;1
195503;30.9;1
195504;2.2;1
195505;2.2;1
195506;25.3;1
195507;22.6;1
195508;16.9;1
195509;42;1
195510;94.9;1
195511;133.8;1
195512;78.8;1
195601;114;1
195602;113.9;1
195603;194.5;1
195604;46.7;1
195605;2.7;1
195606;18.8;1
195607;2.5;1
195608;0.4;1
195609;59.4;1
195610;13.6;1
195611;87.4;1
195612;54.6;1
195701;32.6;1
195702;81.1;1
195703;26.4;1
195704;129.2;1
195705;72.1;1
195706;61.8;1
195707;7.8;1
195708;67.3;1
195709;2.8;1
195710;14.7;1
195711;142.4;1
195712;127;1
195801;76;1
195802;17.2;1
195803;77.7;1
195804;67.3;1
195805;9.6;1
195806;60.8;1
195807;104.1;1
195808;2.9;1
195809;24.9;1
195810;141.6;1
195811;114.2;1
195812;186.8;1
195901;1;1
195902;26.1;1
195903;83.3;1
195904;120.7;1
195905;145.8;1
195906;5.7;1
195907;0;1
195908;51.9;1
195909;22.1;1
195910;100.1;1
195911;256.5;1
195912;239.5;1
196001;94.5;1
196002;105.4;1
196003;187.1;1
196004;52.5;1
196005;12.9;1
196006;4.4;1
196007;5.5;1
196008;79.5;1
196009;274.4;1
196010;154.5;1
196011;129.3;1
196012;138.9;1
196101;114.8;1
196102;71;1
196103;0;1
196104;124.4;1
196105;57;1
196106;12.2;1
196107;10.6;1
196108;0;1
196109;87.6;1
196110;178.4;1
196111;205.6;1
196112;42.1;1
196201;31.7;1
196202;107.8;1
196203;77.7;1
196204;32.7;1
196205;26.3;1
196206;34.4;1
196207;0;1
196208;0;1
196209;57.1;1
196210;152.6;1
196211;222.2;1
196212;61.4;1
196301;81.3;1
196302;97;1
196303;46.7;1
196304;87.1;1
196305;4.5;1
196306;33.9;1
196307;6.5;1
196308;97.4;1
196309;136.5;1
196310;101.3;1
196311;118.9;1
196312;103;1
196401;12.5;1
