# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 84025001
# NOM_USUEL= CABRIERES D'AVIGNON
# LATITUDE (°) = 43.884
# LONGITUDE(°)= 5.165
# ALTITUDE (m) = 142
# NUM_SERIE= MRR184025001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;29.6;1
195002;60.6;1
195003;41.9;1
195004;26.5;1
195005;20.5;1
195006;32.5;1
195007;0;1
195008;53;1
195009;66;1
195010;25.5;1
195011;66;1
195012;69;1
195101;82;1
195102;132.5;1
195103;93;1
195104;36;1
195105;117.5;1
195106;42;1
195107;10;1
195108;71;1
195109;54;1
195110;129;1
195111;253.5;1
195112;22.5;1
195201;43;1
195202;8;1
195203;11.5;1
195204;32;1
195205;62;1
195206;8.5;1
195207;3.5;1
195208;98;1
195209;82.5;1
195210;100.5;1
195211;45;1
195212;49;1
195301;5;1
195302;13;1
195303;0;1
195304;25;1
195305;24;1
195306;93;1
195307;18.5;1
195308;22;1
195309;178;1
195310;89;1
195311;13.5;1
195312;25;1
195401;23;1
195402;65.5;1
195403;27;1
195404;56.6;1
195405;72;1
195406;19.5;1
195407;8;1
195408;40;1
195409;40.5;1
195410;35;1
195411;73.5;1
195412;69;1
195501;96.5;1
195502;61.5;1
195503;39;1
195504;0;1
195505;28;1
195506;173;1
195507;10.5;1
195508;41.5;1
195509;7;1
195510;128;1
195511;36;1
195512;29.4;1
195601;65;1
195602;52;1
195603;113.5;1
195604;82;1
195605;46;1
195606;28;1
195607;28;1
195608;29.5;1
195609;132;1
195610;45;1
195611;38;1
195612;7;1
195701;34;1
195702;80;1
195703;60;1
195704;95;1
195705;66.5;1
195706;139;1
195707;23.5;1
195708;30;1
195709;13;1
195710;20;1
195711;76;1
195712;120.5;1
195801;29;1
195802;9.5;1
195803;49;1
195804;40.5;1
195805;17;1
195806;58;1
195807;36.5;1
195808;4.5;1
195809;121;1
195810;72;1
195811;49;1
195812;165;1
195901;22;1
195902;35;1
195903;74;1
195904;83.5;1
195905;68.5;1
195906;30;1
195907;12.5;1
195908;52;1
195909;57;1
195910;127;1
195911;87;1
195912;137.5;1
196001;64.4;1
196002;45.5;1
196003;119.5;1
196004;15;1
196005;3;1
196006;43;1
196007;17;1
196008;89;1
196009;190.5;1
196010;249;1
196011;126.5;1
196012;143.5;1
196101;24.5;1
196102;3.5;1
196103;0;1
196104;83.5;1
196105;84.9;1
196106;26.5;1
196107;24;1
196108;7;1
196109;55;1
196110;115.5;1
196111;97;1
196112;33.5;1
196201;36;1
196202;72.5;1
196203;31;1
196204;34.5;1
196205;35;1
196206;32;1
196207;0;1
196208;30;1
196209;150;1
196210;33;1
196211;98.5;1
196212;86;1
196301;72;1
196302;118;1
196303;49;1
196304;52;1
196305;26;1
196306;77;1
196307;105.5;1
196308;60.5;1
196309;137;1
196310;50;1
196311;55;1
196312;81.1;1
196401;14.5;1
196402;74.5;1
196403;153;1
196404;30.5;1
196405;42;1
196406;39;1
196407;4.5;1
196408;105;1
196409;233.5;1
196410;106;1
196411;48;1
196412;65.8;1
196501;37;1
196502;0;1
196503;51.1;1
196504;4;1
196505;11.5;1
196506;22;1
196507;51.5;1
196508;94;1
196509;153;1
196510;25.5;1
196511;43.5;1
196512;49.5;1
196601;43.5;1
196602;115;1
196603;2;1
196604;59;1
196605;52.3;1
196606;5;1
196607;34.5;1
196608;31.5;1
196609;31;1
196610;114;1
196611;80;1
196612;24;1
196701;26.6;1
196702;25.5;1
196703;32;1
196704;13;1
196705;24;1
196706;49;1
196707;0;1
196708;19;1
196709;28.5;1
196710;14;1
196711;72;1
196712;14.5;1
196801;1.5;1
196802;88.4;1
196803;10;1
196804;42;1
196805;111;1
196806;50;1
196807;3;1
196808;77;1
196809;111;1
196810;107;1
196811;101.8;1
196812;45.6;1
196901;61;1
196902;32;1
196903;87.5;1
196904;10;1
196905;52.5;1
196906;60;1
196907;26.5;1
196908;54;1
196909;65.5;1
196910;27;1
196911;36.1;1
196912;25.6;1
197001;41.3;1
197002;44;1
197003;44;1
197004;20;1
197005;43.5;1
197006;102;1
197007;0;1
197008;28.5;1
197009;40;1
197010;61.5;1
197011;46;1
197012;92;1
197101;79;1
197102;6;1
197103;92.7;1
197104;137;1
197105;76.5;1
197106;53;1
197107;16.7;1
197108;30.5;1
197109;16;1
197110;42;1
197111;112.5;1
197112;39;1
197201;47;1
197202;210.8;1
197203;46.9;1
197204;74.5;1
197205;26;1
197206;93.5;1
197207;0;1
197208;43;1
197209;59.5;1
197210;157;1
197211;31.5;1
197212;124.2;1
197301;50;1
197302;25.4;1
197303;50;1
197304;68.5;1
197305;10;1
197306;57.5;1
197307;117.3;1
197308;42.8;1
197309;50;1
197310;133;1
197311;26;1
197312;68.4;1
197401;57;1
197402;110.5;1
197403;74;1
197404;103;1
197405;41.5;1
197406;22;1
197407;32.5;1
197408;12;1
197409;143;1
197410;16;1
197411;27.5;1
197412;16;1
197501;23.5;1
197502;71;1
197503;70.5;1
197504;31;1
197505;77.5;1
197506;30;1
197507;24;1
197508;59;1
197509;125;1
197510;12;1
197511;65.5;1
197512;95.5;1
197601;22;1
197602;38;1
197603;46.5;1
197604;58.5;1
197605;47;1
197606;4;1
197607;13;1
197608;23.4;1
197609;49.5;1
197610;221;1
197611;90;1
197612;56;1
197701;70;1
197702;59;1
197703;76;1
197704;35;1
197705;119.9;1
197706;70;1
197707;144;1
197708;96.7;1
197709;0;1
197710;144;1
197711;69.5;1
197712;88.5;1
197801;135;1
197802;95.6;1
197803;56.2;1
197804;98.1;1
197805;149.8;1
197806;28;1
197807;18.4;1
197808;11.9;1
197809;36;1
197810;4.1;1
197811;0.5;1
197812;61;1
197901;97.6;1
197902;69.2;1
197903;101.3;1
197904;26.1;1
197905;22;1
197906;12.1;1
197907;28.6;1
197908;8;1
197909;28;1
197910;351.6;1
197911;18;1
197912;66;1
198001;36.2;1
198002;0.6;1
198003;55.2;1
198004;38.9;1
198005;58.6;1
198006;24.2;1
198007;12.4;1
198008;34.8;1
198009;32.8;1
198010;61.1;1
198011;60;1
198012;5.8;1
198101;26.5;1
198102;13.8;1
198103;62.5;1
198104;44.6;1
198105;46.9;1
198106;29.2;1
198107;14.1;1
198108;0;1
198109;64.4;1
198110;32;1
198111;0;1
198112;165.5;1
198201;14.6;1
198202;25.8;1
198203;13.9;1
198204;25.2;1
198205;11.7;1
198206;22.4;1
198207;31;1
198208;44.2;1
198209;37.6;1
198210;59.9;1
198211;193.4;1
198212;36.3;1
198301;0;1
198302;114.3;1
198303;56.9;1
198304;37.4;1
198305;56.6;1
198306;60.5;1
198307;0;1
198308;80.1;1
198309;24.1;1
198310;86.1;1
198311;17.1;1
198312;50.9;1
198401;52.8;1
198402;58.8;1
198403;39.4;1
198404;6.5;1
198405;100.2;1
198406;77.8;1
198407;0;1
198408;129.1;1
198409;30.4;1
198410;82.2;1
198411;85.8;1
198412;61.3;1
198501;29.5;1
198502;29.6;1
198503;129;1
198504;16.7;1
198505;97.6;1
198506;30.7;1
198507;2.3;1
198508;110.5;1
198509;0;1
198510;16.5;1
198511;33;1
198512;50.3;1
198601;93.2;1
198602;102;1
198603;17.5;1
198604;185.5;1
198605;21.7;1
198606;15.2;1
198607;0;1
198608;103.1;1
198609;58.4;1
198610;50.6;1
198611;51.2;1
198612;42.9;1
198701;63;1
198702;75.6;1
198703;29.6;1
198704;80.6;1
198705;48;1
198706;41;1
198707;64.7;1
198708;123;1
198709;115;1
198710;221.5;1
198711;48;1
198712;47.5;1
198801;72;1
198802;24.5;1
198803;54;1
198804;103.5;1
198805;63.5;1
198806;67.5;1
198807;16;1
198808;20;1
198809;32;1
198810;138;1
198811;20.5;1
198812;12;1
198901;11.5;1
198902;44.5;1
198903;26.5;1
198904;84.5;1
198905;10;1
198906;21.5;1
198907;2;1
198908;0;1
198909;32;1
198910;44;1
198911;78.5;1
198912;30;1
199001;28;1
199002;17.5;1
199003;15.5;1
199004;78.5;1
199005;113;1
199006;17.5;1
199007;16;1
199008;43;1
199009;28;1
199010;142;1
199011;26;1
199012;93;1
199101;29;1
199102;33.5;1
199103;84.5;1
199104;39.5;1
199105;18;1
199106;22;1
199107;44;1
199108;13.5;1
199109;122;1
199110;185;1
199111;45.5;1
199112;5;1
199201;20.5;1
199202;26.5;1
199203;31.5;1
199204;19.5;1
199205;42;1
