# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 84054001
# NOM_USUEL= ISLE SUR SORGUE
# LATITUDE (°) = 43.902
# LONGITUDE(°)= 5.051
# ALTITUDE (m) = 64
# NUM_SERIE= MRR184054001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;31;1
195002;47;1
195003;48;1
195004;25;1
195005;32;1
195006;32;1
195007;0;1
195008;42;1
195009;54;1
195010;34;1
195011;65;1
195012;56;1
195101;71;1
195102;138;1
195103;86;1
195104;30;1
195105;95;1
195106;30;1
195107;1;1
195108;82;1
195109;61;1
195110;137;1
195111;270;1
195112;18;1
195201;26;1
195202;4;1
195203;6;1
195204;16;1
195205;80;1
195206;5;1
195207;2;1
195208;54;1
195209;16;1
195210;86;1
195211;50;1
195212;53;1
195301;2;1
195302;6;1
195303;0;1
195304;28;1
195305;30;1
195306;69;1
195307;13;1
195308;18;1
195309;260;1
195310;108;1
195311;20;1
195312;51;1
195401;21;1
195402;66;1
195403;32;1
195404;51;1
195405;145;1
195406;26;1
195407;0;1
195408;161;1
195409;67;1
195410;38;1
195411;75;1
195412;49;1
195501;134;1
195502;51;1
195503;35;1
195504;0;1
195505;48;1
195506;128;1
195507;5;1
195508;31;1
195509;8;1
195510;119;1
195511;43;1
195512;14;1
195601;38;1
195602;60;1
195603;95;1
195604;90;1
195605;35;1
195606;30;1
195607;17;1
195608;30;1
195609;110;1
195610;25;1
195611;40;1
195612;45;1
195701;6;1
195702;86;1
195703;46;1
195704;100;1
195705;49;1
195706;87;1
195707;28;1
195708;30;1
195709;17;1
195710;23;1
195711;66;1
195712;141;1
195801;4;1
195802;8;1
195803;46;1
195804;26;1
195805;8;1
195806;79;1
195807;26;1
195808;1;1
195809;92;1
195810;56;1
195811;40;1
195812;107.8;1
195901;9.3;1
195902;27;1
195903;62;1
195904;86.5;1
195905;30;1
195906;13;1
195907;10;1
195908;60;1
195909;61;1
195910;57;1
195911;92;1
195912;133;1
196001;37;1
196002;57;1
196003;96.5;1
196004;15;1
196005;1;1
196006;32;1
196007;10;1
196008;90;1
196009;107;1
196010;184;1
196011;111;1
196012;84;1
196101;24.2;1
196102;2.3;1
196103;0;1
196104;101.3;1
196105;100.7;1
196106;22.9;1
196107;26.5;1
196108;8.3;1
196109;33;1
196110;83.7;1
196111;101.1;1
196112;22.1;1
196201;22.5;1
196202;72.7;1
196203;29.8;1
196204;53.4;1
196205;23.8;1
196206;36.8;1
196207;2;1
196208;17.8;1
196209;90.9;1
196210;25;1
196211;57.5;1
196212;61.2;1
196301;50.4;1
196302;97.8;1
196303;30.5;1
196304;40.3;1
196305;63.7;1
196306;103.6;1
196307;50.1;1
196308;141.5;1
196309;75.9;1
196310;24;1
196311;33;1
196312;44.2;1
196401;44;1
196402;68.5;1
196403;160.3;1
196404;28;1
196405;44.5;1
196406;26;1
196407;10.5;1
196408;138;1
196409;184.4;1
196410;143;1
196411;49;1
196412;54.5;1
196501;50;1
196502;7;1
196503;79.5;1
196504;1.8;1
196505;10;1
196506;36;1
196507;71;1
196508;62.3;1
196509;113;1
196510;28;1
196511;29;1
196512;39;1
196601;25.8;1
196602;80.5;1
196603;2;1
196604;52.5;1
196605;35;1
196606;2;1
196607;47.5;1
196608;21.6;1
196609;39;1
196610;100.9;1
196611;53.2;1
196612;15.5;1
196701;22.5;1
196702;26;1
196703;33.5;1
196704;9;1
196705;23;1
196706;58.5;1
196707;0;1
196708;12;1
196709;18.5;1
196710;14.5;1
196711;74.5;1
196712;10.5;1
196801;0;1
196802;94.8;1
196803;11;1
196804;71;1
196805;112.5;1
196806;52.7;1
196807;2;1
196808;100.6;1
196809;125.7;1
196810;106;1
196811;68.4;1
196812;45;1
196901;43;1
196902;34.5;1
