# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 85092004
# NOM_USUEL= FONTENAY
# LATITUDE (°) = 46.448
# LONGITUDE(°)= -0.78
# ALTITUDE (m) = 20
# NUM_SERIE= MRR185092004
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196707 198512
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;73;1
195102;106;1
195103;103.5;1
195104;45.7;1
195105;86.9;1
195106;72.5;1
195107;26.7;1
195108;74;1
195109;56.5;1
195110;54;1
195111;122.2;1
195112;95.2;1
195201;80.8;1
195202;40.7;1
195203;84.1;1
195204;44.2;1
195205;42.5;1
195206;17.6;1
195207;22.3;1
195208;90.9;1
195209;113.3;1
195210;126.6;1
195211;148.7;1
195212;135.3;1
195301;15.3;1
195302;34.3;1
195303;1.6;1
195304;50.6;1
195305;8.8;1
195306;42.7;1
195307;59;1
195308;30.7;1
195309;152.1;1
195310;95.4;1
195311;34.3;1
195312;8.1;1
195401;43.8;1
195402;78.9;1
195403;142.6;1
195404;1.5;1
195405;40.5;1
195406;83.5;1
195407;35.1;1
195408;85.7;1
195409;38.9;1
195410;65.9;1
195411;98.6;1
195412;78.6;1
195501;162.3;1
195502;139.1;1
195503;47.7;1
195504;0.7;1
195505;46.3;1
195506;137.9;1
195507;31.2;1
195508;35.4;1
195509;7.5;1
195510;54.9;1
195511;19.3;1
195512;126.2;1
195601;85.4;1
195602;3.3;1
195603;20.5;1
195604;46.5;1
195605;25.2;1
195606;26.5;1
195607;67.9;1
195608;110.9;1
195609;90.2;1
195610;16.5;1
195611;14.7;1
195612;56.4;1
195701;45.7;1
195702;141.4;1
195703;50.1;1
195704;21.6;1
195705;33.8;1
195706;64.2;1
195707;48;1
195708;36.5;1
195709;61.2;1
195710;24.1;1
195711;132.9;1
195712;97.6;1
195801;149;1
195802;58.1;1
195803;108;1
195804;43.9;1
195805;100.1;1
195806;98.7;1
195807;60.8;1
195808;86.4;1
195809;52.6;1
195810;49.8;1
195811;72.6;1
195812;139.5;1
195901;82.8;1
195902;4.9;1
195903;42.5;1
195904;91.6;1
195905;46.7;1
195906;36.1;1
195907;26.7;1
195908;44;1
195909;9.1;1
195910;129.8;1
195911;87.3;1
195912;158.4;1
196001;77;1
196002;67.6;1
196003;76.1;1
196004;17.1;1
196005;61.3;1
196006;17.8;1
196007;47.7;1
196008;31.4;1
196009;148.4;1
196010;183.9;1
196011;230.6;1
196012;136.1;1
196101;159.2;1
196102;33.3;1
196103;1;1
196104;64.4;1
196105;46.3;1
196106;29.9;1
196107;45.5;1
196108;2.1;1
196109;46.7;1
196110;136.5;1
196111;144.4;1
196112;149.8;1
196201;117;1
196202;21.3;1
196203;110.3;1
196204;35;1
196205;58.3;1
196206;17.6;1
196207;23.6;1
196208;14;1
196209;67.9;1
196210;46.5;1
196211;111.5;1
196212;50.9;1
196301;45.5;1
196302;70.5;1
196303;103.2;1
196304;81.3;1
196305;23.6;1
196306;76.9;1
196307;11.3;1
196308;138.7;1
196309;51;1
196310;49.5;1
196311;179.6;1
196312;25.9;1
196401;17.6;1
196402;76.6;1
196403;70.7;1
196404;51;1
196405;109.3;1
196406;64.1;1
196407;10.1;1
196408;16.7;1
196409;81.6;1
196410;138.9;1
196411;34.2;1
196412;57;1
196501;130.1;1
196502;2.2;1
196503;113.7;1
196504;37.8;1
196505;45.9;1
196506;62.3;1
196507;49.7;1
196508;164.9;1
196509;156;1
196510;26.3;1
196511;131.4;1
196512;167.7;1
196601;86.9;1
196602;103;1
196603;42.1;1
196604;87.1;1
196605;55.5;1
196606;62.4;1
196607;15.6;1
196608;51.4;1
196609;43.9;1
196610;198;1
196611;119.9;1
196612;121.6;1
196701;42.2;1
196702;80.8;1
196703;68.5;1
196704;46;1
196705;126.5;1
196706;58.1;1
196707;11.1;1
196708;46.8;1
196709;69.5;1
196710;100.8;1
196711;109.2;1
196712;76.9;1
196801;60.3;1
196802;97.3;1
196803;48.7;1
196804;62.2;1
196805;53.2;1
196806;28.3;1
196807;65.4;1
196808;101.5;1
196809;134.5;1
196810;67.2;1
196811;23.6;1
196812;103.6;1
196901;98.4;1
196902;49.9;1
196903;76.3;1
196904;68.5;1
196905;99.4;1
196906;36.4;1
196907;12.7;1
196908;36.6;1
196909;152.2;1
196910;10;1
196911;162.4;1
196912;83.1;1
197001;87.3;1
197002;110.6;1
197003;50.8;1
197004;50;1
197005;31.1;1
197006;59.6;1
197007;20.5;1
197008;60.7;1
197009;45.3;1
197010;61;1
197011;141.6;1
197012;19;1
197101;106.7;1
197102;59.7;1
197103;30.2;1
197104;39.5;1
197105;124.2;1
197106;52.2;1
197107;36;1
197108;36.3;1
197109;70;1
197110;9.9;1
197111;85.2;1
197112;25.5;1
197201;87.8;1
197202;129.4;1
197203;83.2;1
197204;51.6;1
197205;41.9;1
197206;33.5;1
197207;17.9;1
197208;109.9;1
197209;19.8;1
197210;46.9;1
197211;118.4;1
197212;53.3;1
197301;52.6;1
197302;66.7;1
197303;7.4;1
197304;54.8;1
197305;90.2;1
197306;11.6;1
197307;70;1
197308;14.4;1
197309;62;1
197310;76.7;1
197311;43;1
197312;69.7;1
197401;81.6;1
197402;77.1;1
197403;54;1
197404;24.8;1
197405;48.8;1
197406;35.8;1
197407;8.2;1
197408;59.9;1
197409;94.5;1
197410;56.1;1
197411;111.9;1
197412;20.8;1
197501;114.1;1
197502;15.6;1
197503;99.2;1
197504;50;1
197505;74.6;1
197506;20.2;1
197507;72.9;1
197508;51.3;1
197509;114.1;1
197510;53.6;1
197511;84.6;1
197512;40.3;1
197601;23.5;1
197602;57.7;1
197603;30.2;1
197604;22.3;1
197605;9.1;1
197606;0;1
197607;23.9;1
197608;44;1
197609;103.4;1
197610;105.6;1
197611;193;1
197612;95.6;1
197701;137.5;1
197702;175.4;1
197703;63.6;1
197704;22.9;1
197705;105.2;1
197706;59.1;1
197707;55.8;1
197708;37.2;1
197709;7.2;1
197710;75.5;1
197711;57.5;1
197712;84.7;1
197801;106.6;1
197802;83.1;1
197803;68.8;1
197804;65.6;1
197805;42.2;1
197806;61.7;1
197807;25.6;1
197808;30;1
197809;17.1;1
197810;0.5;1
197811;15.6;1
197812;196.4;1
197901;86.1;1
197902;123.3;1
197903;99.9;1
197904;58;1
197905;93.5;1
197906;18.6;1
197907;42.7;1
197908;35.5;1
197909;28.2;1
197910;92.5;1
197911;52.4;1
197912;141.7;1
198001;133;1
198002;39.8;1
198003;123.3;1
198004;9.7;1
198005;31.7;1
198006;96.9;1
198007;75.6;1
198008;14.6;1
198009;88;1
198010;88.3;1
198011;53.3;1
198012;57.9;1
198101;42.9;1
198102;58.9;1
198103;81.4;1
198104;31.1;1
198105;173.8;1
198106;52.9;1
198107;57.9;1
198108;65.6;1
198109;63.8;1
198110;190.2;1
198111;14.3;1
198112;145.5;1
198201;95.6;1
198202;39.3;1
198203;47.9;1
198204;3.4;1
198205;26.3;1
198206;43.9;1
198207;101.5;1
198208;47.4;1
198209;86.5;1
198210;146.8;1
198211;99.9;1
198212;177.3;1
198301;29.3;1
198302;65.1;1
198303;52.1;1
198304;148;1
198305;129.7;1
198306;54.8;1
198307;47.7;1
198308;59.3;1
198309;39.7;1
198310;43.8;1
198311;51.1;1
198312;70.3;1
198401;175.3;1
198402;34.8;1
198403;68.9;1
198404;7.6;1
198405;108.1;1
198406;130;1
198407;28.9;1
198408;47;1
198409;143.9;1
198410;81.3;1
198411;164.5;1
198412;60.2;1
198501;46;1
198502;81.1;1
198503;56.2;1
198504;66.4;1
198505;104.7;1
198506;55.8;1
198507;34.5;1
198508;34.3;1
198509;4.6;1
198510;11.1;1
198511;67.4;1
198512;78.5;1
198601;126.6;1
198602;89.7;1
198603;63.6;1
198604;78.6;1
198605;52.4;1
198606;32;1
198607;6.5;1
198608;23.1;1
198609;33.6;1
198610;74.5;1
198611;79.4;1
