# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 85190001
# NOM_USUEL= ROCHESERVIERE
# LATITUDE (°) = 46.957
# LONGITUDE(°)= -1.483
# ALTITUDE (m) = 43
# NUM_SERIE= MRR185190001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;47.6;1
195102;115.9;1
195103;92.5;1
195104;44.6;1
195105;73.9;1
195106;41.6;1
195107;21.6;1
195108;87.8;1
195109;53.5;1
195110;39.1;1
195111;132.5;1
195112;100.3;1
195201;68.5;1
195202;38.6;1
195203;96.1;1
195204;43.9;1
195205;20.1;1
195206;7.8;1
195207;41.8;1
195208;67.9;1
195209;161.1;1
195210;116.8;1
195211;126.8;1
195212;134;1
195301;10.8;1
195302;47;1
195303;5.8;1
195304;80.9;1
195305;17.3;1
195306;57.8;1
195307;62.1;1
195308;28.1;1
195309;65.9;1
195310;70.9;1
195311;24.5;1
195312;22.5;1
195401;45.7;1
195402;64.2;1
195403;101.1;1
195404;34.2;1
195405;16;1
195406;57.9;1
195407;47.3;1
195408;75.8;1
195409;66.9;1
195410;65.2;1
195411;102.8;1
195412;91.4;1
195501;131.2;1
195502;135.4;1
195503;23.3;1
195504;0.6;1
195505;32.9;1
195506;148.6;1
195507;25.5;1
195508;0;1
195509;14.7;1
195510;35.6;1
195511;16.7;1
195512;109.2;1
195601;93.3;1
195602;4.4;1
195603;26.1;1
195604;31.5;1
195605;25.7;1
195606;19;1
195607;69.8;1
195608;136.8;1
195609;70.7;1
195610;32.3;1
195611;16.2;1
195612;106.2;1
195701;40.1;1
195702;179.9;1
195703;31.9;1
195704;29.2;1
195705;34.1;1
195706;80.8;1
195707;74.5;1
195708;48.6;1
195709;82;1
195710;30.7;1
195711;88.2;1
195712;74.3;1
195801;109.2;1
195802;82.6;1
195803;99.6;1
195804;52.7;1
195805;86.4;1
195806;110.3;1
195807;65.9;1
195808;92.2;1
195809;64.2;1
195810;36.3;1
195811;35.1;1
195812;116.3;1
195901;76.7;1
195902;0.9;1
195903;53.5;1
195904;84.1;1
195905;37.4;1
195906;21.9;1
195907;10.1;1
195908;44;1
195909;7.8;1
195910;90.4;1
195911;85.4;1
195912;165.8;1
196001;65.3;1
196002;59.7;1
196003;53.6;1
196004;8.6;1
196005;62;1
196006;27.5;1
196007;56;1
196008;46.2;1
196009;126;1
196010;147.7;1
196011;174.4;1
196012;127.1;1
196101;124.6;1
196102;29.5;1
196103;1.6;1
196104;62.9;1
196105;38;1
196106;31;1
196107;71.6;1
196108;1.5;1
196109;36;1
196110;128.1;1
196111;110;1
196112;126.6;1
196201;88.2;1
196202;20.4;1
196203;87.1;1
196204;28.5;1
196205;64.2;1
196206;2;1
196207;21;1
196208;21.3;1
196209;90.9;1
196210;35.2;1
196211;106.2;1
196212;54.2;1
196301;52;1
196302;47;1
196303;80.8;1
196304;50.1;1
196305;24;1
196306;80.5;1
196307;26.4;1
196308;129.4;1
196309;30.8;1
196310;61.9;1
196311;207.7;1
196312;22.1;1
196401;11.3;1
196402;72.7;1
196403;107.5;1
196404;60.4;1
196405;66;1
196406;57.1;1
196407;23.7;1
196408;13.7;1
196409;33.8;1
196410;86.5;1
196411;43.4;1
196412;73.4;1
196501;118.9;1
196502;0;1
196503;112.7;1
196504;26.6;1
196505;59.2;1
196506;44.7;1
196507;58.4;1
196508;127.7;1
196509;184;1
196510;33.9;1
196511;143.6;1
196512;139;1
196601;75.9;1
196602;86.1;1
196603;24.7;1
196604;94.8;1
196605;66.8;1
196606;71.6;1
196607;31.6;1
196608;54.7;1
196609;21.4;1
196610;198.4;1
196611;100.8;1
196612;130.8;1
196701;46.6;1
196702;80.5;1
196703;74.9;1
196704;16.8;1
196705;102.7;1
196706;39.1;1
196707;2.6;1
196708;60;1
196709;46;1
196710;97.9;1
196711;99.9;1
196712;70.3;1
196801;51.2;1
196802;69.2;1
196803;35.6;1
196804;53.1;1
196805;55.9;1
196806;73.7;1
196807;74.5;1
196808;74.9;1
196809;122.9;1
196810;40.3;1
196811;26.2;1
196812;94.8;1
196901;78.9;1
196902;29.8;1
196903;81.4;1
196904;61.8;1
196905;114.8;1
196906;23.5;1
196907;7.4;1
196908;12.2;1
196909;67.6;1
196910;2.4;1
196911;136.1;1
196912;73.1;1
197001;80.8;1
197002;92;1
197003;46.6;1
197004;40.7;1
197005;19.9;1
197006;26.8;1
197007;23.5;1
197008;91.9;1
197009;37.9;1
197010;24.9;1
197011;136.5;1
197012;25.5;1
197101;104.9;1
197102;35.5;1
197103;39.1;1
197104;29.8;1
197105;109.2;1
197106;87.5;1
197107;22.5;1
197108;43.2;1
197109;77.3;1
197110;21;1
197111;74.2;1
197112;20.5;1
197201;116.2;1
197202;105.2;1
197203;83.4;1
197204;67.1;1
197205;48.1;1
197206;20.2;1
197207;24.8;1
197208;41.9;1
197209;35.1;1
197210;33.4;1
197211;101.4;1
197212;50.9;1
197301;33.5;1
197302;52.6;1
197303;6.1;1
197304;67.8;1
197305;68.8;1
197306;6.1;1
197307;82.5;1
197308;13.7;1
197309;95.5;1
