# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86066001
# NOM_USUEL= CHATELLERAULT
# LATITUDE (°) = 46.814
# LONGITUDE(°)= 0.577
# ALTITUDE (m) = 116
# NUM_SERIE= MRR186066001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 196012
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;8.8;1
195002;77.1;1
195003;17.2;1
195004;65.6;1
195005;70.5;1
195006;37.8;1
195007;30.1;1
195008;59;1
195009;66.7;1
195010;35.8;1
195011;139.9;1
195012;85.6;1
195101;39.7;1
195102;57.3;1
195103;81.5;1
195104;40.7;1
195105;131.1;1
195106;91.3;1
195107;49.5;1
195108;41;1
195109;34.1;1
195110;36.9;1
195111;86.2;1
195112;55.9;1
195201;94.1;1
195202;41.1;1
195203;87.6;1
195204;17.3;1
195205;44.6;1
195206;3.8;1
195207;10.3;1
195208;57.5;1
195209;107.8;1
195210;161.1;1
195211;104.5;1
195212;114.8;1
195301;12.3;1
195302;14.2;1
195303;2.7;1
195304;66.9;1
195305;12.2;1
195306;37.5;1
195307;42.1;1
195308;6;1
195309;91.5;1
195310;75.9;1
195311;25.8;1
195312;20.9;1
195401;29.2;1
195402;55.5;1
195403;114.4;1
195404;13.5;1
195405;30.9;1
195406;48.2;1
195407;19.1;1
195408;63;1
195409;54.9;1
195410;33.2;1
195411;56.6;1
195412;56.1;1
195501;135.3;1
195502;107.8;1
195503;34;1
195504;0;1
195505;36;1
195506;73.7;1
195507;41.2;1
195508;6.4;1
195509;13.1;1
195510;23.7;1
195511;32.5;1
195512;83.4;1
195601;88.3;1
195602;4.2;1
195603;8.5;1
195604;58.7;1
195605;31.5;1
195606;17.3;1
195607;58.8;1
195608;68.7;1
195609;35.3;1
195610;48.3;1
195611;19.7;1
195612;27.5;1
195701;12.1;1
195702;108.3;1
195703;27.1;1
195704;46.4;1
195705;37.9;1
195706;100.7;1
195707;83.9;1
195708;17.1;1
195709;42.7;1
195710;18.4;1
195711;39.8;1
195712;33.7;1
195801;117.1;1
195802;55;1
195803;68.3;1
195804;55.8;1
195805;115.8;1
195806;107.2;1
195807;118.1;1
195808;61.1;1
195809;57;1
195810;48;1
195811;51.6;1
195812;99.9;1
195901;69.5;1
195902;10.3;1
195903;44.2;1
195904;117.1;1
195905;166.2;1
195906;55.8;1
195907;6.7;1
195908;57.2;1
195909;25.1;1
195910;70;1
195911;65.6;1
195912;99.7;1
196001;101.8;1
196002;71.6;1
196003;77.2;1
196004;26.1;1
196005;68.1;1
196006;28.1;1
196007;61;1
196008;106.8;1
196009;57.1;1
196010;182.7;1
196011;88.9;1
196012;139.7;1
196101;128.1;1
196102;34.2;1
196103;4.4;1
196104;49;1
196105;30.9;1
196106;31.1;1
196107;50.4;1
196108;4.1;1
196109;49.5;1
196110;55.8;1
196111;103.1;1
196112;80.9;1
196201;103.5;1
196202;26.8;1
196203;88.7;1
196204;46.7;1
196205;70.5;1
196206;22.4;1
196207;23.7;1
196208;17.9;1
196209;52.4;1
196210;39.4;1
196211;125;1
196212;49.9;1
196301;32.5;1
196302;34.1;1
196303;74;1
196304;61.1;1
196305;30.5;1
196306;95;1
196307;83;1
196308;171.8;1
196309;67;1
196310;36.6;1
196311;89.2;1
196312;30.6;1
196401;12.9;1
196402;64.7;1
196403;69.5;1
196404;66.5;1
196405;74;1
196406;34.2;1
196407;16.2;1
196408;25.5;1
196409;52.9;1
196410;61.8;1
196411;58.2;1
196412;21.4;1
196501;91.8;1
196502;12.1;1
196503;69.1;1
196504;47.7;1
196505;46.8;1
196506;28.8;1
196507;103;1
196508;118.1;1
196509;149.3;1
196510;19.1;1
196511;108.5;1
196512;120.8;1
196601;64.5;1
196602;107.1;1
196603;18.2;1
196604;86.8;1
196605;50.3;1
196606;92.6;1
196607;54;1
196608;65.5;1
196609;22.8;1
196610;119.2;1
196611;109.4;1
196612;83.1;1
196701;36.7;1
196702;51;1
196703;82.5;1
196704;23.6;1
196705;85.3;1
196706;8.9;1
196707;23.8;1
196708;57.4;1
196709;64.5;1
196710;102;1
196711;66;1
196712;56.8;1
196801;50.2;1
196802;53.7;1
196803;56.6;1
196804;84.8;1
196805;25.6;1
196806;45.6;1
196807;90.4;1
196808;137.4;1
196809;86.9;1
196810;64.9;1
196811;33.4;1
196812;75.3;1
196901;59.7;1
196902;43.4;1
196903;79.6;1
196904;29.2;1
196905;75.9;1
196906;56.6;1
196907;49.2;1
196908;27.2;1
196909;68.5;1
196910;6.9;1
196911;154;1
196912;70.9;1
197001;59.9;1
197002;121.4;1
197003;76.9;1
197004;58.8;1
197005;36.8;1
197006;119.6;1
197007;25.8;1
197008;76.9;1
197009;26.4;1
197010;46.3;1
197011;112.9;1
197012;11.3;1
197101;57.8;1
197102;45.8;1
197103;34.9;1
197104;46;1
197105;138.2;1
197106;55.6;1
197107;73.7;1
197108;75.5;1
197109;58.6;1
197110;0;1
197111;69.8;1
197112;18.5;1
197201;68.8;1
197202;80.2;1
197203;51.2;1
197204;51;1
197205;60.9;1
197206;38.5;1
197207;9;1
197208;47.2;1
197209;32.6;1
197210;21.9;1
197211;85.6;1
197212;33.7;1
197301;51.5;1
197302;58.7;1
197303;9;1
197304;23.8;1
197305;64.7;1
197306;40.2;1
197307;93.8;1
197308;91.6;1
197309;39;1
197310;46.2;1
197311;32.5;1
197312;79.8;1
197401;57.2;1
197402;46;1
197403;43.7;1
197404;29.1;1
197405;36.5;1
197406;31.6;1
