# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86139001
# NOM_USUEL= LUSIGNAN-INRA
# LATITUDE (°) = 46.418
# LONGITUDE(°)= 0.119
# ALTITUDE (m) = 152
# NUM_SERIE= MRR186139001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 199502 200706
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;22.1;1
195002;151.9;1
195003;53.2;1
195004;57;1
195005;63.5;1
195006;21;1
195007;55.4;1
195008;61.7;1
195009;86.7;1
195010;36;1
195011;168.1;1
195012;126.3;1
195101;63.4;1
195102;106.7;1
195103;111.8;1
195104;60.2;1
195105;115.7;1
195106;104.1;1
195107;31.1;1
195108;54.2;1
195109;42.6;1
195110;47.7;1
195111;77.5;1
195112;96.1;1
195201;79.6;1
195202;53.3;1
195203;81.2;1
195204;33.6;1
195205;39.1;1
195206;17.7;1
195207;15.9;1
195208;78.3;1
195209;132;1
195210;132.1;1
195211;108.5;1
195212;137.9;1
195301;19.9;1
195302;48.9;1
195303;0.4;1
195304;64.7;1
195305;17.9;1
195306;35.1;1
195307;74.8;1
195308;25.2;1
195309;71.7;1
195310;79.1;1
195311;24.4;1
195312;6.8;1
195401;50.7;1
195402;77.5;1
195403;107.1;1
195404;13.5;1
195405;28.2;1
195406;71.6;1
195407;24.7;1
195408;54.5;1
195409;41.2;1
195410;51;1
195411;83.2;1
195412;78.7;1
195501;208.1;1
195502;183.4;1
195503;52.3;1
195504;0.7;1
195505;48.2;1
195506;98.6;1
195507;74;1
195508;10.4;1
195509;10.4;1
195510;30.3;1
195511;35.5;1
195512;134.9;1
195601;100.7;1
195602;5.4;1
195603;28.6;1
195604;73;1
195605;30.6;1
195606;25.5;1
195607;32.7;1
195608;82.7;1
195609;40;1
195610;45.6;1
195611;16;1
195612;46.5;1
195701;35.6;1
195702;179.2;1
195703;44.7;1
195704;46.2;1
195705;40.2;1
195706;51;1
195707;50.5;1
195708;35;1
195709;43.4;1
195710;19.7;1
195711;57.6;1
195712;60.2;1
195801;160.1;1
195802;67.9;1
195803;86.5;1
195804;52.7;1
195805;96.8;1
195806;94.2;1
195807;115.8;1
195808;81.8;1
195809;71.1;1
195810;59.2;1
195811;63.1;1
195812;171.7;1
195901;98.1;1
195902;13.4;1
195903;51.7;1
195904;115.6;1
195905;52.7;1
195906;41.5;1
195907;7.2;1
195908;38.3;1
195909;10.7;1
195910;90.7;1
195911;69.3;1
195912;189.7;1
196001;98.2;1
196002;71.6;1
196003;78.2;1
196004;31;1
196005;66.3;1
196006;31.2;1
196007;82.4;1
196008;67.9;1
196009;54.3;1
196010;162.6;1
196011;119.3;1
196012;120.5;1
196101;182.6;1
196102;45.8;1
196103;0.4;1
196104;76.5;1
196105;64.7;1
196106;50.9;1
196107;66.1;1
196108;12.6;1
196109;33.8;1
196110;83.4;1
196111;127.5;1
196112;155;1
196201;138.4;1
196202;22;1
196203;98.4;1
196204;46.8;1
196205;69.7;1
196206;15.7;1
196207;65.6;1
196208;7.6;1
196209;56.6;1
196210;33;1
196211;107.7;1
196212;58.7;1
196301;47.6;1
196302;69.7;1
196303;112.7;1
196304;96.8;1
196305;35.4;1
196306;124.5;1
196307;13.9;1
196308;172;1
196309;103.6;1
196310;38.5;1
196311;165.5;1
196312;28.5;1
196401;11.9;1
196402;67.8;1
196403;58.2;1
196404;86.1;1
196405;168.1;1
196406;41.3;1
196407;15.1;1
196408;20.5;1
196409;55.7;1
196410;148.6;1
196411;50.5;1
196412;32.9;1
196501;140.6;1
196502;3.6;1
196503;95.7;1
196504;37.1;1
196505;50.4;1
196506;21.4;1
196507;77.4;1
196508;78.5;1
196509;171.8;1
196510;11.7;1
196511;155.5;1
196512;175.3;1
196601;94.2;1
196602;177;1
196603;44.5;1
196604;93.2;1
196605;76.6;1
196606;70.8;1
196607;46.6;1
196608;80.4;1
196609;45.4;1
196610;123.3;1
196611;171.1;1
196612;143.8;1
196701;53;1
196702;85.8;1
196703;66.1;1
196704;47.1;1
196705;126.4;1
196706;21.7;1
196707;15.4;1
196708;57.7;1
196709;68.1;1
196710;96.6;1
196711;74.6;1
196712;65.7;1
196801;67.2;1
196802;66.8;1
196803;63.3;1
196804;110.1;1
196805;33.7;1
196806;38;1
196807;87.6;1
196808;113.1;1
196809;128.4;1
196810;92.6;1
196811;23.2;1
196812;94.7;1
196901;72.1;1
196902;37.3;1
196903;74.8;1
196904;66.1;1
196905;126.1;1
196906;58;1
196907;60.7;1
196908;38;1
196909;202.6;1
196910;5.9;1
196911;166.2;1
196912;58.5;1
197001;82.9;1
197002;114.6;1
197003;72.6;1
197004;66.2;1
197005;16.7;1
197006;81.8;1
197007;25;1
197008;85.1;1
197009;31.6;1
197010;46.7;1
197011;136.1;1
197012;16.3;1
197101;94.4;1
197102;45;1
197103;39.4;1
197104;51.4;1
197105;103.3;1
197106;86.1;1
197107;41.9;1
197108;75.1;1
197109;74.2;1
197110;14.1;1
197111;70.1;1
197112;23.5;1
197201;69.2;1
197202;77.4;1
197203;54.2;1
197204;61.8;1
197205;73.1;1
197206;56.8;1
197207;12.5;1
197208;53.7;1
197209;15.6;1
197210;33.7;1
197211;132.4;1
197212;32.3;1
197301;57.9;1
197302;72.4;1
197303;6.8;1
197304;30.6;1
197305;107.1;1
197306;44.5;1
197307;69.7;1
197308;64.3;1
197309;63.9;1
197310;68.7;1
197311;38.1;1
197312;102.1;1
197401;91.2;1
197402;70.9;1
197403;42.2;1
197404;22.8;1
197405;66;1
197406;26.5;1
197407;15.7;1
197408;53.5;1
197409;92.5;1
197410;76;1
197411;90;1
197412;24.9;1
197501;90.3;1
197502;6.1;1
197503;81.1;1
197504;35.4;1
197505;75.3;1
197506;10.6;1
197507;29;1
197508;47;1
197509;133.5;1
197510;43;1
197511;76.7;1
197512;49.4;1
197601;12.9;1
197602;61.2;1
197603;40.1;1
197604;21.5;1
197605;26.9;1
197606;3;1
197607;38.4;1
197608;36.2;1
197609;130.1;1
197610;72.5;1
197611;160;1
197612;103.4;1
197701;121.5;1
197702;214.6;1
197703;52.3;1
197704;46.2;1
197705;168.9;1
197706;81.1;1
197707;37.7;1
197708;58;1
197709;10.3;1
197710;49.1;1
197711;66.1;1
197712;72.5;1
197801;148.6;1
197802;93.8;1
197803;125.6;1
197804;77.5;1
197805;52.8;1
197806;61.9;1
197807;36.9;1
197808;15.1;1
197809;29.2;1
197810;3.5;1
197811;25.8;1
197812;167.8;1
197901;100.5;1
197902;133.7;1
197903;148.4;1
197904;94.6;1
197905;131.5;1
197906;33.2;1
197907;50.7;1
197908;37.6;1
197909;63.9;1
197910;67.7;1
197911;46.8;1
197912;171.3;1
198001;114.4;1
198002;45.8;1
198003;129.3;1
198004;12.7;1
198005;50;1
198006;71.5;1
198007;64.9;1
198008;13.1;1
198009;47.6;1
198010;93.9;1
198011;44.5;1
198012;61.4;1
198101;59.7;1
198102;50.5;1
198103;96.8;1
198104;16.4;1
198105;179.4;1
198106;82.4;1
198107;54.1;1
198108;38.8;1
198109;50.4;1
198110;203.2;1
198111;17.9;1
198112;149.6;1
198201;83.8;1
198202;32.4;1
198203;48.6;1
198204;4.6;1
198205;47.8;1
198206;73.3;1
198207;46.4;1
198208;78.2;1
198209;72.9;1
198210;144.8;1
198211;76.5;1
198212;211.5;1
198301;46;1
198302;62.2;1
198303;51.5;1
198304;203.8;1
198305;141.6;1
198306;10.6;1
198307;68.6;1
198308;115.4;1
198309;59.7;1
198310;46.8;1
198311;52.2;1
198312;61.5;1
198401;172;1
198402;45.2;1
198403;87.7;1
198404;6.7;1
198405;83.3;1
198406;22.3;1
198407;46.5;1
198408;65.8;1
198409;82.3;1
198410;99.2;1
198411;176.3;1
198412;50.8;1
198501;57;1
198502;74.7;1
198503;56.3;1
198504;96.4;1
198505;120.3;1
198506;59.1;1
198507;46.3;1
198508;30.8;1
198509;4.3;1
198510;7.8;1
198511;70.4;1
198512;93.8;1
198601;131.3;1
198602;102.7;1
198603;85.9;1
198604;110.8;1
198605;54.3;1
198606;18.2;1
198607;18.6;1
198608;30;1
198609;49.1;1
198610;83.4;1
198611;64.4;1
198612;66.6;1
198701;28;1
198702;31.1;1
198703;48.8;1
198704;45.8;1
198705;31.8;1
198706;81.4;1
198707;78;1
198708;76.4;1
198709;61.8;1
198710;194.3;1
198711;96.4;1
198712;58;1
198801;217.5;1
198802;130.1;1
198803;76;1
198804;75.6;1
198805;125.8;1
198806;75.5;1
198807;59.7;1
198808;18;1
198809;27.8;1
198810;45.4;1
198811;37.9;1
198812;25;1
198901;45.9;1
198902;49.4;1
198903;56.8;1
198904;136.6;1
198905;16;1
198906;27.9;1
198907;63.3;1
198908;20.9;1
198909;12;1
198910;23.4;1
198911;47.4;1
198912;77.8;1
199001;79.3;1
199002;104.6;1
199003;1;1
199004;68.8;1
199005;37.9;1
199006;35.4;1
199007;41.4;1
199008;33.4;1
199009;30.4;1
199010;146.6;1
199011;59.8;1
199012;61.3;1
199101;93.3;1
199102;39.4;1
199103;76.8;1
199104;38.9;1
199105;20.2;1
199106;52.9;1
199107;42.4;1
199108;20.9;1
199109;96.7;1
199110;64.3;1
199111;112.2;1
199112;11.5;1
199201;15.5;1
199202;34.4;1
199203;53.9;1
199204;84.3;1
199205;32.4;1
199206;116.7;1
199207;39.9;1
199208;103.7;1
199209;34.9;1
199210;120.2;1
199211;127.7;1
199212;100.7;1
199301;36.9;1
199302;10;1
199303;8;1
199304;106.2;1
199305;84.8;1
199306;120.2;1
199307;27.4;1
199308;32.4;1
199309;136.6;1
199310;115.7;1
199311;24.9;1
199312;154.1;1
199401;154.1;1
199402;90.8;1
199403;36.4;1
199404;73.8;1
199405;55.4;1
199406;82.8;1
199407;41.4;1
199408;70.3;1
199409;175;1
199410;64.3;1
199411;69.3;1
199412;116.7;1
199501;144.6;1
199502;97.2;1
199503;104;1
199504;34.5;1
199505;72.7;1
199506;20.7;1
199507;51;1
199508;12.7;1
199509;100.9;1
199510;21.8;1
199511;108.8;1
199512;130.1;1
199601;110.4;1
199602;56.8;1
199603;29.2;1
199604;23.9;1
199605;113.1;1
199606;18;1
199607;26;1
199608;51.5;1
199609;56.3;1
199610;38.8;1
199611;160.3;1
199612;74.4;1
199701;39.6;1
199702;112.6;1
199703;4.5;1
199704;12.2;1
199705;114.7;1
199706;99.3;1
199707;37.2;1
199708;62.6;1
199709;92.9;1
199710;73.8;1
199711;113.1;1
199712;80.2;1
199801;108.3;1
199802;12.2;1
199803;35;1
199804;168.8;1
199805;21.8;1
199806;54.1;1
199807;59.5;1
199808;19.1;1
199809;75.9;1
