# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 87089003
# NOM_USUEL= MAGNAC-LAVAL
# LATITUDE (°) = 46.21
# LONGITUDE(°)= 1.187
# ALTITUDE (m) = 246
# NUM_SERIE= MRR187089003
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195601 202112
# Date(s) de rupture(s) d'homogénéité : 197001 197612 199512
#     Periode homogénéisée  195601 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;98.2;1
195602;20.6;1
195603;14.3;1
195604;63.6;1
195605;64.7;1
195606;38.9;1
195607;80.6;1
195608;75.7;1
195609;51.4;1
195610;38;1
195611;39.6;1
195612;42.7;1
195701;36.5;1
195702;157.1;1
195703;24.8;1
195704;32.9;1
195705;38.2;1
195706;78.7;1
195707;123.5;1
195708;50.3;1
195709;55.6;1
195710;58.8;1
195711;49.7;1
195712;48.3;1
195801;123.8;1
195802;70.6;1
195803;81.5;1
195804;46.3;1
195805;126;1
195806;118.7;1
195807;158.1;1
195808;83.9;1
195809;60.1;1
195810;74.2;1
195811;108.8;1
195812;130.5;1
195901;81.8;1
195902;16.6;1
195903;45.8;1
195904;90.8;1
195905;53.7;1
195906;59.6;1
195907;26;1
195908;59.4;1
195909;46.6;1
195910;56.1;1
195911;54.7;1
195912;124.9;1
196001;82.8;1
196002;79;1
196003;88;1
196004;22.3;1
196005;46.7;1
196006;60.2;1
196007;57.3;1
196008;88;1
196009;112.8;1
196010;196.9;1
196011;103.5;1
196012;135.5;1
196101;118.5;1
196102;44.8;1
196103;8.5;1
196104;59;1
196105;70.2;1
196106;45.9;1
196107;135.1;1
196108;98.6;1
196109;84.8;1
196110;55.3;1
196111;106.6;1
196112;123.6;1
196201;117.9;1
196202;46.6;1
196203;120.2;1
196204;50.8;1
196205;107.1;1
196206;7.3;1
196207;43.8;1
196208;13.7;1
196209;42.4;1
196210;41.6;1
196211;186.5;1
196212;65.5;1
196301;42.2;1
196302;90;1
196303;101.8;1
196304;56.8;1
196305;55.5;1
196306;102.2;1
196307;29.9;1
196308;158.9;1
196309;61.4;1
196310;36.9;1
196311;89.1;1
196312;42.1;1
196401;21.2;1
196402;77.7;1
196403;83.7;1
196404;112.5;1
196405;85.1;1
196406;37;1
196407;10.5;1
196408;22.3;1
196409;64.7;1
196410;93.1;1
196411;52.5;1
196412;38.7;1
196501;84.8;1
196502;7.9;1
196503;77.2;1
196504;64.2;1
196505;75.2;1
196506;23;1
196507;81.2;1
196508;110.8;1
196509;275.9;1
196510;15.6;1
196511;117.7;1
196512;144.7;1
196601;91;1
196602;139.6;1
196603;47.7;1
196604;64.6;1
196605;53.2;1
196606;67.6;1
196607;34.9;1
196608;45.2;1
196609;6.6;1
196610;109.6;1
196611;71.8;1
196612;117.7;1
196701;31.2;1
196702;62.8;1
196703;62.9;1
196704;16.4;1
196705;96.9;1
196706;30.1;1
196707;2.6;1
196708;33.6;1
196709;79.2;1
196710;89.5;1
196711;66;1
196712;84;1
196801;81.4;1
196802;73.1;1
196803;43.4;1
196804;94.4;1
196805;70.4;1
196806;28.9;1
196807;111;1
196808;171.6;1
196809;97.5;1
196810;46.4;1
196811;33.7;1
196812;107.1;1
196901;44.7;1
196902;44;1
196903;58.3;1
196904;56.5;1
196905;109.7;1
196906;58.5;1
196907;11.4;1
196908;49.4;1
196909;104.3;1
196910;1.1;1
196911;151.8;1
196912;78.4;1
197001;77.5;1
197002;95.1;1
197003;57.4;1
197004;80.8;1
197005;20.3;1
197006;80;1
197007;24.1;1
197008;54.8;1
197009;29.6;1
197010;39.9;1
197011;63.5;1
197012;16.5;1
197101;96.1;1
197102;45.6;1
197103;54.1;1
197104;43.5;1
197105;167.9;1
197106;75.4;1
197107;48.1;1
197108;94;1
197109;49.3;1
197110;28.5;1
197111;70.7;1
197112;13.3;1
197201;53.6;1
197202;87.9;1
197203;47.6;1
197204;50.5;1
197205;39.6;1
197206;42;1
197207;29.8;1
197208;98.6;1
197209;17.7;1
197210;25.4;1
197211;136.5;1
197212;27.7;1
197301;65.6;1
197302;67.9;1
197303;16.7;1
197304;36.2;1
197305;80.5;1
197306;43.2;1
197307;78.3;1
197308;47.8;1
197309;66.5;1
197310;91.5;1
197311;53.5;1
197312;91.2;1
197401;66;1
197402;69.7;1
197403;108.6;1
197404;45.6;1
197405;51.5;1
197406;45.4;1
197407;15.2;1
197408;45.9;1
197409;107.1;1
197410;114.3;1
197411;99.9;1
197412;33;1
197501;77.7;1
197502;8.9;1
197503;69.6;1
197504;60.8;1
197505;91.3;1
197506;38.2;1
197507;46.2;1
197508;57.3;1
197509;176.4;1
197510;12.1;1
197511;111;1
197512;46;1
197601;18;1
197602;55.9;1
197603;35.5;1
197604;41.1;1
197605;35.7;1
197606;0;1
197607;63.5;1
197608;27.4;1
197609;85.8;1
197610;122.6;1
197611;148;1
197612;100.2;1
197701;67.6;1
