# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 87103002
# NOM_USUEL= NANTIAT
# LATITUDE (°) = 46.005
# LONGITUDE(°)= 1.181
# ALTITUDE (m) = 335
# NUM_SERIE= MRR187103002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195401 202112
# Date(s) de rupture(s) d'homogénéité : 198812
#     Periode homogénéisée  195401 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;70;1
195402;117.6;1
195403;163.1;1
195404;8.3;1
195405;42.4;1
195406;53.1;1
195407;49.8;1
195408;154.3;1
195409;62.4;1
195410;79.2;1
195411;101.4;1
195412;92.5;1
195501;288.3;1
195502;155.8;1
195503;31.5;1
195504;1;1
195505;45.5;1
195506;136.6;1
195507;90.6;1
195508;28.7;1
195509;26.1;1
195510;58.4;1
195511;36;1
195512;165.2;1
195601;138.2;1
195602;38.7;1
195603;12.4;1
195604;80.9;1
195605;85.4;1
195606;100;1
195607;82;1
195608;105.7;1
195609;64.1;1
195610;38.2;1
195611;53.9;1
195612;60.7;1
195701;39.3;1
195702;230.4;1
195703;47.2;1
195704;49.5;1
195705;34.8;1
195706;97.3;1
195707;86.5;1
195708;66.3;1
195709;87.7;1
195710;86.8;1
195711;58.4;1
195712;81.1;1
195801;124.8;1
195802;100.5;1
195803;118;1
195804;60.7;1
195805;142.7;1
195806;176.5;1
195807;220.3;1
195808;135.4;1
195809;36.2;1
195810;68;1
195811;101.2;1
195812;184.3;1
195901;121.6;1
195902;12.6;1
195903;61.5;1
195904;138.1;1
195905;90.1;1
195906;42.7;1
195907;4.5;1
195908;83.7;1
195909;60.7;1
195910;75.3;1
195911;77.6;1
195912;220.9;1
196001;128.7;1
196002;95.5;1
196003;87.1;1
196004;16.5;1
196005;71;1
196006;76.4;1
196007;97.2;1
196008;95;1
196009;163.5;1
196010;268.6;1
196011;119.1;1
196012;133.2;1
196101;169.7;1
196102;60.7;1
196103;7.4;1
196104;102.8;1
196105;91.7;1
196106;62.9;1
196107;151.7;1
196108;34.3;1
196109;104.5;1
196110;94.6;1
196111;140.5;1
196112;191.1;1
196201;173.1;1
196202;50.6;1
196203;203.4;1
196204;83.2;1
196205;116.9;1
196206;28.7;1
196207;63.5;1
196208;18.5;1
196209;59.6;1
196210;61.8;1
196211;218.6;1
196212;96.1;1
196301;36.5;1
196302;100;1
196303;160.7;1
196304;53.4;1
196305;56.8;1
196306;124.2;1
196307;33.7;1
196308;191.6;1
196309;118.6;1
196310;54.5;1
196311;132.6;1
196312;48.3;1
196401;28.5;1
196402;85;1
196403;92.6;1
196404;125.3;1
196405;117.5;1
196406;47.2;1
196407;12.4;1
196408;53.9;1
196409;91;1
196410;121.4;1
196411;68;1
196412;53.9;1
196501;146.1;1
196502;8.4;1
196503;121.4;1
196504;80.4;1
196505;92.2;1
196506;43.8;1
196507;93.9;1
196508;106.6;1
196509;300.7;1
196510;14.6;1
196511;155.1;1
196512;236.6;1
196601;157.9;1
196602;188.3;1
196603;58.4;1
196604;80.4;1
196605;70.8;1
196606;85.3;1
196607;69.3;1
196608;76.4;1
196609;24.5;1
196610;174;1
196611;108.3;1
196612;162.4;1
196701;54.2;1
196702;107.7;1
196703;72.4;1
196704;15.7;1
196705;148.7;1
196706;30.6;1
196707;8.7;1
196708;49;1
196709;71.6;1
196710;115.1;1
196711;91.6;1
196712;108.1;1
196801;127.1;1
196802;90;1
196803;47.9;1
196804;109.9;1
196805;82.4;1
196806;43.6;1
196807;75.8;1
196808;110.7;1
196809;146.2;1
196810;52.6;1
196811;33.2;1
196812;138.8;1
196901;61.5;1
196902;53.8;1
196903;81.7;1
196904;92.7;1
196905;108.6;1
196906;102.8;1
196907;30.7;1
196908;32.6;1
196909;126.1;1
196910;3.1;1
196911;199.8;1
196912;93.9;1
197001;137.9;1
197002;198.7;1
197003;90.1;1
197004;104;1
197005;44.6;1
197006;98.1;1
197007;31;1
197008;114.4;1
197009;38.4;1
197010;58.8;1
197011;119.5;1
197012;23.4;1
197101;157.1;1
197102;58.8;1
197103;69.1;1
197104;60.1;1
197105;144.7;1
197106;90.8;1
197107;67.5;1
197108;124;1
197109;47.8;1
197110;33.5;1
197111;121.7;1
197112;13.9;1
197201;99.5;1
197202;107.5;1
197203;85;1
197204;72.2;1
197205;53.8;1
197206;33.3;1
197207;38.9;1
197208;109;1
197209;28.3;1
197210;40.9;1
197211;194.1;1
197212;44.1;1
197301;96.4;1
197302;83.7;1
197303;21;1
197304;45.9;1
197305;95.1;1
197306;75.5;1
197307;83.5;1
197308;42.9;1
197309;89.8;1
197310;119.8;1
197311;78.8;1
197312;106.3;1
197401;97.2;1
197402;101.6;1
197403;140.8;1
197404;50.7;1
197405;51.4;1
197406;66.3;1
197407;27.6;1
197408;87.4;1
197409;127.7;1
197410;142.1;1
197411;130.5;1
197412;68.4;1
197501;130.8;1
197502;11.4;1
197503;113.4;1
197504;89.7;1
197505;88.2;1
197506;34.3;1
197507;37.5;1
197508;54.2;1
197509;212.4;1
197510;45;1
197511;186.8;1
197512;67.3;1
197601;22;1
197602;62.8;1
197603;42.7;1
197604;43.5;1
197605;124.6;1
197606;0;1
197607;122.7;1
197608;72;1
197609;148.5;1
197610;154;1
197611;164.5;1
197612;141.5;1
197701;106;1
197702;198.6;1
197703;106.3;1
197704;87.4;1
197705;139.5;1
197706;125;1
197707;126.3;1
197708;95.4;1
197709;6.9;1
197710;107.2;1
197711;81;1
197712;95;1
197801;148.1;1
197802;78.1;1
197803;170.6;1
197804;97;1
197805;65.6;1
197806;32.7;1
197807;102.3;1
197808;16.4;1
197809;63.5;1
197810;18.4;1
197811;14.4;1
197812;183;1
197901;92.5;1
197902;131.2;1
197903;221.8;1
197904;134.4;1
197905;103.3;1
197906;88.3;1
197907;56.8;1
197908;60.6;1
197909;20.9;1
197910;78.9;1
197911;77.6;1
197912;203;1
198001;127;1
198002;79.2;1
198003;113;1
198004;11.2;1
198005;81.1;1
198006;70.1;1
198007;75.9;1
198008;49.2;1
198009;71.4;1
198010;141.8;1
198011;45.9;1
198012;96.1;1
198101;142.5;1
198102;54.1;1
198103;129.5;1
198104;18.8;1
198105;212.3;1
198106;133.6;1
198107;90.3;1
198108;36.3;1
198109;99.6;1
198110;166.2;1
198111;31;1
198112;216.7;1
198201;130.6;1
198202;49.1;1
198203;104.1;1
198204;14.4;1
198205;85.1;1
198206;68.7;1
198207;83.6;1
198208;39.7;1
198209;63.8;1
198210;145.7;1
198211;81.9;1
198212;228.8;1
198301;56.4;1
198302;91;1
198303;70.9;1
198304;196;1
198305;151.2;1
198306;35.3;1
198307;35.7;1
198308;80.9;1
198309;70.6;1
198310;56.9;1
198311;84.4;1
198312;125.1;1
198401;202.8;1
198402;72.8;1
198403;72.7;1
198404;10.3;1
198405;136.6;1
198406;110.1;1
198407;42.4;1
198408;139.1;1
198409;108.6;1
198410;104.5;1
198411;184.3;1
198412;70.6;1
198501;98.9;1
198502;85.8;1
198503;73.6;1
198504;82;1
198505;178.4;1
198506;92.4;1
198507;32;1
198508;30.8;1
198509;5.8;1
198510;5.2;1
198511;90.1;1
198512;91;1
198601;186.7;1
198602;76.4;1
198603;95.9;1
198604;203.5;1
198605;82.5;1
198606;41.8;1
198607;17.3;1
198608;47.9;1
198609;148;1
198610;99.5;1
198611;115.1;1
198612;112.3;1
198701;43.5;1
198702;62.4;1
198703;75.6;1
198704;37.9;1
198705;64.7;1
198706;111.5;1
198707;112.8;1
198708;35.6;1
198709;70.4;1
198710;210.3;1
198711;112.7;1
198712;50.7;1
198801;198.6;1
198802;123.3;1
198803;148.6;1
198804;90.5;1
198805;109.7;1
198806;142.3;1
198807;64.2;1
198808;6.2;1
198809;68.4;1
198810;56.4;1
198811;46.4;1
198812;57.5;1
198901;39;1
198902;86;1
198903;59.5;1
198904;118.9;1
198905;74.4;1
198906;55.1;1
198907;53.7;1
198908;81.1;1
198909;9;1
198910;31;1
198911;49.5;1
198912;98.6;1
199001;119.8;1
199002;187.3;1
199003;20;1
199004;61.7;1
199005;71.4;1
199006;60.6;1
199007;43.5;1
199008;40;1
199009;31.6;1
199010;159.3;1
199011;83.9;1
199012;53.3;1
199101;73.5;1
199102;58.5;1
199103;58.6;1
199104;58.8;1
199105;31.6;1
199106;73.6;1
199107;99.5;1
199108;21.4;1
199109;72;1
199110;109.1;1
199111;143.2;1
199112;36.9;1
199201;33.1;1
199202;40.6;1
199203;86.7;1
199204;51.2;1
199205;33.6;1
199206;126.8;1
199207;51.2;1
199208;140.9;1
199209;77.8;1
199210;172.2;1
199211;158.3;1
199212;118;1
199301;35.5;1
199302;7;1
199303;22.8;1
