# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88383001
# NOM_USUEL= REMIREMONT
# LATITUDE (°) = 48.019
# LONGITUDE(°)= 6.591
# ALTITUDE (m) = 384
# NUM_SERIE= MRR188383001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 195212 201312
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;83.8;1
195002;314.1;1
195003;28.9;1
195004;213.9;1
195005;108.3;1
195006;90;1
195007;126.7;1
195008;125.2;1
195009;116.8;1
195010;42.4;1
195011;390.6;1
195012;154.4;1
195101;174.5;1
195102;184.7;1
195103;196.5;1
195104;120.6;1
195105;152.1;1
195106;210.9;1
195107;93.9;1
195108;128.8;1
195109;104;1
195110;53.8;1
195111;246.4;1
195112;140.4;1
195201;237.1;1
195202;108.7;1
195203;214.8;1
195204;58.9;1
195205;54.5;1
195206;97.8;1
195207;13.2;1
195208;84.6;1
195209;215.2;1
195210;305.6;1
195211;270.2;1
195212;214.2;1
195301;33;1
195302;119;1
195303;8.5;1
195304;64.1;1
195305;50.2;1
195306;276.8;1
195307;206;1
195308;45.3;1
195309;123;1
195310;41.2;1
195311;32.9;1
195312;34.5;1
195401;126.4;1
195402;88.7;1
195403;77.4;1
195404;91.7;1
195405;114.2;1
195406;69.8;1
195407;85.9;1
195408;220.3;1
195409;203.7;1
195410;125.7;1
195411;125.2;1
195412;225.5;1
195501;264.6;1
195502;171.2;1
195503;94.2;1
195504;22;1
195505;160.2;1
195506;168.7;1
195507;185.1;1
195508;67.4;1
195509;105;1
195510;91.9;1
195511;24.7;1
195512;221.8;1
195601;170.5;1
195602;27.6;1
195603;87.7;1
195604;136.7;1
195605;127.1;1
195606;121.3;1
195607;176.5;1
195608;217.7;1
195609;101.4;1
195610;167.4;1
195611;124.4;1
195612;65.9;1
195701;68.7;1
195702;295;1
195703;99.2;1
195704;46.5;1
195705;59.2;1
195706;167.2;1
195707;249.5;1
195708;139.9;1
195709;164.6;1
195710;28.8;1
195711;47.2;1
195712;107;1
195801;238.3;1
195802;357.9;1
195803;67.4;1
195804;82.5;1
195805;171;1
195806;142.2;1
195807;152.6;1
195808;191.2;1
195809;115.7;1
195810;104.5;1
195811;72.1;1
195812;274.8;1
195901;225.8;1
195902;9.7;1
195903;83.7;1
195904;182.2;1
195905;45;1
195906;80.5;1
195907;49.3;1
195908;112.6;1
195909;2.8;1
195910;75.5;1
195911;76.4;1
195912;225.4;1
196001;128.6;1
196002;209.1;1
196003;72.9;1
196004;36.9;1
196005;82.1;1
196006;159.9;1
196007;130.9;1
196008;260.4;1
196009;127.3;1
196010;175.1;1
196011;191.1;1
196012;138.9;1
196101;238.6;1
196102;143.7;1
196103;47.3;1
196104;85.8;1
196105;122.7;1
196106;127.3;1
196107;165;1
196108;103.8;1
196109;59.9;1
196110;183.6;1
196111;139.2;1
196112;247.8;1
196201;207.8;1
196202;139.6;1
196203;233.6;1
196204;138;1
196205;145.9;1
