# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88408002
# NOM_USUEL= RUPT-SUR-MOSELLE
# LATITUDE (°) = 47.918
# LONGITUDE(°)= 6.663
# ALTITUDE (m) = 427
# NUM_SERIE= MRR188408002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 195312
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;84.9;1
195002;317.2;1
195003;25;1
195004;219.6;1
195005;113.8;1
195006;79.1;1
195007;97.2;1
195008;133.6;1
195009;150.1;1
195010;55.6;1
195011;506.4;1
195012;204.3;1
195101;227.3;1
195102;177.7;1
195103;241.8;1
195104;121.6;1
195105;111.8;1
195106;201;1
195107;52;1
195108;131.8;1
195109;93.6;1
195110;42.7;1
195111;262;1
195112;161.9;1
195201;321.6;1
195202;131.4;1
195203;229.8;1
195204;57.5;1
195205;57.7;1
195206;62.7;1
195207;16.8;1
195208;89.7;1
195209;271.3;1
195210;363.8;1
195211;336.5;1
195212;280.1;1
195301;41.2;1
195302;143.5;1
195303;12.8;1
195304;82.4;1
195305;95.4;1
195306;204.3;1
195307;199.3;1
195308;47.1;1
195309;99.3;1
195310;85.7;1
195311;29;1
195312;52.6;1
195401;170.7;1
195402;116.4;1
195403;76.9;1
195404;77.2;1
195405;83.2;1
195406;66.9;1
195407;73.4;1
195408;279.6;1
195409;245.4;1
195410;147.2;1
195411;142.9;1
195412;327.8;1
195501;370.5;1
195502;214.9;1
195503;114.6;1
195504;28.6;1
195505;172.2;1
195506;171.6;1
195507;143.8;1
195508;54.6;1
195509;93.1;1
195510;89.4;1
195511;30.1;1
195512;343.4;1
195601;199.8;1
195602;32.4;1
195603;129.5;1
195604;127.2;1
195605;116.3;1
195606;143.3;1
195607;171.2;1
195608;254.8;1
195609;116.5;1
195610;174.2;1
195611;159.8;1
195612;106.1;1
195701;114;1
195702;358.1;1
195703;121.1;1
195704;27.8;1
195705;47.6;1
195706;155.9;1
195707;184.3;1
195708;159.4;1
195709;197.7;1
195710;37.2;1
195711;43.7;1
195712;124.6;1
195801;289.1;1
195802;497.4;1
195803;111.3;1
195804;90.6;1
195805;167.7;1
195806;142.3;1
195807;121.2;1
195808;192.1;1
195809;142.1;1
195810;132.5;1
195811;80.5;1
195812;244.8;1
195901;335;1
195902;19.5;1
195903;105.8;1
195904;190.6;1
195905;89.8;1
195906;98.7;1
195907;66;1
195908;83.5;1
195909;16.2;1
195910;67.2;1
195911;68.3;1
195912;252.9;1
196001;155.2;1
196002;235.5;1
196003;100.9;1
196004;29.3;1
196005;53.3;1
