# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 89003001
# NOM_USUEL= AILLANT
# LATITUDE (°) = 47.871
# LONGITUDE(°)= 3.352
# ALTITUDE (m) = 124
# NUM_SERIE= MRR189003001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;82.2;1
195202;63.2;1
195203;89.3;1
195204;17.1;1
195205;69.5;1
195206;27.7;1
195207;37.7;1
195208;57.4;1
195209;108.8;1
195210;112.9;1
195211;116.9;1
195212;109;1
195301;12.9;1
195302;56.1;1
195303;2;1
195304;57.2;1
195305;48.6;1
195306;139.3;1
195307;42.6;1
195308;28.6;1
195309;30.9;1
195310;49;1
195311;14.6;1
195312;18.3;1
195401;39.9;1
195402;70.2;1
195403;52.4;1
195404;13.8;1
195405;39.3;1
195406;43.6;1
195407;38.8;1
195408;111.3;1
195409;56;1
195410;40.7;1
195411;38.5;1
195412;72.5;1
195501;134.1;1
195502;98.8;1
195503;53.3;1
195504;2.1;1
195505;33;1
195506;96;1
195507;89.6;1
195508;29.2;1
195509;26.1;1
195510;47.5;1
195511;29.6;1
195512;105.2;1
195601;70.9;1
195602;13.2;1
195603;19.6;1
195604;82.3;1
195605;40;1
195606;66.3;1
195607;35.7;1
195608;75.2;1
195609;57.5;1
195610;72.4;1
195611;56.9;1
195612;31.1;1
195701;26.2;1
195702;125.2;1
195703;18.5;1
195704;15.4;1
195705;19.2;1
195706;117.9;1
195707;81.6;1
195708;102.5;1
195709;88.4;1
195710;44.6;1
195711;22.8;1
195712;24.8;1
195801;116.8;1
195802;122.9;1
195803;49.7;1
195804;50.4;1
195805;158.8;1
195806;74.2;1
195807;112.1;1
195808;58.3;1
195809;69.1;1
195810;56.5;1
195811;51.2;1
195812;97.5;1
195901;119.7;1
195902;0.7;1
195903;73.3;1
195904;63.8;1
195905;29.1;1
195906;27.2;1
195907;6.9;1
195908;34.6;1
195909;8.6;1
195910;39.3;1
195911;59.2;1
195912;70.2;1
196001;31.7;1
196002;58.5;1
196003;50.5;1
196004;11.7;1
196005;60.4;1
196006;85.8;1
196007;83.8;1
196008;61.6;1
196009;51.2;1
196010;180.4;1
196011;55.8;1
196012;65.3;1
196101;104.5;1
196102;44;1
196103;2.4;1
196104;41;1
196105;33.8;1
196106;84.2;1
196107;46.4;1
196108;19.1;1
196109;28.5;1
196110;77;1
196111;71.7;1
196112;67.4;1
196201;78.5;1
196202;57.6;1
196203;61.5;1
196204;57.6;1
196205;71.4;1
196206;8.4;1
196207;21.3;1
196208;22.9;1
196209;24.7;1
196210;23.6;1
196211;44.9;1
196212;84.6;1
196301;19.8;1
196302;35.5;1
196303;84.1;1
196304;20.9;1
196305;81.5;1
196306;74.8;1
196307;24.8;1
196308;98.7;1
196309;32.1;1
196310;14.3;1
196311;80.7;1
196312;2.5;1
196401;18.5;1
196402;29.2;1
196403;70.3;1
196404;57;1
196405;48.9;1
196406;28.3;1
196407;21.3;1
196408;22.1;1
196409;53.6;1
196410;70;1
196411;29.1;1
196412;51.2;1
196501;85.4;1
196502;6.1;1
196503;75;1
196504;70.1;1
196505;67.5;1
196506;62.7;1
196507;26.6;1
196508;40.2;1
196509;140.2;1
196510;15.2;1
196511;109.9;1
196512;130.3;1
196601;77.9;1
196602;104.7;1
196603;35.3;1
196604;53.2;1
196605;26.2;1
196606;41.1;1
196607;71.3;1
196608;80;1
196609;11.7;1
196610;60;1
196611;56.5;1
196612;111.2;1
196701;15;1
196702;50.1;1
196703;35.9;1
196704;16.1;1
196705;55.8;1
196706;48.1;1
196707;32.7;1
196708;73.2;1
196709;101.3;1
196710;74.5;1
196711;71.2;1
196712;72.2;1
196801;84.8;1
196802;46.5;1
196803;42.9;1
196804;44.6;1
196805;109.6;1
196806;28.1;1
196807;58.9;1
196808;78.3;1
196809;55.6;1
196810;58.7;1
196811;29.1;1
196812;75.1;1
196901;31.4;1
196902;30.2;1
196903;54.2;1
196904;51.3;1
196905;126.2;1
196906;81.3;1
196907;29.8;1
196908;81.1;1
196909;59.2;1
196910;4;1
196911;110.9;1
196912;52.5;1
197001;52.2;1
197002;140.5;1
197003;65.3;1
197004;80.3;1
197005;13.9;1
197006;65;1
197007;71.1;1
197008;59.6;1
197009;32.6;1
197010;27.7;1
197011;47;1
197012;46.1;1
197101;59.5;1
197102;17.8;1
197103;31;1
197104;19.1;1
197105;76.1;1
197106;90.8;1
197107;39.8;1
197108;105.8;1
197109;11.5;1
197110;9.3;1
197111;67.1;1
197112;9.5;1
197201;54.5;1
197202;36.6;1
197203;27.6;1
197204;47.1;1
197205;36.4;1
197206;36;1
197207;78.6;1
197208;75.2;1
197209;16.3;1
197210;55.6;1
197211;90;1
197212;24.2;1
197301;44.9;1
197302;64.8;1
197303;10.2;1
197304;24.5;1
197305;74.1;1
197306;24.4;1
197307;29.1;1
197308;28;1
197309;62.5;1
197310;54.2;1
197311;63.7;1
