# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 89068001
# NOM_USUEL= CHABLIS_SAPC
# LATITUDE (°) = 47.822
# LONGITUDE(°)= 3.791
# ALTITUDE (m) = 141
# NUM_SERIE= MRR189068001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201412
# Date(s) de rupture(s) d'homogénéité : 200312
#     Periode homogénéisée  195201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;96.9;1
195202;68;1
195203;96.3;1
195204;12.2;1
195205;36.9;1
195206;49.4;1
195207;69.5;1
195208;60.4;1
195209;114.3;1
195210;101.3;1
195211;108.4;1
195212;102.2;1
195301;20.6;1
195302;23.3;1
195303;2.8;1
195304;49;1
195305;34.1;1
195306;79.8;1
195307;73.5;1
195308;37.9;1
195309;41.3;1
195310;39;1
195311;8.5;1
195312;20.3;1
195401;36.1;1
195402;50.6;1
195403;39.8;1
195404;18.1;1
195405;54.9;1
195406;43.4;1
195407;29.2;1
195408;105.1;1
195409;58.5;1
195410;33.1;1
195411;48.3;1
195412;63.1;1
195501;125.3;1
195502;93.6;1
195503;58.2;1
195504;2.4;1
195505;45;1
195506;73.4;1
195507;47.1;1
195508;26.3;1
195509;32.7;1
195510;42.4;1
195511;27.5;1
195512;97.1;1
195601;65.8;1
195602;18.7;1
195603;29.2;1
195604;58;1
195605;86.4;1
195606;66.2;1
195607;40.2;1
195608;92.7;1
195609;71.1;1
195610;63.4;1
195611;45.2;1
195612;32.2;1
195701;36.2;1
195702;93.5;1
195703;24.4;1
195704;14.1;1
195705;28.3;1
195706;189.2;1
195707;83.1;1
195708;84;1
195709;88.7;1
195710;50.5;1
195711;32.8;1
195712;37.9;1
195801;83.7;1
195802;119.8;1
195803;42;1
195804;34.7;1
195805;144.6;1
195806;58.8;1
195807;74.4;1
195808;54.3;1
195809;53.5;1
195810;55.1;1
195811;42.2;1
195812;120.3;1
195901;113.2;1
195902;2.6;1
195903;52.4;1
195904;46.7;1
195905;10.6;1
195906;92.2;1
195907;2.9;1
195908;27.8;1
195909;12.2;1
195910;50.5;1
195911;48.3;1
195912;51.4;1
196001;34.5;1
196002;55.9;1
196003;28.2;1
196004;14.4;1
196005;78.6;1
196006;82;1
196007;87.9;1
196008;81.8;1
196009;47.5;1
196010;159.5;1
196011;60.6;1
196012;60;1
196101;81.9;1
196102;48.4;1
196103;7.1;1
196104;60.9;1
196105;50.3;1
196106;43.5;1
196107;49.4;1
196108;19.3;1
196109;36.5;1
196110;57.9;1
196111;68.6;1
196112;45.5;1
196201;66;1
196202;41.7;1
196203;65.5;1
196204;66.8;1
196205;102.9;1
196206;2.2;1
196207;18.9;1
196208;20.7;1
196209;34.5;1
196210;23.3;1
196211;44;1
196212;67.6;1
196301;22.5;1
196302;38.1;1
196303;71.6;1
196304;20;1
196305;57.7;1
