# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 89279002
# NOM_USUEL= NOYERS_SAPC
# LATITUDE (°) = 47.683
# LONGITUDE(°)= 3.949
# ALTITUDE (m) = 266
# NUM_SERIE= MRR189279002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195201 201412
# Date(s) de rupture(s) d'homogénéité : 197411
#     Periode homogénéisée  195201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;101;1
195202;74;1
195203;96.1;1
195204;20.5;1
195205;53.2;1
195206;24.7;1
195207;21.9;1
195208;49.1;1
195209;161.7;1
195210;112.9;1
195211;117.3;1
195212;119.4;1
195301;24.1;1
195302;46.4;1
195303;5.3;1
195304;69.3;1
195305;46.5;1
195306;129.5;1
195307;79;1
195308;8.5;1
195309;93.2;1
195310;45.9;1
195311;13.1;1
195312;15.7;1
195401;45.2;1
195402;59.8;1
195403;47.1;1
195404;20;1
195405;45.2;1
195406;43.9;1
195407;18;1
195408;131.4;1
195409;54.8;1
195410;62;1
195411;49.1;1
195412;78.8;1
195501;199.3;1
195502;120.6;1
195503;68.4;1
195504;2.2;1
195505;66.5;1
195506;85.8;1
195507;46.1;1
195508;9.2;1
195509;34.9;1
195510;44.4;1
195511;32.1;1
195512;99.5;1
195601;71.3;1
195602;18;1
195603;26.1;1
195604;40.7;1
195605;41.8;1
195606;30.7;1
195607;91.2;1
195608;91;1
195609;87;1
195610;66.5;1
195611;56.8;1
195612;30.7;1
195701;32.8;1
195702;128;1
195703;19.2;1
195704;18.6;1
195705;16.6;1
195706;115.8;1
195707;92.7;1
195708;91.9;1
195709;93.1;1
195710;46.4;1
195711;33.8;1
195712;45.7;1
195801;94;1
195802;133.7;1
195803;64.5;1
195804;34.5;1
195805;127.9;1
195806;58.9;1
195807;60.5;1
195808;81.9;1
195809;116.9;1
195810;50;1
195811;58.5;1
195812;131.1;1
195901;133.7;1
195902;2.6;1
195903;51.3;1
195904;70.1;1
195905;12.9;1
195906;78.8;1
195907;22.5;1
195908;20.1;1
195909;13;1
195910;58.5;1
195911;61.3;1
195912;58.4;1
196001;42.4;1
196002;59.3;1
196003;34.9;1
196004;12.6;1
196005;83.8;1
196006;96.8;1
196007;83.4;1
196008;105.8;1
196009;56;1
196010;129;1
196011;63.8;1
196012;48;1
196101;89.3;1
196102;53.9;1
196103;8.2;1
196104;50.1;1
196105;50.4;1
196106;42.5;1
196107;60.5;1
196108;22.8;1
196109;34.3;1
196110;82;1
196111;57.8;1
196112;78.1;1
196201;96.4;1
196202;61.1;1
196203;81.2;1
196204;67.6;1
196205;72;1
196206;0;1
196207;26.3;1
196208;13.5;1
196209;38.5;1
196210;27.5;1
196211;42.4;1
196212;90;1
196301;23.7;1
