# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 90056002
# NOM_USUEL= JONCHEREY
# LATITUDE (°) = 47.526
# LONGITUDE(°)= 7.003
# ALTITUDE (m) = 359
# NUM_SERIE= MRR190056002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196912 197508 200712
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;169.4;1
195502;137.5;1
195503;70.1;1
195504;3;1
195505;122.1;1
195506;122.3;1
195507;108.9;1
195508;91.7;1
195509;105.1;1
195510;42.1;1
195511;19.5;1
195512;162;1
195601;94.1;1
195602;10.6;1
195603;37.4;1
195604;130.5;1
195605;61.5;1
195606;77;1
195607;199.2;1
195608;202.5;1
195609;74;1
195610;129.9;1
195611;56.3;1
195612;30.3;1
195701;36.7;1
195702;182.7;1
195703;49.2;1
195704;34.4;1
195705;40;1
195706;179.4;1
195707;162.4;1
195708;98;1
195709;168;1
195710;26.9;1
195711;57.4;1
195712;44.8;1
195801;127;1
195802;200.2;1
195803;51.6;1
195804;74;1
195805;105;1
195806;149;1
195807;107.8;1
195808;114.7;1
195809;65.4;1
195810;71.7;1
195811;61;1
195812;92.4;1
195901;177.6;1
195902;1.1;1
195903;107.3;1
195904;114.9;1
195905;61.6;1
195906;116.5;1
195907;22.4;1
195908;103;1
195909;34.9;1
195910;78.2;1
195911;54;1
195912;123;1
196001;110.2;1
196002;85.1;1
196003;78.3;1
196004;46.5;1
196005;106.7;1
196006;84.6;1
196007;105.5;1
196008;142.3;1
196009;109.5;1
196010;120.4;1
196011;109.5;1
196012;60.2;1
196101;103;1
196102;104.5;1
196103;28.7;1
196104;93.5;1
196105;92.5;1
196106;95.2;1
196107;110.6;1
196108;98.6;1
196109;41.9;1
196110;81.6;1
196111;63.1;1
196112;108.7;1
196201;164.4;1
196202;66.2;1
196203;134.2;1
196204;78.8;1
196205;123.5;1
196206;36.9;1
196207;88.2;1
196208;41.2;1
196209;99.4;1
196210;25.2;1
196211;35;1
196212;111;1
196301;33.6;1
196302;53;1
196303;36.3;1
196304;36.1;1
196305;63.9;1
196306;138.6;1
196307;97.5;1
196308;197.5;1
196309;53.5;1
196310;43.9;1
196311;226;1
196312;6.9;1
196401;20.3;1
196402;10.4;1
196403;77.3;1
196404;80.5;1
196405;163.1;1
196406;65.5;1
196407;38.5;1
196408;47.2;1
196409;73.8;1
196410;114.3;1
196411;79.6;1
196412;28.4;1
196501;105.5;1
196502;15;1
196503;126.3;1
196504;162.4;1
196505;129.6;1
196506;89.9;1
196507;88.1;1
196508;107.5;1
196509;183.5;1
196510;32.7;1
196511;164.6;1
196512;207.8;1
196601;109.6;1
196602;121.7;1
196603;74.8;1
196604;127.2;1
196605;89.2;1
196606;89;1
196607;129.2;1
196608;167.3;1
196609;51.6;1
196610;72.5;1
196611;74.7;1
196612;164.6;1
196701;56.6;1
196702;62;1
196703;92.4;1
196704;41.3;1
196705;148.4;1
196706;54.2;1
196707;57.1;1
196708;109.6;1
196709;111;1
196710;63.4;1
196711;145.8;1
196712;114.6;1
196801;142.8;1
196802;99.1;1
196803;61.9;1
196804;154.4;1
196805;95.9;1
196806;52.7;1
196807;105.6;1
196808;193.1;1
196809;196.3;1
196810;61.3;1
196811;75.8;1
196812;78.7;1
196901;61.3;1
196902;89.7;1
196903;104.2;1
196904;153.2;1
196905;144.5;1
196906;164.6;1
196907;23.5;1
196908;95;1
196909;12.6;1
196910;0.3;1
196911;161.4;1
196912;104.4;1
197001;115.5;1
197002;304.8;1
197003;95.5;1
197004;136;1
197005;73;1
197006;112.9;1
197007;76.5;1
197008;73.2;1
197009;70.3;1
197010;83.2;1
197011;112.7;1
197012;39.5;1
197101;53.4;1
197102;31.4;1
197103;70.9;1
197104;26.5;1
197105;108.1;1
197106;134.1;1
197107;25.7;1
197108;81.5;1
197109;44.2;1
197110;23.2;1
197111;105.3;1
197112;28.7;1
197201;33.9;1
197202;47.4;1
197203;61.6;1
197204;73.9;1
197205;84;1
197206;131.6;1
197207;92.7;1
197208;40.9;1
197209;25.8;1
197210;23.6;1
197211;227.5;1
197212;69.2;1
197301;52.8;1
197302;60.4;1
197303;24.1;1
197304;99.7;1
197305;127.7;1
197306;151.1;1
197307;97.3;1
197308;60.6;1
197309;46.9;1
197310;84.3;1
197311;99.7;1
197312;68.9;1
197401;63.5;1
197402;56.1;1
197403;48.1;1
197404;33.6;1
197405;98.4;1
197406;58.4;1
197407;70.2;1
197408;35.7;1
197409;105.1;1
197410;193.8;1
197411;163.4;1
197412;90.7;1
197501;100.9;1
197502;30.2;1
197503;94.7;1
197504;76;1
197505;103.4;1
197506;169.9;1
197507;32.9;1
197508;222.4;1
197509;132.2;1
197510;30.5;1
197511;112.3;1
197512;24;1
197601;56.3;1
197602;46.5;1
197603;12.2;1
197604;50.2;1
197605;62.3;1
197606;27.3;1
197607;137.2;1
