# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 91275001
# NOM_USUEL= GOMETZ-LE-CHAT.
# LATITUDE (°) = 48.677
# LONGITUDE(°)= 2.136
# ALTITUDE (m) = 159
# NUM_SERIE= MRR191275001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 200503
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;33.6;1
195002;61.8;1
195003;20;1
195004;57.2;1
195005;69.5;1
195006;37.9;1
195007;73.6;1
195008;57.8;1
195009;80.1;1
195010;17.1;1
195011;67.3;1
195012;85.3;1
195101;43.6;1
195102;63;1
195103;67.1;1
195104;48.3;1
195105;95;1
195106;114;1
195107;42.5;1
195108;144.7;1
195109;51.5;1
195110;30.1;1
195111;66.8;1
195112;47.6;1
195201;81.6;1
195202;44.7;1
195203;114.6;1
195204;12.9;1
195205;38.3;1
195206;36;1
195207;14.5;1
195208;76;1
195209;116.6;1
195210;90.5;1
195211;102.9;1
195212;83.2;1
195301;14.6;1
195302;16.5;1
195303;0.2;1
195304;51.8;1
195305;23;1
195306;81.7;1
195307;57.8;1
195308;42.1;1
195309;47.1;1
195310;34.1;1
195311;23.9;1
195312;8.6;1
195401;33.9;1
195402;49.1;1
195403;52.9;1
195404;1.6;1
195405;22.2;1
195406;44.2;1
195407;36.7;1
195408;80.3;1
195409;104.2;1
195410;27.8;1
195411;28.8;1
195412;46.9;1
195501;99.2;1
195502;59.6;1
195503;29.4;1
195504;4.8;1
195505;60.5;1
195506;78.5;1
195507;41.5;1
195508;21.4;1
195509;24.2;1
195510;64;1
195511;27.2;1
195512;74.7;1
195601;63.3;1
195602;11.2;1
195603;16.2;1
195604;42.6;1
195605;51.9;1
195606;54.1;1
195607;26;1
195608;94.8;1
195609;37.1;1
195610;59.1;1
195611;42.5;1
195612;38.8;1
195701;35.7;1
195702;93.3;1
195703;24.2;1
195704;14.9;1
195705;23.9;1
195706;67.4;1
195707;100.3;1
195708;47.5;1
195709;97.6;1
195710;34;1
195711;23;1
195712;33.8;1
195801;96.3;1
195802;107.2;1
195803;42.1;1
195804;74.7;1
195805;70.1;1
195806;113.4;1
195807;68.9;1
195808;67.5;1
195809;47.2;1
195810;48.6;1
195811;50.2;1
195812;83.5;1
195901;105.9;1
195902;0;1
195903;44.3;1
195904;80.2;1
195905;23.2;1
195906;39.4;1
195907;8.5;1
195908;56.3;1
195909;0.8;1
195910;54;1
195911;56.7;1
195912;86.4;1
196001;46.2;1
196002;54.3;1
196003;51.5;1
196004;18.5;1
196005;19.7;1
196006;55.9;1
196007;100.7;1
196008;87.4;1
196009;62.3;1
196010;163.4;1
196011;82.8;1
196012;76.9;1
196101;73.4;1
196102;39.2;1
196103;4;1
196104;35.4;1
196105;47.8;1
196106;45;1
196107;39.1;1
196108;4.1;1
196109;70.2;1
196110;86.2;1
196111;79.3;1
196112;69.3;1
196201;76.6;1
196202;27.5;1
196203;68.3;1
196204;46.9;1
196205;42.1;1
196206;12.3;1
196207;56.6;1
196208;27.3;1
196209;67.2;1
196210;38;1
196211;104.2;1
196212;54.2;1
196301;15.4;1
196302;18.2;1
196303;75.3;1
196304;58.3;1
196305;52.5;1
196306;88.9;1
196307;18.7;1
196308;111.1;1
196309;26.1;1
196310;23.7;1
196311;125.3;1
196312;6.1;1
196401;20.2;1
196402;57.1;1
196403;53.5;1
196404;53.8;1
196405;38;1
196406;46.4;1
196407;28.3;1
196408;28.4;1
196409;51.7;1
196410;65.5;1
196411;40.4;1
196412;38.1;1
196501;107.1;1
196502;7.6;1
196503;82.1;1
196504;37.5;1
196505;80.5;1
196506;41.8;1
196507;63.9;1
196508;95;1
196509;123;1
196510;16.1;1
196511;115.2;1
196512;121.1;1
196601;69.6;1
196602;62;1
196603;24.8;1
196604;96.3;1
196605;43.8;1
196606;39.1;1
196607;112.9;1
196608;53.7;1
